eng,ne,mBART600M
"You are required to click on Forgot MPIN, and enter your registered mobile number.","तपाईंले बिर्सिएको MPIN मा क्लिक गर्न आवश्यक छ, र तपाईंको पंजीकृत मोबाइल नम्बर प्रविष्ट गर्नुपर्ने छ।","You need to click on the forgotten MPINne, and enter your registered mobile number."
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,तपाईंले आफ्नो दर्ता गरेको मोबाइल नम्बरमा ओटिपी प्राप्त गरेर आफ्नो MPIN सजिलै रिसेट गर्न सक्नुहुन्छ।,You can easily reset your MPIN by getting an OTP to your registered mobile number.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,पोशन ट्र्याकर आंगनवाडी कार्यकर्ताहरूलाई उनीहरूको प्रयासको प्रतिबिम्बको साथ सेवाहरूको प्रभावकारी वितरणको लागि एउटा रोजगार सहायता हो।,"The position tracker is an employment aid for the employees of Anganwadi to effectively distribute services, reflecting their efforts."
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,यो पोशन अभियान अन्तर्गत एक महत्वपूर्ण र लाभार्थी-केन्द्रित सेवा वितरण अनुप्रयोग हो जसले विश्लेषणको साथ वास्तविक समय डाटालाई बढावा दिनेछ।,It is an important and beneficiary-centric service delivery application under the Postion campaign that will boost real-time data with analytics.
Please enter valid Date of Birth,कृपया मान्य जन्म मिति प्रविष्ट गर्नुहोस्,Please enter a valid date of birthne.
Who is eligible for additional supplementary food?,थप पूरक खानाको लागि को योग्य छ?,Who is eligible for supplemental nutrition?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","हामी कुनै पनि समयमा यी सर्तहरूको कुनै पनि अंश परिवर्तन, परिमार्जन, थप्न, वा हटाउने बिना शर्त अधिकार सुरक्षित राख्छौं, विशेष रूपमा त्यस्ता परिवर्तनहरूको बारेमा तपाईंलाई सूचित नगरी।","We reserve the unconditional right to change, amend, add or remove any part of these Terms at any time, in particular without informing you of such changes."
Any changes or updates will be effective immediately.,कुनै पनि परिवर्तन वा अद्यावधिक तुरुन्तै प्रभावकारी हुनेछ।,Any changes or updates will take effect immediately.
You take the responsibility to check these Terms of Use periodically for changes.,तपाईंले परिवर्तनहरूको लागि आवधिक रूपमा प्रयोगका यी सर्तहरू जाँच गर्ने जिम्मेवारी लिनुहुन्छ।,You take responsibility for periodically checking these Terms of Use for changes.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,मंच पोस्टको तपाइँको निरन्तर प्रयोगले यस्तो संशोधन परिमार्जित सर्तहरूको स्वीकृति गठन गर्नेछ।,Your continued use of the forum post will constitute acceptance of such amendments to the amended terms.
How many different types of reports can be generated over Poshan Tracker Dashboard?,पोषण ट्र्याकर ड्यासबोर्डमा कति फरक प्रकारका रिपोर्टहरू उत्पन्न गर्न सकिन्छ?,How many different types of reports can be generated in the nutrition tracker dashboard?
How to revive your health if you are Severely Wasted (SAM),तपाईको स्वास्थ्यलाई कसरी पुनर्जीवित गर्ने यदि तपाई गम्भीर रूपमा बर्बाद हुनुहुन्छ (एसएएम),Ne how to restore your health if you are seriously wasted (SAM)
"See assessment charts for Stunted, Wasted and Underweight parameters","स्टन्टेड, बर्बाद र कम वजन मापदण्डहरूको लागि मूल्याङ्कन चार्ट हेर्नुहोस्","For stunted, wasted, and lightweight parameters, see rating chart."
Resources for growth monitoring and general awareness,वृद्धि अनुगमन र सामान्य जागरूकताका लागि संसाधन,Resources for increased monitoring and general awareness.
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,AWW हरूले एक विशेष आंगनवाडी केन्द्रमा अवस्थित पूर्वाधारसँग सम्बन्धित विवरणहरू प्रविष्ट गर्नुपर्ने छ।,AWWs are required to enter details related to infrastructure located in a particular Anganwadi Centre.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","यसले संरचना, आधारभूत सुविधाहरू, सुविधा, सरसफाइ, पिउने पानी आदि समावेश गर्दछ।","This includes structure, infrastructure, facilities, sanitation, drinking water, etc."
Lactating mothers who received Take Home Ration (THR),घरको राशन लिनुहोस् (टीएचआर) प्राप्त गर्ने स्तनपान गराउने आमाहरू,Ne take home ration (THR) for breastfeeding mothers who receive
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","पोशन ट्रयाकर ले यस गोपनीयता नीतिको कुनै पनि भागलाई कुनै पनि समयमा परिवर्तन, परिमार्जन, थप्न वा हटाउने बिना शर्त अधिकार आरक्षित गर्दछ, विशेष रूपमा त्यस्ता परिवर्तनहरूको बारेमा तपाईंलाई सूचित नगरी।","Position Tracker reserves the unconditional right to change, amend, add or remove any part of this Privacy Policy at any time, in particular without informing you of such changes."
Any changes or updates will be effective immediately.,कुनै पनि परिवर्तन वा अद्यावधिक तुरुन्तै प्रभावकारी हुनेछ।,Any changes or updates will take effect immediately.
You should review this Privacy Policy regularly for changes.,तपाईंले परिवर्तनहरूको लागि यो गोपनीयता नीति नियमित रूपमा समीक्षा गर्नुपर्छ।,You should review this privacy policy regularly for changes.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","हामी यस गोपनीयता नीतिमा कुनै पनि भौतिक परिवर्तनहरू, जस्तै प्रणालीमा सूचना मार्फत सबै प्रयोगकर्ताहरूलाई सूचित गर्न व्यावसायिक रूपमा उचित प्रयासहरू प्रयोग गर्नेछौं।","We will use commercially reasonable efforts to notify all users of any material changes to this privacy policy, such as through notification to the system."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","यद्यपि, प्रणालीको प्रयोगकर्ताको रूपमा, तपाईंले नियमित रूपमा कुनै पनि परिवर्तनहरूको लागि गोपनीयता नीति जाँच गर्नुपर्छ।","However, as a user of the system, you should regularly check the privacy policy for any changes."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","हामी यस गोपनीयता नीतिको शीर्षमा रहेको ""अन्तिम अद्यावधिक"" मितिलाई पनि अद्यावधिक गर्नेछौं, जसले यस गोपनीयता नीतिको प्रभावकारी मितिलाई प्रतिबिम्बित गर्दछ।","We will also update the ""last updated"" date at the top of this privacy policy, which reflects the effective date of this privacy policy."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,नयाँ गोपनीयता नीतिको मिति पछि प्रणालीको तपाईंको निरन्तर पहुँच वा प्रयोगले नयाँ गोपनीयता नीतिको तपाईंको स्वीकृतिलाई गठन गर्दछ।,Your continued access to or use of the system after the date of the new privacy policy constitutes your acceptance of the new privacy policy.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","यदि तपाईं नयाँ गोपनीयता नीतिमा सहमत हुनुहुन्न भने, तपाईंले प्रणाली पहुँच र/वा प्रयोग गर्न बन्द गर्नुपर्छ।","If you do not agree to the new privacy policy, you should stop accessing and/or using the system."
What is the eligibility of a beneficiary?,एउटा लाभार्थीको पात्रता के हो?,What is the eligibility of a beneficiary?
"No, Poshan Tracker is available only for Android version","छैन, पोषण ट्र्याकर एन्ड्रोइड संस्करणका लागि मात्र उपलब्ध छ।","No, nutrition tracker is only available for the Android version."
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. क्षतिपूर्ति र सीमाको दायित्व,XVne. Liability for damages and limitation.
Growth monitoring report for all health indicators,सबै स्वास्थ्य सूचकहरूका लागि वृद्धि अनुगमन रिपोर्ट,Growth monitoring reports for all health indicators.
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,यदि तिनीहरूको उचाइ-का लागि-उमेर दुई भन्दा बढी मानक विचलनहरू डब्ल्यूएचओ बाल वृद्धि मापदण्ड औसतभन्दा कम छ भने बालबालिकाहरूलाई स्टन्टेड भनी परिभाषित गरिन्छ।,"If their height-for-age deviations of more than two standard deviations are below the WHO child growth standard average, children are defined as stunted."
What is the purpose of Launching Poshan Tracker?,पोषण ट्र्याकर सुरू गर्नुको उद्देश्य के हो?,What is the purpose of launching a nutrition tracker?
"As a registered user, you have the right to access your profile at any time.","एउटा दर्ता प्रयोगकर्ताको रूपमा, तपाईंसँग कुनै पनि समयमा आफ्नो प्रोफाइल पहुँच गर्ने अधिकार छ।","As a registered user, you have the right to access your profile at any time."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","यद्यपि, परिवर्तनहरू पोशन ट्र्याकर प्रणालीले समय-समयमा तोकिएबमोजिम मात्र गर्न सकिन्छ।","However, changes can only be made periodically by the Positions Tracker System."
You cannot manage the communications that you receive from us or how you receive them.,तपाईंले हामीबाट प्राप्त गर्ने सञ्चारहरू वा तपाईंले तिनीहरूलाई कसरी प्राप्त गर्नुहुन्छ त्यसलाई तपाईंले व्यवस्थापन गर्न सक्नुहुन्न।,You cannot manage the communications you receive from us or how you receive them.
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. कानूनको अनुपालन, तेस्रो पक्ष अधिकार, र सेवाका अन्य सर्तहरू","XIII. Compliance with the law, third party rights, and other terms of servicene."
"repeated infection, and inadequate psychosocial stimulation","बारम्बार संक्रमण, र अपर्याप्त मनोसामाजिक उत्तेजना","Repeated infections, and insufficient psychosocial arousal."
Beneficiary migration from one AWC to another AWC,एक AWC बाट अर्को AWC मा लाभार्थीको स्थानांतरण,Transfer of beneficiaries from one AWC to another AWCne
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","पोषण अभियानअन्तर्गत ICT प्लेटफार्ममा प्रशिक्षण (०२ फेब्रुअरी, २०२१)","Training in ICT platforms under the Nutrition Campaign (February 02, 2021)"
You may browse the Site without registering for an account.,तपाइँ खाताको लागि दर्ता नगरी साइट ब्राउज गर्न सक्नुहुन्छ।,You can browse the site without registering for an account.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","तपाईंले आफ्नो मोबाइल नम्बरको साथ एक खाताको लागि दर्ता गर्न आवश्यक हुनेछ, यदि तपाईं साइटद्वारा प्रस्ताव गरिएका केही सुविधाहरू वा सेवाहरू प्रयोग गर्न चाहनुहुन्छ भने।",You will need to register for an account with your mobile number if you want to use some of the features or services offered by the site.
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,तपाइँ तपाइँको व्यक्तिगत जानकारी र दर्ता र यो जानकारी सुरक्षित राख्न असफल भएको कारण हुन सक्ने सबै गतिविधिहरूको गोपनीयता कायम राख्नको लागि तपाइँ मात्र जिम्मेवार हुनुहुन्छ।,You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that may be caused by the failure to keep this information secure.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,तपाईको दर्ता वा मोबाइल संख्या गोप्य राखिनेछतपाईंले यो उतरदायित्व लिनुःतपाईंले आफ्नो खाता मार्फत तिनीहरूको रेकर्ड बनाउनको लागि सम्बन्धित व्यक्तिहरूबाट स्वीकृति लिनुभएको छ।,Your registration or mobile number will be kept confidential and you take this responsibility: you have obtained approval from the relevant persons to make their records through your account.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,तपाईंको खाता वा मोबाइल नम्बरले त्यो व्यक्तिको नक्कल गर्ने उद्देश्यले अर्को व्यक्तिको नाम समावेश गर्नु हुँदैन।,Your account or mobile number should not include another person's name for the purpose of duplicating that person.
You shall not use another user's account without their permission.,तपाईंले उनीहरूको अनुमति बिना अर्को प्रयोगकर्ताको खाता प्रयोग गर्नुहुने छैन।,You will not use another user's account without their permission.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.","यदि तपाईंले आफ्नो खाताको कुनै अनधिकृत प्रयोग वा खाता-सम्बन्धित अन्य सुरक्षा उल्लंघनहरू फेला पार्नुभयो भने, तपाईंले तुरुन्तै हामीलाई लिखित रूपमा सूचित गर्नुहुनेछ।","If you discover any unauthorized use of your account or other account-related security breaches, you will immediately notify us in writing."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",यदि हामीले तपाईंको खाताले अरू कसैको अधिकार उल्लङ्घन गरेको वा हाम्रा नीतिहरूलाई उल्लङ्घन गरेको उजुरी प्राप्त गरेमा हामी तपाईंको खाता रद्द वा ब्लक गर्न सक्छौं।,"If we receive a complaint that your account violates someone else's rights or violates our policies, we may cancel or block your account."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","तपाईले धेरै इन्टरनेट प्रोटोकल ठेगानाहरू वा मोबाइल नम्बरहरू प्रयोग गरेर वा अन्य कुनै पनि माध्यमद्वारा, साइटमा सहभागीहरूलाई दर्ता गर्न आफ्नो पहिचान लुकाउने प्रयास गर्नुहुँदैन।",You should not try to hide your identity to register participants on the site by using multiple Internet protocol addresses or mobile numbers or by any other means.
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,पोषण ट्र्याकर एप २२ विभिन्न भाषाहरूमा उपलब्ध छउपलब्ध विभिन्न भाषाहरूःअंग्रेजीहिन्दीगुजरातीपंजाबीमराठीबंगलाकन्नडतामिलतेलेगुमलयालमओडियाअसमियाNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,The Nutrition Tracker app is available in 22 different languages available in different languages:English Hindi GujaratiPunjabi MarathiBangalak Kannada Tamil TeluguMalayLayal OdiaAsamiyaNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","प्रस्तावित प्रणालीले परिभाषित संकेतकहरूमा सबै AWCहरू, AWWहरू र लाभार्थीहरूको वास्तविक समयको अनुगमन र ट्र्याकिंग सक्षम पार्नु पर्दछ।","The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries at the indicators defined by the proposed system."
How to Login in Poshan Tracker App?,पोषण ट्र्याकर एपमा कसरी लगइन गर्ने?,How to log in to the Nutrition Tracker app?
Height and weight of child has not been measured,बच्चाको उचाइ र तौल मापन गरिएको छैन,The child's height and weight have not been measured.
Calculator to measure the child growth based on the WHO Child Growth Standards.,डब्ल्यूएचओ बाल विकास मापदण्डहरूमा आधारित बाल विकास मापन गर्न क्याल्कुलेटर,A calculator to measure child development based on WHO child development criteria.
TAKE HOME RATION (THR) GIVEN TODAY,आज दिएको खाद्यन(THR) घर लैजानुहोस,Take home the food you gave us today.
A beneficiary is eligible for THR for at least 21 days in a month.,एउटा लाभार्थी एक महिनामा कम्तिमा 21 दिनको लागि टीएचआर को लागि योग्य हुन्छ।,One beneficiary is eligible for THR for at least 21 days a month.
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. सर्तहरूमा भविष्यमा हुने परिवर्तनहरू बारे सूचनाः,III.ne. Notification of future changes to the terms and conditions:
Planning And Organising Community Based Events At AWC,योजना बनाउँदै र एडब्ल्यूसी मा समुदायमा आधारित घटनाहरू,Planning and community-based events at the WTCne
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on the Poshan Tracker Website https://poshantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,InStep 2- Enter your registered Mobile Number and pre-set your 4-digit MPIN.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,AWWहरूले आफ्नो मोबाइल नम्बरमार्फत दर्ता गर्न असमर्थ भएमा कसरी एपमा साइन अप गर्न सक्छन्?,How can AWWs sign up for an app if they can't register with their mobile number?
Poshan Tracker adds new Reports feature,पोशन ट्र्याकरले नयाँ रिपोर्टहरूको सुविधा थप्छ,The position tracker adds the feature of new reportsne.
General Awareness about preventing illness in Children,बालबालिकामा रोगबाट बच्नका लागि सामान्य जागरूकता,General awareness of the prevention of disease in children.
2. HOW WE USE PERSONAL INFORMATION,2. हामी कसरी व्यक्तिगत जानकारी प्रयोग गर्छौं,2.and how we use personal information.
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","connected in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,कृपया आफ्नो मोबाइल संख्या र टिकट संख्या प्रदान गर्नुहोस्।,Please provide your mobile number and ticket number.
Please contact your respective Anganwadi worker.,कृपया आफ्नो सम्बन्धित आंगनवाडी कार्यकर्तालाई सम्पर्क गर्नुहोस्।,Please contact your respective Anganwadi worker.ne
SAM Children under 5 years who received Supplementary Nutrition,पूरक पोषण प्राप्त गर्ने 5 वर्ष मुनिका एसएएम बालबालिका,Children under 5 years of age who receive supplemental nutrition are SMEs.
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,ओपीवी -1पेंटावलेंट-1रोटावायरस खोप (आरवीवी) -1आंशिक खुराक को निष्क्रिय पोलियो खोप (एफआईपीवी) -1न्यूमोकोकल कंजुगेट खोप (पीसीवी) -1,OPV-1neventovalent-1rotovirus vaccine (RVV) -1paral dose of passive polio vaccine (FIPV) -1neumocal conjugate vaccine (PCV) -1
Height should be between 38 to 150,उचाई 38 देखि 150 का बीच हुनुपर्छ,The height should be between 38 and 150ne.
How to contact Poshan Tracker Team?,पोशन ट्र्याकर टोलीलाई कसरी सम्पर्क गर्ने?,How do I contact the position tracker team?
Take Home Ration (THR) Given Today,आज दिएको खाद्यन(THR) घर लैजानुहोस,Take home the food you gave us today.
How many different forms are there in Poshan Tracker App?,पोषन ट्र्याकर एपमा कति फरक प्रकारहरू छन्?,How many different types of nutrition tracker apps are there?
There are 7 different types of forms for beneficiaries.,लाभार्थीहरूका लागि विभिन्न प्रकारका फारामहरू हुन्छन्।,There are various forms available for beneficiaries.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),यसले निम्न समावेश गर्दछःस्तनपान गराउने आमागर्भवती महिलाबच्चा ०-६ महिनाबच्चा ६ महिनादेखि ३ वर्षबच्चा ३ वर्षदेखि ६ वर्षकिशोरीहरू (११ वर्ष-१९ वर्ष),This includes:ne Breastfeeding and pregnant womenChildren 0-6 monthsChildren 6 months to 3 yearsChildren 3 years to 6 yearsTeens (11 years to 19 years)
Shibpur I C D S Project,शिबपुर आईसीडीएस परियोजना,The Shippur ICDS project is a project of the ICDS.
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home",बितेका एकदेखि तीन महिनामा कोही आंगनवाडी कार्यकर्ता लाभार्थीको घर गएका छैनन्,"In the past one to three months, no Anganwadi worker has visited the beneficiary's home."
Please enter Weight greater than 0.49 and less than 40.01,कृपया 0.49 भन्दा बढी र 40.01 भन्दा कम तौल प्रविष्ट गर्नुहोस्,Please enter weights greater than 0.49 and less than 40.01ne.
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://neposhantracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,in or by downloading the Posnehan Tracker App.
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,MPIN भनेको ४ अंकको पासकोड हो जुन पोसन ट्र्याकर एपमा दर्ता गर्दा आंगनवाडी कार्यकर्ताले सेट गरेको हुन्छ।,MPIN is a 4-digit password code that is set by an Anganwadi worker when registering in the Poson Tracker app.
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)","स्मार्ट फोन र प्राविधिक अनुकूलता परीक्षणका विशिष्टताहरू (०२ फेब्रुअरी, २०२१)","Specifications of smartphones and technical compatibility tests (February 02, 2021)"
Request for child's height and weight measurement,बच्चाको उचाइ र तौल मापनका लागि अनुरोध गर्नुहोस्,Request a measurement of the child's height and weight.
Children (6 months - 3 years),बच्चाहरू (6 महिना - 3 वर्ष),Children (6 months - 3 years)
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","जब तपाइँ हाम्रो साइटहरू, एप र मंच प्रविधि सहित हाम्रो सेवाहरू भ्रमण गर्नुहुन्छ वा अन्यथा प्रयोग गर्नुहुन्छ हामी प्रयोग डेटा लग गर्छौं।","When you visit or otherwise use our services, including our sites, apps, and platform technology, we collect usage data."
"Result couldn't be fetch, please enter valid data","नतिजा ल्याउन सकिएन, कृपया मान्य डाटा प्रविष्ट गर्नुहोस्","Results were not available, please enter valid data."
Central Golaghat I. C. D. S. Project,केन्द्रीय गोलाघाट आईसीडीएस परियोजना,The central sphere of the ICDS project is the ICDSne.
