eng,sd,mBART600M
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,तांजो पंजीकरण आऊं मोबाईल नम्बर गोपनीयता सा रखो वेन्दोतां ईयो वचन डिंडा आयोःतावान पेंजे खाते जे तरीके सां पेंजे रिकॉर्ड खे ठाये रखण लाये जुडैल मानून जी रजामंदी हासिल कई तो।,Keep your registration and mobile number confidential and keep your phone number confidential if you have obtained consent from your account.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,तवांजे खाते या मोबाइल नंबर में हुन माणु जो रूप धारण करण जे इरादे सां कोई बे माणु जो नालो शामिल न थिअन्दो।,A person in a bank account or mobile number who is in a form that is intended to be a person without a bank account or a mobile number.
You shall not use another user's account without their permission.,अगर तां पांजे या बयंजे खाते संबंधी सुरक्षा सुझाव डयण ता चारों त लिखित मे डयी ता सिघो।,"If you have any security suggestions for a bank account or bank account, you can do so in writing."
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.",अगर असांखे हेडी कोई जानकारी ती मिले की तांजो खातों नियम नथो सही सा इस्तेमाल थे त असा उनते कारवाई करे ता सिघु।,"If the alleged head of the company found any information that the Tanzo account rules were not properly used, he would take such action."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","अगर असांखे कोई शिकायत मिलेती कि तवान्जो खातो बे केडे अधिकारुन जो उल्लंघन करेतो, या असांजी नीतिन जो उल्लंघन करेतो त अस्सां तवांजे खाते के रद्द या ब्लॉक करे सगंदा आयुं।","If there is such a complaint that Twanjo accounts and who violates the rights, or the Asanji policy that violates, then we can cancel or block the account."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","तव्वां साइट ते हिस्सेदारन खे पंजीकृत करण जे लाये केडे इंटरनेट प्रोटोकॉल पते या मोबाइल नंबर, या कोई बे माध्यम सां पेंजी पहचान लिकायण जी कोशिश नथ्था करे सगो","You should register your site and the shareholders who bring you an Internet protocol address or mobile number, or any other means of Sanjay Pendi ID Likayane G try not to stop you."
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,पोषण ट्रेकर एप अलग॒-अल॒ग 22 बो॒लियुन में मौजूद आहे.अलग॒-अलग॒ मौजूद बो॒लियूं आहिनःअंग्रेजीहिंदीगुजरातीपंजाबीमराठीबांग्लाकन्नडतमिलतेलुगुमलयालमऑडियाआसामीNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,The nutrition tracker app is available in 22 different languages.Different languages are available including: English Hindi Gujarati Punjabi MarathiBangladesh KannadaTamil TeluguGujaratiYamalumOdiaAsamiNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","मंजूर कयल सिस्टम मुकरर कयल पैमाने ते सभिनी आंगनवाडी मरकजनु, आंगनवाडी कम कंदडनु एं बेनेफिशरयुन जी रियल टाइम निगरानी एं ट्रेकिंग करण जी इख्तियारी दीं॒दो","The approved system has been put in place and all the Anganwadi centers have been set up, and Anganwadi has been reduced to a minimum of two years in order to benefit from real-time monitoring and tracking."
How to Login in Poshan Tracker App?,पोषण ट्रेकर एप में लॉगिन कियें कजे?,How do you log in to the Nutrition Tracker app?
Height and weight of child has not been measured,बा॒र जे ढिघाई ऐं वजन जे माप नाथी थी आहे,But the weight of the weight that was not measured is not enough.
TAKE HOME RATION (THR) GIVEN TODAY,अजु॒ दि॒नल घर खणी वञण जो राशनु (THR),Today's day is a day of prayer and fasting.
A beneficiary is eligible for THR for at least 21 days in a month.,हिक लाभकारी छा योग्य आए THR लाए घट में घट महिने जे 21 डियन जे लाए।,The profit-making increase in THR brought a decrease in the monthly decrease of 21 dyon.
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. शर्त जे बदलण में सुचनाः,III.sd. condition which is indicated in the change:
Planning And Organising Community Based Events At AWC,AWC में खल्क जे लाये कार्यक्रमअन जि तजवीज आऊं हुननजो बन्दोबस्त करण,The KHL has brought programs to the AWC to discuss and settle the situation.
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on the Poshan Tracker Website https://sdposhantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered mobile number and pre-set the 4-digit MPIN.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,जेकद॒हिं आंगनवाडी कम कंदड मोबाइल नंबर मारफत रजिस्टर करण में नाकाबिलआहिन त उहे एप ते कियें साइन अप करे सघं॒दा आहिन?,"If you are unable to register using the mobile number of the Anganwadi community, why sign up for the same app?"
Poshan Tracker adds new Reports feature,कोशॉन ट्रेकर गंढी आहे नई रिपोर्ट कारगुजारी,The Koshon tracker is dirty and new reporting from the carrier.
General Awareness about preventing illness in Children,बारण खे बिमारी खा बचायण जी वहींवारी जागरूकता,Baran Khe Bharati Khasd Bachayan Ji Therewari awareness
2. HOW WE USE PERSONAL INFORMATION,2. अस्सां निजी जानकारी खे कीयं इस्तेमाल कंदा आयुं,2.Our personal information is used for the purpose of collecting data.
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.sdsd."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","sd in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,किरपा तांजो मोबाईल नम्बर आऊं टिकेट नम्बर डरो।,Please take your mobile number and ticket number.
Please contact your respective Anganwadi worker.,किरपा तांजे आदरणीय आंगनवाडी कार्यकर्ता सा सम्पर्क कयो।,"The honorable Anjanwadi worker, S.D.K.R.P. Tanzae, was contacted."
SAM Children under 5 years who received Supplementary Nutrition,SAM बारअ जैका 5 सालन खां घट उम्र जा आहेन जहिंखे पूरक पोषण मिलो आहे,SAM BARA JACKA 5 years ago we were getting older and we were getting more nutritional supplements.
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1पेंटावेलेंट-1रोटावायरस वेक्सिन (RVV)-1फ्रेकशनल डोस आफ इनएक्टिवेटेड पोलियो वेक्सिन(fIPV)-1न्यूमोकोकल कोनज्युकेट वेक्सिन (PCV) -1,OPV-1Pentavelent-1Rotavirus vaccine (RVsdV)-1Frectional dose of inactivated polio vaccine ((fIPV)-1Numocal conjugate vaccine (PCV) -1
Height should be between 38 to 150,ढिगाई 38 खां 150 जे मंझ हुअणी खपे,Dhiggai 38 Khsd 150 J in the middle of the Hu'ani Khapé.
How to contact Poshan Tracker Team?,पोषण ट्रेकर टीम जो राबतो कियें कयो वञे?,What is the nutrition tracker team that works for?
Take Home Ration (THR) Given Today,अजु॒ दि॒नल घर खणी वञण जो राशनु (THR),Today's day is a day of prayer and fasting.
How many different forms are there in Poshan Tracker App?,पोषण ट्रेकर एप में केतरन नमूनन जा फॉर्म दि॒नल आहिन।,The nutrition tracker app contains several samples of the form.
There are 7 different types of forms for beneficiaries.,फायदो वठंदडनु जे लाये 7 नमूनन जा फॉर्म दि॒नल आहिन।,Use the useful information provided by 7 samples to form the data.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),जहिं में शामिल आहिनःधाराइंदडु माउगर्भ वंती माईबा॒र 0 - 6 महीनाबा॒र 6 महिने खां 3 सालबा॒र 3 साल खां 6 सालनौजवानु छोकरियूं (11 साल - 19 साल),Where included: Ahin:Dharaindudu Maugrave Vanti Mybabar 0 - 6 monthsBarr 6 monthsBarr 3 yearsBarr 3 yearsBarr 6 yearsBarr 6 yearsChukriyu (11 years - 19 years)
Shibpur I C D S Project,शीबपुर आई. सी. डी. ऐस. प्रोजेक्च,Shippur ICSD project is being implemented by the ISD.
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home","ताजो हिक खां ट्रिन महिनि में , को बि आङनवाडी कारुकन नाहे दौरो कयो फाईदोवठिंदज जे घर","Tajo Hick Khan is a three-star model in the Mahinini, Ko bi Anganwadi Karukan Nahe Duro by Kajo Fayidovthindz who is the home of the family."
Please enter Weight greater than 0.49 and less than 40.01,किरपा वजन भरयो जेको वधिक हुजे 0.89 आऊं घट हुजे 58.01,Grace weighed in at a maximum of 0.89sd and a decrease of 58.01sd.
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.sd.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,In or by downloading the Poshan Tracker App.
Calculator to measure the child growth based on the WHO Child Growth Standards,केलकुलेटर जेको मापे बारण जी ग्रोथ जेकि निर्भर कंदी आ WHO चाईल्ड ग्रोथ स्टेंडर्ड ते,The calculator Jiko is measuring the growth of the dependent child and the WHO Child Growth Standard.
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"एमपिन 4 अंगनु जो हिक पासकोड आहे, जेको पोषण ट्रेकर एप ते रजिस्टर करण वक्त आंगनवाडी कम कंदड पारां सेट कयो वेंदो आहे.","Mpin 4 Anganudsd which is a Hick passcode, which is set by Kyo Vendō when the Nutrition Tracker app and Anganwadi low-cost app are registered."
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)","स्मार्ट फोन एं टेक्निकल मुनासिबत चकास जूं तफसीलूँ (02 फरवरी, 2021)","Smart phone and technical data are explained in detail (February 02, 2021)"
Request for child's height and weight measurement,बा॒र जे ढिघाई ऐं वजन जे माप जी आछ,The weight of the weight is the weight of the weight of the weight.
Children (6 months - 3 years),बा॒र (6 महिननि - 3 साल),The age of onset (6 months - 3 years)
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","असा इस्तेमाल कंदा आयु उन डाटा खे जेमल ता लोग ईन या असांजी सर्विस इस्तेमाल कंदा आंयु, साइड अंउ टैक्नोलॉजी खे शामिल करे।","Such use of Kanda Ayush includes data from the Jemal Ta Lok In or Asanji Service using Kanda Ayush, Side Aand Technology."
"Result couldn't be fetch, please enter valid data","नतीजो नथो मिले,किरपा सही डेटा भ्रमों","Results were not found, please correct data errors."
Central Golaghat I. C. D. S. Project,केंद्रीय गोलाघाट आई. सी. डि. ऐस. प्रोजेक्ट,The central sphere is the central sphere of the ICSD-AS project.
