eng,pa,translation_text
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ਇੱਕ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਇੱਕ ਲਾਭਪਾਤਰੀ ਨੂੰ ਇੱਕ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ ਤੋਂ ਦੂਜੇ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ ਵਿੱਚ ਉਹਨਾਂ ਦੇ ਆਧਾਰ ਨੰਬਰ ਦੇ ਆਧਾਰ 'ਤੇ ਮਾਈਗ੍ਰੇਟ ਕਰਨ ਲਈ 'ਮਾਈਗ੍ਰੇਟ ਲਾਭਪਾਤਰੀ' ਵਿਕਲਪ ਦੀ ਵਰਤੋਂ ਕਰ ਸਕਦਾ ਹੈ।,engwanwadi worker can use the 'migrant beneficiary' option to migrate a beneficiary from one angwanwadi center to another based on their Aadhaar number.
A beneficiary is eligible for HCM for at least 21 days in a month.,ਇੱਕ ਲਾਭਪਾਤਰੀ ਇੱਕ ਮਹੀਨੇ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 21 ਦਿਨਾਂ ਲਈ ਐਚਸੀਐਮ ਲਈ ਯੋਗ ਹੁੰਦਾ ਹੈ।,engekerjaanfavoritasexemplate:A beneficiary is eligible for HCMpa for at least 21 days a month.
ABHA (Health ID) and its Benefits,ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ) ਅਤੇ ਇਸਦੇ ਲਾਭ,eng (HAHA) and its benefits.
"We'ar sorry, the page you requested could not be found.","ਸਾਨੂੰ ਮਾਫ ਕਰਨਾ, ਤੁਹਾਡੇ ਦੁਆਰਾ ਬੇਨਤੀ ਕੀਤਾ ਪੰਨਾ ਨਹੀਂ ਲੱਭਿਆ।","eng, tapi saya tak jumpa halaman yang anda minta."
Dadra & Nagar Haveli - Daman & Diu,ਦਾਦਰਾ ਅਤੇ ਨਗਰ ਹਵੇਲੀ - ਦਮਨ ਅਤੇ ਦੀਉ,eng Dadra and Nagar Haveli - Daman and Diupa
Download Mobile App from Play Store,ਪਲੇ ਸਟੋਰ ਤੋਂ ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ, Download mobile app from Playpa Store
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","ਇਸ ਤੋਂ ਇਲਾਵਾ, ਜਦੋਂ ਵੀ ਤੁਸੀਂ ਸਿਸਟਮ 'ਤੇ ਆਪਣੇ ਖਾਤੇ ਜਾਂ ਇਸ ਨਾਲ ਸਬੰਧਤ ਕਿਸੇ ਵੀ ਜਾਣਕਾਰੀ ਨੂੰ ਬਦਲਦੇ ਜਾਂ ਐਕਸੈਸ ਕਰਦੇ ਹੋ, ਅਸੀਂ ਇੱਕ ਸੁਰੱਖਿਅਤ ਸਰਵਰ ਦੀ ਵਰਤੋਂ ਦੀ ਪੇਸਕਸ ਕਰਦੇ ਹਾਂ।","eng, kapanpun anda mengubah atau mengakses akun anda atau informasi terkait di sistem, kami memperingatkan penggunaan server aman."
General Awareness on the Delivery of the child,ਬੱਚੇ ਦੀ ਡਿਲੀਵਰੀ 'ਤੇ ਆਮ ਜਾਗਰੂਕਤਾ,engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","ਅਸੀਂ ਆਪਣੀਆਂ ਸੇਵਾਵਾਂ ਨੂੰ ਚਲਾਉਣ ਲਈ ਵੀ ਅੰਕੜਿਆਂ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ, ਜਿਸ ਵਿੱਚ ਸਾਡੀ ਕਾਰਗੁਜਾਰੀ ਦਾ ਵਿਸਲੇਸਣ ਕਰਨਾ, ਸਾਡੀਆਂ ਕਾਨੂੰਨੀ ਜਿੰਮੇਵਾਰੀਆਂ ਨੂੰ ਪੂਰਾ ਕਰਨਾ, ਸਾਡੇ ਕਰਮਚਾਰੀਆਂ ਦਾ ਵਿਕਾਸ ਕਰਨਾ ਅਤੇ ਖੋਜ ਕਰਨਾ ਸਾਮਲ ਹੈ।"," We also use data to run our services, including analyzing our performance, fulfilling our legal obligations, developing and researching our employees."
Where can I enquire about Hot Cooked Meal?,ਮੈਂ ਗਰਮ ਪਕਾਏ ਹੋਏ ਭੋਜਨ ਬਾਰੇ ਕਿੱਥੇ ਪੁੱਛ ਸਕਦਾ ਹਾਂ?,eng. -Where can I ask about hot cooked food?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","ਸਾਈਟ ਵਿੱਚ ਹੋਰ ਵੈਬਸਾਈਟਾਂ ਦੇ ਲਿੰਕ ਸਾਮਲ ਹੋ ਸਕਦੇ ਹਨ ਜੋ ਹੋ ਸਕਦਾ ਹੈ ਸਾਡੇ ਦੁਆਰਾ ਮਾਲਕੀ, ਰੱਖ-ਰਖਾਅ ਜਾਂ ਸੰਚਾਲਿਤ ਨਾ ਹੋਣ।"," The site may contain links to other websites that may not be owned, maintained or operated by us."
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","ਇਹ ਤੱਥ ਕਿ ਇਹ ਵੈੱਬਸਾਈਟਾਂ ਲਿੰਕ ਕੀਤੀਆਂ ਗਈਆਂ ਹਨ, ਸਾਡੇ ਵੱਲੋਂ ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ ਦਾ ਕੋਈ ਸਮਰਥਨ ਨਹੀਂ ਦਰਸਾਉਂਦੀ, ਕਿਉਂਕਿ ਸਾਡਾ ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ 'ਤੇ ਕੋਈ ਕੰਟਰੋਲ ਨਹੀਂ ਹੈ।","eng website, the fact that these websites are linked to, does not indicate any support of these websites from us, as we have no control over these websites."
We are not responsible for these websites including any content or the privacy practices of these websites.,"ਅਸੀਂ ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ ਲਈ, ਕਿਸੇ ਵੀ ਸਮੱਗਰੀ ਜਾਂ ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ ਦੇ ਗੋਪਨੀਅਤਾ ਸਰਤਾਂ ਸਮੇਤ ਜਿੰਮੇਵਾਰ ਨਹੀਂ ਹਾਂ।"," We are not responsible for these websites, including any content or privacy policies of these websites."
We strongly encourage you to familiarize yourself with the terms of use of these websites.,ਅਸੀਂ ਤੁਹਾਨੂੰ ਇਨ੍ਹਾਂ ਵੈੱਬਸਾਈਟਾਂ ਦੀ ਵਰਤੋਂ ਦੀਆਂ ਸਰਤਾਂ ਤੋਂ ਜਾਣੂ ਕਰਵਾਉਣ ਲਈ ਦ੍ਰਿੜਤਾ ਨਾਲ ਉਤਸਾਹਿਤ ਕਰਦੇ ਹਾਂ।, We strongly encourage you to familiarize yourself with the rules of use of these websites.
Your use of these websites is at your own risk and peril.,ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ ਦੀ ਤੁਹਾਡੀ ਵਰਤੋਂ ਤੁਹਾਡੇ ਆਪਣੇ ਜੋਖਮ ਅਤੇ ਖਤਰੇ 'ਤੇ ਹੈ।, Your use of these websites is at your own risk and risk.
In how many languages AWW can enter the data while filling up the form?,ਫਾਰਮ ਭਰਨ ਵੇਲੇ ਕਿੰਨੀ ਭਾਸਾਵਾਂ ਵਿੱਚ ਏਡਬਲਯੂਡਬਲਯੂ ਜਾਂ ਏਡਬਲਯੂਸੀ ਡੇਟਾ ਦਾਖਲ ਕਰ ਸਕਦਾ ਹੈ?, How many languages can AWS or AWS data enter in when filling out a form?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"ਜਿਹੜੇ ਬੱਚੇ ਪੋਸਣ ਦੀ ਘਾਟ ਵਜੋਂ ਪਛਾਣੇ ਗਏ ਹਨ, ਉਹ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹਨ।",engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
An underweight person is a person whose body weight is considered too low to be healthy,ਇੱਕ ਘੱਟ ਭਾਰ ਵਾਲਾ ਵਿਅਕਤੀ ਉਹ ਵਿਅਕਤੀ ਹੁੰਦਾ ਹੈ ਜਿਸਦਾ ਸਰੀਰ ਦਾ ਭਾਰ ਸਿਹਤਮੰਦ ਹੋਣ ਲਈ ਬਹੁਤ ਘੱਟ ਮੰਨਿਆ ਜਾਂਦਾ ਹੈ,"eng = orang yang berat badannya kurang, tapi berat badannya kurang dianggap untuk menjadi sehat."
When and how to use MPIN?,ਐਮਪੀਆਈਐੱਨ ਕਦੋਂ ਅਤੇ ਕਿਵੇਂ ਵਰਤੀਏ?,eng.pa.mpin.com.pl. - When and how should we use MPIN?
Ensuring that complementary feeding improves over time,ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਾ ਕਿ ਸਮੇਂ ਦੇ ਨਾਲ ਪੂਰਕ ਆਹਾਰ ਵਿੱਚ ਸੁਧਾਰ ਹੋਵੇ,eng ensure that over time the dietary supplement is improved
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (ਸਵਾਸਥ ਆਈ ਡੀ) ਦੀ ਵਰਤੋਂ ਕਰਨਾ ਤੁਹਾਡੇ ਅਤੇ ਤੁਹਾਡੇ ਪਰਿਵਾਰ ਲਈ ਸੁਰੱਖਿਅਤ ਅਤੇ ਕੁਸਲ ਡਿਜੀਟਲ ਸਿਹਤ ਰਿਕਾਰਡ ਬਣਾਉਣ ਵੱਲ ਪਹਿਲਾ ਕਦਮ ਹੈ।, Using ABHA (Health ID) is the first step towards creating a safe and secure digital health record for you and your family.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (ਪਹਿਲਾਂ ਸਵਾਸਥ ਆਈ ਡੀ ਵਜੋਂ ਜਾਣਿਆ ਜਾਂਦਾ ਸੀ) ਆਯੁਸਮਾਨ ਭਾਰਤ ਹੈਲਥ ਅਕਾਉਂਟ ਦਾ ਸੰਖੇਪ ਰੂਪ ਹੈ।,eng (formerly known as Swasth ID) ABPA is an acronym for Ayushmann Bharat Health Account.
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"ਏਡਬਲਯੂਡਬਲਯੂ / ਏਡਬਲਯੂਸੀ ਸਿਰਫ ਨੋਡਲ ਪੱਧਰ ਦੇ ਅਧਿਕਾਰੀ ਦੁਆਰਾ ਸਾਮਲ ਕੀਤੇ ਜਾ ਸਕਦੇ ਹਨ।ਉਪਰੋਕਤ ਪੜਾਅ ਵਿਚ ਕੋਈ ਵੀ ਜਿਵੇਂ ਕਿ ਰਾਸਟਰੀ ਪੱਧਰ ਤੇ ਉਪਭੋਗਤਾ ਰਾਜ, ਜਿਲ੍ਹਾ, ਪ੍ਰਾਜੈਕਟ ਅਤੇ ਸੈਕਟਰ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਬਣਾ ਸਕਦਾ ਹੈ।ਰਾਜ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਜਿਲ੍ਹਾ, ਪ੍ਰਾਜੈਕਟ ਅਤੇ ਸੈਕਟਰ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਬਣਾ ਸਕਦਾ ਹੈ, ਜਿਲ੍ਹਾ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਪ੍ਰੋਜੈਕਟ ਅਤੇ ਸੈਕਟਰ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਬਣਾ ਸਕਦਾ ਹੈ, ਪ੍ਰੋਜੈਕਟ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਸੈਕਟਰ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਬਣਾ ਸਕਦਾ ਹੈ।","eng.WWW/AWCs can only be incorporated by a node-level official.Anyone in the above stage such as a user at the registry level can create a user at the state, district, project and sector level.A user at state level can create a user at the district, project and sector level, a user at district level can create a user at the project and sector level, a user at project level can create a user at the sector level."
Where can I enquire about take home ration?,ਮੈਂ ਘਰ ਰਾਸਨ ਲਿਜਾਣ ਬਾਰੇ ਕਿੱਥੇ ਪੁੱਛ ਸਕਦਾ ਹਾਂ?,eng. - Ke mana saya bisa tanya tentang bawa Rashan ke rumah?
We use the information we collect from all our services for the following purposes:,ਅਸੀਂ ਆਪਣੀਆਂ ਸਾਰੀਆਂ ਸੇਵਾਵਾਂ ਤੋਂ ਇਕੱਤਰ ਕੀਤੀ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਹੇਠਾਂ ਦਿੱਤੇ ਉਦੇਸਾਂ ਲਈ ਕਰਦੇ ਹਾਂਃ, We use the information we collect from all our services for the following purposes:
Identification & Referral of Sick Newborn,ਬਿਮਾਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਪਛਾਣ ਅਤੇ ਰੈਫਰ ਕਰਨਾ, Identifying and referring a sick newborn baby
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. ਤੀਜੀ ਧਿਰ ਪ੍ਰਣਾਲੀਆਂ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਕੀਤੇ ਗਏ ਅੰਕੜਿਆਂ ਦੀ ਸੋਧ,eng. XIV. Modification of data provided by third party systems.
Who is eligible for Take Home Ration?,ਰਾਸਨ ਘਰ ਲਿਜਾਣ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?,eng.org Siapa yang layak untuk bawa Raspa ke rumah?
Supporting mothers with issues in Breastfeeding,ਛਾਤੀ ਦਾ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਿੱਚ ਸਮੱਸਿਆਵਾਂ ਵਾਲੀਆਂ ਮਾਵਾਂ ਦੀ ਸਹਾਇਤਾ ਕਰਨਾ, Helping mothers with problems breastfeeding
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ਪ੍ਰਸਤਾਵਿਤ ਪ੍ਰਣਾਲੀ ਨੂੰ ਪਰਿਭਾਸਤ ਸੂਚਕਾਂ ਤੇ ਸਾਰੇ ਏਡਬਲਯੂਸੀ, ਡਬਲਯੂਡਬਲਯੂਡਬਲਯੂ ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਅਸਲ-ਸਮੇਂ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਟਰੈਕਿੰਗ ਨੂੰ ਸਮਰੱਥ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ।","eng sistem yang diusulkan harus memungkinkan real-time monitoring dan tracking dari semua AWS, WWW dan pemegang manfaat pada indikator parameter."
Above standards are defined as per given above mentioned age brackets,ਉਪਰੋਕਤ ਮਾਪਦੰਡਾਂ ਨੂੰ ਉੱਪਰ ਦੱਸੇ ਗਏ ਉਮਰ ਬਰੈਕਟਾਂ ਅਨੁਸਾਰ ਪਰਿਭਾਸਿਤ ਕੀਤਾ ਗਿਆ ਹੈ,engekerjaan yang di atas ditentukan sesuai dengan bracket usia yang di atas
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","ਜੇਕਰ ਇੱਕ ਵਿਅਕਤੀ ਦਾ ਭਾਰ ਘੱਟ ਹੈ, ਤਾਂ ਹੋ ਸਕਦਾ ਹੈ ਕਿ ਉਸਦੇ ਸਰੀਰ ਨੂੰ ਸਿਹਤਮੰਦ ਹੱਡੀਆਂ, ਚਮੜੀ ਅਤੇ ਵਾਲਾਂ ਨੂੰ ਬਣਾਉਣ ਲਈ ਲੋੜੀਂਦੇ ਪੌਸਟਿਕ ਤੱਤ ਨਹੀਂ ਮਿਲ ਰਹੇ ਹਨ।","eng, body may not be getting enough nutrients to make healthy bones, skin, and hair."
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,ਐਮਪੀਆਈਐਨ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਦੁਆਰਾ ਉਸਦੇ ਮੋਬਾਇਲ ਨੰਬਰ ਦੇ ਵਿਰੁੱਧ ਇੱਕ ਓਟੀਪੀ ਦੀ ਬੇਨਤੀ ਕਰਕੇ ਨਿਰਧਾਰਤ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ।,engwadi worker by requesting an OTP against his mobile number.
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","ਜੇ ਮੋਬਾਈਲ ਨੰਬਰ ਪਹਿਲਾਂ ਤੋਂ ਹੀ ਡੇਟਾਬੇਸ ਵਿੱਚ ਮੌਜੂਦ ਹੈ, ਤਾਂ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਿਅਕਤੀ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ 4 ਅੰਕਾਂ ਦਾ ਓਟੀਪੀ ਪ੍ਰਾਪਤ ਕਰੇਗਾ।","eng if mobile number already exists in the database, then the person concerned will receive a 4-digit OTP on the registered mobile number."
"Post entering the OTP, AWW can easily set customized MPIN.","ਓਟੀਪੀ ਵਿੱਚ ਦਾਖਲ ਹੋਣ ਤੋਂ ਬਾਅਦ, ਏਡਬਲਯੂਡਬਲਯੂ ਅਸਾਨੀ ਨਾਲ ਕਸਟਮਾਈਜਡ ਐਮਪੀਆਈਐਨ ਨਿਰਧਾਰਤ ਕਰ ਸਕਦਾ ਹੈ।","eng entry into OTP, AWW can easily set customized MPIN."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ਇਹ ਸਵਾਸਥ ਸੇਵਾ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਭਾਗ ਲੈਣ ਵਾਲਿਆਂ ਨਾਲ ਤੁਹਾਡੀ ਗੱਲਬਾਤ ਨੂੰ ਸਮਰੱਥ ਬਣਾਉਂਦਾ ਹੈ, ਅਤੇ ਤੁਹਾਨੂੰ ਪ੍ਰਮਾਣਿਤ ਸਵਾਸਥ ਸੇਵਾ ਪੇਸੇਵਰਾਂ ਅਤੇ ਸਿਹਤ ਸੇਵਾ ਪ੍ਰਦਾਤਾਵਾਂ ਤੋਂ ਤੁਹਾਡੀਆਂ ਡਿਜੀਟਲ ਲੈਬ ਰਿਪੋਰਟਾਂ, ਨੁਸਖੇ ਅਤੇ ਨਿਰਵਿਘਨ ਰੋਗ ਡੀ ਪਛਾਣ ਕਰਨ ਦੀ ਸਹੁਲਤ ਦਿੰਦਾ ਹੈ।"," This enables your interaction with participants to provide healthcare, and makes it easy for you to identify your digital lab reports, prescriptions, and smooth disease deck from certified healthcare paysevers and healthcare providers."
Our System provides API to Third – Party Sites that may collect your personal information.,ਸਾਡਾ ਸਿਸਟਮ ਤੀਜੀ-ਪਾਰਟੀ ਸਾਈਟਾਂ ਨੂੰ API ਪ੍ਰਦਾਨ ਕਰਦਾ ਹੈ ਜੋ ਤੁਹਾਡੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰ ਸਕਦੀ ਹੈ।,eng sistemat menyediakan API ke situs pihak ketiga yang dapat mengumpulkan informasi pribadi anda.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,ਪੋਸਣ ਟ੍ਰੈਕਰ ਅਜਿਹੀ ਜਾਣਕਾਰੀ ਜਾਂ ਉਹਨਾਂ ਦੇ ਗੋਪਨੀਅਤਾ ਸਰਤਾਂ ਜਾਂ ਉਹਨਾਂ ਤੀਜੀ-ਧਿਰ ਸਾਈਟਾਂ ਦੀ ਸਮੱਗਰੀ ਦੀ ਸੁਰੱਖਿਆ ਲਈ ਕਿਸੇ ਵੀ ਤਰੀਕੇ ਨਾਲ ਜਿੰਮੇਵਾਰ ਨਹੀਂ ਹੈ।,eng tracker is not responsible in any way for protecting such information or their privacy policies or the content of those third party sites.
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,ਇਹ ਤੀਜੀ-ਧਿਰ ਸੇਵਾ ਪ੍ਰਦਾਤਾਵਾਂ ਅਤੇ ਤੀਜੀ-ਧਿਰ ਦੀਆਂ ਸਾਈਟਾਂ ਕੋਲ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦੇ ਸਟੋਰੇਜ ਅਤੇ ਧਾਰਨ ਨੂੰ ਨਿਯੰਤਰਿਤ ਕਰਨ ਵਾਲੀਆਂ ਆਪਣੀਆਂ ਗੋਪਨੀਅਤਾ ਨੀਤੀਆਂ ਹੋ ਸਕਦੀਆਂ ਹਨ ਜਿਨ੍ਹਾਂ ਦੇ ਤੁਸੀਂ ਅਧੀਨ ਹੋ ਸਕਦੇ ਹੋ।, These third-party service providers and third-party sites may have their own privacy policies that control the storage and retention of your information and may be subject to you.
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","ਇਹ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਇਹਨਾਂ ਤੀਜੀ-ਧਿਰ ਪ੍ਰਦਾਤਾਵਾਂ ਅਤੇ ਤੀਜੀ-ਧਿਰ ਸਾਈਟਾਂ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਕੀਤੀ ਗਈ, ਸਟੋਰ ਕੀਤੀ ਜਾਂ ਵਰਤੀ ਗਈ ਕਿਸੇ ਵੀ ਜਾਣਕਾਰੀ ਨੂੰ ਨਿਯੰਤਰਿਤ ਨਹੀਂ ਕਰਦੀ ਹੈ।"," This Privacy Policy does not control any information provided, stored or used by these third-party providers or third-party sites."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","ਅਸੀਂ ਸਿਫਾਰਿਸ ਕਰਦੇ ਹਾਂ ਕਿ ਜਦੋਂ ਤੁਸੀਂ ਕਿਸੇ ਤੀਜੀ-ਧਿਰ ਦੀ ਸਾਈਟ ਵਿੱਚ ਦਾਖਲ ਹੁੰਦੇ ਹੋ, ਤਾਂ ਤੁਸੀਂ ਤੀਜੀ ਧਿਰ ਦੀ ਸਾਈਟ ਦੀ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੀ ਸਮੀਖਿਆ ਕਰੋ ਕਿਉਂਕਿ ਇਹ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦੀ ਸੁਰੱਖਿਆ ਨਾਲ ਸਬੰਧਤ ਹੈ।"," When you access a third-party site, we recommend that you review the third-party site's privacy policy as it relates to the security of your information."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,ਤੁਸੀਂ ਸਹਿਮਤੀ ਦਿੰਦੇ ਹੋ ਅਤੇ ਸਵੀਕਾਰ ਕਰਦੇ ਹੋ ਕਿ ਪੋਸਣ ਟਰੈਕਰ ਖੋਜ ਨਤੀਜਿਆਂ ਜਾਂ ਕਿਸੇ ਵੀ ਤੀਜੀ-ਧਿਰ ਸਾਈਟ ਦੁਆਰਾ ਪ੍ਰਕਾਸਿਤ ਜਾਣਕਾਰੀ ਲਈ ਜਵਾਬਦੇਹ ਨਹੀਂ ਹੋਵੇਗਾ।, You agree and agree that NutritionTracker will not be responsible for search results or any information published by any third-party site.
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,ਤੁਹਾਡੀ ਸੰਦਰਭ ਆਈਡੀ (ਮੋਬਾਈਲ ਨੰਬਰ) ਉਪਰੋਕਤ ਧਾਰਾ 1 ਦੇ ਅਨੁਸਾਰ ਤੁਹਾਡੇ ਨਾਲ SMS ਦੁਆਰਾ ਸੰਚਾਰ ਕਰਨ ਲਈ ਤੁਹਾਡੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਨਾਲ ਹੀ ਸਬੰਧਤ ਹੋਵੇਗੀ।, Your reference ID (mobile number) will only be related to your personal information for communication with you via SMS in accordance with Section 1 above.
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","ਸਾਈਟ 'ਤੇ ਜਾ ਕੇ ਜਾਂ ਇਸਦੀ ਵਰਤੋਂ ਕਰਕੇ, ਤੁਸੀਂ ਸਮੇਂ-ਸਮੇਂ 'ਤੇ ਅੱਪਡੇਟ ਕੀਤੇ ਗਏ ਇਨ੍ਹਾਂ ਨਿਯਮਾਂ ਨਾਲ ਸਪੱਸਟ ਤੌਰ 'ਤੇ ਸਹਿਮਤ ਹੁੰਦੇ ਹੋ।","eng site, you explicitly agree to these terms and conditions as updated from time to time."
"If you do not agree with any part of these terms, do not use the site.","ਜੇਕਰ ਤੁਸੀਂ ਇਹਨਾਂ ਸਰਤਾਂ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਨਾਲ ਸਹਿਮਤ ਨਹੀਂ ਹੋ, ਤਾਂ ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਨਾ ਕਰੋ।"," If you disagree with any part of these terms, do not use the site."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,ਤੁਸੀਂ ਕਿਸੇ ਵੀ ਤਰੀਕੇ ਨਾਲ ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰ ਸਕਦੇ ਹੋ ਅਤੇ ਸਰਤਾਂ ਨੂੰ ਸਵੀਕਾਰ ਨਹੀਂ ਕਰ ਸਕਦੇ ਹੋ ਜੇਕਰ ਇੱਕ ਇਕਰਾਰਨਾਮਾ ਬਣਾਉਣ ਲਈ ਤੁਹਾਡੀ ਉਮਰ ਕਾਨੂੰਨਨ ਯੋਗ ਨਹੀਂ ਹੈ।, You cannot use the site in any way and cannot accept seraphims unless your age is legally unfit to enter into a contract.
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,ਬੈਸੀਲਸ ਕੈਲਮੇਟ ਗੁਆਰਿਨ (ਬੀਸੀਜੀ)ਓਰਲ ਪੋਲੀਓ ਵੈਕਸੀਨ (ਓ ਪੀ ਵੀ)-0 ਖੁਰਾਕ ਹੈਪੇਟਾਈਟਸ ਬੀ ਦੀ ਜਨਮ ਖੁਰਾਕ ਓਪੀਵੀ-1 ਟੀ, Bacillus calmetal guarin (BCG)Oral polio vaccine (OPV)-0 dose Birth dose of hepatitis B OPV-1T
