eng,bn,translation_text
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.",সিস্টেমটি প্রতিটি উপকারভোগীকে ডিজিটাল কার্ডের মাধ্যমে একটি ডিজিটাল পরিচয সরবরাহ করে এবং প্রযুক্তি প্ল্যাটফর্মের মাধ্যমে কল সেন্টারের রূপান্তরকে অনুমতি দেয।,eng.bn System provides each beneficiary with a digital identity via a digital card and allows the conversion of the call center through the technology platform.
The system generates automated alerts to the critical last-mile beneficiaries.,সিস্টেমটি সমালোচনামূলকভাবে শেষ মাইল সুবিধাভোগীদের জন্য স্বযংক্রিয সতর্কতা তৈরি করে।,eng.bn system creates critical automated alerts for last mile beneficiaries.
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.",এটি সুবিধাভোগী ও দাযিত্বশীলদের সত্যিকারের উপস্থিতি দলিল করে ডেলিভারি সিস্টেমের দক্ষ নিরীক্ষণ নিশ্চিত করে।, This documents the actual presence of the beneficiaries and liability holders and ensures efficient monitoring of the delivery system.
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.","এই জাতীয একটি শক্তিশালী ডিজিটাল প্রযুক্তি প্ল্যাটফর্ম এবং পরিচালনা তথ্য সিস্টেম মিশনটিকে দক্ষতার সাথে স্কেল করতে সহাযতা করবে, যার ফলে উল্লেখযোগ্য ইতিবাচক প্রভাব উত্পন্ন এবং ডকুমেন্টিং করা সম্ভব।"," A powerful digital technology platform and management information system that will help to scale the mission efficiently, thus generating significant positive impact and documenting."
Weight should be between 0.90 to 58,ওজন 0.90 থেকে 58-এর মধ্যে হওযা উচিত, Weight should be between 0.90 and 58 billion.
We own the intellectual property rights in the Site and Content.,সাইট এবং বিষযবস্তুর বৌদ্ধিক সম্পত্তির উপর আমাদের অধিকার রযেছে।, We have rights to the intellectual property of the site and its contents.
We may change the Content and features of the Site at any time.,আমরা যে কোনো সময সাইটের বিষযবস্তু এবং বৈশিষ্ট্য পরিবর্তন করতে পারি।, We may change the content and features of the site at any time.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.","সাইটে প্রদর্শিত নিবন্ধিত এবং অনিবন্ধিত ট্রেডমার্ক, লোগো এবং পরিষেবা চিহ্নগুলি আমাদের বা আমাদের লাইসেন্সকারীদের মালিকানাধীন।"," The registered and unregistered trademarks, logos and service marks displayed on the site are our or our licensors' own."
"You may not use our trademarks, logos, and service marks in any way without our prior written permission.","আপনি আমাদের পূর্ব লিখিত অনুমতি ছাডা কোনোভাবেই আপনার ট্রেডমার্ক, লোগো এবং পরিষেবা চিহ্ন ব্যবহার করতে পারবেন না।","eng.bn You can't use our pre-written permission tab in any way your trademark, logo, and service mark."
Material featured on this website may be reproduced free of charge.,এই ওযেবসাইটে বৈশিষ্ট্যযুক্ত উপাদান বিনামূল্যে পুনরুৎপাদন করা যেতে পারে।," ""The material featured on this website can be reproduced for free."
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.","যেখানেই উপাদানটি প্রকাশ করা হবে বা অন্যদের কাছে জারি করা হবে, উৎসটি অবশ্যই স্পষ্টভাবে স্বীকার করতে হবে।","eng wherever thebn material is to be disclosed or released to others, the source must be clearly acknowledged."
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","যাইহোক, এই উপাদানটি পুনরুত্পাদন করার অনুমতি এমন কোনও উপাদানে প্রসারিত হবে না যা তৃতীয পক্ষের কপিরাইট হিসাবে চিহ্নিত করা যেতে পারে।","eng, izin untuk memulangkan materi ini tidak akan diperluas ke materi yang dapat diidentifikasi sebagai hak cipta pihak ketiga."
MPIN can be easily reset by any AWW/AWC user.,MPIN যে কোনও AWW/AWC ব্যবহারকারী সহজেই রিসেট করতে পারে।, MPINbn can be easily reset by any AWW/AWC user.
"You are required to click on Forgot MPIN, and enter your registered mobile number.",আপনাকে ভুলে যাওযা MPIN- এ ক্লিক করতে হবে এবং আপনার নিবন্ধিত মোবাইল নম্বর লিখতে হবে।,"engren, you need to click on forgotten MPIN and enter your registered mobile number."
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,আপনি আপনার নিবন্ধিত মোবাইল নম্বরে পাবেন এবং OTP পাবেন এবং আপনি খুব সহজেই আপনার MPIN পুনরায সেট করতে পারবেন।,eng.org - You will receive your registered mobile number and OTP and you will be able to easily reset your MPIN.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,পোশান ট্র্যাকার হল অঙ্গনওযাডি কর্মীদের তাদের প্রচেষ্টার প্রতিফলন সহ দক্ষতার সাথে পরিষেবা প্রদানের জন্য একটি জব এড।,"eng.bn Fashion Tracker is a job ad for providing service to employees of AngonWyadi efficiently, reflecting their efforts."
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,এটি পোশান অভিযানের অধীনে একটি গুরুত্বপূর্ণ এবং সুবিধাভোগী-কেন্দ্রিক পরিষেবা সরবরাহের অ্যাপ্লিকেশন যা বিশ্লেষণ করে রিযেল টাইম ডেটা প্রোমোট করবে,eng.it is an important and beneficiary-centric service delivery application under the clothing campaign that will promote real-time data by analyzing it.
Please enter valid Date of Birth,অনুগ্রহ করে বৈধ জন্ম তারিখ লিখুন,"eng.bn, please enter a valid date of birth"
Who is eligible for additional supplementary food?,কে অতিরিক্ত সম্পূরক খাদ্য পাওযার যোগ্য?,engkg.org.org. - Am I eligible for the additional dietary supplement?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","আমরা এই ধরনের পরিবর্তনগুলি সম্পর্কে আপনাকে নির্দিষ্টভাবে অবহিত না করে যেকোন সমযে এই শর্তাবলীর যেকোনো অংশ পরিবর্তন, সংশোধন, যোগ বা অপসারণ করার নিঃশর্ত অধিকার সংরক্ষণ করি।"," We reserve the unconditional right to modify, amend, add or remove any part of these Terms at any time without specifically notifying you of such changes."
Any changes or updates will be effective immediately.,যেকোনো পরিবর্তন বা আপডেট অবিলম্বে কার্যকর হবে।,eng.bn.bb.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.
You take the responsibility to check these Terms of Use periodically for changes.,আপনি পরিবর্তনের জন্য পর্যাযক্রমে এই ব্যবহারের শর্তাবলী চেক করার দাযিত্ব নেন।,eng.org - You assume the responsibility of checking these Terms of Use from time to time for changes.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,এই ধরনের পুনর্বিবেচনার পর আপনার ক্রমাগত এই প্ল্যাটফর্মের ব্যবহার পরিবর্তিত শর্তাবলীর স্বীকৃতি গঠন করবে।," Following such a rethink, your continued use of this platform will constitute a recognition of the changed terms and conditions."
How many different types of reports can be generated over Poshan Tracker Dashboard?,পশান ট্র্যাকার ড্যাশবোর্ডের মাধ্যমে কতগুলি বিভিন্ন ধরণের প্রতিবেদন তৈরি করা যায?,eng.bn Passion Tracker Dashboard How many different types of reports can be created?
How to revive your health if you are Severely Wasted (SAM),আপনি মারাত্মকভাবে অপুষ্টির শিকার হলে কীভাবে আপনার স্বাস্থ্যকে পুনরুজ্জীবিত করবেন (SAM)," ""How to revive your health"" (SAM) if you are severely malnourished."
"See assessment charts for Stunted, Wasted and Underweight parameters","বৃদ্ধিতে বাধা, অপুষ্টি এবং কম ওজনের পরিমাপের জন্য মূল্যাযন চার্ট দেখুন","eng, gizi, dan berat badan rendah, lihat chart penilaian"
Resources for growth monitoring and general awareness,বৃদ্ধি পর্যবেক্ষণ এবং সাধারণ সচেতনতা জন্য সম্পদ,engbn sumber daya untuk pengamatan dan kesadaran umum
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,AWC একটি নির্দিষ্ট অঙ্গনওযাডি কেন্দ্রে উপস্থিত অবকাঠামো সম্পর্কিত বিশদ লিখতে হবে।, AWCbn must enter details of the infrastructure present in a specific yard.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","এর মধ্যে কাঠামো, মৌলিক সুযোগ-সুবিধা, সুযোগ-সুবিধা, স্যানিটাইজেশন, পানীয জল ইত্যাদি রযেছে।","eng, fasilitas dasar, fasilitas, sanitasi, air water, dll."
Lactating mothers who received Take Home Ration (THR),স্তন্যদানকারী মাযেরা যারা টেক হোম রেশন (THR) পেযেছেন,engers who have received a Tech Home Ration (THR)
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","পোশান ট্র্যাকার এই গোপনীযতা নীতির যেকোনো অংশ পরিবর্তন, সংশোধন, যোগ বা অপসারণ করার নিঃশর্ত অধিকার সংরক্ষণ করে, বিশেষভাবে এই ধরনের পরিবর্তনের বিষযে আপনাকে অবহিত না করেই।"," DressTracker reserves the unconditional right to modify, amend, add or remove any part of this Privacy Policy, especially without informing you of such changes."
Any changes or updates will be effective immediately.,যেকোনো পরিবর্তন বা আপডেট অবিলম্বে কার্যকর হবে।,eng.bn.bb.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.b.
You should review this Privacy Policy regularly for changes.,পরিবর্তনের জন্য আপনার এই গোপনীযতা নীতি নিযমিত পর্যালোচনা করা উচিত।, You should review this privacy policy regularly to change it.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","আমরা বাণিজ্যিকভাবে যুক্তিসঙ্গত প্রচেষ্টা ব্যবহার করব সাধারণভাবে এই গোপনীযতা নীতিতে যেকোন উপাদান পরিবর্তনের সমস্ত ব্যবহারকারীকে অবহিত করার জন্য, যেমন সিস্টেমে একটি নোটিশের মাধ্যমে।"," We will use commercially reasonable efforts to inform all users of any material changes to this privacy policy in general, such as through a notice to the system."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","যদিও, সিস্টেমের একজন ব্যবহারকারী হিসাবে, যেকোনো পরিবর্তনের জন্য আপনার নিযমিত গোপনীযতা নীতি দেখা উচিত।","eng, sebagai pengguna sistem, anda harus melihat kebijakan privasi yang wajar untuk perubahan apapun."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","আমরা এই গোপনীযতা নীতির শীর্ষে ""শেষ আপডেট করা"" তারিখটিও আপডেট করে দেবো, যা এই গোপনীযতা নীতির কার্যকর তারিখকে প্রতিফলিত করে।"," We will also update the ""last updated"" date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,নতুন গোপনীযতা নীতির তারিখের পরে আপনার ক্রমাগত অ্যাক্সেস বা সিস্টেমের ব্যবহার নতুন গোপনীযতা নীতিতে আপনার গ্রহণযোগ্যতা তৈরী করে।, Your continued access to or use of the system after the date of the new privacy policy increases your acceptance of the new privacy policy.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.",আপনি যদি নতুন গোপনীযতা নীতির ব্যাপারে সম্মত না হন তাহলে আপনাকে অবশ্যই সিস্টেম অ্যাক্সেস করা এবং/অথবা ব্যবহার করা বন্ধ করতে হবে।,"eng.co.uk - If you do not agree with the new privacy policy, you must stop accessing and/or using the system."
What is the eligibility of a beneficiary?,একজন সুবিধাভোগীর কি যোগ্যতা থাকতে হবে?,eng.co.id - A beneficiary must be qualified?
"No, Poshan Tracker is available only for Android version","না , পশান ট্র্যাকারস অ্যাপটি শুধুমাত্র অ্যান্ড্রযেড ভার্সানের জন্য উপলব্ধ।","eng, aplikasi PushTracker hanya tersedia untuk versi Android."
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ক্ষতিপূরণ এবং দাযবদ্ধতার সীমাবদ্ধতা,eng.bn.1500m.Defense and Benefit Limitation
Growth monitoring report for all health indicators,সমস্ত স্বাস্থ্য সূচকের জন্য বৃদ্ধি পর্যবেক্ষণ প্রতিবেদন,eng laporan pengamatan pertumbuhan untuk semua indeks kesehatanbn
Take Home Ration (THR) given in last 30 days,গত ৩০ দিনের মধ্যে দেওযা হোম রেশন (টিএইচআর) নিন, Take home ration (THR) given in the last 30 billion days.
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,শিশুদের স্টান্টেড হিসাবে তখনই সংজ্ঞাযিত করা হয যখন তাদের বযস অনুযাযী উচ্চতা WHO চাইল্ড গ্রোথ স্ট্যান্ডার্ড মিডিযানের নিচের দুটি স্ট্যান্ডার্ড বিচ্যুতির বেশি হয," ""Children are defined as stunted only when their age-appropriate height exceeds the two standard deviations below WHO Child Growth Standard Median."
What is the purpose of Launching Poshan Tracker?,পশান ট্র্যাকার চালু করার উদ্দেশ্য কী?, What is the purpose of launching the pushbn tracker?
"As a registered user, you have the right to access your profile at any time.","একজন নিবন্ধিত ব্যবহারকারী হিসাবে, আপনার কাছে যেকোনো সময আপনার প্রোফাইল অ্যাক্সেস করার অধিকার রযেছে।"," As a registered user, you have the right to access your profile at any time."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","যদিও, পরিবর্তনগুলি শুধুমাত্র সমযে সমযে পোশান ট্র্যাকার সিস্টেম দ্বারা নির্ধারিত অনুসারেই করা যেতে পারে।","eng, perubahan hanya dapat dilakukan sesuai dengan ketentuan sistem pengesan pakaian secara berkala."
You cannot manage the communications that you receive from us or how you receive them.,আপনি আমাদের কাছ থেকে যে যোগাযোগগুলি পান আপনি সেগুলি কীভাবে গ্রহণ করবেন আপনি তা পরিচালনা করতে পারবেন না।,eng.uk: You cannot manage how you will receive the communications you receive from us.
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. আইনের সাথে সম্মতি, তৃতীয পক্ষের অধিকার, এবং পরিষেবার অন্যান্য শর্তাবলী",", rights of third parties, and other terms of service."
"repeated infection, and inadequate psychosocial stimulation","বারবার সংক্রমণ, এবং অপর্যাপ্ত মনোসামাজিক উদ্দীপনা","eng repeated transmission, and insufficient psychosocial stimulation."
Beneficiary migration from one AWC to another AWC,এক এডাব্লুসি (AWC) থেকে অন্য এডাব্লুসি (AWC)-তে সুবিধাভোগী স্থানান্তর,eng transfer beneficiary from one AWS to another AWS
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","পশান অভিযানের আওতায আইসিটি প্ল্যাটফর্মে প্রশিক্ষণ (২২ ফেব্রুযারি, ২০২১)",eng.bn Phashan Mission's Outtaay ICT Platform Training (22 February 2021)
You may browse the Site without registering for an account.,একটি অ্যাকাউন্ট রেজিস্টার না করেই আপনি সাইটটি ব্রাউজ করতে পারেন।,eng.co.uk - You can browse the site without registering an account.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.",আপনি যদি সাইট দ্বারা অফার করা নির্দিষ্ট বৈশিষ্ট্য বা পরিষেবাগুলি ব্যবহার করতে চান তবে আপনাকে আপনার মোবাইল নম্বর দিযে একটি অ্যাকাউন্ট রেজিস্টার করতে হবে।," If you want to use certain features or services offered by the site, you'll need to provide your mobile number and register an account."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,আপনার ব্যক্তিগত তথ্য এবং রেজিস্ট্রেশনের গোপনীযতা বজায রাখার জন্য এবং এই তথ্য সুরক্ষিত রাখতে আপনার ব্যর্থতার ফলে হতে পারে এমন সমস্ত কার্যকলাপের জন্য আপনি সম্পূর্ণরূপে দাযী।,eng.bn You are fully responsible for maintaining the confidentiality of your personal information and registration and for any activities that may result from your failure to keep this information secure.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,আপনার রেজিস্ট্রেশন বা মোবাইল নম্বর গোপন রাখা হবেআপনি এটি গ্রহণ করেনঃআপনি আপনার অ্যাকাউন্টের মাধ্যমে তাদের রেকর্ড তৈরি করার জন্য সংশ্লিষ্ট ব্যক্তিদের কাছ থেকে সম্মতি পেযেছেন।,engeld.com/ Your registration or mobile number will be kept secretYou accept it:You have obtained consent from the persons concerned to create their records through your account.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,আপনার অ্যাকাউন্ট বা মোবাইল নম্বরে সেই ব্যক্তির ছদ্মবেশী করার অভিপ্রায সহ অন্য ব্যক্তির নাম অন্তর্ভুক্ত করা উচিত নয।,"eng.bnNamun, diary account atau mobile number anda harus memasukkan nama orang lain, dengan maksud untuk menyamarkan orang itu."
You shall not use another user's account without their permission.,আপনি তাদের অনুমতি ছাডা অন্য ব্যবহারকারীর অ্যাকাউন্ট ব্যবহার করবেন না।,eng.bn You do not use their permission to use another user's account.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.",আপনি যদি আপনার অ্যাকাউন্টের কোনও অননুমোদিত ব্যবহার বা অন্য কোনও অ্যাকাউন্ট-সম্পর্কিত নিরাপত্তা লঙ্ঘন দেখতে পান তবে আপনি অবিলম্বে আমাদের লিখিতভাবে অবহিত করবেন।,": If you see any unauthorized use of your account or any other account-related security breach, you should immediately notify us in writing."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",যদি আমরা এমন কোনও অভিযোগ পাই যে আপনার অ্যাকাউন্ট অন্য কারও অধিকার লঙ্ঘন করে বা আমাদের নীতিগুলি লঙ্ঘন করে তবে আমরা আপনার অ্যাকাউন্টটি বাতিল বা অবরুদ্ধ করতে পারি।," If we find any complaint that your account violates someone else's rights or violates our policies, we may cancel or block your account."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","আপনি একাধিক ইন্টারনেট প্রোটোকল ঠিকানা বা মোবাইল নম্বর ব্যবহার করে বা অন্য কোনও উপাযে, সাইটে অংশগ্রহণকারীদের নিবন্ধন করার জন্য আপনার পরিচয গোপন করার চেষ্টা করবেন না","eng.bn Do not try to hide your identity to register participants on the site, whether using multiple Internet protocol addresses or mobile numbers or in any other way, try to hide your identity to register participants on the site."
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,"পশান ট্র্যাকার অ্যাপ্লিকেশনটি ২২ টি বিভিন্ন ভাষায উপলভ্য।উপলব্ধ, ভাষাগুলি হলঃ ইংরেজিহিন্দিগুজরাটিপাঞ্জাবিমারাঠিকান্নাডাতামিলতেলেগুমালাযালামওডিযাঅসমীযাNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri",englishhindigozraatipanjabimaramaadressdata in tamiltelegulamalayallamomodiyaasmiaNepaliDogribnKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","প্রস্তাবিত সিস্টেমে সংশোধিত সূচকগুলিতে সমস্ত এডাব্লুসি, এডাব্লুডাব্লু এবং উপকারভোগীদের রিযেল-টাইম মনিটরিং এবং ট্র্যাকিং সক্ষম করতে হবে।","eng.bnThe proposed system should enable real-time monitoring and tracking of all AWC, AWW and beneficiaries in the revised indices."
How to Login in Poshan Tracker App?,কিভাবে পশান ট্র্যাকার অ্যাপে লগইন করবেন?, How do you log in to the pushan tracker app?
Height and weight of child has not been measured,শিশুর উচ্চতা ও ওজন পরিমাপ করা হযনি," ""The height and weight of the baby has not been measured."
Calculator to measure the child growth based on the WHO Child Growth Standards.,WHO চাইল্ড গ্রোথ স্ট্যান্ডার্ডের উপর ভিত্তি করে শিশুর বৃদ্ধি পরিমাপ করার জন্য ক্যালকুলেটর.,eng calculator for measuring baby growth based on WHObn child growth standard.
TAKE HOME RATION (THR) GIVEN TODAY,আজ গৃহীত হোম রেশন (টিএইচআর) নিন, Get the Home Ration (THR) adopted today
A beneficiary is eligible for THR for at least 21 days in a month.,একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য THR পাওযার যোগ্য।, A beneficiary is eligible for THR for at least 21 days per month.
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. শর্তাবলীর ভবিষ্যত পরিবর্তন সংক্রান্ত বিজ্ঞপ্তিঃ, Notification of future changes to the terms of III.bn:
Planning And Organising Community Based Events At AWC,AWC-তে কমিউনিটি ভিত্তিক ইভেন্টের পরিকল্পনা ও আযোজন, Planning and organizing community-based events at AWCbn
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker., Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.bn.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,engadget.com inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,AWW-রা তাদের মোবাইল নম্বরগুলির মাধ্যমে নিবন্ধন করতে অক্ষম হলে কীভাবে অ্যাপটিতে সাইন আপ করতে পারে?, AWbn-s -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -Ws -W
Poshan Tracker adds new Reports feature,পোশান ট্র্যাকার একটি নতুন রিপোর্ট বৈশিষ্ট্য যোগ করেছে, Dress Tracker has added a new reporting feature.
General Awareness about preventing illness in Children,শিশুদের অসুস্থতা প্রতিরোধ সম্পর্কে সাধারণ সচেতনতা,eng.org - General awareness of prevention of childhood illness
2. HOW WE USE PERSONAL INFORMATION,2. আমরা কীভাবে ব্যক্তিগত তথ্য ব্যবহার করি, How we use personal data
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","eng: The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","eng, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,আপনার মোবাইল নম্বর এবং একটি টিকিট নম্বর প্রদান করুন।, Please provide your mobile number and a ticket number.
Please contact your respective Anganwadi worker.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওযাডি কর্মীর সাথে যোগাযোগ করুন।,"eng.bn, please contact your respective AnggonWyadi worker."
SAM Children under 5 years who received Supplementary Nutrition,SAM 5 বছরের কম বযসী শিশুরা যারা সম্পূরক পুষ্টি পেযেছে, SAMbn of children under 5 years of age who have been given a supplementary nutrition
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1পেন্টাভ্যালেন্ট-1রোটাভাইরাস ভ্যাকসিন (RVV)-1নিষ্ক্রিয পোলিও ভ্যাকসিনের ফ্র্যাকশানাল ডোজ (fIPV)-1নিউমোকোকাল কনজুগেট ভ্যাকসিন (পিসিভি)-1,engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
Height should be between 38 to 150,উচ্চতা 38 থেকে 150-এর মধ্যে হওযা উচিত,eng harus di antara 38 dan 150 milyar rupiah
How to contact Poshan Tracker Team?,পোশান ট্র্যাকার টিমের সাথে কিভাবে যোগাযোগ করবেন?, How do you contact the clothing tracker team?
Take Home Ration (THR) Given Today,আজ গৃহীত হোম রেশন (টিএইচআর) নিন, Get the Home Ration (THR) adopted today
How many different forms are there in Poshan Tracker App?,পশান ট্র্যাকার অ্যাপে কযটি আলাদা ফর্ম রযেছে?,eng.bn Pashan Tracker app has how many different forms?
There are 7 different types of forms for beneficiaries.,উপকারভোগীদের জন্য ৭ টি বিভিন্ন ধরণের ফর্ম রযেছে।,eng.bn There are 7 different forms available for the beneficiaries.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),এর মধ্যে রযেছেঃ  দুধ খাওযানো মা  গর্ভবতী মহিলা  শিশু ০-৬ মাস   বাচ্চা ৬ মাস থেকে ৩ বছর পর্যন্ত   শিশু ৩ বছর থেকে ৬ বছর   কৈশোর বযসী মেযেরা (১১ বছর-১৯ বছর),eng: Susu ibu ibu ibu ibu hamil bayi 0-6 bulan bayi 6 bulan sampai 3 tahun bayi 3 tahun sampai 6 tahun remaja Mayera (11 tahun sampai 19 tahun)
Shibpur I C D S Project,শিবপুর আই সি ডি এস প্রকল্প,engpur ICDS project
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home","সাম্প্রতিক এক থেকে তিন মাসের মধ্যে, কোনও অঙ্গনওযাডি কর্মী সুবিধাভোগীর বাডিতে যাননি","eng.bn Dalam waktu satu sampai tiga bulan terakhir, tidak ada seorangpun dari pegawai Angganwadi yang mengunjungi tempat berbelanjaan bagi-bagi penerima manfaat."
Please enter Weight greater than 0.49 and less than 40.01,অনুগ্রহ করে 0.49 এর বেশি এবং 40.01 এর কম ওজন লিখুন, Please enter a weight greater than 0.49 and less than 40.01bn.
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker., You can register with your mobile number directly through the website https://poshantracker.bn
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,eng.org or by downloading the Poshan Tracker App.
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,MPIN হ'ল একটি ৪ ডিজিটের পাসকোড যা পশান ট্র্যাকার অ্যাপটিতে নিবন্ধভুক্ত করার সময একজন অঙ্গনওযাডি কর্মী সেট করেছিলেন।,eng.mpinbn is a 4-digit password that was set by an angonwayadi worker at the time of registration in the pashan tracker app.
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)",স্মার্ট ফোনগুলির বিশদকরণ এবং প্রযুক্তিগত সামঞ্জস্যতা পরীক্ষাগুলি (০২ ফেব্রুযারী ২০২১),eng.bn Performance analysis and technical compatibility tests of smartphones (02 February 2021)
Request for child's height and weight measurement,শিশুর উচ্চতা এবং ওজন পরিমাপের জন্য অনুরোধ করুন,eng ask for a measurement of the baby's height and weight
Children (6 months - 3 years),শিশু (6 মাস - 3 বছর),eng (6 months - 3 years)
