eng,hi,mBART600M
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.",इस गोपनियता नीति में किसी भी महत्वपूर्ण परिवर्तन को हम सामान्यतः सभी उपयोगकर्ताओं को कम व्यवसायिक कीमतों पर सूचना प्रणाली के माध्यम से पहुँचाने का प्रयास करते हैं।,We generally try to make any significant changes to this privacy policy accessible to all users through an information system at low business prices.
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","हालाँकि, एक सिस्टम का उपयोगकर्ता होने के नाते, आपको गोपनियता नीति में किए गए परिवर्तनों को नियमित रूप से देखते रहना चाहिए।","However, as a user of a system, you should keep an eye on changes to the privacy policy on a regular basis."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","हम "" लास्ट उपडेटेड"" शब्द के माध्यम से इस गोपनियता नीति में किए गए परिवर्तनों को उसके प्रभावी तिथि से इसके शीर्ष पर प्रदर्शित भी करेंगे।","We will also display changes to this Privacy Policy from its effective date on top of it, using the term ""Last Updated""."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,नई गोपनियता नीति में परिवर्तन के बाद की तिथि से सिस्टम तक आपकी पहुँच या उपयोग आपके इस नई गोपनियता नीति को स्वीकार करने की सुनिश्चिता करेगी।,Your access to or use of the system from the date after the change in the new privacy policy will ensure that you accept this new privacy policy.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.",यदि आप नई गोपनियता नीति से सहमत नहीं हैं तो आपको अपने सिस्टम और/या का उपयोग त्वरित रूप से बंद कर देना चाहिए।,"If you do not agree with the new privacy policy, you should immediately stop using your system and/or your system."
What is the eligibility of a beneficiary?,लाभार्थी की पात्रता क्या है?,What is the eligibility of the beneficiary?
"No, Poshan Tracker is available only for Android version",कोई पोषण ट्रैकर केवल एंड्रॉइड संस्करण के लिए उपलब्ध नहीं है।,No nutrition tracker is available for Android only.
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. क्षतिपूर्ति और देयता की सीमा,XVhi. Limitation of compensation and liability
Growth monitoring report for all health indicators,सभी स्वास्थ्य संकेतकों के लिए विकास निगरानी रिपोर्ट,Development monitoring reports for all health indicators
Take Home Ration (THR) given in last 30 days,पिछले 30 दिनों में दिए गए घर के राशन (टीएचआर) को लें,Take home ration (THR) provided in the last 30 days.
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,बच्चों को अविकसित के रूप में परिभाषित किया जाता है यदि उनकी उम्र के अनुसार ऊंचाई डब्ल्यूएचओ बाल विकास मानकों के माध्य के दो मानक विचलन से अधिक है,Children are defined as underdeveloped if their height by age is greater than two standard deviations from the mean of the WHO child development standards.
What is the purpose of Launching Poshan Tracker?,पोषण ट्रैकर लॉन्च करने का उद्देश्य क्या है?,What is the purpose of launching the nutrient tracker?
"As a registered user, you have the right to access your profile at any time.",एक पंजीकृत उपयोगकर्ता होने के नाते आपको अपने प्रोफाइल को किसी भी सामय देखने की स्वतंत्रता होगी।,"As a registered user, you will have the freedom to view your profile at any time."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","हालाँकि, पोषण ट्रैकर सिस्टम दारा सामयिक आधार पर निर्धारित मानकों के आधार पर ही परिवर्तन स्वीकार्य माने जाएंगे।","However, changes to the nutrition tracker system will only be considered acceptable based on the parameters set on a periodic basis."
You cannot manage the communications that you receive from us or how you receive them.,आप हमारे द्वारा भेजे गए या प्राप्त किए गए भी संचार का प्रबंध नहीं कर सकते हैं।,You cannot even manage communications sent or received by us.
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. कानून का अनुपालन, तीसरे पक्ष का अधिकार, और सेवा की अन्य शर्तें","XIII. Compliance with the law, the right of third parties, and other terms of servicehihihi"
"repeated infection, and inadequate psychosocial stimulation","बार-बार संक्रमण, और अपर्याप्त मनोसामाजिक उत्तेजना","Repeated infections, and insufficient psychosocial arousal."
Beneficiary migration from one AWC to another AWC,एक AWC से दूसरे AWC में लाभार्थी का स्थानांतरण,Transfer of beneficiaries from one AWC to another AWChihi
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,पोषण ट्रैकर ऐप 22 अलग-अलग भाषाओं में उपलब्ध है।उपलब्ध विभिन्न भाषाएँ हैंः    अंग्रेजी   हिंदी   गुजराती   पंजाबी   मराठी   बंगला   कन्नड   तमिल   तेलुगु   मलायलम   ओडिया   असमिया NepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,The Nutrition Tracker app is available in 22 different languages.It is available in different languages: English Hindi Gujarati Punjabi Marathi Bengali Kannada Tamil Telugu Malayalam Odia Assamese NepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","प्रस्तावित प्रणाली को सभी AWCs, AWW और लाभार्थियों को परिभाषित सूचकांकों पर वास्तविक समय की निगरानी और नजर रखने में सक्षम बनाना चाहिए।","The proposed system should enable all AWCs, AWWs and beneficiaries to monitor and monitor in real time the defined indices."
How to Login in Poshan Tracker App?,पोषण ट्रैकर ऐप में कैसे लॉगिन करें?,How to log in to the Nutrition Tracker app?
Height and weight of child has not been measured,बच्चे का कद और वजन नहीं मापा गया है,The child's height and weight have not been measured.hihi
Calculator to measure the child growth based on the WHO Child Growth Standards.,WHO बाल विकास मानकों के आधार पर बाल विकास को मापने के लिए मापक का उपयोग,WHO uses a gauge to measure child development based on child development standards.
TAKE HOME RATION (THR) GIVEN TODAY,आज दिया गया घर का राशन (टीएचआर) लें,Take the household ration (THR) given today.
A beneficiary is eligible for THR for at least 21 days in a month.,एक लाभार्थी महीने में कम से कम 21 दिनों के लिए THR के लिए पात्र है।,A beneficiary is eligible for THR for at least 21 days per month.
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. शर्तों में किए जाने वाले सामयिक परिवर्तनों के संदर्भ में अधिसूचनाः,IIIhi. notification regarding the occasional changes to the terms:
Planning And Organising Community Based Events At AWC,आँगनवाडी केंद्र पर सामुदायिक आधार पर कार्यक्रमों की योजना बनाना एवं उसे व्यवस्थित करना,Planning and organizing community-based programs at the Ahanganiwadi Centre.
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on the Poshan Tracker Website https://hiposhantracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,InStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,"अगर वे अपने मोबाइल नंबरों के माध्यम से पंजीकरण करने में असमर्थ हैं, तो एडब्ल्यूडब्ल्यू ऐप पर साइन अप कैसे कर सकता है?","If they are unable to register through their mobile numbers, how can WhihiW sign up for the app?"
Poshan Tracker adds new Reports feature,पोषण ट्रैकर ने नई रिकॉर्ड फीचर जोडा है,Nutrition tracker has added a new record-breaking feature.
General Awareness about preventing illness in Children,बच्चों में बीमारियों से बचाव के बारे में सामान्य जागरूकता,General awareness of the prevention of diseases in childrenhihi
2. HOW WE USE PERSONAL INFORMATION,2. हम व्यक्तिगत सूचनाओं का उपयोग कैसे करते हैं,2.hi How we use personal information
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","In, and all associated sites linked to, the Site, its subsidiaries, and affiliates (collectively, the ""Site"")."
Please provide your mobile number and a ticket number.,कृपया अपना मोबाइल नंबर और टिकट नंबर प्रदान करें।,Please provide your mobile number and ticket number.
Please contact your respective Anganwadi worker.,"कृपया, अपने संबंधित आँगनवाडी कार्यकर्ता से संपर्क करें।",Please contact your respective courtyard worker.
SAM Children under 5 years who received Supplementary Nutrition,5 वर्ष से कम आयु के पूरक पोषण प्राप्त करने वाले SAM से संबंधित बच्चे,SAMhi-related children under the age of 5 who receive supplemental nutrition.
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1पेंटावैलेंट-1रोटावायरस वैक्सीन (RVV) -1निष्क्रिय पोलियो वैक्सीन की आंशिक खुराक (fIPV)-1न्यूमोकोकल कंजुगेट वैक्सीन (PCV) -1,OPhiV-1pentavailant-1rotovirus vaccine (RVV) -1 partial dose of passive polio vaccine (fIPV)-1neumocal conjugate vaccine (PCV) -1
Height should be between 38 to 150,ऊँचाई 38 सँ 150 केर बीच होयबाक चाही,The height should be between 38 and 150 kHz.
How to contact Poshan Tracker Team?,पोशन ट्रैकर समूह से कैसे संपर्क करें?,How do I contact the Nutrition Tracker group?
Take Home Ration (THR) Given Today,आज दिया गया घर का राशन (टीएचआर) लें,Take the household ration (THR) given today.
How many different forms are there in Poshan Tracker App?,पोषण ट्रैकर ऐप में कितने विभिन्न रूप हैं?,How many different variations are there in the Nutrition Tracker app?
There are 7 different types of forms for beneficiaries.,लाभार्थियों के लिए 7 विभिन्न प्रकार के फॉर्म हैं।,There are 7 different types of forms for beneficiaries.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),इसमें शामिल हैंः   स्तनपान कराने वाली मां   गर्भवती महिलाएं   बच्चा 0-6 महीने   बच्चा 6 महीने से 3 साल तक   बाल 3 साल से 6 साल   किशोर लडकियां (11 साल -19 साल),These include: breastfeeding mothers pregnant women baby 0-6 months baby 6 months to 3 years child 3 years to 6 years teenage girls (11 years to 19 years)
Shibpur I C D S Project,शिबपुर आईसीडीएस परियोजना,The Shibhir Shibhpur ICDS project is being implemented.
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home",विगत एक से तीन माह में कोई भी आंगनबाडी कार्यकर्ता लाभार्थी के घर नहीं गई है,"In the last one to three months, no one from the Anganwadi worker has visited the beneficiary's home."
Please enter Weight greater than 0.49 and less than 40.01,"कृपया, 0.49 से अधिक और 40.01 से कम वजन दर्ज करें",Please enter a weight greater than 0.49 and less than 40.01
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,In or by downloading the Poshan Tracker App.
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,जो आंगनवाडी कार्यकर्ता द्वारा पोषण ट्रैकर ऐप पर पंजीकरण करते समय निर्धारित किया जाता है।,The Johi is determined by an Anganwadi worker when registering on the Nutrition Tracker app.
Request for child's height and weight measurement,बच्चे की लंबाई और वजन मापने का अनुरोध,Request for measuring the length and weight of the babyhihi
Children (6 months - 3 years),बच्चे (6 महीने - 3 वर्ष),Children (6 months - 3 years)
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","जब आप हमारी साइट, ऐप और प्लेटफॉर्म तकनीक सहित हमारी सेवाओं पर जाते हैं, या अन्यथा उपयोग करते हैं, तो हम उस उपयोग किए जाने वाले आँकडों को लॉग करते हैं।","When you visit our services, including our site, apps, and platform technology, or otherwise use them, we log the data used."
"Result couldn't be fetch, please enter valid data","परिणाम प्राप्त नहीं किया जा सक रहा है, कृपया मान्य आँकडा दर्ज करें","No results were obtained, please enter a valid data."
Central Golaghat I. C. D. S. Project,सेंट्रल गोलाघाट आईसीडीएस परियोजना,The Central Gulag ICDS project is underway.
