eng,te
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,అటువంటి సమాచారం లేదా వారి గోప్యతా విధానాలు లేదా ఆ తృతీయపక్ష సైట్ ల యొక్క కంటెంట్ యొక్క భద్రతకు పోషణ్ ట్రాకర్ ఏవిధంగానూ బాధ్యత వహించదు.
"Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites.","అదనంగా, మీరు మూడవ - పక్ష సైట్ ల యొక్క నిర్దిష్ట పేజీల్లో ""కుకీలు"" లేదా ఇతర సారూప్య పరికరాలను కూడా ఎదుర్కొనవచ్చు మరియు ఈ మూడవ - పక్ష సైట్ ల ద్వారా కుకీల వినియోగాన్ని సిస్టమ్ నియంత్రించదని పోషణ్ ట్రాకర్ ద్వారా ఇందుమూలంగా స్పష్టం చేయబడింది."
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,ఈ తృతీయపక్ష సేవా ప్రదాతలు మరియు తృతీయపక్ష సైట్ లు మీరు లోబడి ఉండగల మీ సమాచారాన్ని నిల్వ చేయడం మరియు నిలుపుకోవడాన్ని నియంత్రించే వారి స్వంత గోప్యతా విధానాలను కలిగి ఉండవచ్చు.
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","ఈ తృతీయపక్ష ప్రదాతలు మరియు తృతీయపక్ష సైట్ ల ద్వారా అందించబడ్డ, నిల్వ చేయబడ్డ లేదా ఉపయోగించే ఏదైనా సమాచారాన్ని ఈ గోప్యతా విధానం నియంత్రించదు."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","మీరు తృతీయపక్ష సైట్ లోనికి ప్రవేశించినప్పుడు, తృతీయపక్ష సైట్ యొక్క గోప్యతా విధానాన్ని మీరు సమీక్షించాలని మేము సిఫార్సు చేస్తున్నాము, ఎందుకంటే ఇది మీ సమాచారాన్ని సంరక్షించడానికి సంబంధించినది."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,శోధన ఫలితాల్లో లేదా ఏదైనా తృతీయపక్ష సైట్ ల ద్వారా పబ్లిష్ చేయబడ్డ సమాచారానికి పోషణ్ ట్రాకర్ బాధ్యత వహించదని మీరు అంగీకరిస్తున్నారు మరియు ధృవీకరిస్తున్నారు.
Madhyamgram New Barrackpore(U) ICDS Project,మధ్యంగ్రామ్ న్యూ బారక్పూర్(యు) ఐసిడిఎస్ ప్రాజెక్ట్
Gangtok Rural Project,గ్యాంగ్టక్ రూరల్ ప్రాజెక్ట్
Bishnupur II ICDS,బిష్ణుపూర్ II ఐసిడిఎస్
Ponnamapet (Sal Pro 2),పొన్నమపేట (సాల్ ప్రో 2)
Murarai - I,మురారై - I
Karimnagar (R ),కరీంనగర్ (ఆర్)
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.","పైన క్లాజు 1 కింద రిజిస్ట్రేషన్ సమయంలో మీ నుంచి సేకరించబడ్డ వ్యక్తిగత సమాచారం సురక్షితంగా నిల్వ చేయబడుతుంది మరియు ఆరోగ్య పురోగతి మరియు స్థితిని ట్రాక్ చేయడం, దేశంలో పోషణ్ ట్రాకర్ యొక్క నిర్వహణ కొరకు రిపోర్టులు, హీట్ మ్యాప్ లు మరియు ఇతర స్టాటిస్టికల్ విజువలైజేషన్ లను జనరేట్ చేయడం కొరకు భారత ప్రభుత్వం లేదా రాష్ట్ర ప్రభుత్వాల ద్వారా మాత్రమే ఉపయోగించబడుతుంది."
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,పైన క్లాజు 1 ప్రకారంగా SMS ద్వారా మీకు కమ్యూనికేట్ చేయడం కొరకు మీ రిఫరెన్స్ ఐడి (మొబైల్ నెంబరు) మీ వ్యక్తిగత సమాచారంతో మాత్రమే సహ-సంబంధం కలిగి ఉంటుంది.
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","అటువంటి బహిర్గతం లేదా బదిలీ అయితే తప్ప, మీ సమ్మతి లేకుండా మేం మీ సమాచారాన్ని ఏదైనా ఇతర తృతీయపక్షాలకు వెల్లడించం లేదా బదిలీ చేయంః1. ఏదైనా వర్తించే చట్టం లేదా కోర్టు ఆర్డర్ లేదా డైరెక్షన్ ని పాటించడం కొరకు అవసరం అవుతుంది; లేదా2. గుర్తింపు యొక్క ధృవీకరణ, నివారణ, గుర్తింపు, గుర్తింపు, దర్యాప్తు, ప్రాసిక్యూషన్ లేదా ఏవైనా నేరాలు లేదా ఘటనల యొక్క శిక్షల యొక్క ఆవశ్యకత కొరకు వర్తించే చట్టం ప్రకారంగా ఏదైనా సముచితమైన ప్రభుత్వ ఏజెన్సీ ద్వారా అభ్యర్థించబడుతుంది."
GOSABA ICDS ADDITIONAL,గోసాబా ఐసిడిఎస్ అడిష్నల్
Download Mobile App,మొబైల్ యాప్ డౌన్ లోడ్ చేసుకోండి
Durgapur I Urban,దుర్గాపూర్ I అర్బన్
Ausgram - I,ఆస్గ్రామ్ - I
Having difficulty raising ticket,టిక్కెట్ సృష్టించడంలో ఇబ్బంది
Ausgram - II,ఆస్గ్రామ్ - II
West Zone Rmc,వెస్ట్ జోన్ ఆర్ఎంసి
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.","మా గోప్యతా విధానం, ఓపెన్ API పాలసీ మరియు సైట్ పై నిర్ధిష్ట ఆఫర్ లు లేదా ఫీచర్ లకు వర్తించే ఏవైనా ఇతర పాలసీలు, నియమాలు లేదా మార్గదర్శకాలు ఈ నిబంధనల్లో పొందుపరచబడ్డాయి."
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","సైట్ ని సందర్శించడం లేదా ఉపయోగించడం ద్వారా, నియతానుసారంగా అప్ డేట్ చేయబడ్డ ఈ నిబంధనలను మీరు స్పష్టంగా అంగీకరిస్తున్నారు."
"If you do not agree with any part of these terms, do not use the site.","ఈ నిబంధనల్లోని ఏదైనా భాగాన్ని మీరు అంగీకరించనట్లయితే, సైట్ ని ఉపయోగించవద్దు."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,మీరు సైట్ ని ఏవిధంగానూ ఉపయోగించలేరు మరియు బైండింగ్ కాంట్రాక్ట్ రూపొందించడానికి మీకు చట్టబద్ధమైన వయస్సు లేనట్లయితే నిబంధనలను ఆమోదించకపోవచ్చు.
BARUIPUR ICDS PROJECT,బరూయిపూర్ ఐసిడిఎస్ ప్రాజెక్ట్
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,బాసిల్లస్ కాల్మెట్ గురిన్ (BCG)ఓరల్ పోలియో వ్యాక్సిన్ (OPV)-0 మోతాదు హెపటైటిస్ బి జనన మోతాదు OPV-1 T
Dhubri - Assam,ధుబ్రి - అస్సాం
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","క్లాజ్ 1 కింద సేకరించబడ్డ సమాచారం, లబ్ధిదారుల యొక్క ఆరోగ్యాన్ని సులభతరం చేసే ఉద్దేశ్యం కొరకు ఉపయోగించబడుతుంది."
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","మేము మా ఉత్పత్తులను అందిస్తాము, దీనిలో సిస్టమ్ యొక్క సమాచారం/డేటా/మెటీరియల్స్ మరియు కంటెంట్ లను అప్ డేట్ చేయడం, సెక్యూర్ చేయడం మరియు ట్రబుల్ షూటింగ్ చేయడం, అదేవిధంగా మద్దతును అందించడం వంటివి ఉంటాయి."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","మీరు పోషణ్ ట్రాకర్ పై రిజిస్టర్ చేసుకున్నప్పుడు, డేటాబేస్ నుంచి మీ రికార్డ్ ని లొకేట్ చేయడం కొరకు మీరు రిజిస్టర్ చేసుకున్న మొబైల్ నెంబరు ఉపయోగించబడుతుంది."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,పోషణ్ ట్రాకర్ సిస్టమ్ లో రికార్డ్ చేయబడ్డ ఆరోగ్య స్థితిని మదింపు చేయడానికి కూడా వీటిని ఉపయోగించవచ్చు.
Salboni -Adl ICDS Project,సల్బోని -ఎడిఎల్ ఐసిడిఎస్ ప్రాజెక్ట్
BOLPUR  ADDL,బోల్పూర్ అడిష్నల్
Madhupur Icds Project,మధుపూర్ ఐసిడిఎస్ ప్రాజెక్ట్
Stunted Assessment Parameters,ఎదుగుదల నిలిచిపోయిన అసెస్ మెంట్ పరామీటర్ లు
"You shall not, either on your own or through any other person:Restrict or inhibit any other person from using the SiteUse the Site for any unlawful purposeExpress or imply that any statements you make are endorsed by us, without our prior written consentImpersonate any person or entity, whether actual or fictitiousEngage in spamming or floodingHarvest or collect information about Site usersOpen multiple accounts for yourself or any other individual using multiple mobile numbersSubmit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive natureManipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submitLink to any portion of the Site other than the URL assigned to the home page of the Site“Frame” or “Mirror” any part of the SiteModify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the ContentRemove any copyright, trademark or other proprietary rights notices contained on the SiteUse any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.","మీరు మీ స్వంతంగా లేదా మరే ఇతర వ్యక్తి ద్వారా చేయకుడనిదిఃసైట్ ని ఉపయోగించకుండా ఎవరైనా ఇతర వ్యక్తిని పరిమితం చేయడం లేదా నిరోధించడంఏదైనా చట్టవ్యతిరేక ప్రయోజనం కొరకు సైట్ ని ఉపయోగించండిమా ముందస్తు రాతపూర్వక సమ్మతి లేకుండా, మీరు చేసే ఏవైనా ప్రకటనలు మా ద్వారా ఆమోదించబడ్డాయని వ్యక్తీకరించండి లేదా సూచించండివాస్తవమైన లేదా కల్పితమైనదైనా, ఏదైనా వ్యక్తి లేదా అస్తిత్వాన్ని అనుకరించడంస్పామింగ్ లేదా ఫ్లూడింగ్ లో నిమగ్నం కావడంసైట్ యూజర్ ల గురించి సమాచారాన్ని సంపాదించడం లేదా సేకరించడంఅనేక మొబైల్ నెంబర్లను ఉపయోగించి మీ కొరకు లేదా ఎవరైనా ఇతర వ్యక్తుల కొరకు బహుళ ఖాతాలను తెరవండిఏదైనా వైరస్ లు, వార్మ్ లు, ట్రోజన్ హార్స్ లు, డిఫెక్ట్స్, డేట్ బాంబులు, టైమ్ బాంబ్ లు లేదా విధ్వంసక స్వభావం కలిగిన ఇతర ఐటమ్ లను కలిగి ఉన్న ఏదైనా సాఫ్ట్ వేర్ లేదా ఇతర మెటీరియల్స్ ని సబ్మిట్ చేయండిమీరు సబ్మిట్ చేసే ఏదైనా పోస్టింగ్ యొక్క మూలాన్ని మరుగుపరచడం కొరకు, హెడ్డర్ లను ఫోర్జరీ చేయడం ద్వారా ఐడెంటిఫైయర్ లను మ్యానిపులేట్ చేయండిసైట్ యొక్క హోమ్ పేజీకి అసైన్ చేయబడ్డ URL కాకుండా సైట్ యొక్క ఏదైనా భాగానికి లింక్ చేయండిసైట్ యొక్క ఏదైనా భాగాన్ని ""ఫ్రేమ్"" లేదా ""మిర్రర్""సైట్ యొక్క ఏదైనా భాగాన్ని సవరించడం, స్వీకరించడం, సబ్-లైసెన్స్, అనువదించడం, అమ్మడం, రివర్స్ ఇంజినీర్, డీకంపైల్ చేయడం లేదా విడదీయడం, లేదా కంటెంట్ యొక్క ఏదైనా భాగం యొక్క ఏదైనా సోర్స్ కోడ్ లేదా అంతర్లీన ఆలోచనలు లేదా అల్గారిథమ్ లను పొందడానికి ప్రయత్నించడంసైట్ లో ఉన్న ఏదైనా కాపీరైట్, ట్రేడ్ మార్క్ లేదా ఇతర యాజమాన్య హక్కుల నోటీసులను తొలగించండిఏదైనా కంప్యూటర్ ప్రోగ్రామ్, బాట్, రోబోట్, స్పైడర్, ఆఫ్ లైన్ రీడర్, సైట్ సెర్చ్/రిట్రీవల్ అప్లికేషన్ లేదా ఇతర మాన్యువల్ లేదా ఆటోమేటిక్ పరికరం, టూల్ లేదా ప్రాసెస్ ని తిరిగి పొందడానికి, ఇండెక్స్ చేయడానికి, డేటా మైన్ కు, లేదా సైట్ లో ప్రదర్శించబడే ఏదైనా CAPTCHAకు సంబంధించి సహా, కంటెంట్ లేదా సైట్ యొక్క భద్రతా నిర్మాణం, నావిగేషనల్ స్ట్రక్చర్ లేదా ప్రజంటేషన్ ని పునరుత్పత్తి చేయడం లేదా దాటవేయడం కొరకు ఏదైనా కంప్యూటర్ ప్రోగ్రామ్ ఉపయోగించండి."
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is activeTake any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,మీ కంప్యూటర్ నుంచి అటువంటి సాఫ్ట్ వేర్ లేదా సిస్టమ్ యాక్టివ్ గా ఉన్న మరో కంప్యూటర్ కు సమాచారాన్ని పంపడంతో సహా అపాయింట్ మెంట్ కొరకు శోధించడానికి లేదా బుక్ చేయడానికి ఏదైనా ఆటోమేటెడ్ సాఫ్ట్ వేర్ లేదా కంప్యూటర్ సిస్టమ్ ఉపయోగించండిమా మౌలిక సదుపాయాలపై అసమంజసమైన లేదా అసమానంగా పెద్ద భారాన్ని విధించే లేదా విధించే ఏదైనా చర్యను (మా స్వంత విచక్షణ మేరకు) తీసుకోండి.
"Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the ContentThe Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purposeYou will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","సైట్ ఉపయోగించండి లేదా సైట్ లేదా కంటెంట్ యొక్క డెరివేటివ్ వర్క్ లను పునరుత్పత్తి చేయడం, సవరించడం, ప్రదర్శించడం, బహిరంగంగా నిర్వహించడం, పంపిణీ చేయడం లేదా సృష్టించడంమాన్యువల్ డీకోడ్, డీక్రిప్ట్, మాడిఫై, లేదా రివర్స్ ఇంజినీర్ సర్టిఫికేట్ లేదా అంతర్లీన అల్గోరిథమ్ లు లేదా స్వయంచాలక పరికరం లేదా ప్రాసెస్ ద్వారా పరిమితి లేకుండా, సైట్ మరియు/లేదా కంటెంట్ యొక్క ప్రాప్యతను సమర్థవంతంగా నియంత్రించే ఏదైనా సాంకేతిక కొలతను లేదా దానిలోని హక్కులను అధిగమించడానికి రూపొందించబడ్డ ఏదైనా పరికరం, ప్రోగ్రామ్ లేదా సేవతో పాటుగా రూపొందించబడ్డ ఏదైనా పరికరం, ప్రోగ్రామ్ లేదా సేవతో పాటుగా కంటెంట్, ఏ ప్రయోజనానికైనాసైట్ ద్వారా పాల్గొనేవారిని రిజిస్టర్ చేసుకోవడం కొరకు శోధించడం కొరకు మీరు బాట్ టెక్నాలజీని ఉపయోగించరు; సందేహాన్ని పరిహరించడం కొరకు, సైట్ లో ఆటోమేటెడ్ స్క్రిప్ట్ ఆధారిత లేదా ఆటోమేటెడ్ సాఫ్ట్ వేర్ ఉపయోగించడాన్ని ఇది ప్రత్యేకంగా నిషేధిస్తుంది మరియు పాల్గొనే పరిమితులను అమలు చేయడానికి లేదా ఒక మొబైల్ నెంబరుకు సంబంధించిన పాల్గొనేవారి నియమాలను రిజిస్టర్ చేయడం యొక్క సమగ్రతను మెయింటైన్ చేయడానికి ఉపయోగించే ఏదైనా భద్రతా కొలత, యాక్సెస్ కంట్రోల్ సిస్టమ్, లేదా ఇతర సాంకేతిక నియంత్రణ లేదా కొలతలను సైట్ లో దాటవేయకుండా మిమ్మల్ని నిషేధిస్తుంది"
Training on ICT Platform under POSHAN Abhiyaan,పోషణ్ అభియాన్ కింద ఐసిటి ప్లాట్ ఫారమ్ పై ట్రైనింగ్
Barasat - I Addl.,బరాసత్ - I అడిష్నల్
"Know more about stunting, wasting and underweight","స్టంటింగ్, వేస్టింగ్ మరియు తక్కువ బరువు గురించి మరింత తెలుసుకోండి"
What information to be added in AWC forms?,AWC ఫారంలో ఏ సమాచారాన్ని చేర్చాలి?
Mathavaram Rural @ Puzhal,మాతవరం రూరల్ @ పుఝల్
How to revive your health if you are Moderately Wasted (MAM),ఒకవేళ మీరు ఒక మాదిరి వెస్టెడ్ ఉన్నట్లయితే మీ ఆరోగ్యాన్ని ఏవిధంగా పునరుద్ధరించాలి (MA)
AWC Workers Registered In Last 30 Days,AWC వర్కర్స్ గత 30 రోజులలో నమోదు చేయబడింది
Daman & Diu,దమన్ మరియు డియు
Lahaul & Spiti,లాహాల్ మరియు స్పితి
Katwa - I,కత్వా - I
OPEN A NEW TICKET,కొత్త టికెట్ తెరవండి
Lower Dibang Valley,దిగువ దిబాంగ్ వ్యాలీ
Click on above button to get this App,ఈ అనువర్తనం పొందడానికి పై బటన్ పై క్లిక్ చేయండి
Please Enter Valid Name,దయచేసి సరైన పేరు నమోదు చేయండి
1. INFORMATION WE COLLECT,1. మేము సేకరించే సమాచారం
Beneficiaries Registered In Last 30 Days,గత 30 రోజుల్లో లబ్ధిదారులు నమోదు చేయబడ్డారు
Gopiballabhpur - II,గోపీబల్లభ్పూర్ - II
Darjeeling PulBazar.,డార్జీలింగ్ పుల్ బజార్.
Addl,అడిష్నల్
Specifications of Smart phone and Technical Compatibility Testing,స్మార్ట్ ఫోన్ యొక్క స్పెసిఫికేషన్ లు మరియు టెక్నికల్ కంపాటబిలిటీ టెస్టింగ్
Preparation During Pregnancy - For NewBorn Care & Family Planning,గర్భధారణ సమయంలో తయారీ - నవజాత శిశువుల సంరక్షణ మరియు కుటుంబ నియంత్రణ
Please select Project,దయచేసి ప్రాజెక్ట్ ఎంచుకోండి
Please Select Query Related to,దయచేసి సంబంధించిన క్వైరీని ఎంచుకోండి
 IV. ACCOUNT REGISTRATION, IV. ఖాతా రిజిస్ట్రేషన్
Stunting ( Height for Age)-,స్టంటింగ్ ( వయస్సు కొరకు ఎత్తు)-
Binpur - II Adl.,బిన్పూర్ - II ఎడిఎల్
Pakyong Rural Project,పాక్యోంగ్ రూరల్ ప్రాజెక్ట్
Wasted Assessment Parameters,వృధా అసెస్ మెంట్ పరామీటర్లు
Sangam Vihar Ii,సంగం విహార్ Ii
Shri Ram Colony,శ్రీ రామ్ కాలనీ
Ranaghat 1 Exsiting,రణఘాట్ 1 ఎక్సిస్టింగ్
Mathabhanga I Addl,మాతభంగా I అడిష్నల్
Stunting is the impaired growth and development that children experience from poor nutrition,ఎదుగుదల మందగించడం అనేది పేలవమైన పోషకాహారం వల్ల పిల్లలు అనుభవించే ఎదుగుదల మరియు అభివృద్ధి బలహీనంగా ఉండటం
Children in the age group of 3 years to 6 years,3 సంవత్సరాల నుంచి 6 సంవత్సరాల వయస్సు గల పిల్లలు
"Poshan Tracker Dashboard can be accessed by signing onto the dashboard.Dashboard can be accessed by clicking the link https://poshantracker.in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.","పోషణ్ ట్రాకర్ డాష్బోర్డ్ను, డాష్బోర్డ్లోకి సంతకం చేయడం ద్వారా యాక్సెస్ చేయవచ్చు.లింక్ను క్లిక్ చేయడం ద్వారా డాష్బోర్డ్ను యాక్సెస్ చేయవచ్చు జాతీయ, రాష్ట్ర, జిల్లా, ప్రాజెక్ట్ మరియు సెక్టార్ స్థాయిలో నామినేటెడ్ నోడల్ స్థాయి అధికారులకు మాత్రమే డాష్బోర్డ్ను యాక్సెస్ చేయడానికి ప్రత్యేకమైన ఆధారాలను అందిస్తారు."
Please enter valid Weight,దయచేసి సరైన బరువును నమోదు చేయండి
Khargone (West Nimar),ఖార్గోన్
 Md. Bazar Addl., ఎండి. బజార్ అడిష్నల్
What is the eligibility of a beneficiary?,లబ్ధిదారుని యొక్క అర్హత ఏమిటి?
Who are the target userbase of Poshan Tracker App?,పోషణ్ ట్రాకర్ యాప్ యొక్క ఉద్దేశింపబడిన వినియోగదారు బేస్ ఎవరు?
Kanpur Nagar City 1,కాన్పూర్ నగర్ సిటీ 1
How Poshan Tracker Works,పోషన్ ట్రాకర్ ఎలా పనిచేస్తుంది
Kalna - I Addl.,కల్నా - I అడిష్నల్
Home visits and Counselling,గృహ సందర్శనలు మరియు కౌన్సెలింగ్
Kusheshwar Asthan Purbi,కుశేశ్వర్ ఆస్థాన్ పుర్బి
Mandirbazar ICDS Project,మందిర్బజార్ ఐసిడిఎస్ ప్రాజెక్ట్
Awareness to Lactating Mother,పాలిచ్చే తల్లికి అవగాహన
"It often indicates recent and severe weight loss, although it can also persist for a long time","ఇది తరచుగా ఇటీవలి మరియు తీవ్రమైన బరువు తగ్గడాన్ని సూచిస్తుంది, అయినప్పటికీ ఇది ఎక్కువ కాలం కూడా కొనసాగవచ్చు"
 X. ACCESS FROM OUTSIDE INDIA, X. భారతదేశం వెలుపల నుంచి యాక్సెస్
Kaliachak - II,కలియాచక్ - II
Machkhowa Icds Project,మచ్ఖోవా ఐసిడిఎస్ ప్రాజెక్ట్
What is the minimum requirement to install Poshan Tracker App in mobile?,మొబైల్లో పోషన్ ట్రాకర్ యాప్ను ఇన్స్టాల్ చేయడానికి కనీస అవసరం ఏమిటి?
SHRI ANANDPUR SAHIB,శ్రీ ఆనందపూర్ సాహిబ్
"Khar (West),Santacruze (East)","ఖర్ (వెస్ట్), శాంటాక్రూజ్ (ఈస్ట్)"
Create new ticket,కొత్త టిక్కెట్ని సృష్టించండి
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,డాక్యుమెంటేషన్ లో వివరించిన మార్గాల ద్వారా మాత్రమే మీరు సైట్ ని యాక్సెస్ చేసుకుంటారు (లేదా యాక్సెస్ చేసుకోవడానికి ప్రయత్నిస్తారు) మరియు ఈ అగ్రిమెంట్ యొక్క నియమనిబంధనలకు కట్టుబడి ఉంటారు.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","మీకు వర్తించే అన్ని కేంద్ర మరియు రాష్ట్ర చట్టాలు, నియమనిబంధనలు మరియు సైట్ యొక్క మీ ఉపయోగం మరియు ఏవైనా తృతీయపక్ష హక్కులను ప్రభావితం చేసే అన్ని కేంద్ర మరియు రాష్ట్ర చట్టాలు, నియమనిబంధనలకు మీరు కట్టుబడి ఉంటారు."
ROURKELE CIVIL TOWNSHIP,రూర్కేలా సివిల్ టౌన్షిప్
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.
Ldh Urban 4,లుథియానా అర్బన్ 4
"Welcome!The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","స్వాగతం! https://poshantracker. in వద్ద హోస్ట్ చేయబడ్డ పోషణ్ ట్రాకర్ ప్లాట్ ఫారం యొక్క మీ వినియోగాన్ని నియంత్రించే సేవా నిబంధనలు (""నిబంధనలు"") మరియు దానికి లింక్ చేయబడ్డ అన్ని అసోసియేట్ సైట్ లు, దాని సబ్సిడరీలు మరియు అఫిలియేట్ లు (సమిష్టిగా, ""సైట్"")."
Burdwan - I,బుర్ద్వాన్ - I
Project 4 Singanallur,ప్రాజెక్ట్ 4 సింగనల్లూరు
Select Key Performance Indicator,పనితీరు సూచికను ఎంచుకోండి
Select An Anganwadi center,ఒక అంగన్వాడీ కేంద్రాన్ని ఎంచుకోండి
Clarification regarding Cost of Smart phones,స్మార్ట్ ఫోన్ ల యొక్క ఖర్చుకు సంబంధించి స్పష్టత
Budge Budge - II,బడ్జ్ బడ్జ్ - II
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,తట్టు కలిగిన వ్యాక్సిన్ (MCV)/తట్టు మరియు రూబెల్లా (MR)-1జపనీస్ ఎన్ కెఫలైటిస్ (JE)-1**PCV-బూస్టర్
