eng,pa
Barasat - I,ਬਾਰਾਸਾਤ- I
Bakshi Ka Talab,ਬਖਸੀ ਕਾ ਤਾਲਾਬ
Harishchandrapur - II,ਹਰਿਸਚੰਦਰਪੁਰ - II
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","ਪੋਸਣ ਟਰੈਕਰ ਐਪਲੀਕੇਸਨ ਦਾ ਉਦੇਸ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ (ਏਡਬਲਯੂਸੀ) ਦੀਆਂ ਗਤੀਵਿਧੀਆਂ, ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (ਡਬਲਯੂਡਬਲਯੂਡਬਲਯੂ) ਦੀ ਸੇਵਾ ਸਪੁਰਦਗੀ ਅਤੇ ਗਰਭਵਤੀ ਔਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਅਤੇ ਬੱਚਿਆਂ ਲਈ ਪੂਰਨ ਲਾਭਪਾਤਰੀ ਪ੍ਰਬੰਧਨ ਦੇ ਕੰਮਾਂ ਦਾ ਇੱਕ 360 ਡਿਗਰੀ ਦ੍ਰਿਸ ਪ੍ਰਦਾਨ ਕਰਨਾ ਹੈ।"
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ਪ੍ਰਸਤਾਵਿਤ ਪ੍ਰਣਾਲੀ ਨੂੰ ਪਰਿਭਾਸਤ ਸੂਚਕਾਂ ਤੇ ਸਾਰੇ ਏਡਬਲਯੂਸੀ, ਡਬਲਯੂਡਬਲਯੂਡਬਲਯੂ ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਅਸਲ-ਸਮੇਂ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਟਰੈਕਿੰਗ ਨੂੰ ਸਮਰੱਥ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ।"
Madhubani - Bihar,ਮਧੂਬਨੀ - ਬਿਹਾਰ
Last 7 days,ਪਿਛਲੇ 7 ਦਿਨ
Above standards are defined as per given above mentioned age brackets,ਉਪਰੋਕਤ ਮਾਪਦੰਡਾਂ ਨੂੰ ਉੱਪਰ ਦੱਸੇ ਗਏ ਉਮਰ ਬਰੈਕਟਾਂ ਅਨੁਸਾਰ ਪਰਿਭਾਸਿਤ ਕੀਤਾ ਗਿਆ ਹੈ
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","ਜੇਕਰ ਇੱਕ ਵਿਅਕਤੀ ਦਾ ਭਾਰ ਘੱਟ ਹੈ, ਤਾਂ ਹੋ ਸਕਦਾ ਹੈ ਕਿ ਉਸਦੇ ਸਰੀਰ ਨੂੰ ਸਿਹਤਮੰਦ ਹੱਡੀਆਂ, ਚਮੜੀ ਅਤੇ ਵਾਲਾਂ ਨੂੰ ਬਣਾਉਣ ਲਈ ਲੋੜੀਂਦੇ ਪੌਸਟਿਕ ਤੱਤ ਨਹੀਂ ਮਿਲ ਰਹੇ ਹਨ।"
Please select State,ਕਿਰਪਾ ਕਰਕੇ ਰਾਜ ਚੁਣੋ
Ngopa ICDS Project,ਨਗੋਪਾ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Magrahat - II Addl ICDS,ਮਗਰਾਹਟ - II ਏਡੀਡੀਐਲ ਆਈਸੀਡੀਐਸ
Sabroom NP ICDS project,ਸਬਰੂਮ ਐਨਪੀ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,ਐਮਪੀਆਈਐਨ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਦੁਆਰਾ ਉਸਦੇ ਮੋਬਾਇਲ ਨੰਬਰ ਦੇ ਵਿਰੁੱਧ ਇੱਕ ਓਟੀਪੀ ਦੀ ਬੇਨਤੀ ਕਰਕੇ ਨਿਰਧਾਰਤ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ।
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","ਜੇ ਮੋਬਾਈਲ ਨੰਬਰ ਪਹਿਲਾਂ ਤੋਂ ਹੀ ਡੇਟਾਬੇਸ ਵਿੱਚ ਮੌਜੂਦ ਹੈ, ਤਾਂ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਿਅਕਤੀ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ 4 ਅੰਕਾਂ ਦਾ ਓਟੀਪੀ ਪ੍ਰਾਪਤ ਕਰੇਗਾ।"
"Post entering the OTP, AWW can easily set customized MPIN.","ਓਟੀਪੀ ਵਿੱਚ ਦਾਖਲ ਹੋਣ ਤੋਂ ਬਾਅਦ, ਏਡਬਲਯੂਡਬਲਯੂ ਅਸਾਨੀ ਨਾਲ ਕਸਟਮਾਈਜਡ ਐਮਪੀਆਈਐਨ ਨਿਰਧਾਰਤ ਕਰ ਸਕਦਾ ਹੈ।"
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ਇਹ ਸਵਾਸਥ ਸੇਵਾ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਭਾਗ ਲੈਣ ਵਾਲਿਆਂ ਨਾਲ ਤੁਹਾਡੀ ਗੱਲਬਾਤ ਨੂੰ ਸਮਰੱਥ ਬਣਾਉਂਦਾ ਹੈ, ਅਤੇ ਤੁਹਾਨੂੰ ਪ੍ਰਮਾਣਿਤ ਸਵਾਸਥ ਸੇਵਾ ਪੇਸੇਵਰਾਂ ਅਤੇ ਸਿਹਤ ਸੇਵਾ ਪ੍ਰਦਾਤਾਵਾਂ ਤੋਂ ਤੁਹਾਡੀਆਂ ਡਿਜੀਟਲ ਲੈਬ ਰਿਪੋਰਟਾਂ, ਨੁਸਖੇ ਅਤੇ ਨਿਰਵਿਘਨ ਰੋਗ ਡੀ ਪਛਾਣ ਕਰਨ ਦੀ ਸਹੁਲਤ ਦਿੰਦਾ ਹੈ।"
Alipurduar - I,ਅਲੀਪੁਰਦੁਆਰ- I
Poshan Tracker Features,ਪੋਸਣ ਟਰੈਕਰ ਵਿਸੇਸਤਾਵਾਂ
Why this Monthly Meeting?,ਇਹ ਮਹੀਨਾਵਾਰ ਮੀਟਿੰਗ ਕਿਉਂ?
Urban Slum Project,ਸਹਿਰੀ ਸਲੱਮ ਪ੍ਰੋਜੈਕਟ
Our System provides API to Third – Party Sites that may collect your personal information.,ਸਾਡਾ ਸਿਸਟਮ ਤੀਜੀ-ਪਾਰਟੀ ਸਾਈਟਾਂ ਨੂੰ API ਪ੍ਰਦਾਨ ਕਰਦਾ ਹੈ ਜੋ ਤੁਹਾਡੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰ ਸਕਦੀ ਹੈ।
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,ਪੋਸਣ ਟ੍ਰੈਕਰ ਅਜਿਹੀ ਜਾਣਕਾਰੀ ਜਾਂ ਉਹਨਾਂ ਦੇ ਗੋਪਨੀਅਤਾ ਸਰਤਾਂ ਜਾਂ ਉਹਨਾਂ ਤੀਜੀ-ਧਿਰ ਸਾਈਟਾਂ ਦੀ ਸਮੱਗਰੀ ਦੀ ਸੁਰੱਖਿਆ ਲਈ ਕਿਸੇ ਵੀ ਤਰੀਕੇ ਨਾਲ ਜਿੰਮੇਵਾਰ ਨਹੀਂ ਹੈ।
"Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites.","ਇਸ ਤੋਂ ਇਲਾਵਾ, ਤੁਸੀਂ ਤੀਜੀ-ਧਿਰ ਸਾਈਟਾਂ ਦੇ ਕੁਝ ਪੰਨਿਆਂ 'ਤੇ ""ਕੂਕੀਜ"" ਜਾਂ ਹੋਰ ਅਜਿਹੀਆਂ ਡਿਵਾਈਸਾਂ ਦਾ ਸਾਹਮਣਾ ਕਰ ਸਕਦੇ ਹੋ ਅਤੇ ਪੋਸਣ ਟਰੈਕਰ ਦੁਆਰਾ ਇਹ ਸਪੱਸਟ ਕੀਤਾ ਗਿਆ ਹੈ ਕਿ ਸਿਸਟਮ ਇਹਨਾਂ ਤੀਜੀ-ਪਾਰਟੀ ਸਾਈਟਾਂ ਦੁਆਰਾ ਕੂਕੀਜ ਦੀ ਵਰਤੋਂ ਨੂੰ ਨਿਯੰਤਰਿਤ ਨਹੀਂ ਕਰਦਾ ਹੈ।"
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,ਇਹ ਤੀਜੀ-ਧਿਰ ਸੇਵਾ ਪ੍ਰਦਾਤਾਵਾਂ ਅਤੇ ਤੀਜੀ-ਧਿਰ ਦੀਆਂ ਸਾਈਟਾਂ ਕੋਲ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦੇ ਸਟੋਰੇਜ ਅਤੇ ਧਾਰਨ ਨੂੰ ਨਿਯੰਤਰਿਤ ਕਰਨ ਵਾਲੀਆਂ ਆਪਣੀਆਂ ਗੋਪਨੀਅਤਾ ਨੀਤੀਆਂ ਹੋ ਸਕਦੀਆਂ ਹਨ ਜਿਨ੍ਹਾਂ ਦੇ ਤੁਸੀਂ ਅਧੀਨ ਹੋ ਸਕਦੇ ਹੋ।
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","ਇਹ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਇਹਨਾਂ ਤੀਜੀ-ਧਿਰ ਪ੍ਰਦਾਤਾਵਾਂ ਅਤੇ ਤੀਜੀ-ਧਿਰ ਸਾਈਟਾਂ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਕੀਤੀ ਗਈ, ਸਟੋਰ ਕੀਤੀ ਜਾਂ ਵਰਤੀ ਗਈ ਕਿਸੇ ਵੀ ਜਾਣਕਾਰੀ ਨੂੰ ਨਿਯੰਤਰਿਤ ਨਹੀਂ ਕਰਦੀ ਹੈ।"
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","ਅਸੀਂ ਸਿਫਾਰਿਸ ਕਰਦੇ ਹਾਂ ਕਿ ਜਦੋਂ ਤੁਸੀਂ ਕਿਸੇ ਤੀਜੀ-ਧਿਰ ਦੀ ਸਾਈਟ ਵਿੱਚ ਦਾਖਲ ਹੁੰਦੇ ਹੋ, ਤਾਂ ਤੁਸੀਂ ਤੀਜੀ ਧਿਰ ਦੀ ਸਾਈਟ ਦੀ ਗੋਪਨੀਅਤਾ ਨੀਤੀ ਦੀ ਸਮੀਖਿਆ ਕਰੋ ਕਿਉਂਕਿ ਇਹ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦੀ ਸੁਰੱਖਿਆ ਨਾਲ ਸਬੰਧਤ ਹੈ।"
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,ਤੁਸੀਂ ਸਹਿਮਤੀ ਦਿੰਦੇ ਹੋ ਅਤੇ ਸਵੀਕਾਰ ਕਰਦੇ ਹੋ ਕਿ ਪੋਸਣ ਟਰੈਕਰ ਖੋਜ ਨਤੀਜਿਆਂ ਜਾਂ ਕਿਸੇ ਵੀ ਤੀਜੀ-ਧਿਰ ਸਾਈਟ ਦੁਆਰਾ ਪ੍ਰਕਾਸਿਤ ਜਾਣਕਾਰੀ ਲਈ ਜਵਾਬਦੇਹ ਨਹੀਂ ਹੋਵੇਗਾ।
Madhyamgram New Barrackpore(U) ICDS Project,ਮੱਧਮਗ੍ਰਾਮ ਨਿਊ ਬੈਰਕਪੁਰ (ਯੂ) ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Gangtok Rural Project,ਗੰਗਟੋਕ ਪੇਂਡੂ ਪ੍ਰੋਜੈਕਟ
Bishnupur II ICDS,ਬਿਸਨੂਪੁਰ II ਆਈਸੀਡੀਐਸ
Ponnamapet (Sal Pro 2),ਪੋਨਨਾਮਪੇਟ (ਸਾਲ ਪ੍ਰੋ 2)
Murarai - I,ਮੁਰਾਰੈ -I
Karimnagar (R ),ਕਰੀਮਨਗਰ (ਆਰ)
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.","ਉਪਰੋਕਤ ਧਾਰਾ 1 ਦੇ ਤਹਿਤ ਰਜਿਸਟਰੇਸਨ ਦੇ ਸਮੇਂ ਤੁਹਾਡੇ ਤੋਂ ਇਕੱਠੀ ਕੀਤੀ ਗਈ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਨੂੰ ਸੁਰੱਖਿਅਤ ਢੰਗ ਨਾਲ ਸਟੋਰ ਕੀਤਾ ਜਾਵੇਗਾ ਅਤੇ ਸਿਰਫ ਭਾਰਤ ਸਰਕਾਰ ਜਾਂ ਰਾਜ ਸਰਕਾਰਾਂ ਦੁਆਰਾ ਸਿਹਤ ਦੇ ਵਿਕਾਸ ਅਤੇ ਸਥਿਤੀ ਨੂੰ ਟਰੈਕ ਕਰਨ, ਰਿਪੋਰਟਾਂ ਬਣਾਉਣ, ਹੀਟ ਨਕਸੇ ਅਤੇ ਹੋਰ ਅੰਕੜਿਆਂ ਸੰਬੰਧੀ ਦ੍ਰਿਸਟੀਕੋਣ, ਦੇਸ ਵਿੱਚ ਪੋਸਣ ਟਰੈਕਰ ਦੇ ਪ੍ਰਬੰਧਨ ਦੇ ਲਈ ਵਰਤਿਆ ਜਾਵੇਗਾ।"
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,ਤੁਹਾਡੀ ਸੰਦਰਭ ਆਈਡੀ (ਮੋਬਾਈਲ ਨੰਬਰ) ਉਪਰੋਕਤ ਧਾਰਾ 1 ਦੇ ਅਨੁਸਾਰ ਤੁਹਾਡੇ ਨਾਲ SMS ਦੁਆਰਾ ਸੰਚਾਰ ਕਰਨ ਲਈ ਤੁਹਾਡੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਨਾਲ ਹੀ ਸਬੰਧਤ ਹੋਵੇਗੀ।
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","ਅਸੀਂ ਤੁਹਾਡੀ ਸਹਿਮਤੀ ਤੋਂ ਬਿਨਾਂ ਕਿਸੇ ਹੋਰ ਤੀਜੀ ਧਿਰ ਨੂੰ ਤੁਹਾਡੀ ਜਾਣਕਾਰੀ ਦਾ ਖੁਲਾਸਾ ਜਾਂ ਟ੍ਰਾਂਸਫਰ ਨਹੀਂ ਕਰਦੇ, ਜਦੋਂ ਤੱਕ ਕਿ ਅਜਿਹਾ ਖੁਲਾਸਾ ਜਾਂ ਟ੍ਰਾਂਸਫਰਃ1. ਕਿਸੇ ਵੀ ਲਾਗੂ ਕਾਨੂੰਨ ਜਾਂ ਅਦਾਲਤ ਦੇ ਆਦੇਸ ਜਾਂ ਨਿਰਦੇਸਾਂ ਦੀ ਪਾਲਣਾ ਕਰਨ ਲਈ ਲੋੜੀਂਦਾ ਹੈ; ਜਾਂ2. ਕਿਸੇ ਵੀ ਉਚਿਤ ਸਰਕਾਰੀ ਏਜੰਸੀ ਦੁਆਰਾ ਕਿਸੇ ਵੀ ਅਪਰਾਧ ਜਾਂ ਘਟਨਾਵਾਂ ਦੀ ਪਛਾਣ ਦੀ ਤਸਦੀਕ, ਰੋਕਥਾਮ, ਖੋਜ, ਜਾਂਚ, ਮੁਕੱਦਮਾ ਚਲਾਉਣ ਜਾਂ ਸਜਾ ਦੇ ਉਦੇਸ ਨਾਲ, ਲਾਗੂ ਕਾਨੂੰਨ ਦੇ ਅਨੁਸਾਰ ਬੇਨਤੀ ਕੀਤੀ ਗਈ ਹੋਵੇ।"
GOSABA ICDS ADDITIONAL,ਗੋਸਾਬਾ ਆਈਸੀਡੀਐਸ ਏਡੀਡੀਐਲ ਸਨਲ
Download Mobile App,ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ
Durgapur I Urban,ਦੁਰਗਾਪੁਰ I ਸਹਿਰੀ
Ausgram - I,ਔਸਗ੍ਰਾਮ - I
Having difficulty raising ticket,ਟਿਕਟ ਲੈਣ ਵਿੱਚ ਮੁਸਕਲ ਆ ਰਹੀ ਹੈ
Ausgram - II,ਔਸਗ੍ਰਾਮ - II
West Zone Rmc,ਪੱਛਮੀ ਜੋਨ ਆਰਐਮਸੀ
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.","ਸਾਡੀ ਗੋਪਨੀਅਤਾ ਨੀਤੀ, ਓਪਨ API ਨੀਤੀ ਅਤੇ ਕਈ ਹੋਰ ਨੀਤੀਆਂ, ਨਿਯਮ ਜਾਂ ਦਿਸਾ-ਨਿਰਦੇਸ ਜੋ ਸਾਈਟ 'ਤੇ ਵਿਸੇਸ ਪੇਸਕਸਾਂ ਜਾਂ ਵਿਸੇਸਤਾਵਾਂ 'ਤੇ ਲਾਗੂ ਹੋ ਸਕਦੇ ਹਨ, ਨੂੰ ਇਹਨਾਂ ਨਿਯਮਾਂ ਵਿੱਚ ਸਾਮਲ ਕੀਤਾ ਗਿਆ ਹੈ।"
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","ਸਾਈਟ 'ਤੇ ਜਾ ਕੇ ਜਾਂ ਇਸਦੀ ਵਰਤੋਂ ਕਰਕੇ, ਤੁਸੀਂ ਸਮੇਂ-ਸਮੇਂ 'ਤੇ ਅੱਪਡੇਟ ਕੀਤੇ ਗਏ ਇਨ੍ਹਾਂ ਨਿਯਮਾਂ ਨਾਲ ਸਪੱਸਟ ਤੌਰ 'ਤੇ ਸਹਿਮਤ ਹੁੰਦੇ ਹੋ।"
"If you do not agree with any part of these terms, do not use the site.","ਜੇਕਰ ਤੁਸੀਂ ਇਹਨਾਂ ਸਰਤਾਂ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਨਾਲ ਸਹਿਮਤ ਨਹੀਂ ਹੋ, ਤਾਂ ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਨਾ ਕਰੋ।"
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,ਤੁਸੀਂ ਕਿਸੇ ਵੀ ਤਰੀਕੇ ਨਾਲ ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰ ਸਕਦੇ ਹੋ ਅਤੇ ਸਰਤਾਂ ਨੂੰ ਸਵੀਕਾਰ ਨਹੀਂ ਕਰ ਸਕਦੇ ਹੋ ਜੇਕਰ ਇੱਕ ਇਕਰਾਰਨਾਮਾ ਬਣਾਉਣ ਲਈ ਤੁਹਾਡੀ ਉਮਰ ਕਾਨੂੰਨਨ ਯੋਗ ਨਹੀਂ ਹੈ।
BARUIPUR ICDS PROJECT,ਬਰੂਈਪੁਰ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,ਬੈਸੀਲਸ ਕੈਲਮੇਟ ਗੁਆਰਿਨ (ਬੀਸੀਜੀ)ਓਰਲ ਪੋਲੀਓ ਵੈਕਸੀਨ (ਓ ਪੀ ਵੀ)-0 ਖੁਰਾਕ ਹੈਪੇਟਾਈਟਸ ਬੀ ਦੀ ਜਨਮ ਖੁਰਾਕ ਓਪੀਵੀ-1 ਟੀ
Dhubri - Assam,ਧੁਬਰੀ - ਅਸਾਮ
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",ਧਾਰਾ 1 ਦੇ ਤਹਿਤ ਇਕੱਤਰ ਕੀਤੀ ਗਈ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਸਿਹਤ ਦੀ ਸਹੂਲਤ ਦੇ ਉਦੇਸ ਲਈ ਕੀਤੀ ਜਾਵੇਗੀ।
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","ਅਸੀਂ ਆਪਣੇ ਉਤਪਾਦ ਪ੍ਰਦਾਨ ਕਰਦੇ ਹਾਂ, ਜਿਸ ਵਿੱਚ ਸਿਸਟਮ ਦੀ ਜਾਣਕਾਰੀ/ਅੰਕੜੇ/ ਸਮੱਗਰੀ ਅਤੇ ਸਮੱਗਰੀ ਨੂੰ ਅੱਪਡੇਟ ਕਰਨਾ, ਸੁਰੱਖਿਅਤ ਕਰਨਾ ਅਤੇ ਸਮੱਸਿਆ ਦਾ ਨਿਪਟਾਰਾ ਕਰਨਾ ਸਾਮਲ ਹੈ, ਨਾਲ ਹੀ ਸਹਾਇਤਾ ਪ੍ਰਦਾਨ ਕਰਨਾ ਵੀ ਸਾਮਲ ਹੈ।"
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","ਜਦੋਂ ਤੁਸੀਂ ਪੋਸਣ ਟਰੈਕਰ 'ਤੇ ਰਜਿਸਟਰ ਕਰਦੇ ਹੋ, ਤਾਂ ਉਹ ਮੋਬਾਈਲ ਨੰਬਰ ਜਿਸ ਨਾਲ ਤੁਸੀਂ ਰਜਿਸਟਰ ਕੀਤਾ ਸੀ, ਡੇਟਾਬੇਸ ਤੋਂ ਤੁਹਾਡੇ ਰਿਕਾਰਡ ਨੂੰ ਲੱਭਣ ਲਈ ਵਰਤਿਆ ਜਾਵੇਗਾ।"
These can also be used to assess the health status as recorded in the Poshan Tracker system.,ਇਹਨਾਂ ਦੀ ਵਰਤੋਂ ਸਿਹਤ ਸਥਿਤੀ ਦਾ ਮੁਲਾਂਕਣ ਕਰਨ ਲਈ ਵੀ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ ਜਿਵੇਂ ਕਿ ਪੋਸਣ ਟਰੈਕਰ ਪ੍ਰਣਾਲੀ ਵਿੱਚ ਦਰਜ ਕੀਤਾ ਗਿਆ ਹੈ।
Salboni -Adl ICDS Project,ਸਲਬੋਨੀ -ਏਡੀਐਲ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
BOLPUR  ADDL,ਬੋਲਪੁਰ ਏਡੀਡੀਐਲ.ਐਲ
Madhupur Icds Project,ਮਧੂਪੁਰ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Stunted Assessment Parameters,ਰੁਕੇ ਹੋਏ ਵਾਧੇ ਦਾ ਮੁਲਾਂਕਣ ਦਾ ਮਾਪਦੰਡ
