eng,or
Madhyamgram New Barrackpore(U) ICDS Project,ମଧ୍ୟମଗ୍ରାମ ନ୍ୟୁ ବାରାକପୋର (ୟୁ) ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ
Gangtok Rural Project,ଗାଙ୍ଗଟକ୍ ଗ୍ରାମୀଣ ପ୍ରକଳ୍ପ
Bishnupur II ICDS,ବିଷ୍ଣୁପୁର II ଆଇସିଡିଏସ
Ponnamapet (Sal Pro 2),ପୋନାମାପେଟ୍ (ସାଲ୍ ପ୍ରୋ 2)
Murarai - I,ମୁରାରାଇ - I
Karimnagar (R ),କରିମନଗର (ଆର)
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","ଉପରୋକ୍ତ ଧାରା 1 ଅନୁଯାୟୀ ପଞ୍ଜୀକରଣ ସମୟରେ ଆପଣଙ୍କଠାରୁ ସଂଗୃହିତ ବ୍ୟକ୍ତିଗତ ସୂଚନା ନିରାପଦରେ ଗଚ୍ଛିତ ହେବ ଏବଂ ସ୍ୱାସ୍ଥ୍ୟ ପ୍ରଗତି ଏବଂ ସ୍ଥିତି ଉପରେ ନଜର ରଖିବା, ରିପୋର୍ଟ, ଉତ୍ତାପ ମାନଚିତ୍ର ଏବଂ ଅନ୍ୟାନ୍ୟ ପରିସଂଖ୍ୟାନ ସୃଷ୍ଟି କରିବା ଉଦ୍ଦେଶ୍ୟରେ କେବଳ ଭାରତ ସରକାର କିମ୍ବା ରାଜ୍ୟ ସରକାର ବ୍ୟବହାର କରିବେ | ଦେଶରେ ପୃଷ୍ଟିକର ଟ୍ରାକରର ପରିଚାଳନା ଉଦ୍ଦେଶ୍ୟରେ ଭିଜୁଆଲାଇଜେସନ୍,।ଉପରୋକ୍ତ ଧାରା 1 ଅନୁଯାୟୀ SMS ମାଧ୍ୟମରେ ଆପଣଙ୍କୁ ଯୋଗାଯୋଗ କରିବା ପାଇଁ ଆପଣଙ୍କର ରେଫରେନ୍ସ ID (ମୋବାଇଲ୍ ନମ୍ବର) କେବଳ ଆପଣଙ୍କର ବ୍ୟକ୍ତିଗତ ସୂଚନା ସହିତ ସହ-ଜଡିତ ହେବ |ଆପଣଙ୍କ ସମ୍ମତି ବିନା ଆମେ ଆପଣଙ୍କର ସୂଚନା ଅନ୍ୟ କୌଣସି ତୃତୀୟ ପକ୍ଷକୁ ପ୍ରକାଶ କିମ୍ବା ସ୍ଥାନାନ୍ତର କରୁନାହୁଁ, ଯେପର୍ଯ୍ୟନ୍ତ ଏହିପରି ପ୍ରକାଶ କିମ୍ବା ସ୍ଥାନାନ୍ତର ନୁହେଁଃ1. ଯେକୌଣସି ପ୍ରଯୁଜ୍ୟ ଆଇନ କିମ୍ବା କୋର୍ଟର ନିର୍ଦ୍ଦେଶ କିମ୍ବା ଦିଗକୁ ପାଳନ କରିବା ପାଇଁ ଆବଶ୍ୟକ; କିମ୍ବା2. ଯେକୌଣସି ଅପରାଧ କିମ୍ବା ଘଟଣାର ଦଣ୍ଡବିଧାନ, ପ୍ରତିରୋଧ, ଚିହ୍ନଟ, ଅନୁସନ୍ଧାନ, ପ୍ରବର୍ତ୍ତନ କିମ୍ବା ଦଣ୍ଡବିଧାନ ଉଦ୍ଦେଶ୍ୟରେ ପ୍ରଯୁଜ୍ୟ ଆଇନ ଅନୁଯାୟୀ ଯେକୌଣସି ଉପଯୁକ୍ତ ସରକାରୀ ସଂସ୍ଥା ଦ୍ୱାରା ଅନୁରୋଧ |"
GOSABA ICDS ADDITIONAL,ଗୋସାବା ଆଇସିଡିଏସ୍ ଆଡିସନାଲ୍
Download Mobile App,ମୋବାଇଲ୍ ଆପ୍ ଡାଉନଲୋଡ୍ କରନ୍ତୁ
Durgapur I Urban,ଦୁର୍ଗାପୁର I ଅର୍ବାନ୍
Ausgram - I,ଅସଗ୍ରାମ - I
Having difficulty raising ticket,ଟିକେଟ୍ ବଢାଇବାରେ ଅସୁବିଧା ହେଉଛି
Ausgram - II,ଅସଗ୍ରାମ - II
West Zone Rmc,ୱେଷ୍ଟ ଜୋନ୍ ଆରଏମସି
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.If you do not agree with any part of these terms, do not use the site.You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.","ଆମର ଗୋପନୀୟତା ନୀତି, ଖୋଲା API ନୀତି ଏବଂ ଅନ୍ୟ କୌଣସି ନୀତି, ନିୟମ କିମ୍ବା ନିର୍ଦ୍ଦେଶାବଳୀ ଯାହା ସାଇଟରେ ନିର୍ଦ୍ଦିଷ୍ଟ ଅଫର୍ କିମ୍ବା ବୈଶିଷ୍ଟ୍ୟଗୁଡିକ ପାଇଁ ପ୍ରଯୁଜ୍ୟ ହୋଇପାରେ ଏହି ସର୍ତ୍ତଗୁଡିକରେ ଅନ୍ତର୍ଭୁକ୍ତ | ସାଇଟ୍ ପରିଦର୍ଶନ କିମ୍ବା ବ୍ୟବହାର କରି, ଆପଣ ଏହି ସର୍ତ୍ତାବଳୀରେ ସ୍ପଷ୍ଟ ଭାବରେ ରାଜି ହୁଅନ୍ତି, ଯେପରି ସମୟ ସମୟରେ ଅପଡେଟ୍ ହୁଏ |ଯଦି ଆପଣ ଏହି ସର୍ତ୍ତାବଳୀର କୌଣସି ଅଂଶ ସହିତ ସହମତ ନୁହଁନ୍ତି, ସାଇଟ୍ ବ୍ୟବହାର କରନ୍ତୁ ନାହିଁ | ଆପଣ କୌଣସି ପ୍ରକାରେ ସାଇଟ୍ ବ୍ୟବହାର କରିପାରିବେ ନାହିଁ ଏବଂ ଯଦି ଆପଣ ଏକ ବାଧ୍ୟତାମୂଳକ ଚୁକ୍ତିନାମା ପାଇଁ ଆଇନଗତ ବୟସର ନୁହଁନ୍ତି ତେବେ ସର୍ତ୍ତାବଳୀ ଗ୍ରହଣ କରିପାରିବେ ନାହିଁ |"
BARUIPUR ICDS PROJECT,ବାରୁଇପୁର ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,ବାକିଲସ୍ କାଲମେଟ୍ ଗୁରେନ୍ (BCG)ଓରାଲ୍ ପୋଲିଓ ଟିକା (OPV) -0 ର ମାତ୍ରା ହେପାଟାଇଟିସ୍ ବି ଜନ୍ମ ମାତ୍ରା OPV-1 T
Dhubri - Assam,ଧୁବରୀ - ଆସାମ
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.These can also be used to assess the health status as recorded in the Poshan Tracker system.","ଧାରା 1 ଅନୁଯାୟୀ ସଂଗୃହିତ ସୂଚନା ହିତାଧିକାରୀଙ୍କ ସ୍ୱାସ୍ଥ୍ୟକୁ ସୁଗମ କରିବା ଉଦ୍ଦେଶ୍ୟରେ ବ୍ୟବହୃତ ହେବ |ଆମେ ଆମର ଉତ୍ପାଦଗୁଡିକ ପ୍ରଦାନ କରୁ, ଯେଉଁଥିରେ ସିଷ୍ଟମର ସୂଚନା / ତଥ୍ୟ / ସାମଗ୍ରୀ ଏବଂ ବିଷୟବସ୍ତୁକୁ ଅଦ୍ୟତନ, ନିରାପତ୍ତା ଏବଂ ତ୍ରୁଟି ନିବାରଣ ଅନ୍ତର୍ଭୂକ୍ତ କରିବା ସହିତ ସମର୍ଥନ ପ୍ରଦାନ କରିଥାଏ |ଯେତେବେଳେ ତୁମେ ପୃଷ୍ଟିକର ଟ୍ରାକରରେ ପଞ୍ଜୀକୃତ ହେବ, ମୋବାଇଲ୍ ନମ୍ବର ଯାହା ସହିତ ତୁମେ ପଞ୍ଜୀକୃତ ହେବ, ଡାଟାବେସ୍ ରୁ ତୁମର ରେକର୍ଡ ଖୋଜିବା ପାଇଁ ବ୍ୟବହୃତ ହେବ | ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ସିଷ୍ଟମରେ ରେକର୍ଡ କରାଯାଇଥିବା ପରି ସ୍ୱାସ୍ଥ୍ୟ ସ୍ଥିତିକୁ ଆକଳନ କରିବା ପାଇଁ ଏଗୁଡିକ ମଧ୍ୟ ବ୍ୟବହାର କରାଯାଇପାରିବ |"
Salboni -Adl ICDS Project,ସାଲବୋନି -ଆଡିସନାଲ୍ ଆଇସିଡିଏସ୍ ପ୍ରକଳ୍ପ
BOLPUR  ADDL,ବୋଲପୁର ଆଡିସନାଲ୍
Madhupur Icds Project,ମଧୁପୁର ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
Stunted Assessment Parameters,ଅବରୋଧିତ ପାରାମିଟରଗୁଡିକ ମୂଲ୍ୟାଙ୍କନ
"You shall not, either on your own or through any other person:Restrict or inhibit any other person from using the SiteUse the Site for any unlawful purposeExpress or imply that any statements you make are endorsed by us, without our prior written consentImpersonate any person or entity, whether actual or fictitiousEngage in spamming or floodingHarvest or collect information about Site usersOpen multiple accounts for yourself or any other individual using multiple mobile numbersSubmit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive natureManipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submitLink to any portion of the Site other than the URL assigned to the home page of the Site“Frame” or “Mirror” any part of the SiteModify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the ContentRemove any copyright, trademark or other proprietary rights notices contained on the SiteUse any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is activeTake any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the ContentThe Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purposeYou will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","ଆପଣ ନିଜେ କିମ୍ବା ଅନ୍ୟ କୌଣସି ବ୍ୟକ୍ତିଙ୍କ ମାଧ୍ୟମରେ କରିବେ ନାହିଁଃସାଇଟ୍ ବ୍ୟବହାର କରିବାରେ ଅନ୍ୟ କୌଣସି ବ୍ୟକ୍ତିଙ୍କୁ ପ୍ରତିବନ୍ଧକ କିମ୍ବା ପ୍ରତିରୋଧ କରନ୍ତୁ |ଯେକୌଣସି ବେଆଇନ ଉଦ୍ଦେଶ୍ୟ ପାଇଁ ସାଇଟ୍ ବ୍ୟବହାର କରନ୍ତୁ |ଆମର ପୂର୍ବ ଲିଖିତ ସମ୍ମତି ବିନା, ଆପଣ କରିଥିବା କୌଣସି ବିବୃତ୍ତି ଆମ ଦ୍ୱାରା ଅନୁମୋଦନ ହୋଇଛି ବୋଲି ଏକ୍ସପ୍ରେସ୍ କରନ୍ତୁ କିମ୍ବା ସୂଚିତ କରନ୍ତୁ |ପ୍ରକୃତ କିମ୍ବା କାଳ୍ପନିକ ହେଉ ଯେକୌଣସି ବ୍ୟକ୍ତି ବା ସଂସ୍ଥାର ଛଦ୍ମନାମ |ସ୍ପାମ୍ କିମ୍ବା ବନ୍ୟାରେ ଜଡିତସାଇଟ୍ ଉପଭୋକ୍ତାମାନଙ୍କ ବିଷୟରେ ଅମଳ କରନ୍ତୁ କିମ୍ବା ସୂଚନା ସଂଗ୍ରହ କରନ୍ତୁ |ଏକାଧିକ ମୋବାଇଲ୍ ନମ୍ବର ବ୍ୟବହାର କରି ନିଜ ପାଇଁ କିମ୍ବା ଅନ୍ୟ କୌଣସି ବ୍ୟକ୍ତିଙ୍କ ପାଇଁ ଏକାଧିକ ଖାତା ଖୋଲନ୍ତୁ |ଯେକୌଣସି ସଫ୍ଟୱେର୍ କିମ୍ବା ଅନ୍ୟାନ୍ୟ ସାମଗ୍ରୀ ଦାଖଲ କରନ୍ତୁ ଯେଉଁଥିରେ କୌଣସି ଭାଇରସ୍, ପୋକ, ଟ୍ରୋଜାନ୍ ଘୋଡା, ତ୍ରୁଟି, ତାରିଖ ବୋମା, ଟାଇମ୍ ବମ୍ କିମ୍ବା ବିନାଶକାରୀ ପ୍ରକୃତିର ଅନ୍ୟାନ୍ୟ ଜିନିଷ ଥାଏ |ଆପଣ ଦାଖଲ କରୁଥିବା ଯେକୌଣସି ପୋଷ୍ଟିଂର ଉତ୍ପତ୍ତିକୁ ଛଦ୍ମନାମ କରିବା ପାଇଁ, ହେଡର୍ ଗୁଡିକୁ ଅନ୍ତର୍ଭୁକ୍ତ କରି ପରିଚାୟକଗୁଡିକୁ ମନିପ୍ୟୁଲେଟ୍ କରନ୍ତୁ |ସାଇଟର ମୂଳପୃଷ୍ଠାକୁ ଦିଆଯାଇଥିବା URL ବ୍ୟତୀତ ସାଇଟର ଯେକୌଣସି ଅଂଶକୁ ଲିଙ୍କ୍ କରନ୍ତୁ |""ଫ୍ରେମ୍"" କିମ୍ବା ""ଦର୍ପଣ"" ସାଇଟର ଏକ ଅଂଶ |ପରିବର୍ତ୍ତନ, ଆଡାପ୍ଟ୍, ସବ୍-ଲାଇସେନ୍ସ, ଅନୁବାଦ, ବିକ୍ରୟ, ଓଲଟା ଇଞ୍ଜିନିୟର, ସାଇଟର ଯେକୌଣସି ଅଂଶକୁ ବିଛିନ୍ନ କରନ୍ତୁ, କିମ୍ବା ଅନ୍ୟ କୌଣସି ଉତ୍ସ କୋଡ୍ କିମ୍ବା ବିଷୟବସ୍ତୁର ଅନ୍ତର୍ନିହିତ ଧାରଣା କିମ୍ବା ଆଲଗୋରିଦମ ପାଇବାକୁ ଚେଷ୍ଟା କରନ୍ତୁ |ସାଇଟରେ ଥିବା କୌଣସି କପିରାଇଟ୍, ଟ୍ରେଡ୍ ମାର୍କ କିମ୍ବା ଅନ୍ୟାନ୍ୟ ମାଲିକାନା ଅଧିକାର ବିଜ୍ଞପ୍ତିଗୁଡିକ ଅପସାରଣ କରନ୍ତୁ |ଯେକୌଣସି କମ୍ପ୍ୟୁଟର ପ୍ରୋଗ୍ରାମ, ବଟ୍, ରୋବଟ୍, ସ୍ପାଇଡର୍, ଅଫଲାଇନ୍ ରିଡର୍, ସାଇଟ୍ ସନ୍ଧାନ / ପୁନରୁଦ୍ଧାର ପ୍ରୟୋଗ କିମ୍ବା ଅନ୍ୟାନ୍ୟ ମାନୁଆଲ୍ କିମ୍ବା ସ୍ୱୟଂଚାଳିତ ଉପକରଣ, ଉପକରଣ, କିମ୍ବା ପ୍ରକ୍ରିୟା ପୁନରୁଦ୍ଧାର, ସୂଚକାଙ୍କ, ଡାଟା ଖଣି, କିମ୍ବା ଯେକ way ଣସି ପ୍ରକାରେ ସୁରକ୍ଷା ସଂରଚନା, ନାଭିଗେସନ୍ ପୁନଃ ପ୍ରକାଶନ କିମ୍ବା ବଞ୍ଚାଇବା ପାଇଁ ବ୍ୟବହାର କରନ୍ତୁ | ସଂରଚନା, କିମ୍ବା ବିଷୟବସ୍ତୁ କିମ୍ବା ସାଇଟର ଉପସ୍ଥାପନା, ସାଇଟରେ ପ୍ରଦର୍ଶିତ ଯେକୌଣସି CAPTCHA ସହିତ ଅନ୍ତର୍ଭୂକ୍ତ କରେ |ଯେକୌଣସି ସ୍ୱୟଂଚାଳିତ ସଫ୍ଟୱେୟାର କିମ୍ବା କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମକୁ ସନ୍ଧାନ କିମ୍ବା ବୁକ୍ ନିଯୁକ୍ତିକୁ ବ୍ୟବହାର କରିବା ସହିତ ଆପଣଙ୍କ କମ୍ପ୍ୟୁଟରରୁ ଅନ୍ୟ ଏକ କମ୍ପ୍ୟୁଟରକୁ ସୂଚନା ପଠାଇବା ସହିତ ଏପରି ସଫ୍ଟୱେୟାର କିମ୍ବା ସିଷ୍ଟମ ସକ୍ରିୟ ଥିବା ବ୍ୟବହାର କରନ୍ତୁ |ଯେକୌଣସି କାର୍ଯ୍ୟ ନିଅନ୍ତୁ ଯାହା ଆମ ଭିତ୍ତିଭୂମି ଉପରେ ଏକ କାରଣହୀନ କିମ୍ବା ଅନୁପଯୁକ୍ତ ବୃହତ ଭାର ଧାରଣ କରିଥାଏ କିମ୍ବା ଲଗାଇପାରେ (ଆମର ନିଜସ୍ୱ ବିବେଚନାରେ) |ଯେକୌଣସି ଉପକରଣ, ପ୍ରୋଗ୍ରାମ କିମ୍ବା ସେବା ସହିତ ଏକ ପ୍ରୟାସରେ ବିଷୟବସ୍ତୁ, ଯେକୌଣସି ବୈଷୟିକ ମାପକୁ ବଞ୍ଚାଇବା ପାଇଁ ପରିକଳ୍ପିତ, ଯାହା ସାଇଟ ଏବଂ / କିମ୍ବା ବିଷୟବସ୍ତୁକୁ ଯେକୌଣସି ପ୍ରକାରେ ସୀମିତତା ବିନା, ପ୍ରବେଶକୁ ନିୟନ୍ତ୍ରଣ କରିଥାଏ | ଯେକୌଣସି ଉଦ୍ଦେଶ୍ୟରେ ମାନୁଆଲ୍ ଡିକୋଡ୍, ଡିକ୍ରିପ୍ଟ, ରୂପାନ୍ତର, କିମ୍ବା ଓଲଟା ଇଞ୍ଜିନିୟର୍ ସାର୍ଟିଫିକେଟ୍ କିମ୍ବା ଅନ୍ତର୍ନିହିତ ଆଲଗୋରିଦମ କିମ୍ବା ସ୍ୱୟଂଚାଳିତ ଉପକରଣ ପ୍ରକ୍ରିୟା |ଯେକ ଣସି ଉପକରଣ, ପ୍ରୋଗ୍ରାମ କିମ୍ବା ସେବା ସହିତ ଏକ ପ୍ରୟାସରେ ବିଷୟବସ୍ତୁ, ଯେକ any ଣସି ବ techn ଷୟିକ ମାପକୁ ବଞ୍ଚାଇବା ପାଇଁ ପରିକଳ୍ପିତ, ଯାହା ସାଇଟ ଏବଂ / କିମ୍ବା ବିଷୟବସ୍ତୁକୁ ଯେକ way ଣସି ପ୍ରକାରେ ସୀମିତତା ବିନା, ପ୍ରବେଶକୁ ନିୟନ୍ତ୍ରଣ କରିଥାଏ | ଯେକ any ଣସି ଉଦ୍ଦେଶ୍ୟରେ ମାନୁଆଲ୍ ଡିକୋଡ୍, ଡିକ୍ରିପ୍ଟ, ରୂପାନ୍ତର, କିମ୍ବା ଓଲଟା ଇଞ୍ଜିନିୟର୍ ସାର୍ଟିଫିକେଟ୍ କିମ୍ବା ଅନ୍ତର୍ନିହିତ ଆଲଗୋରିଦମ କିମ୍ବା ସ୍ୱୟଂଚାଳିତ ଉପକରଣ ପ୍ରକ୍ରିୟା |ସାଇଟ୍ ମାଧ୍ୟମରେ ଅଂଶଗ୍ରହଣକାରୀଙ୍କୁ ପଞ୍ଜିକରଣ କରିବା ପାଇଁ ଆପଣ ବଟ୍ ଟେକ୍ନୋଲୋଜି ବ୍ୟବହାର କରିବେ ନାହିଁ; ସନ୍ଦେହକୁ ଏଡାଇବା ପାଇଁ, ଏହା ଆପଣଙ୍କୁ ସାଇଟରେ ସ୍ୱୟଂଚାଳିତ ସ୍କ୍ରିପ୍ଟ ଆଧାରିତ କିମ୍ବା ସ୍ୱୟଂଚାଳିତ ସଫ୍ଟୱେର୍ ବ୍ୟବହାର କରିବାକୁ ବାରଣ କରିଥାଏ, ଏବଂ ସାଇଟରେ କୌଣସି ସୁରକ୍ଷା ମାପ, ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ସିଷ୍ଟମ୍ କିମ୍ବା ଅନ୍ୟାନ୍ୟ ବୈଷୟିକ ନିୟନ୍ତ୍ରଣ କିମ୍ବା ମାପକୁ ବାରଣ କରିବାକୁ ବାରଣ କରିଥାଏ ଯାହା ଅଂଶଗ୍ରହଣକୁ କାର୍ଯ୍ୟକାରୀ କରିବା ପାଇଁ ବ୍ୟବହୃତ ହୁଏ | ଗୋଟିଏ ମୋବାଇଲ୍ ନମ୍ବର ସହିତ ଜଡିତ ଅଂଶଗ୍ରହଣକାରୀଙ୍କ ନିୟମ ପଞ୍ଜିକରଣର ଅଖଣ୍ଡତା ବଜାୟ ରଖିବା |"
Training on ICT Platform under POSHAN Abhiyaan,ପୃଷ୍ଟିକର ଅଭିଯାନ ଅଧୀନରେ ICT ପ୍ଲାଟଫର୍ମ ଉପରେ ତାଲିମ
Barasat - I Addl.,ବାରାସାତ - I ଆଡିସନାଲ୍
"Know more about stunting, wasting and underweight","ଷ୍ଟଣ୍ଟିଂ, ଅପଚୟ ଏବଂ କମ୍ ଓଜନ ବିଷୟରେ ଅଧିକ ଜାଣ |"
What information to be added in AWC forms?,ଏଡବ୍ଲ୍ୟୁସି ଫର୍ମରେ କେଉଁ ସୂଚନା ଯୋଡାଯିବ?
Mathavaram Rural @ Puzhal,ମାଥାଭାରାମ ଗ୍ରାମୀଣ @ ପୁଜାଲ
How to revive your health if you are Moderately Wasted (MAM),ଯଦି ତୁମେ ସାମାନ୍ୟ ନଷ୍ଟ ହୋଇଯାଅ (MAM)
AWC Workers Registered In Last 30 Days,AWC କର୍ମୀ ଗତ 30 ଦିନରେ ପଞ୍ଜିକୃତ
Daman & Diu,ଦାମନ ଏବଂ ଡିୟୁ
Lahaul & Spiti,ଲାହୁଲ ଏବଂ ସ୍ପୀତି
Katwa - I,କଟୱା - I
OPEN A NEW TICKET,ଏକ ନୂଆ ଟିକେଟ୍ ଖୋଲ
Lower Dibang Valley,ନିମ୍ନ ଦିବାଙ୍ଗ ଉପତ୍ୟକା
Click on above button to get this App,ଏହି ଆପ୍ ପାଇବା ପାଇଁ ଉପରୋକ୍ତ ବଟନ୍ ଉପରେ କ୍ଲିକ୍ କରନ୍ତୁ
Please Enter Valid Name,ଦୟାକରି ବୈଧ ନାମ ପ୍ରବେଶ କରନ୍ତୁ
1. INFORMATION WE COLLECT,1. ସୂଚନା ଆମେ ସଂଗ୍ରହ କରୁ
Beneficiaries Registered In Last 30 Days,ହିତାଧିକାରୀମାନେ ଗତ 30 ଦିନରେ ପଞ୍ଜିକୃତ ହୋଇଥିଲେ
Gopiballabhpur - II,ଗୋପୀବଲ୍ଲଭପୁର - II
Darjeeling PulBazar.,ଦାର୍ଜିଲିଂ ପୁଲବଜାର।
Addl,ଆଡିସନାଲ୍
Specifications of Smart phone and Technical Compatibility Testing,ସ୍ମାର୍ଟ ଫୋନ୍ ଏବଂ ଯାନ୍ତ୍ରିକ ସୁସଙ୍ଗତତା ପରୀକ୍ଷଣର ବିଶେଷତା
Preparation During Pregnancy - For NewBorn Care & Family Planning,ଗର୍ଭଧାରଣ ସମୟରେ ପ୍ରସ୍ତୁତି - ନବଜାତ ଯତ୍ନ ଏବଂ ପରିବାର ଯୋଜନା ପାଇଁ
Please select Project,ଦୟାକରି ପ୍ରୋଜେକ୍ଟ ଚୟନ କରନ୍ତୁ
Please Select Query Related to,ଦୟାକରି ସମ୍ବନ୍ଧୀୟ ପ୍ରଶ୍ନ ଚୟନ କରନ୍ତୁ
 IV. ACCOUNT REGISTRATION, IV. ଆକାଉଣ୍ଟ୍ ପଞ୍ଜୀକରଣ
Stunting ( Height for Age)-,ଷ୍ଟଣ୍ଟିଂ (ବୟସ ପାଇଁ ଉଚ୍ଚତା) -
Binpur - II Adl.,ବିନପୁର - II ଆଡିସନାଲ୍
Pakyong Rural Project,ପାକୟୋଙ୍ଗ ଗ୍ରାମୀଣ ପ୍ରକଳ୍ପ
Wasted Assessment Parameters,ନଷ୍ଟ ହୋଇଥିବା ପାରାମିଟରଗୁଡିକ ମୂଲ୍ୟାଙ୍କନ
Sangam Vihar Ii,ସଙ୍ଗମ ବିହାର II
Shri Ram Colony,ଶ୍ରୀ ରାମ କଲୋନୀ
Ranaghat 1 Exsiting,ରାଣାଘାଟ 1 ଏକ୍ସସାଇଟିଂ
Mathabhanga I Addl,ମାଥାଭଙ୍ଗା I ଆଡିସନାଲ୍
Stunting is the impaired growth and development that children experience from poor nutrition,ଷ୍ଟଣ୍ଟିଂ ହେଉଛି ଦୁର୍ବଳ ଅଭିବୃଦ୍ଧି ଏବଂ ବିକାଶ ଯାହା ପିଲାମାନେ ଖରାପ ପୁଷ୍ଟିକର ଖାଦ୍ୟରୁ ଅନୁଭବ କରନ୍ତି |
Children in the age group of 3 years to 6 years,3 ବର୍ଷରୁ 6 ବର୍ଷ ବୟସର ପିଲାମାନେ
Poshan Tracker Dashboard can be accessed by signing onto the dashboard.,ଦାସବୋର୍ଡରେ ସାଇନ୍ ଇନ୍ କରି ପୋଷନ୍ ଟ୍ରାକର୍ ଦାସବୋର୍ଡକୁ ବ୍ୟବହାର କରାଯାଇପାରିବ ।
Dashboard can be accessed by clicking the link https://poshantracker.,ଲିଙ୍କ୍ https://poshantracker.in/admin ରେ କ୍ଲିକ୍ କରି ଦାସବୋର୍ଡକୁ ବ୍ୟବହାର କରାଯାଇପାରିବ ।
"in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.","କେବଳ ଜାତୀୟ, ରାଜ୍ୟ, ଜିଲ୍ଲା, ପ୍ରକଳ୍ପ ଏବଂ କ୍ଷେତ୍ର ସ୍ତରରେ ମନୋନୀତ ନୋଡାଲ ସ୍ତରର ଅଧିକାରୀମାନଙ୍କୁ ଦାସବୋର୍ଡକୁ ବ୍ୟବହାର କରିବା ପାଇଁ ଏକ ସ୍ୱତନ୍ତ୍ର ପ୍ରମାଣପତ୍ର ପ୍ରଦାନ କରାଯାଇଥାଏ ।"
Please enter valid Weight,ଦୟାକରି ବୈଧ ଓଜନ ପ୍ରବେଶ କରନ୍ତୁ |
Khargone (West Nimar),ଖରଗୋନ
 Md. Bazar Addl., ଏମଡି. ବଜାର ଆଡିସନାଲ୍
What is the eligibility of a beneficiary?,ଜଣେ ହିତାଧିକାରୀଙ୍କ ଯୋଗ୍ୟତା କ'ଣ?
Who are the target userbase of Poshan Tracker App?,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ର ଲକ୍ଷ୍ୟ ରଖିଥିବା ବ୍ୟବହାରକାରୀ କିଏ ଅଟନ୍ତି?
Kanpur Nagar City 1,କାନପୁର ନଗର ସହର 1
How Poshan Tracker Works,ପୋଶାନ୍ ଟ୍ରାକର୍ କିପରି କାମ କରେ
Kalna - I Addl.,କାଲନା - I ଆଡିସନାଲ୍
Home visits and Counselling,ହୋମ୍ ପରିଦର୍ଶନ ଏବଂ କାଉନସେଲିଂ
Kusheshwar Asthan Purbi,କୁଶେଶ୍ୱର ଆସ୍ଥାନ ପୁରବି
Mandirbazar ICDS Project,ମନ୍ଦିରବଜାର ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ
Awareness to Lactating Mother,ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମାତା ପ୍ରତି ସଚେତନତା
