eng,ml
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ആയുഷ്മാൻ ഭാരത് ഹെൽത്ത് അക്കൌണ്ടിന്റെ ചുരുക്കപ്പേരാണ് ABHA (നേരത്തെ ഹെൽത്ത് ഐഡി എന്നറിയപ്പെട്ടിരുന്നത്).
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"AWW / AWC- കൾ നോഡൽ ലെവൽ ഉദ്യോഗസ്ഥർക്ക് മാത്രമേ ചേർക്കാൻ കഴിയൂ.ശ്രേണിയിൽ മുകളിലുള്ള റംഗിലുള്ള ആരെങ്കിലും.ദേശീയ തലത്തിലുള്ള ഉപയോക്താവിന് സംസ്ഥാന, ജില്ല, പ്രോജക്റ്റ്, മേഖല തലത്തിലുള്ള ഉപയോക്താക്കളെ സൃഷ്ടിക്കാൻ കഴിയും.സംസ്ഥാനതലത്തിലുള്ള ഉപയോക്താവിന് ജില്ല, പ്രോജക്റ്റ്, സെക്ടർ ലെവൽ ഉപയോക്താക്കളെ സൃഷ്ടിക്കാൻ കഴിയും, ജില്ലാതല ഉപയോക്താവിന് പ്രോജക്റ്റ്, സെക്ടർ ലെവൽ ഉപയോക്താവിനെ സൃഷ്ടിക്കാൻ കഴിയും, പ്രോജക്റ്റ് ലെവൽ ഉപയോക്താവിന് സെക്ടർ ലെവൽ യൂസർ.ക സൃഷ്ടിക്കാൻ കഴിയും."
Please enter valid DOB,ദയവായി സാധുവായ DOB നൽകുക
Raghunathganj - II Addl.,രഘുനാഥ്ഗഞ്ച് - II എഡിഡിഎൽ.
Where can I enquire about take home ration?,റേഷൻ വീട്ടിലേക്ക് കൊണ്ടുപോകുന്നതിനെക്കുറിച്ച് എനിക്ക് എവിടെ അന്വേഷിക്കാനാകും?
Kaying - Payum,കയിങ്- പായും
Hot Cooked Meal,ചൂടുള്ള പാകം ചെയ്ത ഭക്ഷണം
ATTENDANCE OF CHILDREN TODAY,ഇന്ന് കുട്ടികളുടെ ശ്രദ്ധ
How Poshan Tracker Works,പോഷൻ ട്രാക്കർ എങ്ങനെ പ്രവർത്തിക്കുന്നു
Upper Dibang Valley,അപ്പർ ദിബാംഗ് വാലി
 R. K. Nagar, ആർ. കെ. നഗർ
South Bungtlang ICDS Project,സൌത്ത് ബംഗ്ലാങ് ഐസിഡിഎസ് പ്രോജക്ട്
We use the information we collect from all our services for the following purposes:,ഞങ്ങളുടെ എല്ലാ സേവനങ്ങളിൽ നിന്നും ഞങ്ങൾ ശേഖരിക്കുന്ന വിവരങ്ങൾ ഇനിപ്പറയുന്ന ആവശ്യങ്ങൾക്കായി ഞങ്ങൾ ഉപയോഗിക്കുന്നുഃ
Identification & Referral of Sick Newborn,അസുഖമുള്ള നവജാതശിശുവിനെ തിരിച്ചറിയലും റഫറലും
Sant Kabir Nagar,സന്ത് കബീർനഗർ
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. മൂന്നാം കക്ഷി സംവിധാനങ്ങൾ നൽകുന്ന ഡാറ്റയുടെ കൃത്യത
Beneficiary concerns accessibility to AWW,AWW ലേക്കുള്ള മാറ്റത്തിൽ ഗുണഭോക്താവിൻറെ ആശങ്കകൾ
Nabadwip Urban ICDS Project,നബാദ്വിപ്പ് അർബൻ ഐസിഡിഎസ് പ്രോജക്ട്
Monday to Friday,തിങ്കളാഴ്ച മുതൽ വെള്ളിയാഴ്ച വരെ
Please select Gender,ദയവായി ലിംഗഭേദം തിരഞ്ഞെടുക്കുക
Andaman & Nicobar Islands,ആൻഡമാൻ നിക്കോബാർ ദ്വീപുകൾ
Please Select Description,ദയവായി വിവരണം തിരഞ്ഞെടുക്കുക
Kaliachak - I Adl.,കാലിയാചക് - I എഡിഡിഎൽ.
NEEM KA THANA,നീം കാ ഥാന
Who is eligible for Take Home Ration?,ടേക്ക് ഹോം റേഷൻ ലഭിക്കാൻ അർഹതയുള്ളത് ആരാണ്?
Golghat West Icds Project,ഗോലാഘട്ട് വെസ്റ്റ് ഐസിഡിഎസ് പ്രോജക്ട്
Jorebunglow - Sukhiapokhri,ജോറെബംഗ്ലാവ് - സുഖിയാപോഖ്രി
Supporting mothers with issues in Breastfeeding,മുലയൂട്ടൽ പ്രശ്നങ്ങളുള്ള അമ്മമാരെ പിന്തുണയ്ക്കുന്നു
Barasat - I,ബരാസത്ത് - I
Bakshi Ka Talab,ബക്ഷി കാ തലാബ്
Harishchandrapur - II,ഹരിശ്ചന്ദ്രപൂർ - II
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","അംഗൻവാടി സെന്ററിന്റെ (എഡബ്ല്യുസി) പ്രവർത്തനങ്ങൾ, അംഗൻവാടി വർക്കേഴ്സിന്റെ (എഡബ്ല്യുഡബ്ല്യു) സേവന ഡെലിവറികൾ, ഗർഭിണികൾ, മുലയൂട്ടുന്ന അമ്മമാർ, കുട്ടികൾ എന്നിവരുടെ സമ്പൂർണ്ണ ഗുണഭോക്തൃ മാനേജുമെന്റ് എന്നിവയെക്കുറിച്ച് 360 ഡിഗ്രി കാഴ്ച നൽകുക എന്നതാണ് പോഷാൻ ട്രാക്കർ ആപ്ലിക്കേഷന്റെ ലക്ഷ്യം."
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","നിർദ്ദിഷ്ട സൂചകങ്ങളിൽ എല്ലാ എഡബ്ല്യുസി, എഡബ്ല്യുഡബ്ല്യു, ഗുണഭോക്താക്കൾ എന്നിവരുടെ തത്സമയ നിരീക്ഷണവും ട്രാക്കുചെയ്യലും നിർദ്ദിഷ്ട സംവിധാനം പ്രാപ്തമാക്കണം."
Madhubani - Bihar,മധുബാനി - ബീഹാർ
Last 7 days,കഴിഞ്ഞ 7 ദിവസം
Above standards are defined as per given above mentioned age brackets,മുകളിൽ പറഞ്ഞിരിക്കുന്ന പ്രായപരിധി അനുസരിച്ച് മുകളിലുള്ള മാനദണ്ഡങ്ങൾ നിർവചിച്ചിരിക്കുന്നു
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","ഒരു വ്യക്തിക്ക് ഭാരക്കുറവുണ്ടെങ്കിൽ, ആരോഗ്യമുള്ള എല്ലുകൾ, ചർമ്മം, മുടി എന്നിവ നിർമ്മിക്കുന്നതിന് ആവശ്യമായ പോഷകങ്ങൾ ശരീരത്തിന് ലഭിച്ചേക്കില്ല"
Please select State,ദയവായി സംസ്ഥാനം തെരഞ്ഞെടുക്കുക
Ngopa ICDS Project,എൻഗോപ ഐസിഡിഎസ് പ്രോജക്ട്
Magrahat - II Addl ICDS,മഗ്രാഹത്ത് - II എഡിഡിഎൽ ഐസിഡിഎസ്
Sabroom NP ICDS project,സബ്റൂം എൻപി ഐസിഡിഎസ് പ്രോജക്ട്
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,ബന്ധപ്പെട്ട അംഗൻവാടി പ്രവർത്തകന് അവന്റെ / അവളുടെ മൊബൈൽ നമ്പറിനെതിരെ ഒരു ഒടിപി അഭ്യർത്ഥിച്ച് എംപിഎൻ സജ്ജമാക്കാൻ കഴിയും.
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","മൊബൈൽ നമ്പർ ഇതിനകം ഡാറ്റാബേസിൽ ഉണ്ടെങ്കിൽ, ബന്ധപ്പെട്ട അംഗൻവാഡി വ്യക്തിക്ക് രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പറിൽ 4 അക്ക ഒടിപി ലഭിക്കും."
"Post entering the OTP, AWW can easily set customized MPIN.","ഒടിപിയിൽ പ്രവേശിക്കുന്ന പോസ്റ്റ്, എഡബ്ല്യുഡബ്ല്യുവിന് ഇച്ഛാനുസൃതമാക്കിയ എംപിഎൻ എളുപ്പത്തിൽ സജ്ജമാക്കാൻ കഴിയും."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","പങ്കെടുക്കുന്ന ഹെൽത്ത് കെയർ പ്രൊവൈഡർമാരുമായുള്ള നിങ്ങളുടെ ആശയവിനിമയം ഇത് പ്രാപ്തമാക്കുന്നു, കൂടാതെ നിങ്ങളുടെ ഡിജിറ്റൽ ലാബ് റിപ്പോർട്ടുകൾ, കുറിപ്പടികൾ, രോഗനിർണയം എന്നിവ പരിശോധിച്ചുറപ്പിച്ച ഹെൽത്ത് കെയർ പ്രൊഫഷണലുകളിൽ നിന്നും ആരോഗ്യ സേവന ദാതാക്കളിൽ നിന്നും പരിധികളില്ലാതെ സ്വീകരിക്കാനും നിങ്ങളെ അനുവദിക്കുന്നു."
Alipurduar - I,അലിപുർദുവാർ - I
Poshan Tracker Features,പോഷൻ ട്രാക്കർ സവിശേഷതകൾ
Why this Monthly Meeting?,എന്തിനാണ് ഈ പ്രതിമാസ സമ്മേളനം?
Urban Slum Project,നഗര ചേരി പ്രോജക്ട്
Our System provides API to Third – Party Sites that may collect your personal information.,നിങ്ങളുടെ സ്വകാര്യ വിവരങ്ങൾ ശേഖരിച്ചേക്കാവുന്ന മൂന്നാം കക്ഷി സൈറ്റുകൾക്ക് ഞങ്ങളുടെ സിസ്റ്റം API നൽകുന്നു.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,അത്തരം വിവരങ്ങളുടെ സുരക്ഷയ്ക്കോ അവരുടെ സ്വകാര്യതാ രീതികൾക്കോ   മൂന്നാം കക്ഷി സൈറ്റുകളുടെ ഉള്ളടക്കത്തിനോ പോഷൻ ട്രാക്കർ ഒരു തരത്തിലും ഉത്തരവാദിയല്ല.
"Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites.","കൂടാതെ, മൂന്നാം കക്ഷി സൈറ്റുകളുടെ ചില പേജുകളിൽ ""കുക്കികൾ"" അല്ലെങ്കിൽ മറ്റ് സമാന ഉപകരണങ്ങൾ നിങ്ങൾക്ക് നേരിടേണ്ടി വന്നേക്കാം, ഈ മൂന്നാം കക്ഷി സൈറ്റുകൾ കുക്കികളുടെ ഉപയോഗം സിസ്റ്റം നിയന്ത്രിക്കുന്നില്ലെന്ന് പോഷൻ ട്രാക്കർ ഇതിനാൽ വ്യക്തമാക്കുന്നു."
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,ഈ മൂന്നാം കക്ഷി സേവന ദാതാക്കൾക്കും മൂന്നാം കക്ഷി സൈറ്റുകൾക്കും നിങ്ങൾ വിധേയമായേക്കാവുന്ന നിങ്ങളുടെ വിവരങ്ങളുടെ സംഭരണവും നിലനിർത്തലും നിയന്ത്രിക്കുന്ന അവരുടെ സ്വന്തം സ്വകാര്യതാ നയങ്ങൾ ഉണ്ടായിരിക്കാം.
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.",ഈ സ്വകാര്യതാ നയം ഈ മൂന്നാം കക്ഷി ദാതാക്കൾക്കും മൂന്നാം കക്ഷി സൈറ്റുകൾക്കും നൽകുന്നതോ സംഭരിച്ചതോ ഉപയോഗിക്കുന്നതോ ആയ ഒരു വിവരവും നിയന്ത്രിക്കുന്നില്ല.
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","നിങ്ങൾ ഒരു മൂന്നാം കക്ഷി സൈറ്റിൽ പ്രവേശിക്കുമ്പോൾ, നിങ്ങളുടെ വിവരങ്ങൾ സംരക്ഷിക്കുന്നതുമായി ബന്ധപ്പെട്ട മൂന്നാം കക്ഷി സൈറ്റിന്റെ സ്വകാര്യതാ നയം അവലോകനം ചെയ്യാൻ ഞങ്ങൾ ശുപാർശ ചെയ്യുന്നു."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,തിരയൽ ഫലങ്ങളിലോ ഏതെങ്കിലും മൂന്നാം കക്ഷി സൈറ്റുകളിലോ പ്രസിദ്ധീകരിക്കുന്ന വിവരങ്ങൾക്ക് പോഷൻ ട്രാക്കർ ബാധ്യസ്ഥനല്ലെന്ന് നിങ്ങൾ സമ്മതിക്കുകയും അംഗീകരിക്കുകയും ചെയ്യുന്നു.
Madhyamgram New Barrackpore(U) ICDS Project,മധ്യംഗ്രാം പുതിയ ബാരക്ക്പൂർ(യു) ഐസിഡിഎസ് പ്രോജക്ട്
Gangtok Rural Project,ഗാങ്ടോക്ക് ഗ്രാമീണ പ്രോജക്ട്
Bishnupur II ICDS,ബിഷ്ണുപൂർ II ഐ. സി. ഡി. എസ്
Ponnamapet (Sal Pro 2),പൊന്നാമപേട്ട് (സാൽ പ്രോ 2)
Murarai - I,മുരാറൈ - I
Karimnagar (R ),കരിംനഗർ (ആർ)
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","മുകളിലെ ക്ലോസ് 1 പ്രകാരം രജിസ്ട്രേഷൻ സമയത്ത് നിങ്ങളിൽ നിന്ന് ശേഖരിക്കുന്ന വ്യക്തിഗത വിവരങ്ങൾ സുരക്ഷിതമായി സൂക്ഷിക്കുകയും ആരോഗ്യ പുരോഗതിയും നിലയും ട്രാക്ക് ചെയ്യുന്നതിനും റിപ്പോർട്ടുകൾ സൃഷ്ടിക്കുന്നതിനും ഹീറ്റ് മാപ്പുകൾക്കും മറ്റ് സ്റ്റാറ്റിസ്റ്റിക്കലുകൾക്കും വേണ്ടി ഇന്ത്യാ ഗവൺമെന്റോ സംസ്ഥാന സർക്കാരുകളോ മാത്രമേ ഉപയോഗിക്കൂ.രാജ്യത്തെ പോഷൻ ട്രാക്കറിന്റെ മാനേജ്മെന്റിന്റെ ഉദ്ദേശ്യത്തിനായുള്ള ദൃശ്യവൽക്കരണങ്ങൾ,.മുകളിലെ ക്ലോസ് 1 അനുസരിച്ച് SMS മുഖേന നിങ്ങളോട് ആശയവിനിമയം നടത്തുന്നതിന് നിങ്ങളുടെ റഫറൻസ് ഐഡി (മൊബൈൽ നമ്പർ) നിങ്ങളുടെ സ്വകാര്യ വിവരങ്ങളുമായി മാത്രം ബന്ധപ്പെട്ടിരിക്കും.അത്തരം വെളിപ്പെടുത്തലോ കൈമാറ്റമോ അല്ലാത്തപക്ഷം, നിങ്ങളുടെ സമ്മതമില്ലാതെ മറ്റേതെങ്കിലും മൂന്നാം കക്ഷികൾക്ക് ഞങ്ങൾ നിങ്ങളുടെ വിവരങ്ങൾ വെളിപ്പെടുത്തുകയോ കൈമാറുകയോ ചെയ്യുന്നില്ലഃ1. ബാധകമായ ഏതെങ്കിലും നിയമം അല്ലെങ്കിൽ കോടതി ഉത്തരവുകൾ അല്ലെങ്കിൽ നിർദ്ദേശങ്ങൾ പാലിക്കുന്നതിന് ആവശ്യമാണ്; അഥവാ2. ഏതെങ്കിലും കുറ്റകൃത്യങ്ങളുടെയോ സംഭവങ്ങളുടെയോ ഐഡന്റിറ്റി സ്ഥിരീകരണം, തടയൽ, കണ്ടെത്തൽ, അന്വേഷണം, പ്രോസിക്യൂഷൻ അല്ലെങ്കിൽ ശിക്ഷ എന്നിവയ്ക്കായി ബാധകമായ നിയമപ്രകാരം ഏതെങ്കിലും ഉചിതമായ സർക്കാർ ഏജൻസി അഭ്യർത്ഥിക്കുന്നു."
GOSABA ICDS ADDITIONAL,ഗോസബ ഐസിഡിഎസ് അഡീഷണൽ
Download Mobile App,മൊബൈൽ ആപ്പ് ഡൌൺലോഡ് ചെയ്യുക
Durgapur I Urban,ദുർഗാപൂർ I അർബൻ
Ausgram - I,ഓസ്ഗ്രാം - I
Having difficulty raising ticket,ടിക്കറ്റ് ഉയർത്താൻ ബുദ്ധിമുട്ടുന്നു
Ausgram - II,ഓസ്ഗ്രാം - II
West Zone Rmc,വെസ്റ്റ് സോൺ ആർഎംസി
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.","ഞങ്ങളുടെ സ്വകാര്യതാ നയം, ഓപ്പൺ API നയം, സൈറ്റിലെ പ്രത്യേക ഓഫറുകൾക്കോ   സവിശേഷതകൾക്കോ   ബാധകമായേക്കാവുന്ന മറ്റേതെങ്കിലും നയങ്ങൾ, നിയമങ്ങൾ അല്ലെങ്കിൽ മാർഗ്ഗനിർദ്ദേശങ്ങൾ എന്നിവ ഈ നിബന്ധനകളിൽ ഉൾപ്പെടുത്തിയിട്ടുണ്ട്."
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","സൈറ്റ് സന്ദർശിക്കുകയോ ഉപയോഗിക്കുകയോ ചെയ്യുന്നതിലൂടെ, കാലാകാലങ്ങളിൽ അപ്ഡേറ്റ് ചെയ്യുന്ന ഈ നിബന്ധനകൾ നിങ്ങൾ വ്യക്തമായി അംഗീകരിക്കുന്നു."
"If you do not agree with any part of these terms, do not use the site.","ഈ നിബന്ധനകളുടെ ഏതെങ്കിലും ഭാഗം നിങ്ങൾ അംഗീകരിക്കുന്നില്ലെങ്കിൽ, സൈറ്റ് ഉപയോഗിക്കരുത്."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,"നിങ്ങൾ ഒരു തരത്തിലും സൈറ്റ് ഉപയോഗിക്കാൻ പാടില്ല, ഒരു കരാർ രൂപീകരിക്കാൻ നിങ്ങൾക്ക് നിയമപരമായ പ്രായമില്ലെങ്കിൽ നിബന്ധനകൾ അംഗീകരിക്കാൻ പാടില്ല."
BARUIPUR ICDS PROJECT,ബറൂയ്പൂർ ഐസിഡിഎസ് പ്രോജക്ട്
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,ബാസിലസ് കാൽമെറ്റ് ഗ്വെറിൻ (ബിസിജി)ഓറൽ പോളിയോ വാക്സിൻ (OPV)-0 ഡോസ് ഹെപ്പറ്റൈറ്റിസ് ബി ജനന ഡോസ് OPV-1 T
Dhubri - Assam,ദുബ്രി - അസം
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","ക്ലോസ് 1 പ്രകാരം ശേഖരിക്കുന്ന വിവരങ്ങൾ, ഗുണഭോക്താക്കളുടെ ആരോഗ്യം സുഗമമാക്കുന്നതിന് ഉപയോഗിക്കും."
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","സിസ്റ്റത്തിന്റെ വിവരങ്ങൾ/ഡാറ്റ/ മെറ്റീരിയലുകളും ഉള്ളടക്കങ്ങളും അപ്ഡേറ്റ് ചെയ്യൽ, സുരക്ഷിതമാക്കൽ, ട്രബിൾഷൂട്ട് ചെയ്യൽ, പിന്തുണ നൽകൽ എന്നിവ ഉൾപ്പെടുന്ന ഞങ്ങളുടെ ഉൽപ്പന്നങ്ങൾ ഞങ്ങൾ നൽകുന്നു."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","നിങ്ങൾ പോഷൻ ട്രാക്കറിൽ രജിസ്റ്റർ ചെയ്യുമ്പോൾ, നിങ്ങൾ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പർ, ഡാറ്റാബേസിൽ നിന്ന് നിങ്ങളുടെ റെക്കോർഡ് കണ്ടെത്താൻ ഉപയോഗിക്കും."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,പോഷൻ ട്രാക്കർ സിസ്റ്റത്തിൽ രേഖപ്പെടുത്തിയിരിക്കുന്ന ആരോഗ്യനില വിലയിരുത്താനും ഇവ ഉപയോഗിക്കാം.
Salboni -Adl ICDS Project,സാൽബോണി -എഡിഎൽ ഐസിഡിഎസ് പ്രോജക്ട്
BOLPUR  ADDL,ബോൽപൂർ അഡീഷണൽ
Madhupur Icds Project,മധുപൂർ ഐസിഡിഎസ് പ്രോജക്ട്
Stunted Assessment Parameters,മുരടിച്ച മൂല്യനിർണ്ണയ പാരാമീറ്ററുകൾ
"You shall not, either on your own or through any other person:Restrict or inhibit any other person from using the SiteUse the Site for any unlawful purposeExpress or imply that any statements you make are endorsed by us, without our prior written consentImpersonate any person or entity, whether actual or fictitiousEngage in spamming or floodingHarvest or collect information about Site usersOpen multiple accounts for yourself or any other individual using multiple mobile numbersSubmit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive natureManipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submitLink to any portion of the Site other than the URL assigned to the home page of the Site“Frame” or “Mirror” any part of the SiteModify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the ContentRemove any copyright, trademark or other proprietary rights notices contained on the SiteUse any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.","നിങ്ങൾ സ്വന്തമായോ മറ്റേതെങ്കിലും വ്യക്തി മുഖേനയോ ചെയ്യരുത്ഃസൈറ്റ് ഉപയോഗിക്കുന്നതിൽ നിന്ന് മറ്റേതെങ്കിലും വ്യക്തിയെ നിയന്ത്രിക്കുക അല്ലെങ്കിൽ തടയുകഏതെങ്കിലും നിയമവിരുദ്ധമായ ആവശ്യങ്ങൾക്കായി സൈറ്റ് ഉപയോഗിക്കുകഞങ്ങളുടെ മുൻകൂർ രേഖാമൂലമുള്ള സമ്മതമില്ലാതെ നിങ്ങൾ നടത്തുന്ന ഏതെങ്കിലും പ്രസ്താവനകൾ ഞങ്ങൾ അംഗീകരിച്ചിട്ടുണ്ടെന്ന് പ്രകടിപ്പിക്കുക അല്ലെങ്കിൽ സൂചിപ്പിക്കുകയഥാർത്ഥമോ സാങ്കൽപ്പികമോ ആകട്ടെ, ഏതെങ്കിലും വ്യക്തിയെയോ സ്ഥാപനത്തെയോ ആൾമാറാട്ടം നടത്തുകസ്പാമിംഗിലോ വെള്ളപ്പൊക്കത്തിലോ ഏർപ്പെടുകസൈറ്റ് ഉപയോക്താക്കളെക്കുറിച്ചുള്ള വിവരങ്ങൾ ശേഖരിക്കുക അല്ലെങ്കിൽ ശേഖരിക്കുകഒന്നിലധികം മൊബൈൽ നമ്പറുകൾ ഉപയോഗിച്ച് നിങ്ങൾക്കോ   മറ്റേതെങ്കിലും വ്യക്തിക്കോ വേണ്ടി ഒന്നിലധികം അക്കൌണ്ടുകൾ തുറക്കുകഏതെങ്കിലും വൈറസുകൾ, വിരകൾ, ട്രോജൻ കുതിരകൾ, വൈകല്യങ്ങൾ, തീയതി ബോംബുകൾ, ടൈം ബോംബുകൾ അല്ലെങ്കിൽ വിനാശകരമായ സ്വഭാവമുള്ള മറ്റ് വസ്തുക്കൾ എന്നിവ അടങ്ങിയിരിക്കുന്ന ഏതെങ്കിലും സോഫ്റ്റ്വെയറോ മറ്റ് വസ്തുക്കളോ സമർപ്പിക്കുകനിങ്ങൾ സമർപ്പിക്കുന്ന ഏതൊരു പോസ്റ്റിംഗിന്റെയും ഉത്ഭവം മറയ്ക്കുന്നതിന്, വ്യാജ തലക്കെട്ടുകൾ ഉൾപ്പെടെയുള്ള ഐഡന്റിഫയറുകൾ കൈകാര്യം ചെയ്യുകസൈറ്റിന്റെ ഹോം പേജിലേക്ക് അസൈൻ ചെയ്തിരിക്കുന്ന URL ഒഴികെയുള്ള സൈറ്റിന്റെ ഏതെങ്കിലും ഭാഗത്തേക്ക് ലിങ്ക് ചെയ്യുകസൈറ്റിന്റെ ഏതെങ്കിലും ഭാഗം ""ഫ്രെയിം"" അല്ലെങ്കിൽ ""മിറർ""സൈറ്റിന്റെ ഏതെങ്കിലും ഭാഗം പരിഷ്ക്കരിക്കുക, വിൽക്കുക, റിവേഴ്സ് എഞ്ചിനീയർ ചെയ്യുക, ഡീകംപൈൽ ചെയ്യുക അല്ലെങ്കിൽ ഡിസ്അസംബ്ലിംഗ് ചെയ്യുക, അല്ലെങ്കിൽ ഉള്ളടക്കത്തിന്റെ ഏതെങ്കിലും ഭാഗത്തിന്റെ ഏതെങ്കിലും സോഴ്സ് കോഡോ അടിസ്ഥാന ആശയങ്ങളോ അൽഗോരിതമോ ഉണ്ടാക്കാൻ ശ്രമിക്കുകസൈറ്റിൽ അടങ്ങിയിരിക്കുന്ന ഏതെങ്കിലും പകർപ്പവകാശം, വ്യാപാരമുദ്ര അല്ലെങ്കിൽ മറ്റ് ഉടമസ്ഥാവകാശ അറിയിപ്പുകൾ നീക്കം ചെയ്യുകഏതെങ്കിലും കമ്പ്യൂട്ടർ പ്രോഗ്രാം, ബോട്ട്, റോബോട്ട്, സ്പൈഡർ, ഓഫ്ലൈൻ റീഡർ, സൈറ്റ് തിരയൽ/വീണ്ടെടുക്കൽ ആപ്ലിക്കേഷൻ അല്ലെങ്കിൽ മറ്റ് മാനുവൽ അല്ലെങ്കിൽ സ്വയമേവയുള്ള ഉപകരണം, ഉപകരണം അല്ലെങ്കിൽ പ്രോസസ്സ്, സൂചിക, ഡാറ്റ മൈൻ, അല്ലെങ്കിൽ ഏതെങ്കിലും വിധത്തിൽ സുരക്ഷാ ഘടന, നാവിഗേഷൻ പുനർനിർമ്മിക്കുക അല്ലെങ്കിൽ മറികടക്കുക സൈറ്റിൽ പ്രദർശിപ്പിച്ചിരിക്കുന്ന ഏതെങ്കിലും CAPTCHA യുമായി ബന്ധപ്പെട്ട് ഉൾപ്പെടെ ഉള്ളടക്കത്തിന്റെയോ സൈറ്റിന്റെയോ ഘടന, അല്ലെങ്കിൽ അവതരണം."
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is activeTake any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,നിങ്ങളുടെ കമ്പ്യൂട്ടറിൽ നിന്ന് അത്തരം സോഫ്റ്റ്വെയറോ സിസ്റ്റമോ സജീവമായ മറ്റൊരു കമ്പ്യൂട്ടറിലേക്ക് വിവരങ്ങൾ അയയ്ക്കുന്നത് ഉൾപ്പെടെയുള്ള അപ്പോയിന്റ്മെന്റ് തിരയുന്നതിനോ ബുക്ക് ചെയ്യുന്നതിനോ ഏതെങ്കിലും ഓട്ടോമേറ്റഡ് സോഫ്റ്റ്വെയർ അല്ലെങ്കിൽ കമ്പ്യൂട്ടർ സിസ്റ്റം ഉപയോഗിക്കുകഞങ്ങളുടെ ഇൻഫ്രാസ്ട്രക്ചറിൽ യുക്തിരഹിതമോ ആനുപാതികമല്ലാത്തതോ ആയ വലിയ ഭാരം ചുമത്തുന്നതോ (ഞങ്ങളുടെ സ്വന്തം വിവേചനാധികാരത്തിൽ) അടിച്ചേൽപ്പിക്കുന്നതോ ആയ ഏതെങ്കിലും നടപടി സ്വീകരിക്കുക.
