eng,gu
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","તે સહભાગી આરોગ્યસંભાળ રાખનારાઓ સાથે તમારી ક્રિયાપ્રતિક્રિયાને સક્ષમ કરે છે, અને તમને તમારા ડિજિટલ લેબ રિપોર્ટ્સ, પ્રિસ્ક્રિપ્શન્સ અને નિદાન ચકાસાયેલ આરોગ્યસંભાળ વ્યાવસાયિકો અને આરોગ્ય સેવા આપનારાઓ પાસેથી એકીકૃત રીતે પ્રાપ્ત કરવાની મંજૂરી આપે છે."
Alipurduar - I,અલીપુરદુઅર-1
Poshan Tracker Features,પોશન ટ્રેકરની વિશેષતાઓ
Why this Monthly Meeting?,આ માસિક મિટિંગ શા માટે?
Urban Slum Project,અર્બન સ્લમ પ્રોજેક્ટ
Our System provides API to Third – Party Sites that may collect your personal information.,અમારી સિસ્ટમ ત્રીજા પક્ષની સાઇટ્સને API પ્રદાન કરે છે જે તમારી વ્યક્તિગત માહિતી એકત્રિત કરી શકે છે.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,પોશન ટ્રેકર કોઈપણ રીતે આવી માહિતી અથવા તેમની પ્રાઇવસી પ્રથાઓ અથવા તે તૃતીય-પક્ષ સાઇટ્સની સામગ્રીની સુરક્ષા માટે જવાબદાર નથી.
"Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites.","વધુમાં, તમે તૃતીય-પક્ષ સાઇટ્સના અમુક પૃષ્ઠો પર ""કૂકીઝ"" અથવા અન્ય સમાન ઉપકરણોનો સામનો પણ કરી શકો છો અને તે આથી પોશન ટ્રેકર દ્વારા સ્પષ્ટ કરવામાં આવે છે કે સિસ્ટમ આ તૃતીય-પક્ષ સાઇટ્સ દ્વારા કૂકીઝના ઉપયોગને નિયંત્રિત કરતી નથી."
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,આ તૃતીય-પક્ષ સેવા પ્રદાતાઓ અને તૃતીય-પક્ષ સાઇટ્સની તમારી માહિતીના સંગ્રહ અને જાળવણીને સંચાલિત કરતી તેમની પોતાની પ્રાઇવસી પોલિસીઓ હોઈ શકે છે જેને તમે આધીન હોઈ શકો છો.
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","આ પ્રાઇવસી પોલિસી આ તૃતીય-પક્ષ પ્રદાતાઓ અને તૃતીય-પક્ષ સાઇટ્સને પ્રદાન કરેલી, સંગ્રહિત અથવા ઉપયોગમાં લેવાતી કોઈપણ માહિતીને સંચાલિત કરતી નથી."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","અમે ભલામણ કરીએ છીએ કે જ્યારે તમે તૃતીય-પક્ષ સાઇટ દાખલ કરો, ત્યારે તમે થર્ડ પાર્ટી સાઇટની પ્રાઇવસી પોલિસી ની સમીક્ષા કરો કારણ કે તે તમારી માહિતીની સુરક્ષા સાથે સંબંધિત છે."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,તમે સંમત થાઓ છો અને સ્વીકારો છો કે શોધ પરિણામોમાં અથવા કોઈપણ તૃતીય-પક્ષ સાઇટ્સ દ્વારા પ્રકાશિત માહિતી માટે પોશન ટ્રેકર જવાબદાર રહેશે નહીં.
Madhyamgram New Barrackpore(U) ICDS Project,મધ્યમગ્રામ ન્યુ બેરેકપોર (યુ) પ્રોજેક્ટ
Gangtok Rural Project,ગંગકોટ ગ્રામીણ પ્રોજેક્ટ
Bishnupur II ICDS,બિશનુપુર II આઈસીડીએસ
Ponnamapet (Sal Pro 2),પોન્નામપેટ (સાલ પ્રો 2)
Murarai - I,મુરારાઈ-I
Karimnagar (R ),કરિમનગર(આર)
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","ઉપરોક્ત કલમ 1 હેઠળ નોંધણી સમયે તમારી પાસેથી એકત્રિત કરવામાં આવેલી વ્યક્તિગત માહિતી, સુરક્ષિત રીતે સંગ્રહિત કરવામાં આવશે અને તેનો ઉપયોગ માત્ર ભારત સરકાર અથવા રાજ્ય સરકારો દ્વારા આરોગ્યની પ્રગતિ અને સ્થિતિને ટ્રેક કરવા, અહેવાલો બનાવવા, ગરમીના નકશા અને અન્ય આંકડાકીય હેતુઓ માટે કરવામાં આવશે.દેશમાં પોશન ટ્રેકરના સંચાલનના હેતુ માટે વિઝ્યુલાઇઝેશન.ઉપરની કલમ 1 મુજબ SMS દ્વારા તમારી સાથે વાતચીત કરવા માટે તમારો સંદર્ભ ID (મોબાઇલ નંબર) ફક્ત તમારી વ્યક્તિગત માહિતી સાથે સહ-સંબંધિત રહેશે.અમે તમારી સંમતિ વિના કોઈપણ અન્ય તૃતીય પક્ષોને તમારી માહિતી જાહેર અથવા સ્થાનાંતરિત કરતા નથી, સિવાય કે આવી જાહેરાત અથવા સ્થાનાંતરણઃ1. કોઈપણ લાગુ કાયદા અથવા કોર્ટના આદેશ અથવા નિર્દેશનું પાલન કરવા માટે જરૂરી; અથવા2. અન્ય બાબતોની સાથે, ઓળખની ચકાસણી, નિવારણ, શોધ, તપાસ, કાર્યવાહી અથવા કોઈપણ ગુના અથવા ઘટનાઓની સજાના હેતુ માટે લાગુ કાયદા અનુસાર કોઈપણ યોગ્ય સરકારી એજન્સી દ્વારા વિનંતી કરવામાં આવી છે."
GOSABA ICDS ADDITIONAL,ગોસાબા આઈસીડીએ એડિશનલ
Download Mobile App,મોબાઈલ એપ ડાઉનલોડ કરો
Durgapur I Urban,દુર્ગાપુર I અર્બન
Ausgram - I,ઓસગ્રામ-I
Having difficulty raising ticket,ટિકિટ બનાવવામાં મુશ્કેલી પડી રહી છે
Ausgram - II,ઓસગ્રામ-II
West Zone Rmc,પશ્ચિમ ઝોન આરએમસી
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.","અમારી પ્રાઇવસી પોલિસી, ઓપન API નીતિ અને અન્ય કોઈપણ નીતિઓ, નિયમો અથવા માર્ગદર્શિકા જે સાઇટ પરની ચોક્કસ ઑફર્સ અથવા સુવિધાઓને લાગુ પડી શકે છે તે આ શરતોમાં સમાવિષ્ટ છે."
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","સાઇટની મુલાકાત લઈને અથવા તેનો ઉપયોગ કરીને, તમે સ્પષ્ટપણે આ શરતો સાથે સંમત થાઓ છો, જેમ કે સમય સમય પર અપડેટ કરવામાં આવે છે."
"If you do not agree with any part of these terms, do not use the site.","જો તમે આ શરતોના કોઈપણ ભાગ સાથે સંમત નથી, તો સાઇટનો ઉપયોગ કરશો નહીં."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,તમે કોઈપણ રીતે સાઇટનો ઉપયોગ કરી શકશો નહીં અને જો તમે બાઈન્ડિંગ કરાર બનાવવા માટે કાનૂની વયના ન હોવ તો તમે શરતોને સ્વીકારી શકશો નહીં.
BARUIPUR ICDS PROJECT,બારુઈપુર આઈસીડીએસ પ્રોજેક્ટ
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,બેસિલસ કેલ્મેટ ગ્યુરીન (BCG)ઓરલ પોલિયો રસી (OPV)-0 ડોઝ હેપેટાઇટિસ બી જન્મ માત્રા OPV-1 T
Dhubri - Assam,ધુબરી - આસામ
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",કલમ 1 હેઠળ એકત્રિત કરવામાં આવેલી માહિતીનો ઉપયોગ લાભાર્થીઓના સ્વાસ્થ્યની સુવિધાના હેતુ માટે કરવામાં આવશે.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","અમે અમારા ઉત્પાદનો પ્રદાન કરીએ છીએ, જેમાં સિસ્ટમની માહિતી/ડેટા/ સામગ્રીઓ અને સામગ્રીઓને અપડેટ કરવા, સુરક્ષિત કરવા અને મુશ્કેલીનિવારણ તેમજ સપોર્ટ પ્રદાન કરવાનો સમાવેશ થાય છે."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","જ્યારે તમે પોશન ટ્રેકર પર નોંધણી કરાવો છો, ત્યારે તમે જે મોબાઈલ નંબર સાથે નોંધણી કરી હતી તેનો ઉપયોગ ડેટાબેઝમાંથી તમારો રેકોર્ડ શોધવા માટે કરવામાં આવશે."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,આનો ઉપયોગ પોશન ટ્રેકર સિસ્ટમમાં નોંધાયેલા સ્વાસ્થ્યની સ્થિતિનું મૂલ્યાંકન કરવા માટે પણ થઈ શકે છે.
Salboni -Adl ICDS Project,સોલબોની-એડીએલ આઈસીડીએસ પ્રોજેક્ટ
BOLPUR  ADDL,બોલપુર એડીડીએલ
Madhupur Icds Project,માધુપુર આઈસીડીએસ પ્રોજેક્ટ
Stunted Assessment Parameters,સ્ટંટીંગ નક્કી કરવા માટેના માપદંડો
"You shall not, either on your own or through any other person:Restrict or inhibit any other person from using the SiteUse the Site for any unlawful purposeExpress or imply that any statements you make are endorsed by us, without our prior written consentImpersonate any person or entity, whether actual or fictitiousEngage in spamming or floodingHarvest or collect information about Site usersOpen multiple accounts for yourself or any other individual using multiple mobile numbersSubmit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive natureManipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submitLink to any portion of the Site other than the URL assigned to the home page of the Site“Frame” or “Mirror” any part of the SiteModify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the ContentRemove any copyright, trademark or other proprietary rights notices contained on the SiteUse any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is activeTake any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the ContentThe Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purposeYou will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","તમે, તમારી જાતે અથવા અન્ય કોઈ વ્યક્તિ દ્વારા નહીંઃકોઈપણ અન્ય વ્યક્તિને સાઇટનો ઉપયોગ કરવાથી પ્રતિબંધિત અથવા પ્રતિબંધિત કરોકોઈપણ ગેરકાયદેસર હેતુ માટે સાઇટનો ઉપયોગ કરોવ્યક્ત કરો અથવા સૂચિત કરો કે તમે કરો છો તે કોઈપણ નિવેદનો અમારી પૂર્વ લેખિત સંમતિ વિના, અમારા દ્વારા સમર્થન છેકોઈપણ વ્યક્તિ અથવા એન્ટિટીનો પાઠ ભજવવો, પછી ભલે તે વાસ્તવિક હોય કે કાલ્પનિકસ્પામિંગ અથવા પૂરમાં વ્યસ્ત રહોસાઇટ વપરાશકર્તાઓ વિશેની માહિતી લણણી અથવા એકત્રિત કરોબહુવિધ મોબાઈલ નંબરનો ઉપયોગ કરીને તમારા અથવા અન્ય કોઈ વ્યક્તિ માટે બહુવિધ એકાઉન્ટ્સ ખોલોકોઈપણ સોફ્ટવેર અથવા અન્ય સામગ્રી સબમિટ કરો જેમાં કોઈપણ વાયરસ, વોર્મ્સ, ટ્રોજન હોર્સ, ખામી, ડેટ બોમ્બ, ટાઈમ બોમ્બ અથવા વિનાશક પ્રકૃતિની અન્ય વસ્તુઓ હોયતમે સબમિટ કરો છો તે કોઈપણ પોસ્ટના મૂળને છૂપાવવા માટે, બનાવટી હેડરો સહિત ઓળખકર્તાઓની હેરફેર કરોસાઇટના હોમ પેજને સોંપેલ URL સિવાય સાઇટના કોઈપણ ભાગ સાથે લિંક કરોસાઇટનો કોઈપણ ભાગ ""ફ્રેમ"" અથવા ""મિરર""સાઇટના કોઈપણ ભાગને સંશોધિત, અનુકૂલન, પેટા-લાઈસન્સ, અનુવાદ, વેચાણ, રિવર્સ એન્જિનિયર, ડિકમ્પાઈલ અથવા ડિસએસેમ્બલ અથવા અન્યથા કોઈપણ સ્રોત કોડ અથવા સામગ્રીના કોઈપણ ભાગના અંતર્ગત વિચારો અથવા અલ્ગોરિધમ્સ મેળવવાનો પ્રયાસ કરોસાઇટ પર સમાવિષ્ટ કોઈપણ કૉપિરાઇટ, ટ્રેડમાર્ક અથવા અન્ય માલિકીના અધિકારોની સૂચનાઓને દૂર કરોકોઈપણ કમ્પ્યુટર પ્રોગ્રામ, બોટ, રોબોટ, સ્પાઈડર, ઑફલાઈન રીડર, સાઇટ શોધ/પુનઃપ્રાપ્તિ એપ્લિકેશન અથવા અન્ય મેન્યુઅલ અથવા સ્વચાલિત ઉપકરણ, સાધન અથવા પ્રક્રિયાનો ઉપયોગ પુનઃપ્રાપ્ત કરવા, અનુક્રમણિકા, ડેટા માઈન, અથવા કોઈપણ રીતે પુનઃઉત્પાદન અથવા સુરક્ષા માળખું, નેવિગેશનલ.સાઇટ પર પ્રદર્શિત કોઈપણ કેપ્ચાના સંદર્ભમાં સહિત સામગ્રી અથવા સાઇટની રચના, અથવા પ્રસ્તુતિ.તમારા કોમ્પ્યુટરમાંથી અન્ય કોમ્પ્યુટર જ્યાં આવા સોફ્ટવેર અથવા સિસ્ટમ સક્રિય હોય ત્યાં માહિતી મોકલવા સહિત એપોઈન્ટમેન્ટ શોધવા અથવા બુક કરવા માટે કોઈપણ ઓટોમેટેડ સોફ્ટવેર અથવા કોમ્પ્યુટર સિસ્ટમનો ઉપયોગ કરોઅમારા ઇન્ફ્રાસ્ટ્રક્ચર પર ગેરવાજબી અથવા અપ્રમાણસર રીતે મોટો ભાર (અમારી સંપૂર્ણ વિવેકબુદ્ધિમાં) લાદવામાં અથવા લાદવામાં આવી શકે તેવી કોઈપણ કાર્યવાહી કરો.સાઇટનો ઉપયોગ કરો અથવા પુનઃઉત્પાદન કરો, સંશોધિત કરો, પ્રદર્શિત કરો, સાર્વજનિક રીતે કરો, વિતરિત કરો અથવા સાઇટ અથવા સામગ્રીના વ્યુત્પન્ન કાર્યો બનાવોકોઈપણ તકનીકી માપદંડને અટકાવવા માટે રચાયેલ કોઈપણ ઉપકરણ, પ્રોગ્રામ અથવા સેવાના પ્રયાસમાં અથવા તેની સાથે જોડાણમાં સામગ્રી, જે કોઈપણ રીતે, કોઈપણ રીતે, મર્યાદા વિના, સહિત, સાઇટ અને/અથવા સામગ્રીની ઍક્સેસ અથવા તેના અધિકારોને અસરકારક રીતે નિયંત્રિત કરે છે.કોઈપણ હેતુ માટે મેન્યુઅલ ડીકોડ, ડિક્રિપ્ટ, સંશોધિત અથવા રિવર્સ એન્જિનિયર પ્રમાણપત્ર અથવા અંતર્ગત અલ્ગોરિધમ્સ અથવા સ્વચાલિત ઉપકરણ અથવા પ્રક્રિયાતમે સાઇટ દ્વારા સહભાગીઓની નોંધણી કરવા માટે બૉટ તકનીકનો ઉપયોગ કરશો નહીં; શંકાના નિવારણ માટે, આ તમને સાઇટ પર સ્વયંસંચાલિત સ્ક્રિપ્ટ આધારિત અથવા સ્વચાલિત સોફ્ટવેરનો ઉપયોગ કરવાથી વિશેષરૂપે પ્રતિબંધિત કરે છે, અને તમને કોઈપણ સુરક્ષા માપદંડ, એક્સેસ કંટ્રોલ સિસ્ટમ અથવા સાઇટ પર અન્ય તકનીકી નિયંત્રણ અથવા માપને અટકાવવાથી પ્રતિબંધિત કરે છે જેનો ઉપયોગ ભાગીદારીને લાગુ કરવા માટે થાય છે.મર્યાદા અથવા એક મોબાઇલ નંબર સાથે સંકળાયેલ સહભાગીઓના નિયમોની નોંધણીની અખંડિતતા જાળવવા"
Training on ICT Platform under POSHAN Abhiyaan,પોષણ અભિયાન હેઠળ ICT પ્લેટફોર્મ પર તાલીમ
Barasat - I Addl.,બારાસત-I એડીડીઆઈ
"Know more about stunting, wasting and underweight","સ્ટંટિંગ, વેસ્ટેડ અને ઓછા વજન વિશે વધુ જાણો"
What information to be added in AWC forms?,આંગણવાડી કેન્દ્ર ફોર્મમાં કઈ માહિતી ઉમેરવાની છે?
Mathavaram Rural @ Puzhal,મથાવરમ ગ્રામીણ@ પુઝહલ
How to revive your health if you are Moderately Wasted (MAM),જો તમે સાધારણ રીતે અશક્ત હોવ તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું (MAM)
AWC Workers Registered In Last 30 Days,છેલ્લા 30 દિવસમાં એડબ્લ્યુસી કામદારો નોંધાયેલ
Daman & Diu,દમણ અને દીવ
Lahaul & Spiti,લાહૌલ અને સ્પીતી
Katwa - I,કતવા-I
OPEN A NEW TICKET,નવી ટિકિટ ખોલો
Lower Dibang Valley,લોઅર દિબાંગ વેલી
Click on above button to get this App,આ એપ્લિકેશન મેળવવા માટે ઉપરના બટન પર ક્લિક કરો
Please Enter Valid Name,કૃપા કરીને માન્ય નામ દાખલ કરો
1. INFORMATION WE COLLECT,1. અમે એકત્રિત કરીએ છીએ તે માહિતી
Beneficiaries Registered In Last 30 Days,છેલ્લા 30 દિવસમાં નોંધાયેલા લાભાર્થીઓ
Gopiballabhpur - II,ગોપિવલ્લભપુર-II
Darjeeling PulBazar.,દાર્જીલિંગ પુલબજાર.
Addl,એડીડીએલ
Specifications of Smart phone and Technical Compatibility Testing,સ્માર્ટ ફોનના સ્પેસિફિકેશન અને ટેકનિકલ સુસંગતતા પરીક્ષણ
Preparation During Pregnancy - For NewBorn Care & Family Planning,ગર્ભાવસ્થા દરમિયાન તૈયારી - નવજાત શિશુની સંભાળ અને કુટુંબ નિયોજન માટે
Please select Project,કૃપા કરી પ્રોજેક્ટ પસંદ કરો
Please Select Query Related to,કૃપા કરીને સંબંધિત ક્વેરી પસંદ કરો
 IV. ACCOUNT REGISTRATION, IV. એકાઉન્ટ રજીસ્ટ્રેશન
Stunting ( Height for Age)-,સ્ટંટીંગ (ઉમર માટે ઊંચાઈ)-
Binpur - II Adl.,બિનપુર-II એડીએલ.
Pakyong Rural Project,પ્રક્યોંગ ગ્રામીણ પ્રોજેક્ટ
Wasted Assessment Parameters,વેસ્ટીંગ નક્કી કરવા માટેના માપદંડો
Sangam Vihar Ii,સંગમ વિહાર II
Shri Ram Colony,શ્રી રામ કોલોની
Ranaghat 1 Exsiting,રાણાઘાટ 1 એક્સાઇટિંગ
Mathabhanga I Addl,માથાભાંગા I એડીડીએલ
Stunting is the impaired growth and development that children experience from poor nutrition,સ્ટંટીંગ એ નબળી વૃદ્ધિ અને વિકાસ છે જેનો બાળકો નબળા પોષણથી અનુભવે છે
Children in the age group of 3 years to 6 years,3 વર્ષથી 6 વર્ષની વયના બાળકો
"Poshan Tracker Dashboard can be accessed by signing onto the dashboard.Dashboard can be accessed by clicking the link https://poshantracker.in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.","ડેશબોર્ડ પર સાઇન ઇન કરીને પોષણ ટ્રેકર ડેશબોર્ડ ને ચલાવી શકાય છે. https://poshantracker. in/admin લિંક પર ક્લિક કરીને ડેશબોર્ડને ચલાવી શકાય છે.રાષ્ટ્રીય, રાજ્ય, જિલ્લા, પરિકલ્પના અને ડેશબોર્ડને ચલાવવા માટે સેક્ટર કક્ષાના નોડલ કક્ષાના નામાંકિત અધિકારીઓને જ અનન્ય પ્રમાણપત્ર આપવામાં આવે છે."
Please enter valid Weight,કૃપા કરીને માન્ય વજન દાખલ કરો
Khargone (West Nimar),ખારગોન
 Md. Bazar Addl., એમડી. બજાર એડીડીએલ.
What is the eligibility of a beneficiary?,લાભાર્થીની લાયકાત શું છે?
Who are the target userbase of Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનના લક્ષ્ય વપરાશકર્તા આધાર કોણ છે?
Kanpur Nagar City 1,કાનપુર નગર શહેર 1
How Poshan Tracker Works,પોશન ટ્રેકર કેવી રીતે કાર્ય કરે છે
Kalna - I Addl.,કલના-I એડીડીએલ.
Home visits and Counselling,ઘરની મુલાકાતો અને સલાહ-મસલતો
Kusheshwar Asthan Purbi,કુશેશ્વર આસ્થાન પુર્વિ
Mandirbazar ICDS Project,મંદિરબજાર આઈસીડીએસ પ્રોજેક્ટ
Awareness to Lactating Mother,સ્તનપાન કરાવતી માતા માટે જાગૃતિ
"It often indicates recent and severe weight loss, although it can also persist for a long time","તે ઘણીવાર તાજેતરના અને ગંભીર વજનમાં ઘટાડો સૂચવે છે, જો કે તે લાંબા સમય સુધી ચાલુ રહી શકે છે"
 X. ACCESS FROM OUTSIDE INDIA, એક્સ. ભારત બહારથી એક્સેસ
Kaliachak - II,કાલિયાચાક-II
Machkhowa Icds Project,મુખોવા આઈસીડીએસ પ્રોજેક્ટ
What is the minimum requirement to install Poshan Tracker App in mobile?,મોબાઈલમાં પોષણ ટ્રેકર એપ ઇન્સ્ટોલ કરવા માટે ન્યૂનતમ આવશ્યકતા શું છે?
SHRI ANANDPUR SAHIB,શ્રી આનંદપુર સાહિબ
"Khar (West),Santacruze (East)","ખાર (પશ્ચિમ), સાંતાક્રુઝ (પૂર્વ)"
Create new ticket,નવી ટિકિટ બનાવો
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,તમે માત્ર દસ્તાવેજીકરણમાં વર્ણવેલ માધ્યમથી જ સાઇટને ઍક્સેસ કરશો (અથવા ઍક્સેસ કરવાનો પ્રયાસ કરશો) અને આ કરારના નિયમો અને શરતોનું પાલન કરશો.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","તમે તમામ કેન્દ્રીય અને રાજ્ય કાયદાઓ, નિયમો અને નિયમોનું પાલન કરશો જે તમને અને સાઇટના તમારા ઉપયોગને લાગુ પડે છે અને કોઈપણ તૃતીય-પક્ષ અધિકારોને અસર કરે છે."
ROURKELE CIVIL TOWNSHIP,રૌરકેલા સિવિલ ટાઉનશીપ
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.
Ldh Urban 4,લુધિયાણા અર્બન 4
Welcome!,સ્વાગત છે!
The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.,"નીચે આપેલ સેવાની શરતો (""શરતો"") છે જે https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in પર હોસ્ટ કરેલા પોશન ટ્રેકર પ્લેટફોર્મના તમારા ઉપયોગને નિયંત્રિત કરે છે, અને લિંક કરેલી બધી સંબંધિત સાઇટ્સ તેને, તેની પેટાકંપનીઓ અને આનુષંગિકો (સામૂહિક રીતે, ""સાઇટ"")."
Burdwan - I,બર્દવાન-I
Project 4 Singanallur,પ્રોજેક્ટ 4 સિંગનાલ્લુર
Select Key Performance Indicator,મુખ્ય પ્રદર્શન સૂચક પસંદ કરો
Select An Anganwadi center,આંગણવાડી કેન્દ્ર પસંદ કરો
Clarification regarding Cost of Smart phones,સ્માર્ટ ફોનની કિંમત અંગે સ્પષ્ટતા
Budge Budge - II,બજ બજ-II
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,ઓરી ધરાવતી રસી (MCV)/ઓરી અને રૂબેલા (MR)-1જાપાનીઝ એન્સેફાલીટીસ (JE)-1**PCV-બૂસ્ટર
