eng,ta
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,இந்த மூன்றாம் தரப்பு சேவை வழங்குநர்கள் மற்றும் மூன்றாம் தரப்பு தளங்கள் நீங்கள் உட்பட்ட உங்கள் தகவலைச் சேமித்து வைத்திருத்தல் ஆகியவற்றை நிர்வகிக்கும் தங்கள் தனியுரிமைக் கொள்கைகளைக் கொண்டிருக்கலாம்.
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","இந்தத் தனியுரிமைக் கொள்கையானது, இந்த மூன்றாம் தரப்பு வழங்குநர்கள் மற்றும் மூன்றாம் தரப்பு தளங்களுக்கு வழங்கப்படும், சேமித்து வைத்திருக்கும் அல்லது பயன்படுத்தப்படும் எந்தத் தகவலையும் நிர்வகிக்காது."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","நீங்கள் மூன்றாம் தரப்பு தளத்தை உள்ளிடும்போது, உங்கள் தகவலைப் பாதுகாப்பது தொடர்பான மூன்றாம் தரப்பு தளத்தின் தனியுரிமைக் கொள்கையை மதிப்பாய்வு செய்யுமாறு பரிந்துரைக்கிறோம்."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,தேடல் முடிவுகளிலோ அல்லது எந்த மூன்றாம் தரப்பு தளங்களிலோ வெளியிடப்படும் தகவல்களுக்கு போஷன் டிராக்கர் பொறுப்பேற்காது என்பதை நீங்கள் ஒப்புக்கொள்கிறீர்கள்.
Madhyamgram New Barrackpore(U) ICDS Project,மத்யம்கிராம் நியூ பாரக்பூர் (யு) ஐ. சி. டி. எஸ். புராஜக்ட்
Gangtok Rural Project,கேங்டாக் கிராமப்புற திட்டம்
Bishnupur II ICDS,பிஷ்ணுபூர் II ஐ. சி. டி. எஸ்.
Ponnamapet (Sal Pro 2),பொன்னம்பேட் (சால் ப்ரோ 2)
Murarai - I,முராரை - I
Karimnagar (R ),கரீம்நகர் (ஆர்)
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.","மேலே உள்ள பிரிவு 1 இன் கீழ் பதிவு செய்யும் போது உங்களிடமிருந்து சேகரிக்கப்பட்ட தனிப்பட்ட தகவல்கள் பாதுகாப்பாக சேமிக்கப்படும், மேலும் அவை இந்திய அரசு அல்லது மாநில அரசுகளால் சுகாதார முன்னேற்றம் மற்றும் நிலையை கண்காணிக்கும் நோக்கத்திற்காக மட்டுமே பயன்படுத்தப்படும், அறிக்கைகள் உருவாக்குதல், வெப்ப வரைபடங்கள், காட்சிப்படுத்தல்கள் மற்றும் பிற புள்ளிவிவரங்கள் நாட்டில் போஷன் டிராக்கரின் நிர்வாகத்தின் நோக்கத்திற்காக பயன்படுத்தப்படும்."
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,மேலே உள்ள பிரிவு 1 இன் படி SMS மூலம் உங்களுடன் தொடர்புகொள்வதற்காக உங்கள் குறிப்பு ஐடி (மொபைல் எண்) உங்கள் தனிப்பட்ட தகவலுடன் மட்டுமே தொடர்புடையதாக இருக்கும்.
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","அத்தகைய வெளிப்படுத்தல் அல்லது பரிமாற்றம் இல்லாதவரை, உங்கள் அனுமதியின்றி வேறு எந்த மூன்றாம் தரப்பினருக்கும் உங்கள் தகவலை வெளியிடவோ அல்லது மாற்றவோ மாட்டோம்ஃ1. பொருந்தக்கூடிய சட்டம் அல்லது நீதிமன்ற உத்தரவு அல்லது வழிகாட்டுதலுக்கு இணங்குவதற்குத் தேவை; அல்லது2. ஏதேனும் குற்றங்கள் அல்லது சம்பவங்களின் அடையாளச் சரிபார்ப்பு, தடுத்தல், கண்டறிதல், விசாரணை, வழக்குத் தொடுத்தல் அல்லது தண்டனை போன்றவற்றின் நோக்கத்திற்காக, பொருந்தக்கூடிய சட்டத்தின்படி ஏதேனும் பொருத்தமான அரசு நிறுவனத்தால் கோரப்பட்டது."
GOSABA ICDS ADDITIONAL,கோஸபா ஐ. சி. டி. எஸ். அடிஷனல்
Download Mobile App,மொபைல் பயன்பாட்டைப் பதிவிறக்கவும்
Durgapur I Urban,துர்காபூர் - I அர்பன்
Ausgram - I,ஆஸ்கிராம் - I
Having difficulty raising ticket,டிக்கெட்டை உயர்த்துவதில் சிரமம் உள்ளது
Ausgram - II,ஆஸ்கிராம் - II
West Zone Rmc,மேற்கு மண்டலம் ஆர்எம்சி
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.","எங்கள் தனியுரிமைக் கொள்கை, API கொள்கை மற்றும் தளத்தில் உள்ள குறிப்பிட்ட சலுகைகள் அல்லது அம்சங்களுக்குப் பொருந்தக்கூடிய பிற கொள்கைகள், விதிகள் அல்லது வழிகாட்டுதல்கள் இந்த விதிமுறைகளில் இணைக்கப்பட்டுள்ளன."
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","தளத்தைப் பார்வையிடுவதன் மூலம் அல்லது பயன்படுத்துவதன் மூலம், அவ்வப்போது புதுப்பிக்கப்படும் இந்த விதிமுறைகளை நீங்கள் வெளிப்படையாக ஒப்புக்கொள்கிறீர்கள்."
"If you do not agree with any part of these terms, do not use the site.","இந்த விதிமுறைகளில் ஏதேனும் ஒரு பகுதியை நீங்கள் ஏற்கவில்லை என்றால், தளத்தைப் பயன்படுத்த வேண்டாம்."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,நீங்கள் எந்த வகையிலும் தளத்தைப் பயன்படுத்தக்கூடாது மற்றும் பிணைப்பு ஒப்பந்தத்தை உருவாக்குவதற்கு நீங்கள் சட்டப்பூர்வ வயதுடையவராக இல்லாவிட்டால் விதிமுறைகளை ஏற்க முடியாது.
BARUIPUR ICDS PROJECT,பருவிபூர் ஐ. சி. டி. எஸ். புராஜக்ட்
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,பேசிலஸ் கால்மெட் குரின் (BCG)வாய்வழி போலியோ தடுப்பூசி (OPV)-0 அளவு ஹெபடைடிஸ் பி பிறப்பு டோஸ் OPV-1 T
Dhubri - Assam,துப்ரி-அசாம்
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","பிரிவு 1-ன் கீழ் சேகரிக்கப்பட்ட தகவல்கள், பயனாளிகளின் ஆரோக்கியத்தை எளிதாக்கும் நோக்கத்திற்காகப் பயன்படுத்தப்படும்."
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","கணினியின் தகவல்/தரவு/ பொருட்கள் மற்றும் உள்ளடக்கங்களை புதுப்பித்தல், பாதுகாத்தல் மற்றும் சரிசெய்தல் மற்றும் ஆதரவை வழங்குதல் உள்ளிட்ட எங்கள் தயாரிப்புகளை நாங்கள் வழங்குகிறோம்."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","நீங்கள் போஷன் டிராக்கர் இல் பதிவு செய்யும் போது, நீங்கள் பதிவு செய்த மொபைல் எண், தரவுத்தளத்திலிருந்து உங்கள் பதிவைக் கண்டறிய பயன்படுத்தப்படும்."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,போஷன் டிராக்கர் அமைப்பில் பதிவு செய்யப்பட்டுள்ள சுகாதார நிலையை மதிப்பிடவும் இவை பயன்படுத்தப்படலாம்.
Salboni -Adl ICDS Project,சல்போனி - அடிஷனல் ஐ. சி. டி. எஸ். புராஜக்ட்
BOLPUR  ADDL,போல்பூர் அடிஷனல்
Madhupur Icds Project,மதுபூர் ஐ. சி. டி. எஸ். புராஜக்ட்
Stunted Assessment Parameters,வளர்ச்சி குன்றிய மதிப்பீட்டு அளவுருக்கள்
"You shall not, either on your own or through any other person:Restrict or inhibit any other person from using the SiteUse the Site for any unlawful purposeExpress or imply that any statements you make are endorsed by us, without our prior written consentImpersonate any person or entity, whether actual or fictitiousEngage in spamming or floodingHarvest or collect information about Site usersOpen multiple accounts for yourself or any other individual using multiple mobile numbersSubmit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive natureManipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submitLink to any portion of the Site other than the URL assigned to the home page of the Site“Frame” or “Mirror” any part of the SiteModify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the ContentRemove any copyright, trademark or other proprietary rights notices contained on the SiteUse any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is activeTake any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the ContentThe Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purposeYou will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","நீங்கள் சொந்தமாகவோ அல்லது வேறு எந்த நபர் மூலமாகவோ செய்யக்கூடாதுஃதளத்தைப் பயன்படுத்துவதற்கு நீங்கள் வேறு யாரையும் கட்டுப்படுத்தவோ அல்லது தடுக்கவோ கூடாதுஎந்தவொரு சட்டவிரோத நோக்கத்திற்காகவும் தளத்தைப் பயன்படுத்தக்கூடாதுஎங்களின் முன் எழுத்துப்பூர்வ அனுமதியின்றி நீங்கள் வெளியிடும் எந்தவொரு அறிக்கையும் எங்களால் அங்கீகரிக்கப்பட்டவை என்பதை நீங்கள் வெளிப்படுத்தவோ அல்லது குறிக்கவோ கூடாதுஉண்மையான அல்லது கற்பனையான எந்தவொரு நபராகவோ அல்லது நிறுவனமாகவோ ஆள்மாறாட்டம் செய்யக்கூடாதுஸ்பேமிங் அல்லது வெள்ளத்தில் ஈடுபடக்கூடாதுதள பயனர்கள் பற்றிய தகவல்களை நீங்கள் சேகரிக்கக்கூடாதுபல மொபைல் எண்களைப் பயன்படுத்தி உங்களுக்கோ அல்லது வேறு எந்த நபருக்கோ பல கணக்குகளைத் திறக்கக் கூடாதுவைரஸ்கள், ட்ரோஜன் ஹார்ஸ்கள், குறைபாடுகள், தேதி வெடிகுண்டுகள், நேர குண்டுகள் அல்லது அழிவுகரமான பிற பொருட்களைக் கொண்ட எந்தவொரு மென்பொருளையும் அல்லது பிற பொருட்களையும் நீங்கள் சமர்ப்பிக்கக்கூடாதுநீங்கள் சமர்ப்பிக்கும் எந்தவொரு இடுகையின் மூலத்தையும் மறைப்பதற்காக, போலி தலைப்புகள் உட்பட அடையாளங்காட்டிகளைக் கையாளக் கூடாதுதளத்தின் முகப்புப் பக்கத்திற்கு ஒதுக்கப்பட்ட URL ஐத் தவிர, தளத்தின் எந்தப் பகுதியையும் நீங்கள் இணைக்கக் கூடாதுநீங்கள் தளத்தின் எந்தப் பகுதியையும் ""பிரேம்"" அல்லது ""மிரர்"" செய்யக்கூடாதுதளத்தின் எந்தப் பகுதியையும் மாற்றவோ, திருத்தவோ, துணை உரிமம் பெறவோ, மொழிபெயர்க்கவோ, விற்கவோ, தலைகீழ் பொறியியலாளரோ, சிதைக்கவோ அல்லது பிரிக்கவோ கூடாது, அல்லது உள்ளடக்கத்தின் எந்தப் பகுதியின் மூலக் குறியீடு அல்லது அடிப்படை யோசனைகள் அல்லது வழிமுறைகளைப் பெற முயற்சிக்கவும் கூடாதுதளத்தில் உள்ள எந்தவொரு பதிப்புரிமை, வர்த்தக முத்திரை அல்லது பிற தனியுரிம உரிமை அறிவிப்புகளை நீங்கள் அகற்றக்கூடாதுஎந்தவொரு கணினி நிரல், போட், ரோபோ, ஸ்பைடர், ஆஃப்லைன் ரீடர், தளத் தேடல்/மீட்டெடுக்கும் பயன்பாடு அல்லது பிற கையேடு அல்லது தானியங்கி சாதனம், கருவி அல்லது செயல்முறையை மீட்டெடுக்க, தளத்தில் காட்டப்படும் எந்த CAPTCHA உட்பட உள்ளடக்கம் அல்லது தளத்தின் கட்டமைப்பு, வழிசெலுத்தல் அமைப்பு அல்லது விளக்கக்காட்சி, குறியீட்டு, தரவுச் சுரங்கம் அல்லது எந்த வகையிலும் பாதுகாப்பை மீண்டும் உருவாக்கவோ அல்லது தவிர்க்கவோ நீங்கள் பயன்படுத்தக்கூடாது.அத்தகைய மென்பொருள் அல்லது சிஸ்டம் செயலில் உள்ள மற்றொரு கணினிக்கு உங்கள் கணினியில் இருந்து தகவலை அனுப்புவது உட்பட எந்த ஒரு தானியங்கி மென்பொருள் அல்லது கணினி அமைப்பைத் தேட அல்லது முன்பதிவு செய்ய நீங்கள் பயன்படுத்தக்கூடாதுஎங்கள் உள்கட்டமைப்பில் நியாயமற்ற அல்லது விகிதாசாரமாக பெரிய சுமையை (எங்கள் சொந்த விருப்பப்படி) சுமத்தும் எந்த நடவடிக்கையையும் நீங்கள் எடுக்கக்கூடாது.நீங்கள் தளத்தைப் பயன்படுத்தவோ, மறுஉருவாக்கம் செய்யவோ, மாற்றவோ, காட்சிப்படுத்தவோ, பொதுவில் நிகழ்த்தவோ, விநியோகிக்கவோ அல்லது தளம் அல்லது உள்ளடக்கத்தின் வழித்தோன்றல் படைப்புகளை உருவாக்கவோ கூடாதுஎந்தவொரு சாதனம், நிரல் அல்லது சேவையின் முயற்சியில், அல்லது அதனுடன் இணைந்து, தளம் மற்றும்/அல்லது உள்ளடக்கத்திற்கான அணுகல் அல்லது உரிமைகளை திறம்பட கட்டுப்படுத்தும் எந்தவொரு தொழில்நுட்ப நடவடிக்கையையும் தவிர்க்க வடிவமைக்கப்பட்டுள்ளது.கையேடு டிகோட், டிக்ரிப்ட், மாற்றியமைத்தல் அல்லது தலைகீழ் பொறியாளர் சான்றிதழ் அல்லது அடிப்படை அல்காரிதம்கள் அல்லது தானியங்கி சாதனம் அல்லது செயல்முறை, எந்த நோக்கத்திற்காகவும் நீங்கள் செய்யக்கூடாதுதளத்தின் மூலம் பதிவு செய்யும் பங்கேற்பாளர்களைத் தேட நீங்கள் போட் தொழில்நுட்பத்தைப் பயன்படுத்த மாட்டீர்கள்; சந்தேகத்தைத் தவிர்ப்பதற்காக, தளத்தில் தானியங்கு ஸ்கிரிப்ட் அடிப்படையிலான அல்லது தானியங்கு மென்பொருளைப் பயன்படுத்துவதை இது குறிப்பாகத் தடைசெய்கிறது, மேலும் எந்தவொரு பாதுகாப்பு நடவடிக்கை, அணுகல் கட்டுப்பாட்டு அமைப்பு அல்லது பிற தொழில்நுட்பக் கட்டுப்பாடு அல்லது பங்கேற்பைச் செயல்படுத்தப் பயன்படும் தளத்தின் அளவைத் தவிர்ப்பதைத் தடுக்கிறது.வரம்புகள் அல்லது ஒரு மொபைல் எண்ணுடன் தொடர்புடைய பங்கேற்பாளர்களின் பதிவு விதிகளின் நேர்மையை பராமரிக்க வேண்டும்"
Training on ICT Platform under POSHAN Abhiyaan,போஷன் அபியான் கீழ் ICT பிளாட்ஃபார்மில் பயிற்சி
Barasat - I Addl.,பாராஸட்- I அடிஷனல்
"Know more about stunting, wasting and underweight","வளர்ச்சி குன்றிய நிலை, ஊட்டச்சத்து குறைபாடு மற்றும் எடை குறைவு பற்றி மேலும் அறிக"
What information to be added in AWC forms?,அடபிள்யூசி படிவங்களில் என்ன தகவல் சேர்க்கப்பட வேண்டும்?
Mathavaram Rural @ Puzhal,மாதவரம் ரூரல் @ புழல்
How to revive your health if you are Moderately Wasted (MAM),நீங்கள் மிதமான ஊட்டச்சத்து குறைபாடு உள்ளவராக இருந்தால் (MAM) உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது
AWC Workers Registered In Last 30 Days,கடந்த 30 நாட்களில் AWC தொழிலாளர்கள் பதிவு செய்யப்பட்டது
Daman & Diu,தமன் மற்றும் டியு
Lahaul & Spiti,லஹால் மற்றும் ஸ்பிட்டி
Katwa - I,கட்வா - I
OPEN A NEW TICKET,புதிய டிக்கெட்டைத் திறக்கவும்
Lower Dibang Valley,கீழ் திபாங் பள்ளத்தாக்கு
Click on above button to get this App,இந்த பயன்பாட்டைப் பெற மேலே உள்ள பொத்தானைக் கிளிக் செய்க
Please Enter Valid Name,சரியான பெயரை உள்ளிடவும்
1. INFORMATION WE COLLECT,1. நாங்கள் சேகரிக்கும் தகவல்
Beneficiaries Registered In Last 30 Days,கடந்த 30 நாட்களில் பதிவு செய்யப்பட்ட பயனாளிகள்
Gopiballabhpur - II,கோபிபல்லப்பூர்- II
Darjeeling PulBazar.Addl,டார்ஜிலிங் புல்பஜார் அடிஷனல்
Specifications of Smart phone and Technical Compatibility Testing,ஸ்மார்ட் ஃபோனின் விவரக்குறிப்புகள் மற்றும் தொழில்நுட்ப இணக்கத்தன்மை சோதனை
Preparation During Pregnancy - For NewBorn Care & Family Planning,கர்ப்ப காலத்தில் தயாரித்தல் - புதிதாகப் பிறந்த குழந்தை பராமரிப்பு மற்றும் குடும்பக் கட்டுப்பாடு
Please select Project,தயவு செய்து திட்டத்தைத் தேர்ந்தெடுக்கவும்
Please Select Query Related to,குவெரி ரிலேடெட் டு ஐத் தேர்ந்தெடுக்கவும்
 IV. ACCOUNT REGISTRATION, IV. கணக்கு பதிவு
Stunting ( Height for Age)-,ஸ்டண்டிங் (வயதுக்கு ஏற்ற உயரம்)-
Binpur - II Adl.,பின்பூர் - II அடிஷனல்
Pakyong Rural Project,பாக்யோங் கிராமப்புற திட்டம்
Wasted Assessment Parameters,வீணான மதிப்பீட்டு அளவுருக்கள்
Sangam Vihar Ii,சங்கம் விஹார் II
Shri Ram Colony,ஸ்ரீ ராம் காலனி
Ranaghat 1 Exsiting,ரணகட் 1 எக்சிஸ்டிங்
Mathabhanga I Addl,மாதாபங்கா I அடிஷனல்
Stunting is the impaired growth and development that children experience from poor nutrition,வளர்ச்சி குன்றிய நிலை என்பது குழந்தைகளின் மோசமான ஊட்டச்சத்தால் ஏற்படும் வளர்ச்சி குறைதல் ஆகும்
Children in the age group of 3 years to 6 years,3 வயது முதல் 6 வயது வரை இருக்கும் குழந்தைகள்
"Poshan Tracker Dashboard can be accessed by signing onto the dashboard.Dashboard can be accessed by clicking the link https://poshantracker.in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.","டாஷ்போர்டில் கையொப்பமிடுவதன் மூலம் போஷன் டிராக்கர் டாஷ்போர்டை அணுகலாம். https://poshantracker. in/admin என்ற இணைப்பைக் கிளிக் செய்வதன் மூலம் டாஷ்போர்டை அணுக முடியும், தேசிய, மாநில, மாவட்ட, திட்டம் மற்றும் துறை மட்டத்தில் பரிந்துரைக்கப்பட்ட நோடல் நிலை அதிகாரிகள் மட்டுமே டாஷ்போர்டை அணுக ஒரு தனித்துவமான நற்சான்றிதழ்களுடன் வழங்கப்படுகிறார்கள்."
Please enter valid Weight,சரியான எடையை உள்ளிடவும்
Khargone (West Nimar),கார்கோன்
 Md. Bazar Addl.,எம் டி. பஜார் அடிஷனல்
What is the eligibility of a beneficiary?,ஒரு பயனாளியின் தகுதி என்ன?
Who are the target userbase of Poshan Tracker App?,போஷன் டிராக்கர் பயன்பாட்டின் இலக்கு பயனர் தளம் யார்?
Kanpur Nagar City 1,கான்பூர் நகர் நகரம் 1
How Poshan Tracker Works,போஷன் டிராக்கர் எவ்வாறு செயல்படுகிறது
Kalna - I Addl.,கால்னா - I அடிஷனல்
Home visits and Counselling,வீட்டிற்கு வருகை மற்றும் ஆலோசனை
Kusheshwar Asthan Purbi,குசேஷ்வர் அஸ்தான் புர்பி
Mandirbazar ICDS Project,மந்திர்பஜார் ஐ. சி. டி. எஸ். புராஜக்ட்
Awareness to Lactating Mother,பாலூட்டும் தாய்மார்களுக்கான விழிப்புணர்வு
"It often indicates recent and severe weight loss, although it can also persist for a long time","இது பெரும்பாலும் சமீபத்திய மற்றும் கடுமையான எடை இழப்பைக் குறிக்கிறது, இருப்பினும் இது நீண்ட காலத்திற்கு நீடிக்கும்"
 X. ACCESS FROM OUTSIDE INDIA, X. இந்தியாவிற்கு வெளியே இருந்து அணுகல்
Kaliachak - II,காலியாசக் - II
Machkhowa Icds Project,மச்கோவா ஐ. சி. டி. எஸ். புராஜக்ட்
What is the minimum requirement to install Poshan Tracker App in mobile?,போஷன் டிராக்கர் பயன்பாட்டை மொபைலில் நிறுவ குறைந்தபட்ச தேவை என்ன?
SHRI ANANDPUR SAHIB,ஶ்ரீ ஆனந்த்பூர் சாஹிப்
"Khar (West),Santacruze (East)","கார் (மேற்கு), சாந்தாகுரூஸ் (கிழக்கு)"
Create new ticket,புதிய டிக்கெட்டை உருவாக்கவும்
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,ஆவணத்தில் விவரிக்கப்பட்டுள்ள வழிமுறைகளின் மூலம் மட்டுமே நீங்கள் தளத்தை அணுகுவீர்கள் (அல்லது அணுக முயற்சிப்பீர்கள்) மேலும் இந்த ஒப்பந்தத்தின் விதிமுறைகள் மற்றும் நிபந்தனைகளுக்கு இணங்குவீர்கள்.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","எந்த மூன்றாம் தரப்பு உரிமைகளையும் பாதிக்காமல் உங்களுக்கும் உங்கள் தளத்தைப் பயன்படுத்துவதற்கும் பொருந்தக்கூடிய அனைத்து மத்திய மற்றும் மாநில சட்டங்கள், விதிகள் மற்றும் ஒழுங்குமுறைகளுக்கு நீங்கள் இணங்குவீர்கள்."
ROURKELE CIVIL TOWNSHIP,ரௌர்கேலா சிவில் டவுன்ஷிப்
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.
Ldh Urban 4,லூதியானா அர்பன் 4
Welcome!,நன்றி!
The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.,பின்வருபவை https://poshantracker.
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in இல் ஹோஸ்ட் செய்யப்பட்ட போஷன் டிராக்கர் பிளாட்ஃபார்ம் மற்றும் இணைக்கப்பட்ட அனைத்து தளங்களும் அதன் நிறுவனங்கள் மற்றும் துணை நிறுவனங்கள் (ஒட்டுமொத்தமாக, ""தளம்"") உங்கள் பயன்பாட்டை நிர்வகிக்கும் சேவை விதிமுறைகள் (""விதிமுறைகள்"")."
Burdwan - I,பர்த்வான் - I
Project 4 Singanallur,புராஜக்ட் 4 சிங்காநல்லூர்
Select Key Performance Indicator,முக்கிய செயல்திறன் குறிகாட்டியைத் தேர்ந்தெடுக்கவும்
Select An Anganwadi center,ஒரு அங்கன்வாடி மையத்தைத் தேர்ந்தெடுக்கவும்
Clarification regarding Cost of Smart phones,ஸ்மார்ட் போன்களின் விலை பற்றிய விளக்கம்
Budge Budge - II,பட்ஜ் பட்ஜ் - II
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,தட்டம்மை கொண்ட தடுப்பூசி (MCV)/தட்டம்மை & ரூபெல்லா (MR)-1ஜப்பானிய மூளைக்காய்ச்சல்(JE)-1**PCV-பூஸ்டர்
