eng,sd
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ईयो इनमे भाग वठण सा गड्-गड् सिहत जो ध्यान रखंण वारन सा गालाएणं जे लायक ठाईंदो आ अंउ असांखें डिजिटल लैब रिपोर्ट भी मिलंदी, मर्ज जी सुज्ञाणप करण जो तरीको मिलदो आहे सुठे अंउ काबिल सिहत जो ध्यान रखंण वारन खा।"
Alipurduar - I,अलीपुरद्वार - I
Poshan Tracker Features,पोषण टे्कर जा फिचर
Why this Monthly Meeting?,हिन महीने जी सभा छो आ?
Urban Slum Project,शहरी बस्ती प्रोजेक्ट
Our System provides API to Third – Party Sites that may collect your personal information.,असां API थरड पार्टी खे डिन्डा आयुन जेसा उवे तांजी पर्सनल सूचना कडि ता सिंघन।
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,पोषण ट्रैकर ऐडी जानकारी या हुनजी गोपनीयता बुखारीण या हुन ट्रीं दुरिन जि साइटुन जे कॉन्टेंट जी हिफाजती लाये केडे भी तरह सां जिम्मेदार न आये।
"Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites.","हिनजे अलावा, तवां ट्रीं दुरिन जि साइटुन जा कुछ पेजेस ते ""कुकीज"" या ब्या कोई मेल खाइन्दा डिवाइसेस जो भी सामनो करे सगंदा आयो आऊं पोशन ट्रैकर द्वारा इहो साफ साफ तावानखे चयो तो वने कि सिस्टम हिन ट्रीं दुरिन जि साइटुन द्वारा कुकीज जे इस्तेमाल जी इख्तेयारी न कंदी।"
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,"हिन ट्रीं दुरिन जी सेवा डेयन वारा आऊं ट्रीं दुरिन जि साइटुन जी पेंजी गोपनीयता बुखारीण थी सगंदी आहेन जो तवान्जी जानकारी खे पाण वठ रखें आऊं हुनजी इख्तेयारी भी करे ती सगेन, जेंजा तवां अधीन थी सगंदा आयो।"
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.",तांजी हिय गोपनीयता नीति ट्रीं दुरिन खे न डिनि वेनदी अंउ उवे इस्तेमाल नथा करे सिघन पांजी साइड ते या सर्विस जे लाए।
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.",असा ताखे बुधायण ता चायु त जेमल तां ट्रीं दुरिन जी साइड ते वेनदव त गोपनीयता नीति डिसी वठजो पांजी अकाउंट जी सुरक्षा लाए।
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,तांखे हिय स्वीकृति करणी पईंनदी की तांजी विधल ट्रीं दुरिन जी साइड ते सूचना लाए असा जिम्मेदार न हुनदासे।
Madhyamgram New Barrackpore(U) ICDS Project,मध्यमग्राम नयू बेराकपुर (यू) आइ. सी. डी. ऐस. प्रोजेक्ट
Gangtok Rural Project,गेगटोक गो॒ठाणी प्रोजेक्ट
Bishnupur II ICDS,बीशनुपुर II आई. सी. डी. ऐस.
Ponnamapet (Sal Pro 2),पोन्नामापेट (साल प्रो 2)
Murarai - I,मुराराई - I
Karimnagar (R ),करीमनगर (आर)
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.","मथे डिनाईल खंड 1 जे तहत रजिस्ट्रेशन जे मैल तवानखो जमा करैल निजी जानकारी खे पूरी हिफाजती सां रख्यो वेंदो आऊं हिनजो इस्तेमाल सिर्फ हिंदुस्तान जी सरकार या राज्य सरकार द्वारा सिहत जी तरक्की आऊं मुकाम ते नजर रखण, रिपोर्ट तैयार करण, हीट मैप आऊं बया सांख्यिकीय विसुअलाईजेशन्स, देश में पोशन ट्रैकर जे इंतिजाम जे इरादे लाये कियो वेंदो।"
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,मथ्थे डिनायल खंड 1 जे हिसाब सां एसएमएस जे तौर सां तवांसआं गालायन जे लाये तवानजी रिफरेन्स आईडी (मोबाइल नंबर) केवल तवान्जी निजी जानकारी सां गड-जुडैल हूंदी।
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","अस्सां तवान्जी मर्जी जे बगैर बी काई ट्रीं दुरी खे तवान्जी जानकारी जो खुलासो या ट्रांसफर न कंदासे, जैनस्तूरी इहो खुलासो या ट्रांसफर न हुजेः1. आवाश्यकता जे अनुसार असाखे गवर्नमेंट जा निर्देश अंउ कानून जो पालण करणों आ2. गवर्नमेंट एजेंसी द्वारा प्राथना कानून जो पालण करण, इन्टर आलिया, आईडेंटिटी जो वेरिफिकेशन, बचायण, डिसण, पुछताछ करण, गेरकानूनी कम ते सजा डयण।"
GOSABA ICDS ADDITIONAL,गोसाबा आई. सी. डी. ऐस. धार
Download Mobile App,मोबाइल ऐप डाउनलोड कयो
Durgapur I Urban,दुर्गापुर-I शहरी
Ausgram - I,उसग्राम - I
Having difficulty raising ticket,टिकेट वठण मे दिक्कत ती अचे
Ausgram - II,उसग्राम - II
West Zone Rmc,वेस्ट जोन आर ऐम सी
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.If you do not agree with any part of these terms, do not use the site.You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.","असांजि गोपनीयता नीति, ओपन एपीआई नीति,आऊं बयु नीतियु नीयत या दिशानिर्देश देखो साईट ते डिनो वेन्दो जेते सुविधा पाए ता सिघो।साइट ते वनी या उनखै उपयोग करें ता ईये सब शरतयु डिसी आऊं सेहत थी ता सघोअगर ता हिन शब्द न खे सहमति नंदा डरो त साइट जो उपयोग न क्यों।अगर तांजी कानूनी तरीके सा उम्र काने तो ता हिन जो इस्तमाल नथा करे सीघो।"
BARUIPUR ICDS PROJECT,बारुइपुर आई. सी. डी. ऐस. प्रोजेक्ट
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,बेकिलस केलमिटी गेरिन (BCG)ओरल पोलियो वैक्सीन (OPV)-0 डोस हेपाटिटिस बी बर्थ डोस OPV-1 T
Dhubri - Assam,धुबरी - असम
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",खंड 1 जे तहत जमा करैल जानकारी जो इस्तेमाल हितकारिण जी सिहत खे सुख्यो ठायण जे मकसद लाये कयो वेंदो।
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","असा ताखे प्रोडक्ट डयण लाए,एप सर्विस जी अपडेट, सुविधा, सुरक्षा, डाटा, मटेरियल, कंटेंट अंउ गड गड सहारो भी डिनडा आयुन।"
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.",जेमल तां रजिस्टर कंदा आयो मोबाईल नम्बर सा तेमल तांजो मोबाईल नम्बर असा रजिस्टर कंदा आयु तांजो रिकार्ड रखण लाए।
These can also be used to assess the health status as recorded in the Poshan Tracker system.,हिनजो इस्तेमाल पोशन ट्रैकर बुखारीण में दर्ज सिहत जो स्तर जो अंदाजों लगायण लाये भि करे सगंदा आयुं।
Salboni -Adl ICDS Project,सालबोनी -धार आई. सी. डी. ऐस. प्रोजेक्ट
BOLPUR  ADDL,बोलपुर धार
Madhupur Icds Project,मधुपुर आई. सी. डि. ऐस. प्रोजेक्ट
Stunted Assessment Parameters,अवरूद्ध जो मुल्यांकन मापण
"You shall not, either on your own or through any other person:Restrict or inhibit any other person from using the SiteUse the Site for any unlawful purposeExpress or imply that any statements you make are endorsed by us, without our prior written consentImpersonate any person or entity, whether actual or fictitiousEngage in spamming or floodingHarvest or collect information about Site usersOpen multiple accounts for yourself or any other individual using multiple mobile numbersSubmit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive natureManipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submitLink to any portion of the Site other than the URL assigned to the home page of the Site“Frame” or “Mirror” any part of the SiteModify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the ContentRemove any copyright, trademark or other proprietary rights notices contained on the SiteUse any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is activeTake any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the ContentThe Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purposeYou will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","न त पाण न बे व्यक्ति जी मदद साःकेखे भी साइट जो इस्तेमाल करण सा रोके नथा सिंघोकेडे भी गैरकानूनी उद्देश्य लाए साइट जो, इस्तेमाल नथा करे सिंघोतवां इहो व्यक्त या संकेत ता कयो कि तवान्जो डिनायल केडे भी बयान खे अस्सां सहमति ता देउँ भले असांजी पेहणो खां लिखैल सहमति ने हुजेकेडे भी माणु या संस्था जो प्रतिरूपण कंदो, चाहे उहो वास्तविक या काल्पनिक हुजेस्पैमिंग या फ्लडिंग में शामिल थियंदोसाइट उपयोग करता जे बारे में जानकारी ईककठी करणअलग अलग मोबाईल सा पांजन आऊं बयान माणु जो हिक का अधिक खाता खोलयोताजे द्वारा जमा करण केडो भी साफ्टवेयर जेमे कोई भी सामग्री याने वायरस, किट, डेड, किडे, बम, टाईम बम या विनाशकारी प्रकृति जी हेडि केडि वस्तुपहचान कर्ता में हेरफेर, निर्देशक हेडर कारण सा गड वारि केडि भी पोस्टिंग ताजे द्वारा जमा करणसाइट जे होम पेज जे युआरएल जे अलावा साइट जे केडे भी हिस्से सा लिंक करे ता सिंघोसाइट जो कोई भी भाग ""फ्रेम"" या ""मिरर"" करणसाइट जे केडे भी हिस्से खे संशोधित, अनुकूलित, अनुवाद, बिक्री, रिवर्स, इंजीनियर या डिसेबल या अन्य था केडे भी स्त्रोत खे या सामग्री जे केडे भी हिस्से को एल्गोरिथम जो प्रयास कयोसाईट ते कयल केडो भी कोपी राईट या मालिकानो अधिकार हटाये छडयोकेडे भी कंप्यूटर प्रोग्राम, बॉट, रोबोट, स्पाइडर, ऑफलाइन रीडर, साइट सर्च/पुनर्प्राप्ति एप्लिकेशन या ब्या मैनुअल या ऑटोमैटिक डिवाइस, टूल, या प्रक्रिया कहे पुनर्प्राप्त करण, इंडेक्स, डेटा माइन, या केडे भी तरह सां सुरक्षा आकार, नेविगेशनल आकार या सामग्री या साइट जी प्रस्तुति खे पुनः पेश या बाधित करण लाये इस्तेमाल कयो, साइट ते प्रदर्शित केडे भी कैप्चा जे संबंध में।पेंजे कम्प्यूटर खा बेजे कम्प्यूटर में जानकारी ईककठी करण या विजण जो प्रयास न कंजो, जित्थे ऐडो सॉफ्टवेयर या सिस्टम एक्टिव आहे, हिनमे जानकारी गोलन बुकिंग करण भी शामिल आहेनकाई भी कार्रवाई कंदो जैकी असांजी बुनियादी ढांचे ते अनुचित या अनुपातहीन रूप में वड्डो भार (असांजे विवेकाधिकार में) विजंदी आहे या विजि सगंदी आहे।साइट जो उपयोग करे सामग्री उततपन क्यों, संशोधित कयो, प्रदर्शन क्यों, सार्वजनिक क्यौ, बाटयो या ठायोसामग्री केडे भी संयोजन मा या कार्यक्रम या सेवा मां, तकनिकी उपाय खे रोकन लाए डिजाइन कयो व्यो आ।जे में बिना केडि सीमा मा मेनुअल, डिकरोपट, कंडक्ट, सर्टिफिकेट या एऐलगोरिथम या स्वचलित डिवाइस या प्रकिया द्वारा केडेभी उद्देश्य जे लाए।तवां साइट जे माध्यम सां हिस्सेदारन जो पंजीकृत करण जे लाये, खोजण मैल बॉट तकनीक जो इस्तेमाल न कंदो; शक्क खों बचण जे लाये, इह तवांखे साइट तौं ऑटोमेटेड स्क्रिप्ट या ऑटोमेटेड सॉफ्टवेयर जे बेस जो इस्तेमाल करण लाये विशेष रूप सां मना थो करे, आऊं तवांखे साइट ते केडो भी सुरक्षा उपाय, एक्सेस कंट्रोल सिस्टम, या ब्या तकनीकी नियंत्रण या माप खे वापरण लाये मना तो करे जैंजो इस्तेमाल हिस्सेदारण खे लागू करण लाये थी सगंदो आहे।हिक मोबाइल नंबर सां जुडेल हिस्सेदारण जो पंजीकरण नियमन जी सीमा या नीतिपरायणता ठाए रखण जे लाये आहे"
Training on ICT Platform under POSHAN Abhiyaan,पृशिक्षण करण ICT प्लेटफार्म ते पोषण अभियान जे हलदे
Barasat - I Addl.,बारासात - I धार
"Know more about stunting, wasting and underweight","स्टंटिंग, वेस्टिंग आऊं गठ वजन जे बारे में वधीक जाण्यो"
What information to be added in AWC forms?,आंगनवाडी मरकज फॉर्म में कहिडी जा॒ण जोडी वञन घुरजे?
Mathavaram Rural @ Puzhal,माथालारम गोठाणो @ फुझाल
How to revive your health if you are Moderately Wasted (MAM),किंय वापस पाए ता सघु सिहत संतुलित विनायल ग्रोथ (MAM)
AWC Workers Registered In Last 30 Days,पोंयनु 30 दि॒हंनु में रजिस्टर थियल आंगनवाडी मरकज कारकुन
Daman & Diu,दमन एं ड्यू
Lahaul & Spiti,लाहौल एं स्पीति
Katwa - I,काटवा - I
OPEN A NEW TICKET,हिक नई टिकेट खोलयो
Lower Dibang Valley,हेठाइं दिबांग घाटी
Click on above button to get this App,हिन एप खे हासिल करण जे लाये मथे दि॒नल बटण ते क्लिक कयो
Please Enter Valid Name,किरपा सही नालो भरयो
1. INFORMATION WE COLLECT,1. सूचना जेकी असा ईककठी कई
Beneficiaries Registered In Last 30 Days,पोंयनु 30 दि॒हंनु में रजिस्टर थियल आंगनवाडी मरकज
Gopiballabhpur - II,गोपीबल्भपुर - II
Darjeeling PulBazar.Addl,डार्जिलिंग फुलबाजार धार
Specifications of Smart phone and Technical Compatibility Testing,विनिर्देश स्मार्टफोन जो आऊं तकनिकी अनुकुलता जो परिक्षण करण
Preparation During Pregnancy - For NewBorn Care & Family Planning,पेटअ सां हुजैन मैल जी तैयारी - जायल बार जी देखभाल आऊं फॅमिली प्लानिंग जे लाये
Please select Project,महर्बानी करे  हिक प्राजेक्ट चुंडो
Please Select Query Related to,किरपा करे चुनयो केंजे संबंधी सवाल आ
 IV. ACCOUNT REGISTRATION, IV. खातों पंजीकरण
Stunting ( Height for Age)-,स्टनटिग ( लम्बाई उम्र जे लाए)-
Binpur - II Adl.,बीनपुर - II धार
Pakyong Rural Project,पाकयोंग गो॒ठाणी प्रोजेक्ट
Wasted Assessment Parameters,व्यर्थ जो मुल्यांकन मापण
Sangam Vihar Ii,संगम विहार-II
Shri Ram Colony,श्रीराम कालोनी
Ranaghat 1 Exsiting,राणाघाट 1 ताजो
Mathabhanga I Addl,माथाभांङा I धार
Stunting is the impaired growth and development that children experience from poor nutrition,स्टंट ग्रोथ आऊं डेवलपमेंट लाए सुठो न हुनदो आ जेसा बार कुपोषित रहजी वेदों आ
Children in the age group of 3 years to 6 years,बार देखा 3 सल खा 6 सालन जा आएन
"Poshan Tracker Dashboard can be accessed by signing onto the dashboard.Dashboard can be accessed by clicking the link https://poshantracker.in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.",डैशबोर्ड ते साइन इन करे पोषण ट्रेकर डैशबोर्ड ताईं पहुंची सघ॒जे थो.लिंक https://poshantracker.in/admin ते क्लिक करे डैशबोर्ड ताईं पहुंची सघ॒जे थो.डैशबोर्ड ते पहुंचण जे लाये फक्त चूंडियल राष्ट्रीय/ राज्य/ जिल्ला/ प्रोजेक्ट एं सेक्टर सतह जे नोडल सतह जे ऑफिसरन खे हिक अनोखो क्रेडिनशल दि॒नो वेंदो आहे.
Please enter valid Weight,किरपा सही वजन भरयो
Khargone (West Nimar),खरगोन (द॒खण निमार )
 Md. Bazar Addl., ऐम. डी. बजार धार
What is the eligibility of a beneficiary?,छा आए लाभकारी जी पात्रता?
Who are the target userbase of Poshan Tracker App?,पोषण ट्रेकर एप जा मक्सदी वापराइंदड केर आहिन?
Kanpur Nagar City 1,कानपुर नगर शहरी 1
How Poshan Tracker Works,पोषण ट्रेकर अप कियें कम कंदी आहे
Kalna - I Addl.,कालना - I धार
Home visits and Counselling,घर वनयण आऊं काउंसिलिंग
Kusheshwar Asthan Purbi,कुशेसवार स्थान पुर्बी
Mandirbazar ICDS Project,मंदिरबजार आई. सी. डी. ऐस. प्रोजेक्ट
Awareness to Lactating Mother,जागरूकता मां मे ढुक्क डेयन जी
"It often indicates recent and severe weight loss, although it can also persist for a long time","इयो डिखाईंदो आ हाणे आऊं गंभीर घट वजन, ईयो दृढ संकल्प सा लम्बे टाईम मे पाए ता सघयु"
 X. ACCESS FROM OUTSIDE INDIA, X. हिंदुस्तान खो बाहर खां पहुंच
Kaliachak - II,कालियाचौक - II
Machkhowa Icds Project,माखखोवा आई. सी. डि. ऐस. प्रोजेक्ट
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाईल में पोषण ट्रेकर एप इंस्टाल करण जे लाए घटु में घटु घुरज छा आहे?
SHRI ANANDPUR SAHIB,श्री आनंदपुर साहिब
"Khar (West),Santacruze (East)","खार (ओलहि), सेंटाक्रुज (ओभर)"
Create new ticket,नई टिकेट ठाहियो
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,तवां केवल दस्तावेजीकरण में डिनायल माध्यमन्न सां साइट ताईं पहुंच (या एक्सेस करण जी कोशिश) कंदो आऊं हिन अग्रीमेंट जे नियमन आऊं शरतुं जो पालन कंदो।
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","तावान सभी केंद्रीय आऊं राज्य जे कानूनन, नियमन आऊं विनियमन जो पालन कंदो जो तवांजे आऊं साइट जे तवांजे इस्तेमाल जे मथ्थों लागू थेयंदा आहेन आऊं केडी भी ट्रीं दुरी जे हक्कण जे मथ्थों असर कंदी आहे।"
ROURKELE CIVIL TOWNSHIP,राउरकेले सीविल टाउंशीप
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.
Ldh Urban 4,ऐलडीऐच शहरी 4
"Welcome!The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","वेलकम!हाइट डिनायल सेवा जी शर्तूं (""शर्तूं "") आहेन जो तवांजे सां सबब सां होस्ट करैल पोशन ट्रैकर प्लेटफॉर्म खे href='https://poshantracker.in'>https://poshantracker.in आऊं हिनसां जुडैल सभी संबंधी साइटअ, हिनजी मदद कंदिल कंपनियूँ आऊं मददगार (सामूहिक रूप सां, ""साइट"") जे तवांजे इस्तेमाल खे अगुआई कंदी आहे।"
Burdwan - I,बरजवान - I
Project 4 Singanallur,प्रोजेक्ट 4 सीनगानाल्लुर
Select Key Performance Indicator,मुख्य प्रदर्शन संकेतक चुंडयो
Select An Anganwadi center,हिकु आङनवाडी केंद्र चुंडो
Clarification regarding Cost of Smart phones,स्पष्ट करण स्मार्टफोन जो अघ
Budge Budge - II,बज बज - II
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,मिसलेस कनटेनिंग वेक्सिन(MCV)/मिसलेस आऊं रूबेला (MR)-1जापानिस इन्सेफेलाइटिस(JE)-1**PCV-बूस्टर
"There are various reports that can be generated fromGeneral Reports:Number of app  downloadsTotal number of Anganwadi centers registeredTotal number of beneficiaries registered (National/state/district/block wise)Total Number of pregnant women registered(National/state/district/block wise)Total Number of  lactating mothers registered(National/state/district/block wise)Total Number of children (0-6months) registered(National/state/district/block wise)Total Number of children (6months-3years) registered(National/state/district/ block wise)Total Number of children (3-6years) registered(National/state/district/ block wise)Maternal and child nutrition:How many beneficiaries got THR in 21 daysHow many children breastfed exclusively in the first hour after deliveryHow many lactating mothers are given HCMAverage level of calcium in children aged 3-6 yearsAverage level of iron in children aged 3-6yearsTotal number of vaccinations administered per month (block, district, state, national level)Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/PentavalentAWC infrastructure:Number of AWCs (block, district, state, national level)Total number of Balvatikas (block district, state, national level)Total number of AWCs (block, district, state, national level) with clean drinking waterTotal number of AWCs (block, district, state, national level) with working weighing scaleTotal number of AWCs (block, district, state, national level) with electricityTotal number of AWCs that are government ownedTotal number of AWCs that are privately owned",डैशबोर्ड तां तरह-तरह जूं रिपोरटूं कढी सघ॒बियूं आहिनआम रिपोरटूंःएप डाउनलोड जा नंबररजिस्टर थियल आंगनवाडी मरकजनु जो कुल नंबररजिस्टर थियल फायदो वठंदडनु जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)रजिस्टर थियल गर्भ वंती मायूनु जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)रजिस्टर थियल धाराइंदडु माउरुन जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)रजिस्टर थियल बा॒रन (0-6 महिना) जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)रजिस्टर थियल बा॒रन (6 महीना- 3 साल) जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)रजिस्टर थियल बा॒रन (3- 6 साल) जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)माउ एं बा॒र जी खोराकः21 दी॒न्हनु में केतरनु फायदो वठंदडनु खे टीएचआर मिली आहेकेतरनु बा॒रनु खे डिलीवरी जे पहिरियें कलाक में माउ जो खीर दिनो वियोकेतरियुन धाराइंदडु माउरुन खे एचसीएम दि॒नी वेई आहेकेतरनु बा॒रनु खे डिलीवरी जे पहिरियें कलाक में माउ जो खीर दि॒नो वियो3 - 6 सालनु जी उम्र वारनु बा॒रन में कैल्शियम जो सरासरी सतह3 - 6 सालनु जी उम्र वारनु बा॒रन में आयरन जो सरासरी सतहहिक महीने में दि॒नल टीके जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)हिक महीने में दि॒नल टीके जी खास रिपोर्ट (बीसीजी/ ओपीवी/ हेपेटाइटिस B/ रोटावायरस/ पोलियो/ नयुमाकोक्कल/ पेंटावेलंट)आंगनवाडी मरकज इमारतःआंगनवाडी मरकज जो नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)बा॒लवाटिका जो कुल नंबर ((राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)पीयण जे साफ पाणीअ वारन आंगनवाडी मरकज जो कुल नंबर ((राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)कम कंदड वजन कांटे वारन आंगनवाडी मरकज जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)बिजली वारन आंगनवाडी मरकज जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)आंगनवाडी मरकजनु जो कुल नंबर जेके सरकार जी मालिकीअ जा आहिनआंगनवाडी मरकजनु जो कुल नंबर जेके खानगी मालिकीअ जा आहिन
JALPAIGURI Sadar Adl,जलपाईगुडी सदर धार
Mobile number need to be validated within a week,मोबाईल नम्बर जे साबित करणो पवंदो हिक हफिते में
Currently a beneficiary can register by the help of an AWW,हाणे जे लाए लाभकारी रजिस्ट्रेशन करे ता सघयु AWW जी मदद सा
Awareness for Lactating Mother Complimentary Feeding for Children,जागरूकता हुजे मां मे बार खे छाति मा सुठे सा खिर पियाण जी
 W. Phaileng ICDS Project,डब्लु फाईलेंग आई. सी. डी. ऐस. प्रोजेक्ट
 H. Bagh Rural, ऐच. बाग गो॒ठाणो
New Poshan Tracker App - CSC-SPV Nodal Person,नयो पोषण टे्कर एप- CSC-SPV नोडल माणु
New Registration request,नयो पंजिकरण जी आछ
Rampurhat - I Addl.,रामपुरहाट - I धार
UJJAIN - RURAL,उजैन - गो॒ठाणो
Tufanganj II Addl,तुफानगंज II धार
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,तांजो साईड जो हिंय इस्तेमाल करण अंउ साईड जे हिंय इस्तेमाल सा विवाद थयण भारत जे कानून जे अधिन आ अंउ क्षेत्राधिकार जी जगह नई दिल्ली थींदी।
1.1. Information you provide to us.,1.1. सूचना जेकि ता असाखे डिनव।
How can one access Poshan Tracker Dashboard?,पोषण ट्रेकर डेशबोर्ड ते कियें पहुंच्यो वञे?
Harda Gramin 1,हरदा गो॒ठाणो 1
Prevention of Anemia in children and adolescents girls,नंडे बारण आऊं जवान छोकरिन में एनीमिया जी रोकथाम
Gangarampur Addl. I. C. D. S Project,गंगारामपुर धार  आई. सी. डी. ऐस. प्रोजेक्ट
Can a beneficiary register directly using application.,छा अप्लिकेशन खे डायरेक्टलि इस्तमाल करें फायदेमंद रजिस्ट्रेशन करे ता सचमुच।
BISHNUPUR 1 Addl,बीशनुपुर 1 धार
Suri - I,सुरी - I
Mohd Pur Devmal,मोहमद पुर देवमल
ROURKELA INDUSTRIAL ESTATE,राउरकेला इंड्रसट्रीयल इसटेट
Click on Show Results,डिसण अचण वारे रिजल्ट ते दबायो
Rjn Gramin 01,आर जे ऐन गो॒ठाणो 01
Terms of Service,टर्म्स ऑफ सर्विसेस
Complementary Feeding - Diet Diversity,इजाफे वारो खादो-मुख्तलिफ खोराक
SHRI MUKTSAR SAHIB,श्री मुख्तसर साहिब
