eng,mr
We use the information we collect from all our services for the following purposes:,आम्ही आमच्या सर्व सेवांमधून संकलित केलेली माहिती खालील उद्देशांसाठी वापरतोः
Identification & Referral of Sick Newborn,आजारी नवजात बाळाची ओळख आणि संदर्भ
Sant Kabir Nagar,संत कबीर नगर
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. तृतीय पक्ष प्रणालीद्वारे प्रदान केलेल्या डेटाची शुद्धता
Beneficiary concerns accessibility to AWW,लाभार्थी एडब्ल्यूडब्ल्यू च्या प्रवेशयोग्यतेशी संबंधित आहे
Nabadwip Urban ICDS Project,नवद्वीप अर्बन आयसीडीएस प्रकल्प
Monday to Friday,सोमवार ते शुक्रवार
Please select Gender,कृपया लिंग निवडा
Andaman & Nicobar Islands,अंदमान निकोबार बेटे
Please Select Description,कृपया वर्णन निवडा
Kaliachak - I Adl.,कालियाचक - I अतिरिक्त
NEEM KA THANA,नीम का थाना
Who is eligible for Take Home Ration?,होम रेशनसाठी कोण पात्र आहे?
Golghat West Icds Project,गोलघाट पश्चिम आयसीडीएस प्रकल्प
Jorebunglow - Sukhiapokhri,जोरेबंगलो - सुखियापोखरी
Supporting mothers with issues in Breastfeeding,स्तनपानाच्या समस्या असलेल्या मातांना आधार देणे
Barasat - I,बारासात - I
Bakshi Ka Talab,बक्षी का तालब
Harishchandrapur - II,हरिश्चंद्रपूर - II
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.","पोषण ट्रॅकर अँप्लिकेशनचा उद्देश आहे की त्यातून अंगणवाडी सेंटर (एडब्ल्यूसी), अंगणवाडी सेविकांची सेवा पुरवठा (एडब्ल्यूडब्ल्यू ), गर्भवती महिला, स्तनपान करणारी माता व मुले यांचे संपूर्ण लाभार्थी व्यवस्थापन, अशा सगळ्याचा एक ३६०°आढावा घेऊ शकतो."
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","प्रस्तावित प्रणाली आपल्याला परिभाषित निर्देशकांवर सर्व एडब्ल्यूसी, एडब्ल्यूडब्ल्यू आणि लाभार्थ्यांचे वास्तविक-वेळ देखरेख आणि ट्रॅक करण्यास सक्षम करेल."
Madhubani - Bihar,मधुबनी - बिहार
Last 7 days,शेवटचे 7 दिवस
Above standards are defined as per given above mentioned age brackets,वर नमूद केलेल्या वय कंसानुसार वरील मानके परिभाषित केली आहेत
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","जर एखाद्या व्यक्तीचे वजन कमी असेल, तर त्यांच्या शरीराला निरोगी हाडे, त्वचा आणि केस तयार करण्यासाठी आवश्यक पोषक तत्त्वे मिळत नाहीत"
Please select State,कृपया राज्य निवडा
Ngopa ICDS Project,गोपा आयसीडीएस प्रकल्प
Magrahat - II Addl ICDS,मगराहत - IIअतिरिक्त आयसीडीएस
Sabroom NP ICDS project,साब्रूम एनपी आयसीडीएस
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,एमपीआयएन संबंधित मोबाईल क्रमांकावर ओटीपीची विनंती करुन संबंधित अंगणवाडी सेवकाद्वारे सेट केले जाऊ शकते.
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.",डेटाबेसमध्ये मोबाइल नंबर आधीपासून अस्तित्त्वात असल्यास संबंधित अंगणवाडी व्यक्तीस नोंदणीकृत मोबाइल क्रमांकावर ४ अंकी ओटीपी मिळेल.
"Post entering the OTP, AWW can easily set customized MPIN.",ओटीपी टाकल्यावर एडब्ल्यूडब्ल्यू सहजपणे सानुकूलित एमपीन सेट करू शकते.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","हे सहभागी आरोग्य सेवा प्रदात्यांशी तुमचं एकमेकांशी असलेले संभाषण सक्षम करते आणि तुम्हाला तुमचे डिजिटल लॅब रिपोर्ट्स, प्रिस्क्रिप्शन आणि निदान सत्यापित आरोग्यसेवा व्यावसायिक आणि आरोग्य सेवा प्रदात्यांकडून अखंडपणे प्राप्त करण्यास अनुमती देते."
Alipurduar - I,अलीपुरद्वार - I
Poshan Tracker Features,पोषण ट्रॅकरची वैशिष्ट्ये
Why this Monthly Meeting?,ही मासिक सभा कशासाठी?
Urban Slum Project,नागरी झोपडपट्टी प्रकल्प
Our System provides API to Third – Party Sites that may collect your personal information.,आमची सिस्टीम तृतीय-पक्ष साइट्सना एपीआय प्रदान करते जी तुमची वैयक्तिक माहिती संकलित करू शकते.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,पोषण ट्रॅकर अशा माहितीच्या सुरक्षिततेसाठी किंवा त्यांच्या गोपनीयता पद्धती किंवा त्या तृतीय पक्षाच्या साइट्सच्या सामग्रीसाठी कोणत्याही प्रकारे जबाबदार नाही.
"Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites.","याव्यतिरिक्त, तृतीय पक्ष साइट्सच्या काही पृष्ठांवर तुम्हाला कुकीज किंवा इतर तत्सम उपकरणे देखील आढळू शकतात आणि पोषण ट्रॅकरद्वारे हे स्पष्ट केले आहे की प्रणाली या तृतीय-पक्ष साइट्सद्वारे कुकीजच्या वापरावर नियंत्रण ठेवत नाही."
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,या तृतीय-पक्ष सेवा प्रदाते आणि तृतीय-पक्ष साइट्सची त्यांची स्वतःची गोपनीयता धोरणे असू शकतात जी तुमची माहिती साठवून ठेवण्यासाठी आणि ठेवण्यावर नियंत्रण ठेवू शकतात ज्यांच्या तुम्ही अधीन असाल.
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","हे गोपनीयता धोरण या तृतीय-पत्नींना प्रदान केलेली, संग्रहित केलेली किंवा वापरली जाणारी कोणतीही माहिती नियंत्रित करत नाही."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","आम्ही शिफारस करतो की तुम्ही तृतीय-पक्षाच्या साइटमध्ये प्रवेश करता तेव्हा, तुम्ही तृतीय पक्षाच्या साइटच्या गोपनीयता धोरणाचे पुनरावलोकन करा कारण ते तुमच्या माहितीच्या सुरक्षेशी संबंधित आहे."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,तुम्ही सहमत आहात आणि कबूल करता की शोध परिणामांमध्ये किंवा कोणत्याही तृतीय-पक्ष साइटद्वारे प्रकाशित केलेल्या माहितीसाठी पोषण ट्रॅकर जबाबदार राहणार नाही.
Madhyamgram New Barrackpore(U) ICDS Project,मध्यमग्राम न्यू बॅरकपूर (यु) आयसीडीएस प्रकल्प
Gangtok Rural Project,गंगटोक ग्रामीण प्रकल्प
Bishnupur II ICDS,बिष्णुपूर II आयसीडीएस
Ponnamapet (Sal Pro 2),पोन्नामापेट (साल प्रो 2)
Murarai - I,मुरारई - I
Karimnagar (R ),करीमनगर (आर)
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","उपरोक्त कलम 1 अंतर्गत नोंदणीच्या वेळी तुमच्याकडून गोळा केलेली वैयक्तिक माहिती सुरक्षितपणे संग्रहित केली जाईल आणि ती केवळ भारत सरकार किंवा राज्य सरकारे आरोग्य प्रगती आणि स्थितीचा मागोवा घेण्यासाठी, अहवाल तयार करण्यासाठी, उष्णतेचे नकाशे आणि इतर सांख्यिकी यासाठी वापरली जाईल.देशातील पोषण ट्रॅकरच्या व्यवस्थापनाच्या उद्देशाने व्हिज्युअलायझेशन,.तुमचा संदर्भ आयडी (मोबाइल नंबर) वरील कलम 1 नुसार तुमच्याशी एसएमएसद्वारे संवाद साधण्यासाठी केवळ तुमच्या वैयक्तिक माहितीशी सह-संबंधित असेल.तुमच्या संमतीशिवाय आम्ही तुमची माहिती इतर कोणत्याही तृतीय पक्षाकडे उघड किंवा हस्तांतरित करत नाही, जोपर्यंत असे प्रकटीकरण किंवा हस्तांतरण होत नाहीः1. कोणत्याही लागू कायद्याचे किंवा न्यायालयाच्या आदेशाचे किंवा निर्देशांचे पालन करण्यासाठी आवश्यक; किंवा2. इतर गोष्टींबरोबरच, ओळखीची पडताळणी, प्रतिबंध, शोध, तपास, खटला चालवणे किंवा कोणताही गुन्हा किंवा घटनांची शिक्षा या उद्देशाने लागू कायद्यानुसार कोणत्याही योग्य सरकारी एजन्सीने विनंती केली आहे."
GOSABA ICDS ADDITIONAL,गोसाबा आयसीडीएस अतिरिक्त
Download Mobile App,मोबाइल एप डाउनलोड करा
Durgapur I Urban,दुर्गापूर I अर्बन
Ausgram - I,औसग्राम - I
Having difficulty raising ticket,तिकीट प्राप्त करण्यास अडचण येत आहे
Ausgram - II,औसग्राम - II
West Zone Rmc,पश्चिम विभाग आरएमसी
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.","आमचे गोपनीयता धोरण, ओपन एपीआय धोरण आणि साइटवरील विशिष्ट ऑफर किंवा वैशिष्ट्यांना लागू होणारी इतर कोणतीही धोरणे, नियम किंवा मार्गदर्शक तत्त्वे या अटींमध्ये अंतर्भूत आहेत."
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","साइटला भेट देऊन किंवा वापरून, आपण वेळोवेळी अद्यतनित केल्यानुसार या अटींशी स्पष्टपणे सहमत आहात."
"If you do not agree with any part of these terms, do not use the site.","आपण या अटींच्या कोणत्याही भागाशी सहमत नसल्यास, साइट वापरू नका."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,तुम्ही साइट कोणत्याही प्रकारे वापरू शकत नाही आणि बंधनकारक करार तयार करण्यासाठी तुम्ही कायदेशीर वयाचे नसल्यास अटी स्वीकारू शकत नाही.
BARUIPUR ICDS PROJECT,बारुईपूर आयसीडीएस प्रकल्प
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,बॅसिलस कॅल्मेट ग्वेरिन (बीसीजी)ओरल पोलिओ व्हॅक्सिन (ओपीव्ही)-0 डोस हिपॅटायटीस बी जन्म डोस ओपीव्ही-1 टी
Dhubri - Assam,धुबरी - आसाम
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","कलम 1 अंतर्गत संकलित केलेली माहिती, लाभार्थींच्या आरोग्याच्या सुविधेसाठी वापरली जाईल."
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","आम्ही आमची उत्पादने प्रदान करतो, ज्यामध्ये सिस्टमची माहिती/डेटा/ सामग्री आणि सामग्री अद्यतनित करणे, सुरक्षित करणे आणि समस्यानिवारण करणे तसेच समर्थन प्रदान करणे समाविष्ट आहे."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","जेव्हा तुम्ही पोषण ट्रॅकर वर नोंदणी करता, तेव्हा तुम्ही ज्या मोबाईल नंबरने नोंदणी केली होती, तो मोबाईल नंबर डेटाबेसमधून तुमचा रेकॉर्ड शोधण्यासाठी वापरला जाईल."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,पोषण ट्रॅकर प्रणालीमध्ये नोंदवल्याप्रमाणे आरोग्य स्थितीचे मूल्यांकन करण्यासाठी देखील याचा वापर केला जाऊ शकतो.
Salboni -Adl ICDS Project,सालबोनी - अतिरिक्त आयसीडीएस प्रकल्प
BOLPUR  ADDL,बोलपूर अतिरिक्त
Madhupur Icds Project,मधुपूर आयसीडीएस प्रकल्प
Stunted Assessment Parameters,वयानुसार उंची याबद्दलचे मूल्यांकन मापदंड
"You shall not, either on your own or through any other person:Restrict or inhibit any other person from using the SiteUse the Site for any unlawful purposeExpress or imply that any statements you make are endorsed by us, without our prior written consentImpersonate any person or entity, whether actual or fictitiousEngage in spamming or floodingHarvest or collect information about Site usersOpen multiple accounts for yourself or any other individual using multiple mobile numbersSubmit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive natureManipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submitLink to any portion of the Site other than the URL assigned to the home page of the Site“Frame” or “Mirror” any part of the SiteModify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the ContentRemove any copyright, trademark or other proprietary rights notices contained on the SiteUse any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is activeTake any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the ContentThe Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purposeYou will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","ुम्ही स्वतःहून किंवा इतर कोणत्याही व्यक्तीद्वारे हे करू नयेःसाइट वापरण्यापासून इतर कोणत्याही व्यक्तीस प्रतिबंधित किंवा प्रतिबंधित कराकोणत्याही बेकायदेशीर हेतूसाठी साइट वापराआमच्या पूर्व लेखी संमतीशिवाय तुम्ही केलेल्या कोणत्याही विधानाला आम्ही मान्यता दिली आहे असे व्यक्त करा किंवा सूचित करावास्तविक किंवा काल्पनिक असो, कोणत्याही व्यक्तीची किंवा घटकाची तोतयागिरी करास्पॅमिंग किंवा फ्लडिंगमध्ये व्यस्त रहासाइट वापरकर्त्यांबद्दल माहिती काढा किंवा गोळा कराएकाधिक मोबाईल नंबर वापरून स्वतःसाठी किंवा इतर कोणत्याही व्यक्तीसाठी एकाधिक खाती उघडाकोणतेही सॉफ्टवेअर किंवा इतर साहित्य सबमिट करा ज्यामध्ये कोणतेही व्हायरस, वर्म्स, ट्रोजन हॉर्स, दोष, डेट बॉम्ब, टाइम बॉम्ब किंवा विध्वंसक स्वरूपाच्या इतर वस्तू आहेततुम्ही सबमिट केलेल्या कोणत्याही पोस्टिंगचे मूळ शोधण्यासाठी, बनावट शीर्षलेखांसह अभिज्ञापक हाताळासाइटच्या होम पेजवर नियुक्त केलेल्या यूआरएल व्यतिरिक्त साइटच्या कोणत्याही भागाशी लिंक करासाइटचा कोणताही भाग ""फ्रेम"" किंवा ""मिरर""साइटचा कोणताही भाग सुधारणे, जुळवून घेणे, उप-परवाना, भाषांतर करणे, विक्री करणे, उलट अभियंता करणे, विघटित करणे किंवा वेगळे करणे किंवा अन्यथा सामग्रीच्या कोणत्याही भागाचा कोणताही स्त्रोत कोड किंवा अंतर्निहित कल्पना किंवा अल्गोरिदम मिळविण्याचा प्रयत्न करणेसाइटवर असलेले कोणतेही कॉपीराइट, ट्रेडमार्क किंवा इतर मालकी हक्क सूचना काढून टाकाकोणताही संगणक प्रोग्राम, बॉट, रोबोट, स्पायडर, ऑफलाइन रीडर, साइट शोध/पुनर्प्राप्ती ऍप्लिकेशन किंवा इतर मॅन्युअल किंवा स्वयंचलित डिव्हाइस, टूल किंवा प्रक्रिया पुनर्प्राप्त करण्यासाठी, अनुक्रमणिका, डेटा माइन किंवा कोणत्याही प्रकारे सुरक्षा संरचना, नेव्हिगेशनल पुनरुत्पादन किंवा धोक्यात आणण्यासाठी वापरा.साइटवर प्रदर्शित केलेल्या कोणत्याही कॅप्चाच्या संदर्भात सामग्री किंवा साइटची रचना, किंवा सादरीकरण.शोधण्यासाठी किंवा अपॉईंटमेंट बुक करण्यासाठी कोणतेही स्वयंचलित सॉफ्टवेअर किंवा संगणक प्रणाली वापरा ज्यामध्ये असे सॉफ्टवेअर किंवा सिस्टम सक्रिय आहे अशा दुसर्या संगणकावर तुमच्या संगणकावरून माहिती पाठवणे समाविष्ट आहेआमच्या पायाभूत सुविधांवर (आमच्या विवेकबुद्धीनुसार) अवाजवी किंवा असमानतेने मोठा भार लादणारी किंवा लादणारी कोणतीही कृती करा.साइट वापरा किंवा साइट किंवा सामग्रीचे पुनरुत्पादन, सुधारणे, प्रदर्शित करणे, सार्वजनिकरित्या कार्य करणे, वितरित करणे किंवा व्युत्पन्न कार्य तयार करणेसाईट आणि/किंवा सामग्रीमध्ये प्रवेश, किंवा अधिकारांवर प्रभावीपणे नियंत्रण ठेवणार्या कोणत्याही तांत्रिक उपायांना रोखण्यासाठी डिझाइन केलेले कोणतेही उपकरण, प्रोग्राम किंवा सेवेच्या प्रयत्नात किंवा संयोगाने सामग्री कोणत्याही हेतूसाठी मॅन्युअल डीकोड, डिक्रिप्ट, सुधारित किंवा उलट अभियंता प्रमाणपत्र किंवा अंतर्निहित अल्गोरिदम किंवा स्वयंचलित उपकरण किंवा प्रक्रियासाइटद्वारे सहभागींची नोंदणी करण्यासाठी तुम्ही बॉट तंत्रज्ञानाचा वापर करणार नाही; शंका टाळण्यासाठी, हे विशेषतः तुम्हाला साइटवर स्वयंचलित स्क्रिप्ट आधारित किंवा स्वयंचलित सॉफ्टवेअर वापरण्यापासून प्रतिबंधित करते आणि तुम्हाला कोणत्याही सुरक्षा उपाय, प्रवेश नियंत्रण प्रणाली, किंवा साइटवरील इतर तांत्रिक नियंत्रण किंवा मापन टाळण्यापासून प्रतिबंधित करते ज्याचा वापर सहभागाची अंमलबजावणी करण्यासाठी केला जातो.मर्यादित किंवा एका मोबाइल नंबरशी संबंधित सहभागींच्या नियमांची अखंडता राखण्यासाठी"
Training on ICT Platform under POSHAN Abhiyaan,पोषण अभियान अंतर्गत आयसीटी प्लॅटफॉर्मवर प्रशिक्षण
Barasat - I Addl.,बारासात - I अतिरिक्त
"Know more about stunting, wasting and underweight","खुंटणे, अशक्तपणा आणि कमी वजनाबद्दल अधिक जाणून घ्या"
What information to be added in AWC forms?,एडब्ल्यूसी फॉर्ममध्ये कोणती माहिती जोडायची?
Mathavaram Rural @ Puzhal,मथावरम ग्रामीण @ पुढाळ
How to revive your health if you are Moderately Wasted (MAM),जर तुम्ही माफक प्रमाणात अशक्त असाल तर तुमचे आरोग्य कसे सुधारावे ( मॅम)
AWC Workers Registered In Last 30 Days,शेवटच्या ३० दिवसांत एडब्ल्यूसी कामगार नोंदणीकृत
Daman & Diu,दमण आणि दीव
Lahaul & Spiti,लाहौल आणि स्पीति
Katwa - I,कटवा - I
OPEN A NEW TICKET,नवीन तिकीट उघडा
Lower Dibang Valley,लोअर दिबांग व्हॅली
Click on above button to get this App,हा अॅप मिळविण्यासाठी वरील बटणावर क्लिक करा
Please Enter Valid Name,कृपया वैध नाव प्रविष्ट करा
1. INFORMATION WE COLLECT,1. आम्ही गोळा करत असलेली माहिती
Beneficiaries Registered In Last 30 Days,शेवटच्या ३० दिवसांत लाभार्थी नोंदणीकृत
Gopiballabhpur - II,गोपीबल्लभपूर - II
Darjeeling PulBazar.,दार्जिलिंग पुलबाजार.
Addl,अतिरिक्त
Specifications of Smart phone and Technical Compatibility Testing,स्मार्टफोनचे तपशील आणि तांत्रिक सुसंगतता चाचणी
Please select Project,कृपया प्रकल्प निवडा
Please Select Query Related to,कृपया याच्याशी संबंधित प्रश्न निवडा
 IV. ACCOUNT REGISTRATION, IV. खाते नोंदणी
Stunting ( Height for Age)-,बुटकेपणा (वयानुसार उंची)-
Binpur - II Adl.,बिनपूर - II अतिरिक्त
Pakyong Rural Project,पाक्योंग ग्रामीण प्रकल्प
Wasted Assessment Parameters,उंचीनुसार वजन याबद्दलचे मूल्यांकन मापदंड
Sangam Vihar Ii,संगम विहार II
Shri Ram Colony,श्री राम कॉलनी
Ranaghat 1 Exsiting,राणाघाट 1 विद्यमान
Mathabhanga I Addl,माथाभंग I अतिरिक्त
Stunting is the impaired growth and development that children experience from poor nutrition,खुंटणे म्हणजे बिघडलेली वाढ आणि विकास आहे जी मुलं खराब पोषणामुळे अनुभवतात
Children in the age group of 3 years to 6 years,3 वर्षे ते 6 वर्षे वयोगटातील मुले
"Poshan Tracker Dashboard can be accessed by signing onto the dashboard.Dashboard can be accessed by clicking the link https://poshantracker.in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.","डॅशबोर्डवर साइन इन करून पोषण ट्रॅकर डॅशबोर्डवर प्रवेश केला जाऊ शकतो. https://poshantracker. in/admin दुव्यावर क्लिक करून डॅशबोर्डवर प्रवेश केला जाऊ शकतो, केवळ राष्ट्रीय, राज्य, जिल्हा, प्रकल्प आणि क्षेत्र पातळीवर डॅशबोर्डवर प्रवेश करण्यासाठी एक अद्वितीय प्रमाणपत्रे दिली जातात."
Please enter valid Weight,कृपया वैध वजन प्रविष्ट करा
Khargone (West Nimar),खरगोन
 Md. Bazar Addl.,एमडी बाजार अतिरिक्त
What is the eligibility of a beneficiary?,लाभार्थीची पात्रता काय आहे?
Who are the target userbase of Poshan Tracker App?,पोषण ट्रॅकर अॅपचे लक्ष्यित यूजरबेस कोण आहेत?
Kanpur Nagar City 1,कानपूर नगर शहर 1
How Poshan Tracker Works,पोषण ट्रॅकर कसे कार्य करते
Kalna - I Addl.,कालना - I अतिरिक्त
Home visits and Counselling,घर- भेटी आणि समुपदेशन
Panchayat Raj Institution (PRI) Member or Local Leader,पीआरआय मेंबर किंवा स्थानिक नेते
Kusheshwar Asthan Purbi,कुशेश्वर अस्थान पूरबी
Mandirbazar ICDS Project,मंदिरबाजार आयसीडीएस प्रकल्प
Awareness to Lactating Mother,स्तनपान करणा-या मातेबद्दल जागरूकता
"It often indicates recent and severe weight loss, although it can also persist for a long time","हे बर्याचदा अलीकडील आणि तीव्र कमी वजन दर्शवते, जरी ते दीर्घकाळ टिकू शकते"
 X. ACCESS FROM OUTSIDE INDIA, X. भारताबाहेरून प्रवेश
Kaliachak - II,कालियाचक - II
Machkhowa Icds Project,मचखोवा आयसीडीएस प्रकल्प
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाइलमध्ये पोषण ट्रॅकर अॅप स्थापित करण्यासाठी किमान आवश्यक काय आहे?
SHRI ANANDPUR SAHIB,श्री आनंदपूर साहेब
"Khar (West),Santacruze (East)","खार (पश्चिम), सांताक्रूझ (पूर्व)"
Create new ticket,नवीन तिकीट तयार करा
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,तुम्ही केवळ दस्तऐवजात वर्णन केलेल्या माध्यमांद्वारे साइटवर प्रवेश कराल (किंवा प्रवेश करण्याचा प्रयत्न कराल) आणि या कराराच्या अटी व शर्तींचे पालन कराल.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","तुम्ही सर्व केंद्रीय आणि राज्य कायदे, तुम्हाला लागू होणार्या आणि साइटच्या तुमच्या वापरावर आणि कोणत्याही तृतीय-पक्षाच्या अधिकारांवर परिणाम करणारे नियम आणि नियमांचे पालन कराल."
ROURKELE CIVIL TOWNSHIP,राउरकेले सिव्हिल टाउनशिप
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.
Ldh Urban 4,एलडीएच शहरी 4
"Welcome!The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","स्वागत आहे! https://poshantracker. in वर होस्ट केलेल्या पोषण ट्रॅकर प्लॅटफॉर्मचा तुमचा वापर नियंत्रित करणार्या सेवा अटी (""अटी"") आणि लिंक केलेल्या सर्व संबंधित साइट्स खालील आहेत.त्यास, त्याच्या सहाय्यक कंपन्या आणि संलग्न (एकत्रितपणे, ""साइट"")."
Burdwan - I,बर्दवान - I
Project 4 Singanallur,प्रकल्प 4 सिंगनल्लूर
Select Key Performance Indicator,की परफॉर्मन्स इंडिकेटर निवडा
Select An Anganwadi center,अंगणवाडी केंद्र निवडा
Clarification regarding Cost of Smart phones,स्मार्ट फोनच्या किमतीबाबत स्पष्टीकरण
Budge Budge - II,बज बज - II
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,गोवर (एमसीव्ही)/गोवर आणि रुबेला (एमआर)-1जापनीज एन्सेफलायटीस (जेई)-1**पीसीव्ही-बूस्टर
