eng,ur
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India.",مجاز تنظیمیں حکومت ہند کے قائم کردہ تمام قابل اطلاق قوانین ، ضابطوں ، پالیسیوں اور فریق ثالث کے حقوق ( بشمول اور بغیر کسی حد کے ، ڈیٹا یا سافٹ ویئر کی درآمد یا برآمد سے متعلق کوئی بھی قوانین ، رازداری ، اور مقامی قوانین ) کی تعمیل کریں گی ۔
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,یہ تنظیمیں APIs / بغیر کوڈ ویب پیج انضمام کو غیر قانونی سرگرمی یا تیسرے فریق کے حقوق کی خلاف ورزی کی حوصلہ افزائی یا فروغ دینے کے لیے استعمال نہیں کریں گی جن میں پوشن ٹریکر کے ساتھ یہ شرائط شامل ہیں ۔
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",حاملہ خواتین ، دودھ پلانے والی مائیں ، چھ ماہ سے تین سال تک کے بچے اور نوعمر لڑکیاں ۔
6. DATA SECURITY,6. ڈیٹا کی حفاظت
South Salmara Mankachar,جنوبی سلمارا مانکچھار
0 months to 6 years,0 ماہ سے 6 سال ۔
CHECK TICKET STATUS,ٹکٹ کی حیثیت چیک کریں ۔
Icds Kanhangad Addl,آئی سی ڈی ایس کنہنگاڈ اڈیشنل
Health ID has now been renamed to Ayushman Bharat Health Account (ABHA),ہیلتھ آئی ڈی کا نام اب آیوشمان بھارت ہیلتھ اکاؤنٹ ( ABHA) رکھ دیا گیا ہے ۔
CDPO Ghatkopar Urban,گھاٹ کو پار اربن سی ڈی پی او
Target / Total no.of,ہدف / کل نمبر کا
Enter Email Address,ای میل ایڈریس درج کریں ۔
Dholpur - Rajasthan,دھول پور - راجستھان
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)",جدید پوشن ٹریئکر اپلی کیشن : CSC- SPV نوڈل پرسن (02 فروری 2021)
Udam Singh Nagar,ادھم سنگھ نگر
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW ایک AWC سے دوسرے AWC میں اس کے آدھار نمبر کی بنیاد پر استفادہ کنندہ کو منتقل کرنے کے لیے ' مائیگریٹ بینیفشری ' کا اختیار استعمال کر سکتا ہے ۔
Narot Jaimal Singh,نروٹ جے مل سنگھ
Balasore Sadar I,بالا سور صدر I
General Awareness for Pregnancy,حمل کے لیے عمومی آگاہی
Fatehpur - 84,فتح پور - 84
A beneficiary is eligible for HCM for at least 21 days in a month.,ایک استفادہ کنندہ مہینے میں کم از کم اکیس دنوں کے لیے HCM کا اہل ہے ۔
Alipurduar - II Addl.,علی پور دوار - II اڈیشنل
ABHA (Health ID) and its Benefits,ABHA ( صحت کا شناختی کارڈ ) اور اس کے فوائد
Jorebunglow Sukiapokhri Adl,جور بنگلہ سوکیاپوکھری اڈیشنل
"We'ar sorry, the page you requested could not be found.",ہمیں افسوس ہے کہ آپ نے جس صفحے کو درخواست کی وہ نہیں مل سکا ۔
Rani Ki Sarai,رانی کی سرائے
Project Ii Saibaba Colony,سائی بابا کالونی پروجیکٹ 2
Who is a beneficiary?,فائدہ اٹھانے والا کون ہے
Dadra & Nagar Haveli - Daman & Diu,دادرا اور نگر حویلی ۔دمن اور دیو
Download Mobile App from Play Store,پلے اسٹور سے موبائل ایپ ڈاؤن لوڈ کریں ۔
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws.Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.",پوشن ٹریکر پلیٹ فارم میں آپ کی رازداری اور ذاتی معلومات کو نقصان ، غلط استعمال ، غیر مجاز رسائی ، افشاء ، تباہی ، اور قابل اطلاق قوانین کی تعمیل میں معلومات کی تبدیلی سے بچانے کے لیے مناسب حفاظتی اقدامات اور حفاظتی اقدامات موجود ہیں ۔اس کے علاوہ ، جب بھی آپ سسٹم پر اپنے اکاؤنٹ یا اس سے متعلق کسی بھی معلومات کو تبدیل کرتے یا اس تک رسائی حاصل کرتے ہیں ،تو ہم ایک محفوظ سرور کے استعمال کی پیشکش کرتے ہیں ۔یہ مزید واضح کیا جاتا ہے کہ جب تک آپ سسٹم تک رسائی اور / یا استعمال کرتے ہیں( براہ راست یا بالواسطہ طور پر )، آپ کو یہ یقینی بنانے کی ذمہ داری ہے کہ آپ ، ہر وقت ، مناسب جسمانی ، انتظامی ، اور تکنیکی تحفظات اپنے اختتام پر لیں گے ۔، آپ کے ڈیٹا کی سالمیت اور سلامتی کو محفوظ رکھنے کے لیے جس میں آپ کی ذاتی معلومات شامل ہوں گی اور ان تک محدود نہیں ہوں گی ۔
General Awareness on the Delivery of the child,بچے کی ترسیل کے بارے میں عمومی آگاہی
General Awareness on Anaemia,خون کی کمی پر عمومی آگاہی
Hot Cooked Meal not received,گرم پکا ہوا کھانا موصول نہیں ہوا ۔
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.",ہم اپنی خدمات کو چلانے کے لیے بھی ڈیٹا کا استعمال کرتے ہیں ،جس میں ہماری کارکردگی کا تجزیہ ، ہماری قانونی ذمہ داریوں کو پورا کرنا ، اپنی افرادی قوت کو تیار کرنا ، اور تحقیق کرنا شامل ہے ۔ہم معلومات کا استعمال سسٹم کی بہتری کے لیے کچھ ضروری آپریشن انجام دینے کے لیے بھی کر سکتے ہیں اور سسٹم کی فراہمی کے لیے متعلقہ یا ذیلی کارروائیوں کے لیے اور نئی ٹیکنالوجیز اور خدمات کی ترقی اور فراہم کرنے کے لیے بھی استعمال کر سکتے ہیں ۔
South Salmara Mancachar,جنوبی سلمارا مانکچھار
Where can I enquire about Hot Cooked Meal?,میں گرم پکے ہوئے کھانے کے بارے میں کہاں پوچھ سکتا ہوں
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.We are not responsible for these websites including any content or the privacy practices of these websites.We strongly encourage you to familiarize yourself with the terms of use of these websites.Your use of these websites is at your own risk and peril.It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature",سائٹ دیگر ویب سائٹس کے لنکس پر مشتمل ہوسکتی ہے جو ہماری ملکیت ، دیکھ بھال ، یا آپریٹ نہیں ہوسکتی ہیں. حقیقت یہ ہے کہ یہ ویب سائٹس منسلک ہیں ،ہماری طرف سے ان ویب سائٹس کی کسی توثیق کی نشاندہی نہیں کرتی ، کیونکہ ان ویب سائٹس پر ہمارا کوئی کنٹرول نہیں ہے ۔ہم ان ویب سائٹس کے ذمہ دار نہیں ہیںبشمول کسی بھی مواد یا ان ویب سائٹس کے رازداری کے طریقوں کے ۔ہم آپ کو ان ویب سائٹس کے استعمال کی شرائط سے واقف ہونے کی بھرپور حوصلہ افزائی کرتے ہیں ۔ان ویب سائٹس کا آپ کا استعمال آپ کے اپنے خطرے اور خطرے پر ہے ۔یہ یقینی بنانے کے لیے ضروری احتیاطی تدابیر اختیار کرنا صرف آپ پر منحصر ہے کہ آپ جو لنکس منتخب کرتے ہیں یا آپ جو سافٹ ویئر ڈاؤن لوڈ کرسکتے ہیںوہ وائرس ، کیڑے ، ٹروجن ہارس ، نقائص ، ڈیٹ بم ، ٹائم بم ، اور دیگر یا دیگر کمپیوٹر پروگرامنگ روٹینز سے پاک ہیں ۔تباہ کن نوعیت کا
TITAGARH (U) ICDS PROJECT,ٹیٹا گرھ ( اربن ) آئی سی ڈی ایس پروجیکٹ
Singtam Rural Project,سنگٹم رورل پروجیکٹ
In how many languages AWW can enter the data while filling up the form?,AWW یا AWC میں کتنی زبانوں میں ڈیٹا داخل یا فارم پر کیا جا سکتا ہے
Purnia East Urban,پورنیا ایسٹ اربن
Children who are identified as deficit on nutrition are eligible for additional food supplements.,وہ بچے جن کی نشاندہی غذائیت کی کمی کے طور پر کی گئی ہےوہ اضافی فوڈ سپلیمنٹس کے اہل ہیں ۔
An underweight person is a person whose body weight is considered too low to be healthy,کم وزن والا وہ شخص ہے جس کے جسمانی وزن کو صحت مند ہونے کے لیے بہت کم سمجھا جاتا ہے ۔
Please enter valid Mobile Number,براہ کرم درست موبائل نمبر درج کریں ۔
Balasore Sadar II,بالا سور صدر II
Project 1 Selvapuram,سیلوا پورم پروجیکٹ 1
East Golaghat Icds,گول گھات ایسٹ آئیسیڈی ایس
Gangarampur ICDS Project,گنگا رام پور ائی سی ڈی ایس پروجیکٹ
Please enter Mobile Number,براہ کرم موبائل نمبر درج کریں ۔
Rewa - R,ریوا رورل
South West Garo Hills,جنوب مشرق گارو پہاڑیاں
When and how to use MPIN?,MPIN کا استعمال کب اور کیسے کریں ؟
What are the pre-requisite to participate in this campaign?,اس مہم میں حصہ لینے کے لیے کیا شرائط ہیں
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e. g. bugs).",ہم آپ کو رجسٹریشن کے بارے میں آگاہ کرنے کے لیے آپ کے رجسٹرڈ موبائل نمبر پر ایس ایم ایس بھی بھیجتے ہیں ،جب آپ ہم سے رابطہ کرتے ہیں تو ہم آپ کو جواب دینے اور شکایت کی چھان بین کرنے ، جواب دینے اور حل کرنے اور سروس کے مسائل ( مثلا کیڑے ) کے لیے آپ کی معلومات کا استعمال کرتے ہیں ۔
Ensuring that complementary feeding improves over time,اس بات کو یقینی بنانا کہ تکمیلی خوراک وقت کے ساتھ بہتر ہوتی ہے ۔
Memari - I Addl.,میماری - I اڈیشنل
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA ( شناختی کارڈ ) کا استعمال آپ اور آپ کے خاندان کے لیے محفوظ اور موثر ڈیجیٹل ہیلتھ ریکارڈ بنانے کی طرف پہلا قدم ہے ۔
NALHATI-I A ICDS PROJECT (NGO),نل پٹّی - I اے آئی سی ڈی ایس پروجیکٹ ( این جی او )
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA ( پہلے ہیلتھ آئی ڈی کے نام سے جانا جاتا تھا) آیوشمان بھارت ہیلتھ اکاؤنٹ کا مخفف ہے ۔
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,AWW/ AWCs پر صرف نوڈل سطح کےآفیسر کے ذریعہ ہی شامل ہوا جا سکتا ہےایسا شخص جو حسب مراتب سے بالاتر ہو قومی سطح کے استعمال کرنے والے ہی بناسکتے ہیںریاست ضلع پروجیکٹ اورخطوں کی سطح کے استعمال کرنے والے پروجیکٹ کی سطح کے استعمال کرنے والے خطوں کی سطح پر بنا سکتے ہیں
Please enter valid DOB,براہ کرم درست تاریخ پیدائش درج کریں ۔
Raghunathganj - II Addl.,رگھوناتھ گنج - II اڈیشنل
Where can I enquire about take home ration?,میں گھر پر راشن لے جانے کے بارے میں کہاں پوچھ سکتا ہوں
Kaying - Payum,کے انگ - پے یوم
Hot Cooked Meal,گرم پکا ہوا کھانا
Hot Cooked Meal (HCM) given in last 7 days,گرم پکا ہوا کھانا ( ایچ سی ایم ) پچھلے سات دنوں میں دیا گیا
ATTENDANCE OF CHILDREN TODAY,آج کے دن بچوں کی حاضری
How Poshan Tracker Works,پوشن ٹریکر کیسے کام کرتا ہے
Upper Dibang Valley,بالائی دیبانگ وادی
 R. K. Nagar,آر کے نگر
"You can contact the representatives at the following places -Rural Areas: AWCs, Primary schools, Panchayat, Home, PHCUrban Areas: AWCs, Camps by employer at SEZ etc.",آپ درج ذیل مقامات پر نمائندوں سے رابطہ کر سکتے ہیں ۔
", Schools,Hospitals, Homes",دیہی علاقہ : آنگن واڑی سینٹر ، پرائمری اسکول ، پنچایت ، گھر ، پی ایچ سیشہری علاقے : کیمپ ، اسکول ، اسپتال ، آنگن واڑی مراکز میں آجر کے گھر ، SEZs وغیرہ ۔
South Bungtlang ICDS Project,سؤتھ بنگٹلانگ آی سی ڈی ایس پروجیکٹ
We use the information we collect from all our services for the following purposes:,ہم اپنی تمام سروسز سے جمع کردہ معلومات کو درج ذیل مقاصد کے لیے استعمال کرتے ہیں
Identification & Referral of Sick Newborn,بیمار نومولود کی شناخت اور حوالہ
Sant Kabir Nagar,سنت کبیر نگر
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,XIV. فریق ثالث کے نظام کے ذریعے فراہم کردہ ڈیٹا کی درستگی
Beneficiary concerns accessibility to AWW,فائدہ اٹھانے والے کو AWW تک رسائی کا خدشہ ہے ۔
Nabadwip Urban ICDS Project,نبا دویپ أربن آئی سی ڈی ایس پروجیکٹ
Monday to Friday,پیر سے جمعہ
Please select Gender,براہ کرم صنف منتخب کریں ۔
Andaman & Nicobar Islands,انڈمن اور نکوبار جزائر
Please Select Description,براہ کرم تفصیل کو منتخب کریں
Kaliachak - I Adl.,کلیا چاک - I اڈیشنل
NEEM KA THANA,نیم کا تھانہ
Who is eligible for Take Home Ration?,ٹیک ہوم راشن کے لیے کون اہل ہے
Golghat West Icds Project,گول گھاٹ ویسٹ ائی سیڈی ایس پروجیکٹ
Jorebunglow - Sukhiapokhri,جور بنگلہ سوکیا پوکھری
Supporting mothers with issues in Breastfeeding,دودھ پلانے کے مسائل میں مبتلا ماؤں کی مدد کرنا
Barasat - I,باراسات - I
What is the purpose of this Campaign?,اس مہم کا مقصد کیا ہے
Bakshi Ka Talab,بخشی کا تالاب
Harishchandrapur - II,ہریش چندرا پور - II
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.",پوشان ٹریکر درخواست کا مقصد آنگن واڑی سنٹر ( اے ڈبلیو سی ) کی سرگرمیوں کا 360 ڈگری نقطہ نظر ، آنگن واڑی ورکرز ( اے ڈبلیو ڈبلیو ) کی خدمت کی فراہمی اور حاملہ خواتین ، دودھ پلانے والی ماؤں اور بچوں کے لئے مستفید انتظامیہ کو فراہم کرنا ہے ۔
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.",مجوزہ نظام کو طے شدہ اشارے پر تمام AWCs ، AWWs اور مستفید افراد کی اصل وقت کی نگرانی اور ان سے باخبر رہنے کے قابل بنانا چاہئے ۔
Madhubani - Bihar,مدھوبنی - بہار
Last 7 days,آخری 7 دن
— Select An Anganwadi Center —,- ایک آنگن واڑی مرکز کا انتخاب کریں -
Above standards are defined as per given above mentioned age brackets,مذکورہ بالا عمر بریکٹ کے مطابق اوپر کے معیارات کی وضاحت کی گئی ہے ۔
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair",اگر کسی شخص کا وزن کم ہے ،تو اس کے جسم کو صحت مند ہڈیوں ، جلد اور بالوں کی تعمیر کے لیے ضروری غذائی اجزاء نہیں مل رہے ہوں گے ۔
Please select State,براہ کرم ریاست کو منتخب کریں ۔
Ngopa ICDS Project,نگوپ آئی سی ڈی ایس پرجیکٹ
Magrahat - II Addl ICDS,مگراہاٹ - II اڈیشنل آئی سی ڈی ایس
Sabroom NP ICDS project,سبروم این پی آئی سی ڈی ایس پروجیکٹ
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.Post entering the OTP, AWW can easily set customized MPIN.",MPIN. کومتعلقہ آنگن واڑی عاملین کے ذریعہ سیٹ کیا جا سکتا ہےاپنے موبائل سے OTP کی درخواست کرنے پر اگرچہ یکساں موبائل نمبر اس اپلیکیشن کے ڈاٹابیس میں موجود ہوتب متعلقہ آنگین واڑی عامل کو 4 عددی OTP موصول ہوگا اپنے موبائل پر جس کو داخل کرنے پر AWW آسانی سے مطلوبہ MPIN. سیٹ کیا جا سکتاہے
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.",یہ شرکت کرنے والے صحت کی دیکھ بھال فراہم کرنے والوں کے ساتھ آپ کے تعامل کو قابل بناتا ہے ،اور آپ کو تصدیق شدہ صحت کی دیکھ بھال کے پیشہ ور افراد اور صحت کی خدمات فراہم کرنے والوں سے بغیر کسی رکاوٹ کے اپنی ڈیجیٹل لیب کی رپورٹس ، نسخے اور تشخیص حاصل کرنے کی اجازت دیتا ہے ۔
Alipurduar - I,علیپور دوار - I
Poshan Tracker Features,پوشن ٹریکر کی خصوصیات
Why this Monthly Meeting?,یہ ماہانہ اجلاس کیوں ؟
Urban Slum Project,أربن سلم پروجیکٹ
"Our System provides API to Third – Party Sites that may collect your personal information.Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites.These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.",ہمارا سسٹم تھرڈ پارٹی سائٹس کو API فراہم کرتا ہے جو آپ کی ذاتی معلومات اکٹھی کر سکتی ہے ۔پوشن ٹریکر کسی بھی طرح سے ایسی معلومات یا ان کے رازداری کے طریقوں یا ان تھرڈ پارٹی سائٹس کے مواد کی حفاظت کے لیے ذمہ دار نہیں ہے ۔مزید برآں ، آپ کو تیسری پارٹی کی سائٹس کے مخصوص صفحات پر کوکیز یا اس سے ملتی جلتی دیگر ڈیوائسز کا سامنا بھی ہو سکتا ہے اور پوشن ٹریکر کے ذریعے یہ واضح کیا گیا ہے کہ سسٹم ان تھرڈ پارٹی سائٹس کے ذریعے کوکیز کے استعمال کو کنٹرول نہیں کرتا ہے ۔ان تھرڈ پارٹی سروس پرووائیڈرز اور تھرڈ پارٹی سائٹس کی اپنی پرائیویسی پالیسیاں ہو سکتی ہیں جو آپ کی معلومات کو ذخیرہ کرنے اور اسے برقرار رکھنے کو کنٹرول کرتی ہیں جن کے آپ تابع ہو سکتے ہیں ۔یہ رازداری کی پالیسی ان فریق ثالث فراہم کنندگان اور فریق ثالث کی سائٹس کو فراہم کردہ ، ذخیرہ شدہ ، یا استعمال کردہ کسی بھی معلومات پر حکومت نہیں کرتی ہے ۔ہم تجویز کرتے ہیں کہ جب آپ فریق ثالث کی سائٹ میں داخل ہوتے ہیں ،تو آپ فریق ثالث کی رازداری کی پالیسی پر نظرثانی کریں کیونکہ یہ آپ کی معلومات کی حفاظت سے متعلق ہے ۔آپ اتفاق کرتے ہیں اور تسلیم کرتے ہیں کہ پوشن ٹریکر تلاش کے نتائج یا کسی بھی فریق ثالث کی سائٹس میں شائع ہونے والی معلومات کے لیے ذمہ دار نہیں ہوگا ۔
Madhyamgram New Barrackpore(U) ICDS Project,مادھیم گرام نیو بارک پور ( اربن ) ئی سی ڈی ایس پروجیکٹ
Gangtok Rural Project,گنگٹوک رورل پروجیکٹ
Bishnupur II ICDS,بشنو پور - II آئی سی ڈی ایس
Ponnamapet (Sal Pro 2),پّونّما پیٹ ( سال پروجیکٹ پرو 2)
Murarai - I,مرارئی - I
Karimnagar (R ),کری نگر رورل
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.",مندرجہ بالا شق 1 کے تحت رجسٹریشن کے وقت آپ سے جمع کی گئی ذاتی معلومات کو محفوظ طریقے سے ذخیرہ کیا جائے گا اور اسے صرف حکومت ہند یا ریاستی حکومتیں صحت کی پیشرفت اور حیثیت کا پتہ لگانے ، رپورٹیں تیار کرنے ، گرمی کے نقشے اور دیگر شماریاتی مقاصد کے لیے استعمال کریں گی ۔ملک میں پوشن ٹریکر کے انتظام کے مقصد کے لیے تصورات ۔اوپر دی گئی شق 1 کے مطابق آپ کا حوالہ ID ( موبائل نمبر ) صرف آپ کی ذاتی معلومات کے ساتھ منسلک کیا جائے گاتاکہ آپ کو SMS کے ذریعے رابطہ کیا جا سکے ۔ہم آپ کی رضامندی کے بغیر آپ کی معلومات کو کسی دوسرے فریق ثالث کو ظاہر یا منتقل نہیں کرتے ہیں ،جب تک کہ اس طرح کا انکشاف یا منتقلی :1. کسی قابل اطلاق قانون یا عدالتی حکم یا ہدایت کی تعمیل کرنے کے لیے ضروری ہے ۔یا 2. کسی بھی مناسب سرکاری ایجنسی کے ذریعہ قابل اطلاق قانون کے مطابق ، دیگر چیزوں کے ساتھ ، شناخت کی تصدیق ، روک تھام ، پتہ لگانے ، تفتیش ، کسی بھی جرم یا واقعات کی سزا یا سزا کے مقصد کے لئے درخواست کی گئی ہے ۔
GOSABA ICDS ADDITIONAL,گوسابہ آئی سی ڈی ایس اڈیشنل
Target Age of Children?,بچوں کی ٹارگٹ عمر ؟
Download Mobile App,موبائل ایپ ڈاؤن لوڈ کریں ۔
Durgapur I Urban,درگا پور - I أربن
Ausgram - I,آوس گرام - I
Having difficulty raising ticket,ٹکٹ حاصل کرنے میں دشواری
Ausgram - II,آوس گرام - II
West Zone Rmc,آر ایم سی ویسٹ زون
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.If you do not agree with any part of these terms, do not use the site.You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.",ہماری پرائیویسی پالیسی ، اوپن API پالیسی اور کوئی دوسری پالیسیاں ، قواعد یا رہنما خطوط جو سائٹ پر مخصوص پیشکشوں یا خصوصیات پر لاگو ہو سکتے ہیںان شرائط میں شامل ہیں ۔سائٹ پر جا کر یا استعمال کر کے ، آپ واضح طور پر ان شرائط سے اتفاق کرتے ہیں ،جیسا کہ وقتا فوقتا اپ ڈیٹ کیا جاتا ہے ۔اگر آپ ان شرائط کے کسی بھی حصے سے متفق نہیں ہیں ،تو سائٹ کا استعمال نہ کریں ۔آپ سائٹ کو کسی بھی طرح سے استعمال نہیں کر سکتے ہیں اور اگر آپ بائنڈنگ کنٹریکٹ بنانے کی قانونی عمر کے نہیں ہیں تو آپ شرائط کو قبول نہیں کر سکتے ہیں ۔
BARUIPUR ICDS PROJECT,بروئی پور آئی سی ڈی ایس پروجیکٹ
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,بیسیلس کالمیٹ گورین ( بی سی جی ) اورل پولیو ویکسین ( OPV)-0 خوراک ہیپاٹائٹس بی پیدائشی خوراک OPV-1 T
Dhubri - Assam,دھوبری - آسام
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.These can also be used to assess the health status as recorded in the Poshan Tracker system.",شق 1 کے تحت جمع کی گئی معلومات کو فائدہ اٹھانے والوں کی صحت کی سہولت کے لیے استعمال کیا جائے گا ۔ہم اپنی مصنوعات فراہم کرتے ہیں ،جس میں سسٹم کی معلومات / ڈیٹا / مواد اور مواد کو اپ ڈیٹ کرنا ، محفوظ کرنا ، اور خرابیوں کا ازالہ کرنا شامل ہے ،نیز معاونت فراہم کرنا ۔جب آپ پوشن ٹریکر پر رجسٹر ہوں گے ،تو وہ موبائل نمبر جس کے ساتھ آپ نے رجسٹر کیا ہے ،ڈیٹا بیس سے آپ کے ریکارڈ کو تلاش کرنے کے لیے استعمال کیا جائے گا ۔یہ پوشن ٹریکر سسٹم میں درج صحت کی حالت کا جائزہ لینے کے لیے بھی استعمال کیے جا سکتے ہیں ۔
Please try the below steps to resolve the issue: Please try again after some time.Please make sure you have not activated “Do Not Disturb” service for SMSCheck if you are able to receive other SMS,براہ کرم مسئلہ کو حل کرنے کے لیے درج ذیل اقدامات کو آزمائیں : براہ کرم کچھ دیر بعد دوبارہ کوشش کریں ۔براہ کرم یقینی بنائیں کہ آپ نے ایس ایم ایس کے لیے ڈو ناٹ ڈسٹرب سروس کو چالو نہیں کیا ہے ۔چیک کریں کہ آیا آپ دوسرے SMS وصول کرنے کے قابل ہیں ۔
Salboni -Adl ICDS Project,سلبونی اڈیشنل آئی سی ڈی ایس پروجیکٹ
Take Home Ration (THR) given in last 7 days,پچھلے سات دنوں میں دیا گیا گھر راشن ( ٹی ایچ آر ) لے جائیں
BOLPUR  ADDL,بول پور اڈیشنل
Madhupur Icds Project,مدھو پور آئی سیڈی ایس
Stunted Assessment Parameters,چھوٹے قد کا تشخیصی پیرامیٹر
