eng,kn
Please select State,ದಯವಿಟ್ಟು ರಾಜ್ಯವನ್ನು ಆಯ್ಕೆಮಾಡಿ
Ngopa ICDS Project,ಎನ್ಗೋಪಾ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
Magrahat - II Addl ICDS,ಮಗ್ರಾಹಟ್ - II ಹೆಚ್ಚುವರಿ ಐಸಿಡಿಎಸ್
Sabroom NP ICDS project,ಸಬ್ರೂಮ್ ಎನ್. ಪಿ. ಐ. ಸಿ. ಡಿ. ಎಸ್. ಯೋಜನೆ
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,ಆಯಾ ಅಂಗನವಾಡಿ ಕೆಲಸಗಾರನು ಅವನ / ಅವಳ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯ ವಿರುದ್ಧ ಒಟಿಪಿಯನ್ನು ವಿನಂತಿಸುವ ಮೂಲಕ ಎಂಪಿನ್ ಅನ್ನು ಹೊಂದಿಸಬಹುದು.
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","ಮೊಬೈಲ್ ಸಂಖ್ಯೆ ಈಗಾಗಲೇ ಡೇಟಾಬೇಸ್ನಲ್ಲಿ ಇದ್ದರೆ, ಆಯಾ ಅಂಗನವಾಡಿ ವ್ಯಕ್ತಿಯು ನೋಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯಲ್ಲಿ ೪ ಅಂಕೆಗಳ ಒಟಿಪಿ ಸ್ವೀಕರಿಸುತ್ತಾರೆ."
"Post entering the OTP, AWW can easily set customized MPIN.","OTP ಯನ್ನು ನಮೂದಿಸಿದ ನಂತರ,ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು ಕಸ್ಟಮೈಸ್ ಮಾಡಿದ ಎಂಪಿನ್ ಅನ್ನು ಸುಲಭವಾಗಿ ಹೊಂದಿಸಬಹುದು."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ಇದು ಭಾಗವಹಿಸುವ ಆರೋಗ್ಯ ಪೂರೈಕೆದಾರರೊಂದಿಗೆ ನಿಮ್ಮ ಸಂವಾದವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸುತ್ತದೆ ಮತ್ತು ಅಧಿಕೃತ ಆರೋಗ್ಯ ವೃತ್ತಿಪರರು ಮತ್ತು ಆರೋಗ್ಯ ಪೂರೈಕೆದಾರರಿಂದ ನಿಮ್ಮ ಡಿಜಿಟಲ್ ಲ್ಯಾಬ್ ವರದಿಗಳು, ಪ್ರಿಸ್ಕ್ರಿಪ್ಷನ್ಗಳು ಮತ್ತು ರೋಗನಿರ್ಣಯಗಳನ್ನು ಪಡೆಯಲು ನಿಮಗೆ ಅನುಮತಿಸುತ್ತದೆ."
Alipurduar - I,ಅಲಿಪುರದ್ವಾರ - I
Poshan Tracker Features,ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ವೈಶಿಷ್ಟ್ಯಗಳು
Why this Monthly Meeting?,ಈ ಮಾಸಿಕ ಸಭೆ ಏಕೆ?
Urban Slum Project,ನಗರ ಕೊಳಚೆ ಯೋಜನೆ
Our System provides API to Third – Party Sites that may collect your personal information.,ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸಬಹುದಾದ ಥರ್ಡ್ ಪಾರ್ಟಿ ಸೈಟ್ಗಳಿಗೆ ನಮ್ಮ ಸಿಸ್ಟಂ API ಒದಗಿಸುತ್ತದೆ.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ಅಂತಹ ಮಾಹಿತಿಯ ಸುರಕ್ಷತೆ ಅಥವಾ ಅವರ ಗೌಪ್ಯತೆ ಅಭ್ಯಾಸಗಳು ಅಥವಾ ಥರ್ಡ್ ಪಾರ್ಟಿ ಸೈಟ್ಗಳ ಪರಿವಿಡಿಗೆ ಯಾವುದೇ ರೀತಿಯಲ್ಲಿ ಜವಾಬ್ದಾರನಾಗಿರುವುದಿಲ್ಲ.
"Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites.","ಹೆಚ್ಚುವರಿಯಾಗಿ, ನೀವು ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್ಗಳ ಕೆಲವು ಪುಟಗಳಲ್ಲಿ ""ಕುಕೀಸ್"" ಅಥವಾ ಇತರ ರೀತಿಯ ಪರಿಕರಗಳನ್ನು ಸಹ ಎದುರಿಸಬಹುದು ಮತ್ತು ಈ ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್ಗಳಿಂದ ಕುಕೀಗಳ ಬಳಕೆಯನ್ನು ಸಿಸ್ಟಮ್ ನಿಯಂತ್ರಿಸುವುದಿಲ್ಲ ಎಂದು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಸ್ಪಷ್ಟಪಡಿಸುತ್ತದೆ."
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,"ಈ ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೇವಾ ಪೂರೈಕೆದಾರರು ಮತ್ತು ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್ಗಳು ನಿಮ್ಮ ಮಾಹಿತಿಯ ಸಂಗ್ರಹಣೆ ಮತ್ತು ಧಾರಣವನ್ನು ನಿಯಂತ್ರಿಸುವ ತಮ್ಮದೇ ಆದ ಗೌಪ್ಯತೆ ನೀತಿಗಳನ್ನು ಹೊಂದಿರಬಹುದು, ಅದಕ್ಕೆ ನೀವು ಒಳಪಟ್ಟಿರಬಹುದು."
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","ಈ ಗೌಪ್ಯತಾ ನೀತಿಯು ಈ ಥರ್ಡ್-ಪಾರ್ಟಿ ಪೂರೈಕೆದಾರರು ಮತ್ತು ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್ಗಳು ಒದಗಿಸಿದ, ಸಂಗ್ರಹಿಸಿದ ಅಥವಾ ಬಳಸಿದ ಯಾವುದೇ ಮಾಹಿತಿಯನ್ನು ನಿಯಂತ್ರಿಸುವುದಿಲ್ಲ."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.",ನಿಮ್ಮ ಮಾಹಿತಿಯ ಸುರಕ್ಷತೆಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ಮೂರನೇ ವ್ಯಕ್ತಿಯ ಸೈಟ್ ಅನ್ನು ನೀವು ಪ್ರವೇಶಿಸಿದಾಗ ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್ನ ಗೌಪ್ಯತೆ ನೀತಿಯನ್ನು ಪರಿಶೀಲಿಸಲು ನಾವು ಶಿಫಾರಸು ಮಾಡುತ್ತೇವೆ.
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,ಹುಡುಕಾಟ ಫಲಿತಾಂಶಗಳಲ್ಲಿ ಅಥವಾ ಯಾವುದೇ ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್ಗಳಲ್ಲಿ ಪ್ರಕಟಿಸಲಾದ ಮಾಹಿತಿಗೆ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಜವಾಬ್ದಾರನಾಗಿರುವುದಿಲ್ಲ ಎಂದು ನೀವು ಒಪ್ಪುತ್ತೀರಿ ಮತ್ತು ಅಂಗೀಕರಿಸಿದ್ದೀರಿ.
Madhyamgram New Barrackpore(U) ICDS Project,ಮಧ್ಯಮಗ್ರಾಮ್ ನ್ಯೂ ಬ್ಯಾರಕ್ಪೋರ್(ಯು) ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
Gangtok Rural Project,ಗ್ಯಾಂಗ್ಟಾಕ್ ಗ್ರಾಮೀಣ ಯೋಜನೆ
Bishnupur II ICDS,ಬಿಷ್ಣುಪುರ II ಐಸಿಡಿಎಸ್
Ponnamapet (Sal Pro 2),ಪೊನ್ನಮಪೇಟೆ (ಸಾಲ್ ಪ್ರೊ 2)
Murarai - I,ಮುರಾರೈ - I
Karimnagar (R ),ಕರೀಂನಗರ (ಆರ್)
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.","ವಿಭಾಗ 1 ರ ಅಡಿಯಲ್ಲಿ ನೋಂದಣಿ ಸಮಯದಲ್ಲಿ ನಿಮ್ಮಿಂದ ಸಂಗ್ರಹಿಸಲಾದ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ಸುರಕ್ಷಿತವಾಗಿ ಸಂಗ್ರಹಿಸಲಾಗುತ್ತದೆ ಮತ್ತು ಭಾರತ ಸರ್ಕಾರ ಅಥವಾ ರಾಜ್ಯ ಸರ್ಕಾರವು ಆರೋಗ್ಯ ಪ್ರಗತಿ ಮತ್ತು ಸ್ಥಿತಿ ಟ್ರ್ಯಾಕಿಂಗ್, ವರದಿಗಳ ತಯಾರಿಕೆ, ಶಾಖ ನಕ್ಷೆಗಳು ಮತ್ತು ಇತರ ಅಂಕಿ ಅಂಶಗಳ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಮಾತ್ರ ಬಳಸುತ್ತದೆ ಮತ್ತು ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ಅನ್ನು ನಿರ್ವಹಿಸುವ ಉದ್ದೇಶಕ್ಕಾಗಿ."
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,ಮೇಲಿನ ಷರತ್ತು 1 ರ ಪ್ರಕಾರ ನಿಮ್ಮೊಂದಿಗೆ SMS ಮೂಲಕ ಸಂವಹನ ನಡೆಸುವ ಉದ್ದೇಶದ ಸಲುವಾಗಿ ನಿಮ್ಮ ಉಲ್ಲೇಖ ID (ಮೊಬೈಲ್ ಸಂಖ್ಯೆ) ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯೊಂದಿಗೆ ಮಾತ್ರ ಸಹ-ಸಂಬಂಧಿತವಾಗಿರುತ್ತದೆ.
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","ನಿಮ್ಮ ಸಮ್ಮತಿಯಿಲ್ಲದೆ ನಾವು ಯಾವುದೇ ಇತರ ಮೂರನೇ ವ್ಯಕ್ತಿಗೆ ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ಬಹಿರಂಗಪಡಿಸುವುದಿಲ್ಲ ಅಥವಾ ವರ್ಗಾಯಿಸುವುದಿಲ್ಲ, ಅಂತಹ ಬಹಿರಂಗಪಡಿಸುವಿಕೆ ಅಥವಾ ವರ್ಗಾವಣೆ ಕೆಳಗಿನ ಸಂದರ್ಭಗಳಲ್ಲಿ ಅನ್ವಯವಾಗುವುದಿಲ್ಲಃ1. ನ್ಯಾಯಾಲಯದ ಆದೇಶ ಅಥವಾ ಯಾವುದೇ ಅನ್ವಯವಾಗುವ ಕಾನೂನಿನ ನಿರ್ದೇಶನವನ್ನು ಅನುಸರಿಸಲು ಅವಶ್ಯಕ; ಅಥವಾ2. ಯಾವುದೇ ಸೂಕ್ತ ಸರ್ಕಾರಿ ಏಜೆನ್ಸಿಯಿಂದ, ಗುರುತಿನ ಪರಿಶೀಲನೆ, ಅಥವಾ ಯಾವುದೇ ಅಪರಾಧಗಳು ಅಥವಾ ಘಟನೆಗಳ ತಡೆಗಟ್ಟುವಿಕೆ, ಪತ್ತೆ, ತನಿಖೆ, ಕಾನೂನು ಕ್ರಮ ಶಿಕ್ಷೆಗೆ ಅನ್ವಯಿಸುವ ಕಾನೂನಿನ ಅನುಸಾರವಾಗಿ ವಿನಂತಿಸಲಾಗಿದೆ."
GOSABA ICDS ADDITIONAL,ಗೋಸಬಾ ಐಸಿಡಿಎಸ್ ಹೆಚ್ಚುವರಿ
Download Mobile App,ಮೊಬೈಲ್ ಅಪ್ಲಿಕೇಶನ್ ಡೌನ್ಲೋಡ್ ಮಾಡಿ
Durgapur I Urban,ದುರ್ಗಾಪುರ I ನಗರ
Ausgram - I,ಆಸ್ಗ್ರಾಮ್ - I
Having difficulty raising ticket,ಟಿಕೆಟ್ ಪಡೆಯುವಲ್ಲಿ ಸಮಸ್ಯೆ ಉಂಟಾಗುತ್ತಿದೆಯೇ
Ausgram - II,ಆಸ್ಗ್ರಾಮ್ - II
West Zone Rmc,ಪಶ್ಚಿಮ ವಲಯ ಆರ್. ಎಂ. ಸಿ.
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.","ಈ ನಿಯಮಗಳು ನಮ್ಮ ಗೌಪ್ಯತಾ ನೀತಿ, ಓಪನ್ API ನೀತಿ ಮತ್ತು ಸೈಟ್ನಲ್ಲಿನ ವಿಶೇಷ ಕೊಡುಗೆಗಳು ಅಥವಾ ವೈಶಿಷ್ಟ್ಯಗಳಿಗೆ ಅನ್ವಯಿಸಬಹುದಾದ ಯಾವುದೇ ಇತರ ನೀತಿಗಳು, ನಿಯಮಗಳು ಅಥವಾ ಮಾರ್ಗಸೂಚಿಗಳನ್ನು ಒಳಗೊಂಡಿವೆ."
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","ಸೈಟ್ಗೆ ಭೇಟಿ ನೀಡುವ ಮೂಲಕ ಅಥವಾ ಬಳಸುವ ಮೂಲಕ, ಕಾಲಕಾಲಕ್ಕೆ ನವೀಕರಿಸಿದ ಈ ನಿಯಮಗಳನ್ನು ನೀವು ಸ್ಪಷ್ಟವಾಗಿ ಒಪ್ಪುತ್ತೀರಿ."
"If you do not agree with any part of these terms, do not use the site.","ಈ ನಿಯಮಗಳ ಯಾವುದೇ ಭಾಗವನ್ನು ನೀವು ಒಪ್ಪದಿದ್ದರೆ, ಸೈಟ್ ಅನ್ನು ಬಳಸಬೇಡಿ."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,"ಬೈಂಡಿಂಗ್ ಒಪ್ಪಂದವನ್ನು ರೂಪಿಸಲು ನೀವು ಕಾನೂನುಬದ್ಧ ವಯಸ್ಸನ್ನು ಹೊಂದಿಲ್ಲದಿದ್ದರೆ, ನೀವು ಯಾವುದೇ ರೀತಿಯಲ್ಲಿ ಸೈಟ್ ಅನ್ನು ಬಳಸಬಾರದು ಮತ್ತು ನಿಯಮಗಳನ್ನು ಒಪ್ಪಿಕೊಳ್ಳಬಾರದು."
BARUIPUR ICDS PROJECT,ಬರುಇಪುರ್ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,ಬ್ಯಾಸಿಲಸ್ ಕ್ಯಾಲ್ಮೆಟ್ ಗೆರಿನ್ (BCG)ಓರಲ್ ಪೋಲಿಯೊ ಲಸಿಕೆ (OPV)-0 ಡೋಸೇಜ್ ಹೆಪಟೈಟಿಸ್ ಬಿ ಬರ್ತ್ ಡೋಸ್ OPV-1T
Dhubri - Assam,ಧುಬ್ರಿ - ಅಸ್ಸಾಂ
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",ಸೆಕ್ಷನ್ 1 ರ ಅಡಿಯಲ್ಲಿ ಸಂಗ್ರಹಿಸಲಾದ ಮಾಹಿತಿಯನ್ನು ಫಲಾನುಭವಿಗಳ ಆರೋಗ್ಯವನ್ನು ಸುಗಮಗೊಳಿಸುವ ಉದ್ದೇಶಕ್ಕಾಗಿ ಬಳಸಲಾಗುತ್ತದೆ.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","ಸಿಸ್ಟಮ್ ಮಾಹಿತಿ/ಡೇಟಾ/ವಿಷಯ ಮತ್ತು ಸಾಮಗ್ರಿಗಳನ್ನು ನವೀಕರಿಸುವುದು, ಸುರಕ್ಷಿತಗೊಳಿಸುವುದು ಮತ್ತು ದೋಷನಿವಾರಣೆ ಮಾಡುವುದು ಸೇರಿದಂತೆ ಬೆಂಬಲ ನೀಡುವುದರ ಜೊತೆಗೆ ನಮ್ಮ ಉತ್ಪನ್ನಗಳನ್ನು ನಾವು ಒದಗಿಸುತ್ತೇವೆ."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","ನೀವು ಪೋಷನ್ ಟ್ರಾಕರ್ ಸಿಸ್ಟಮ್ ನಲ್ಲಿ ನೋಂದಾಯಿಸಿದಾಗ, ನಿಮ್ಮ ನೊಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ಡೇಟಾಬೇಸ್ ನಲ್ಲಿ ಇರುವ ನಿಮ್ಮ ದಾಖಲೆಯನ್ನು ಹುಡುಕಲು ಉಪಯೋಗಿಸಲಾಗುತ್ತದೆ."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,ಪೋಷನ್ ಟ್ರಾಕರ್ ಸಿಸ್ಟಮ್ ನಲ್ಲಿ ದಾಖಲಾದ ಆರೋಗ್ಯ ಸ್ಥಿತಿಯನ್ನು ಪಡೆಯಲು ಕೂಡ ಇವುಗಳನ್ನು ಬಳಸಲಾಗುವುದು.
Salboni -Adl ICDS Project,ಸಲ್ಬೋನಿ - ಹೆಚ್ಚುವರಿ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
BOLPUR  ADDL,ಬೋಲ್ಪುರ್ ಹೆಚ್ಚುವರಿ
Madhupur Icds Project,ಮಧುಪುರ್ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
Stunted Assessment Parameters,ಕುಂಠಿತ  ಮೌಲ್ಯಮಾಪನ  ನಿಯತಾಂಕಗಳು
