eng,ne
Alipurduar - I,अलिपुरद्वार - I
Poshan Tracker Features,पोशन ट्रयाकर विशेषताहरु
Why this Monthly Meeting?,यो मासिक बैठक किन?
Urban Slum Project,सहरी बस्ती परियोजना
Our System provides API to Third – Party Sites that may collect your personal information.,हाम्रो प्रणालीले तेस्रो-पक्ष साइटहरूलाई एपीआई प्रदान गर्दछ जसले तपाईंको व्यक्तिगत जानकारी सङ्कलन गर्न सक्छ।
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,पोशन ट्रयाकर कुनै पनि हिसाबले त्यस्तो जानकारी वा तिनीहरूको गोपनीयता अभ्यास वा ती तेस्रो-पक्ष साइटहरूको सामग्रीको सुरक्षाको लागि जिम्मेवार हुँदैन।
"Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites.","थप रूपमा, तपाईंले तेस्रो-पक्ष साइटहरूको निश्चित पृष्ठहरूमा ""कुकीहरू"" वा अन्य समान यन्त्रहरू पनि भेट्न सक्नुहुन्छ र यसलाई पोशन ट्र्याकरद्वारा स्पष्ट गरिएको छ कि प्रणालीले यी तेस्रो-पक्ष साइटहरूद्वारा कुकीहरूको प्रयोगलाई नियन्त्रण गर्दैन।"
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,यी तेस्रो-पक्ष सेवा प्रदायकहरू र तेस्रो-पक्ष साइटहरूको आफ्नै गोपनीयता नीतिहरू हुन सक्छन् जुन तपाइँको अधीनमा हुन सक्ने तपाइँको जानकारीको भण्डारण र अवधारणलाई नियन्त्रित गर्दछ।
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","यो गोपनीयता नीतिले यी तेस्रो-पक्ष प्रदायकहरू र तेस्रो-पक्ष साइटहरूलाई प्रदान गरिएको, भण्डारण गरिएको, वा प्रयोग गरेको कुनै पनि जानकारीलाई नियन्त्रण गर्दैन।"
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","हामी सुझाव दिन्छौं कि जब तपाइँ तेस्रो-पक्ष साइट प्रविष्ट गर्नुहुन्छ, तपाइँ तेस्रो पक्षको साइटको गोपनीयता नीति समीक्षा गर्नुहोस् किनकि यो तपाइँको जानकारीको सुरक्षासँग सम्बन्धित छ।"
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,तपाईं सहमत हुनुहुन्छ र स्वीकार गर्नुहुन्छ कि पोशन ट्र्याकर खोज परिणामहरूमा वा कुनै तेस्रो-पक्ष साइटहरूद्वारा प्रकाशित जानकारीको लागि उत्तरदायी हुनेछैन।
Madhyamgram New Barrackpore(U) ICDS Project,मध्यग्राम नयाँ ब्याराकपुर (यु) आईसीडीएस परियोजना
Gangtok Rural Project,गान्तोक ग्रामीण परियोजना
Bishnupur II ICDS,विष्णुपुर II आईसीडीएस
Ponnamapet (Sal Pro 2),पोन्नामापेट (साल प्रो 2)
Murarai - I,मुराराइ - I
Karimnagar (R ),करीमनगर (आर)
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.","माथिको खण्ड 1 अन्तर्गत दर्ताको समयमा तपाईबाट सङ्कलन गरिएको व्यक्तिगत जानकारी, सुरक्षित रूपमा भण्डारण गरिनेछ र स्वास्थ्य प्रगति र स्थिति ट्र्याक गर्ने उद्देश्यका लागि मात्र भारत सरकार वा राज्य सरकारहरू द्वारा प्रयोग गरिनेछ, देशमा पोशन ट्रयाकरको व्यवस्थापनको उद्देश्यका लागि प्रतिवेदनहरू, तातो नक्साहरू र अन्य तथ्याङ्कीय दृश्यहरू उत्पन्न गर्दै,।"
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,तपाईंको सन्दर्भ आईडी (मोबाइल नम्बर) माथिको खण्ड 1 बमोजिम एसएमएस मार्फत तपाईंलाई सञ्चार गर्न तपाईंको व्यक्तिगत जानकारीसँग मात्र सह-सम्बन्धित हुनेछ।
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","हामीले तपाइँको सहमति बिना तपाइँको जानकारी कुनै अन्य तेस्रो पक्षलाई खुलासा वा स्थानान्तरण गर्दैनौं, जबसम्म यस्तो खुलासा वा स्थानान्तरण निम्न होः1. कुनै पनि लागू कानून वा अदालतको आदेश वा निर्देशनको पालना गर्न आवश्यक छ; वा2. कुनै पनि अपराध वा घटनाको पहिचानको प्रमाणीकरण, रोकथाम, पत्ता लगाउन, अनुसन्धान, अभियोजन वा सजायको प्रयोजनका लागि लागू कानून बमोजिम कुनै उपयुक्त सरकारी निकायबाट अनुरोध गरिएको।"
GOSABA ICDS ADDITIONAL,गोसाबा आईसीडीएस अतिरिक्त
Download Mobile App,मोबाइल एप डाउनलोड गर्नुहोस्
Durgapur I Urban,दुर्गापुर I शहरी
Ausgram - I,औसग्राम - I
Having difficulty raising ticket,टिकट उठाउन गाह्रो भइरहेको छ
Ausgram - II,अग्सग्राम - II
West Zone Rmc,पश्चिम क्षेत्र आरएमसी
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.","हाम्रो गोपनीयता नीति, खुला एपीआई नीति र साइटमा विशेष प्रस्तावहरू वा सुविधाहरूमा लागू हुन सक्ने अन्य कुनै पनि नीति, नियम वा दिशानिर्देशहरू यी सर्तहरूमा समावेश गरिएका छन्।"
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","साइट भ्रमण गरेर वा प्रयोग गरेर, तपाइँ स्पष्ट रूपमा यी सर्तहरूसँग सहमत हुनुहुन्छ, समय-समयमा अद्यावधिक गरिए अनुसार।"
"If you do not agree with any part of these terms, do not use the site.","यदि तपाइँ यी सर्तहरूको कुनै पनि अंशसँग सहमत हुनुहुन्न भने, साइट प्रयोग नगर्नुहोस्।"
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,तपाईंले कुनै पनि तरिकाले साइट प्रयोग गर्न सक्नुहुन्न र शर्तहरू स्वीकार गर्न सक्नुहुन्न यदि तपाईं बाध्यकारी अनुबंध बनाउनको लागि कानूनी उमेरको हुनुहुन्न भने।
BARUIPUR ICDS PROJECT,बरुइपुर आईसीडीएस परियोजना
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,बेसिलस क्याल्मेट गुएरिन (बीसीजी)मौखिक पोलियो खोप (ओपीवी) -0 खुराक हेपेटाइटिस बी जन्म खुराक ओपीवी -1 टी
Dhubri - Assam,धुबरी - असम
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",उपधारा 1 अन्तर्गत सङ्कलन गरिएका जानकारीहरू लाभार्थीहरूको स्वास्थ्यलाई सहजीकरण गर्ने उद्देश्यले प्रयोग गरिनेछ।
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","हामी हाम्रा उत्पादनहरू प्रदान गर्छौं, जसमा प्रणालीको सूचना/डेटा/सामग्री र सामग्रीहरू अद्यावधिक गर्ने, सुरक्षित गर्ने र समस्या निवारण गर्ने, साथै समर्थन प्रदान गर्ने समावेश छ।"
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","जब तपाइँ पोशान ट्र्याकर मा दर्ता गर्नुहुन्छ, तपाईले दर्ता गर्नुभएको मोबाइल नम्बर डाटाबेसबाट तपाइँको रेकर्ड पत्ता लगाउन प्रयोग गरिनेछ।"
These can also be used to assess the health status as recorded in the Poshan Tracker system.,पोशन ट्र्याकर प्रणालीमा रेकर्ड गरिएको स्वास्थ्य स्थितिको मूल्याङ्कन गर्न पनि यी प्रयोग गर्न सकिन्छ।
Salboni -Adl ICDS Project,सालबोनी - एडीएल आईसीडीएस परियोजना
BOLPUR  ADDL,बोलपुर अतिरिक्त
Madhupur Icds Project,मधुपुर आईसीडीएस परियोजना
Stunted Assessment Parameters,अविकसित मूल्यांकन परिमितिहरु
"You shall not, either on your own or through any other person:Restrict or inhibit any other person from using the SiteUse the Site for any unlawful purposeExpress or imply that any statements you make are endorsed by us, without our prior written consentImpersonate any person or entity, whether actual or fictitiousEngage in spamming or floodingHarvest or collect information about Site usersOpen multiple accounts for yourself or any other individual using multiple mobile numbersSubmit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive natureManipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submitLink to any portion of the Site other than the URL assigned to the home page of the Site“Frame” or “Mirror” any part of the SiteModify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the ContentRemove any copyright, trademark or other proprietary rights notices contained on the SiteUse any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is activeTake any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the ContentThe Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purposeYou will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","तपाईंले आफ्नो वा अरू कसैको माध्यमबाट गर्नुहुँदैनःप्रतिबन्ध वा कुनै अन्य व्यक्तिलाई साइट प्रयोग गर्नबाट रोक्नुहोस्कुनै पनि गैरकानूनी उद्देश्यको लागि साइट प्रयोग गर्नुहोस्व्यक्त गर्नुहोस् वा संकेत गर्नुहोस् कि तपाईंले गर्नुभएका कुनै पनि कथनहरू हाम्रो पूर्व लिखित सहमति बिना, हामीले समर्थन गरेका छन्वास्तविक वा काल्पनिक कुनै पनि व्यक्ति वा संस्थाको प्रतिरूपण गर्नुहोस्स्प्यामिङ वा बाढीमा संलग्न हुनुहोस्साइट प्रयोगकर्ताहरूको बारेमा जानकारी सङ्कलन वा सङ्कलन गर्नुहोस्धेरै मोबाइल नम्बरहरू प्रयोग गरेर आफ्नो वा अन्य कुनै व्यक्तिको लागि धेरै खाताहरू खोल्नुहोस्कुनै पनि सफ्टवेयर वा अन्य सामग्रीहरू पेश गर्नुहोस् जसमा कुनै पनि भाइरस, कीरा, ट्रोजन घोडाहरू, दोषहरू, मिति बमहरू, टाइम बमहरू वा विनाशकारी प्रकृतिका अन्य वस्तुहरू छन्।तपाईंले पेस गर्नुभएको कुनै पनि पोस्टिङको उत्पत्ति लुकाउनको लागि हेडरहरू फोर्ज गरेर सहित पहिचानकर्ताहरूलाई हेरफेर गर्नुहोस्।साइटको गृह पृष्ठमा तोकिएको यूआरएल बाहेक साइटको कुनै पनि भागमा लिङ्क गर्नुहोस्साइटको कुनै पनि भाग ""फ्रेम"" वा ""दर्पण""परिमार्जन, अनुकूलन, उप-लाइसेन्स, अनुवाद, बिक्री, रिभर्स इन्जिनियर, डिकम्पाइल वा साइट को कुनै पनि भाग विच्छेदन, वा अन्यथा सामग्री को कुनै पनि भाग को कुनै पनि स्रोत कोड वा अन्तर्निहित विचार वा एल्गोरिदम प्राप्त गर्ने प्रयास गर्नुहोस्।साइटमा समावेश कुनै पनि प्रतिलिपि अधिकार, ट्रेडमार्क वा अन्य स्वामित्व अधिकार सूचनाहरू हटाउनुहोस्कुनै पनि कम्प्युटर प्रोग्राम, बोट, रोबोट, स्पाइडर, अफलाइन रिडर, साइट खोज/पुनप्राप्ति एप्लिकेसन वा अन्य म्यानुअल वा स्वचालित उपकरण, उपकरण, वा प्रक्रिया पुनः प्राप्त गर्न, अनुक्रमणिका, डाटा माइन, वा कुनै पनि तरिकाले सुरक्षा संरचना, नेभिगेसनलाई पुनः उत्पादन वा छल गर्न प्रयोग गर्नुहोस्।संरचना, वा सामग्री वा साइटको प्रस्तुतीकरण, साइटमा प्रदर्शित कुनै पनि क्याप्चाको सन्दर्भमा सहित।कुनै पनि स्वचालित सफ्टवेयर वा कम्प्युटर प्रणाली प्रयोग गर्नुहोस् खोजी गर्न वा नियुक्ति बुक गर्न तपाईंको कम्प्युटरबाट अर्को कम्प्युटरमा जानकारी पठाउन सहित जहाँ त्यस्ता सफ्टवेयर वा प्रणाली सक्रिय छ।हाम्रो पूर्वाधारमा अव्यावहारिक वा असमान रूपमा ठूलो भार (हाम्रो विवेकमा) लाद्ने वा थोपाउन सक्ने कुनै पनि कार्य लिनुहोस्।साइट प्रयोग गर्नुहोस् वा पुनः उत्पादन गर्नुहोस्, परिमार्जन गर्नुहोस्, प्रदर्शन गर्नुहोस्, सार्वजनिक रूपमा प्रदर्शन गर्नुहोस्, वितरण गर्नुहोस् वा साइट वा सामग्रीको व्युत्पन्न कार्यहरू सिर्जना गर्नुहोस्।कुनै पनि प्राविधिक उपायलाई रोक्नको लागि डिजाइन गरिएको कुनै पनि उपकरण, कार्यक्रम वा सेवाको प्रयासमा वा संयोजनमा सामग्री जसले म्यानुअल डिकोड, डिक्रिप्ट, परिमार्जन गरी कुनै पनि सीमा बिना कुनै पनि तरिकाले साइट र/वा सामग्रीमा पहुँच वा अधिकारहरूलाई प्रभावकारी रूपमा नियन्त्रण गर्दछ वा रिभर्स इन्जिनियर प्रमाणपत्र वा अन्तर्निहित एल्गोरिदम वा स्वचालित यन्त्र वा प्रक्रिया, कुनै पनि उद्देश्यका लागितपाईंले साइट मार्फत सहभागीहरू दर्ता गर्न खोज्न बोट प्रविधि प्रयोग गर्नुहुने छैन; शंकाबाट बच्नको लागि, यसले तपाइँलाई साइटमा स्वचालित स्क्रिप्ट आधारित वा स्वचालित सफ्टवेयर प्रयोग गर्नबाट विशेष रूपमा निषेध गर्दछ, र तपाइँलाई कुनै पनि सुरक्षा उपाय, पहुँच नियन्त्रण प्रणाली, वा अन्य प्राविधिक नियन्त्रण वा साइटमा मापन गर्नबाट प्रतिबन्धित गर्दछ जुन सहभागिता सीमा लागू गर्न वा एक मोबाइल नम्बरसँग सम्बन्धित सहभागीहरू दर्ता गर्ने नियमहरूको अखण्डता कायम गर्न प्रयोग गरिन्छ"
Training on ICT Platform under POSHAN Abhiyaan,पोशन अभियान अन्तर्गत आईसीटी मंच को प्रशिक्षण
Barasat - I Addl.,बारासात - I अतिरिक्त
"Know more about stunting, wasting and underweight","स्टन्टिङ, बर्बाद र कम वजन को बारे मा अधिक जान्नुहोस्"
What information to be added in AWC forms?,AWC फारमहरूमा कुन जानकारी थप्न मिल्छ?
Mathavaram Rural @ Puzhal,माथवरम ग्रामीण @ पुझाल
How to revive your health if you are Moderately Wasted (MAM),तपाईको स्वास्थ्यलाई कसरी पुनर्जीवित गर्ने यदि तपाई मध्यम रूपमा बर्बाद हुनुहुन्छ (एमएएम)
AWC Workers Registered In Last 30 Days,AWC कार्यकर्ताहरू पछिल्लो ३० दिनमा दर्ता गरियो
Daman & Diu,दमन र दीव
Lahaul & Spiti,लाहौल र स्पीति
Katwa - I,कटवा - I
OPEN A NEW TICKET,नयाँ टिकट खोल्नुहोस्
Lower Dibang Valley,लवर दिबांग उपत्यका
Click on above button to get this App,यस एप प्राप्त गर्न माथिको बटनमा क्लिक गर्नुहोस्
Please Enter Valid Name,कृपया मान्य नाम प्रविष्ट गर्नुहोस्
1. INFORMATION WE COLLECT,1. हामीले सङ्कलन गर्ने जानकारी
Beneficiaries Registered In Last 30 Days,लाभार्थीहरू अन्तिम ३० दिनमा दर्ता गरियो
Gopiballabhpur - II,गोपीबल्लभपुर - II
Darjeeling PulBazar.,दार्जीलिङ पुलबजार।
Addl,अतिरिक्त
Specifications of Smart phone and Technical Compatibility Testing,स्मार्ट फोन र प्राविधिक अनुकूलता परीक्षणको विशिष्टताहरू
Preparation During Pregnancy - For NewBorn Care & Family Planning,गर्भावस्थाको समयमा तयारी - नवजात शिशु हेरचाह र परिवार योजना को लागी
Please select Project,कृपया परियोजना चयन गर्नुहोस्
Please Select Query Related to,कृपया सम्बन्धित प्रश्न चयन गर्नुहोस्
 IV. ACCOUNT REGISTRATION, IV. खाता दर्ता
Stunting ( Height for Age)-,स्टन्टिङ (उमेरको लागि उचाइ)
Binpur - II Adl.,बिनपुर - II एडीएल
Pakyong Rural Project,पाक्योङ ग्रामीण परियोजना
Wasted Assessment Parameters,व्यर्थ मूल्यांकन परिमितिहरु
Sangam Vihar Ii,संगम विहार II
Shri Ram Colony,श्रीराम कोलोनी
Ranaghat 1 Exsiting,रानाघाट 1 बाहिर
Mathabhanga I Addl,माथाभंगा I अतिरिक्त
Stunting is the impaired growth and development that children experience from poor nutrition,स्टन्टिङ भनेको खराब पोषणको कारणले बालबालिकाले अनुभव गर्ने बाधा वृद्धि र विकास हो
Children in the age group of 3 years to 6 years,3 वर्ष देखि 6 वर्ष सम्मको उमेर समूहका बालबालिका
Poshan Tracker Dashboard can be accessed by signing onto the dashboard.,पोषण ट्र्याकर ड्यासबोर्डलाई ड्यासबोर्डमा साइन इन गरेर पहुँच गर्न सकिन्छ।
Dashboard can be accessed by clicking the link https://poshantracker.,ड्यासबोर्डलाई https://poshantracker.in/admin लिंकमा क्लिक गरेर पहुँच गर्न सकिन्छ।
"in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.","राष्ट्रिय, राज्य, जिल्ला, परियोजना र क्षेत्र स्तरका नोडल स्तरका अधिकारीहरूलाई मात्र ड्यासबोर्डमा पहुँच गर्न अद्वितीय प्रमाणपत्रहरू प्रदान गरिन्छ।"
Please enter valid Weight,कृपया मान्य वजन प्रविष्ट गर्नुहोस्
Khargone (West Nimar),खरगोन (वेस्ट निमार )
 Md. Bazar Addl., एमडी. बजार अतिरिक्त
What is the eligibility of a beneficiary?,एउटा लाभार्थीको पात्रता के हो?
Who are the target userbase of Poshan Tracker App?,पोषण ट्रेकर एपका लक्षित प्रयोगकर्ता को हुन्?
Kanpur Nagar City 1,कानपुर नगर शहर 1
How Poshan Tracker Works,पोषण ट्र्याकरले कसरी काम गर्दछ
Kalna - I Addl.,कालना - I अतिरिक्त
Home visits and Counselling,गृह भ्रमण र परामर्श
Kusheshwar Asthan Purbi,कुशेश्वर अस्थान पुर्वी
Mandirbazar ICDS Project,मन्दिरबजार आईसीडीएस परियोजना
Awareness to Lactating Mother,स्तनपान गराउने आमालाई जागरूकता
"It often indicates recent and severe weight loss, although it can also persist for a long time","यसले अक्सर भर्खरको र गम्भीर वजन घटाउने संकेत गर्दछ, यद्यपि यो लामो समयको लागि पनि रहन सक्छ"
 X. ACCESS FROM OUTSIDE INDIA, X. भारत बाहिरबाट पहुँच
Kaliachak - II,कालियाचक - II
Machkhowa Icds Project,माचखोवा आईसीडीएस परियोजना
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाइलमा पोसन ट्र्याकर एप स्थापना गर्न न्यूनतम आवश्यकता के हो?
SHRI ANANDPUR SAHIB,श्री आनन्दपुर साहिब
"Khar (West),Santacruze (East)","खार (पश्चिम), सान्ताक्रुज (पूर्व)"
Create new ticket,नयाँ टिकेट सिर्जना गर्नुहोस्
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,तपाईंले कागजातमा वर्णन गरिएका माध्यमहरूद्वारा मात्र साइट पहुँच (वा पहुँच गर्ने प्रयास) गर्नुहुनेछ र यस सम्झौताका सर्तहरू र सर्तहरूको पालना गर्नुहुनेछ।
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","तपाइँ सबै केन्द्रीय र राज्य कानून, तपाइँ र तपाइँको साइट को उपयोग को लागी लागू नियम र नियमहरु को पालना गर्नुहुनेछ र कुनै पनि तेस्रो-पक्ष अधिकारहरु लाई असर गर्नुहुनेछ।"
ROURKELE CIVIL TOWNSHIP,राउरकेले सिभिल टाउनशिप
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.
Ldh Urban 4,लुधियाना शहरी 4
Welcome!,स्वागत छ!
The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.,"https://poshantracker.in मा होस्ट गरिएको पोशन ट्र्याकर मंचको प्रयोगलाई नियन्त्रित गर्ने सेवाका सर्तहरू (""सर्तहरू"") र लिंक गरिएका सबै सम्बन्धित साइटहरू निम्न छन्।"
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","यसमा, यसका सहायक कम्पनीहरू, र सम्बद्धहरू (सामूहिक रूपमा, ""साइट"")।"
Burdwan - I,बर्दवान - I
Project 4 Singanallur,परियोजना 4 सिंगानल्लुर
Select Key Performance Indicator,कुञ्जी प्रदर्शन सूचक चयन गर्नुहोस्
Select An Anganwadi center,आंगनवाडी केन्द्र चयन गर्नुहोस्
Clarification regarding Cost of Smart phones,स्मार्ट फोन लागत को बारे मा स्पष्टीकरण
Budge Budge - II,बज बज - II
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,दादुरा युक्त खोप(एमसीवी)/दादुरा र रुबेला (एमआर) -1जापानी इन्सेफलाइटिस (जेई) -1**पीसीवी-बूस्टर
"There are various reports that can be generated fromGeneral Reports:Number of app  downloadsTotal number of Anganwadi centers registeredTotal number of beneficiaries registered (National/state/district/block wise)Total Number of pregnant women registered(National/state/district/block wise)Total Number of  lactating mothers registered(National/state/district/block wise)Total Number of children (0-6months) registered(National/state/district/block wise)Total Number of children (6months-3years) registered(National/state/district/ block wise)Total Number of children (3-6years) registered(National/state/district/ block wise)Maternal and child nutrition:How many beneficiaries got THR in 21 daysHow many children breastfed exclusively in the first hour after deliveryHow many lactating mothers are given HCMAverage level of calcium in children aged 3-6 yearsAverage level of iron in children aged 3-6yearsTotal number of vaccinations administered per month (block, district, state, national level)Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/PentavalentAWC infrastructure:Number of AWCs (block, district, state, national level)Total number of Balvatikas (block district, state, national level)Total number of AWCs (block, district, state, national level) with clean drinking waterTotal number of AWCs (block, district, state, national level) with working weighing scaleTotal number of AWCs (block, district, state, national level) with electricityTotal number of AWCs that are government ownedTotal number of AWCs that are privately owned","विभिन्न रिपोर्टहरू हुन्छन् जुन् निम्नानुसार उत्पन्न गर्न सकिन्छसामान्य रिपोर्टहरूःडाउनलोड गरिएका एपहरूको संख्यादर्ता गरिएका आंगनवाडी केन्द्रहरूको कुल संख्यादर्ता गरिएका लाभार्थीहरूको कुल संख्या (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)दर्ता गरिएका गर्भवती महिलाहरूको कुल संख्या (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)स्तनपान गराउने आमाहरूको कुल संख्या दर्ता गरियो (राष्ट्रिय / राज्य / जिल्ला / खण्डवार)बच्चाहरूको कुल संख्या (०-६ महिना) पंजीकृत (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)बच्चाहरूको कुल संख्या (६ महिना - ३ वर्ष) पंजीकृत (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)दर्ता गरिएका बच्चाहरूको कुल संख्या (३-६ वर्ष) (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)मातृ र बाल पोषणः२१ दिनमा कति लाभार्थीहरूले THR प्राप्त गरेकति बच्चाहरूले जन्मपछि पहिलो घण्टामा विशेष गरी स्तनपान गराएकति स्तनपान गराउने आमाहरूलाई एचसीएम दिइन्छकति जना बच्चाहरूले जन्मपछि पहिलो घण्टामा विशेष रूपमा स्तनपान गराए३-६ वर्ष उमेरका बच्चाहरूमा क्याल्सियमको औसत स्तर३-६ वर्ष उमेरका बच्चाहरूमा आइरनको औसत स्तरप्रति महिना लगाइएका खोपहरूको कुल संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)प्रति महिना लगाइएका खोपको विशिष्ट रिपोर्ट (BCG / OPV / हेपेटाइटिस बी / रोटावायरस / पोलियो / न्यूमोकोकल / पेन्टालेलेन्ट)AWC पूर्वाधारःAWC हरूको संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)बालवाटिकाको कुल संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)सफा पिउने पानी भएका AWC हरूको कुल संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)कार्य तौल मापन भएका AWC हरू (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर) को कुल संख्याबिजुली भएका AWC हरूको कुल संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)सरकारी स्वामित्वमा रहेका AWC हरूको कुल संख्यानिजी स्वामित्वमा रहेका AWC हरूको कुल संख्या"
JALPAIGURI Sadar Adl,जलपाईगुडी सदर एडीएल
Mobile number need to be validated within a week,मोबाइल नम्बर एक हप्ताभित्र प्रमाणीकरण गर्न आवश्यक छ
Currently a beneficiary can register by the help of an AWW,हाल एउटा लाभार्थीले एडब्ल्यूडब्ल्यू को मद्दतले पंजीकरण गर्न सक्छ
Awareness for Lactating Mother Complimentary Feeding for Children,स्तनपान गराउने आमा को लागि जागरूकता बच्चाहरूको लागि पूरक आहार
 W. Phaileng ICDS Project,डब्ल्यु फाइलेङ आईसीडीएस परियोजना
 H. Bagh Rural,एच बाग ग्रामीण
New Poshan Tracker App - CSC-SPV Nodal Person,नयाँ पोशन ट्र्याकर अनुप्रयोग - सीएससी-एसपीवी नोडल व्यक्ति
New Registration request,नयाँ दर्ताका लागि अनुरोध
Rampurhat - I Addl.,रामपुरहाट - I अतिरिक्त
UJJAIN - RURAL,उज्जैन - ग्रामीण
Tufanganj II Addl,तुफानराजगंज II   अतिरिक्त
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,तपाईंको साइटको प्रयोग र साइटको त्यस्तो प्रयोगबाट उत्पन्न हुने कुनै विवाद भारतको कानूनको अधीनमा छ र क्षेत्राधिकारको स्थान नयाँ दिल्ली हुनेछ।
1.1. Information you provide to us.,1.1. तपाईंले हामीलाई प्रदान गर्नुभएको जानकारी।
How can one access Poshan Tracker Dashboard?,पोषण ट्र्याकर ड्यासबोर्डमा कसरी पहुँच गर्न सकिन्छ?
Harda Gramin 1,हरदा ग्रामीण 1
Prevention of Anemia in children and adolescents girls,बालबालिका र किशोर किशोरीहरूमा रक्तअल्पता रोकथाम
Gangarampur Addl. I. C. D. S Project,गंगारामपुर अतिरिक्त  आई. सी. डी. एस परियोजना
Can a beneficiary register directly using application.,एउटा लाभार्थी सिधै आवेदन प्रयोग गरेर पंजीकरण गर्न सक्नुहुन्छ।
BISHNUPUR 1 Addl,बिष्णुपुर 1 अतिरिक्त
Suri - I,सुरी - I
Mohd Pur Devmal,मोहम्मद पुर देवमल
