eng,hi
Alipurduar - I,अलीपुरद्वार - I
Poshan Tracker Features,पोषण ट्रैकर की विशेषताएँ
Why this Monthly Meeting?,मासिक बैठक की अनिवार्यता?(इस मासिक बैठक की आवश्यकता क्यों हैं?)
Urban Slum Project,शहरी स्लम परियोजना
Our System provides API to Third – Party Sites that may collect your personal information.,"हमारी प्रणाली तृतीय-पक्ष की साइटों को API प्रदान करती है, जो आपकी व्यक्तिगत सूचना को एकत्र कर सकती है।"
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,"पोषण ट्रैकर, ऐसी सूचना या उनकी गोपनीयता अभ्यासों या उन तृतीय-पक्ष के साइटों की सामग्री की सुरक्षा के लिए किसी भी प्रकार से उत्तरदायी नहीं है।"
"Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites.","इसके अतिरिक्त, आप तीसरे-पक्ष की साइटों के कुछ पृष्ठों पर ""कुकीज"" या अन्य समान उपकरणों का भी सामना कर सकते हैं और यहाँ पोशन ट्रैकर द्वारा यह स्पष्ट किया जाता है कि सिस्टम इन तीसरे-पक्ष की साइटों की कुकीज के उपयोग को नियंत्रित नहीं करता है।"
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,"इस तीसरे-पक्ष की सेवा प्रदाताओं और तृतीय-पक्ष की साइटों की अपनी गोपनीयता नीतियाँ हो सकती हैं, जो आपकी सूचना के संग्रहण और प्रतिधारण को नियंत्रित करती हैं, जिसके आप अधीन हो सकते हैं।"
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","यह गोपनीयता नीति इन तीसरे-पक्ष के प्रदाताओं और तीसरे-पक्ष की साइटों द्वारा प्रदत, संग्रहीत या उपयोग की जाने वाली किसी भी सूचना को नियंत्रित नहीं करती है।"
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","हम अनुशंसा करते हैं कि किसी तीसरे-पक्ष की साइट में प्रवेश करने से पहले आप उस तीसरे पक्ष के साइट की गोपनीयता नीति की समीक्षा कर लें, क्योंकि यह आपकी सूचना की सुरक्षा से संबंधित है।"
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,आप पोशन ट्रैकर खोज परिणामों में या किसी तीसरे पक्ष की साइट द्वारा प्रकाशित सूचना के लिए उत्तरदायी नहीं होने वाले मामलें में अपनी सहमति और स्वीकृति दोनों प्रदान करते हैं।
Madhyamgram New Barrackpore(U) ICDS Project,मध्यमग्राम न्यू बैरकपुर (यू) आईसीडीएस परियोजना
Gangtok Rural Project,गंगटोक ग्रामीण परियोजना
Bishnupur II ICDS,बिष्णुपुर II आईसीडीएस
Ponnamapet (Sal Pro 2),पोन्नामापेट (साल प्रो 2)
Murarai - I,मुरारई - ।
Karimnagar (R ),करीमनगर (आर)
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.","उपरोक्त खंड 1 के तहत देश में पोषण ट्रैकर के प्रबंधन का उद्देश्य पंजीकरण के समय आपसे एकत्र की गई व्यक्तिगत सूचना को सुरक्षित रूप से संग्रहीत किया जाता है, और इसका उपयोग केवल भारत सरकार या राज्य सरकारों द्वारा स्वास्थ्य प्रगति पर नजर रखने वाली रिपोर्ट हीट मैप्स और अन्य सांख्यिकीय विजुअलाइजेशन के उद्देश्य से किया जाता है।"
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,उपरोक्त खंड 1 के अनुसार SMS के माध्यम से आपसे संवाद करने के लिए आपकी संदर्भित आईडी (मोबाइल नंबर) केवल आपकी व्यक्तिगत सूचना के साथ सह-संबंधित होगी।
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","हम आपकी सहमति के बिना किसी अन्य तीसरे पक्ष को आपकी सूचना का प्रकटीकरण या हस्तांतरण नहीं करते हैं जब तक कि ऐसा प्रकटीकरण या हस्तांतरण अनिवार्य नहीं होता हैः1. किसी भी लागू कानून या अदालत के आदेश या निर्देश का पालन करने के लिए आवश्यक; या2. किसी भी उपयुक्त सरकारी एजेंसी द्वारा लागू कानून के अनुसार, अन्य बातों के साथ, पहचान के सत्यापन, रोकथाम, पता लगाने, जाँच, अभियोजन या किसी भी अपराध या घटनाओं की सजा के उद्देश्य से अनुरोध किया गया हो।"
GOSABA ICDS ADDITIONAL,गोसाबा आईसीडीएस अडिशनल
Download Mobile App,मोबाइल एप्प डाउनलोड करें
Durgapur I Urban,दुर्गापुर I शहरी
Ausgram - I,ऑसग्राम - I
Having difficulty raising ticket,टिकट लेने में हो रही परेशानी
Ausgram - II,ऑसग्राम - II
West Zone Rmc,पश्चिम क्षेत्र आरएमसी
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.","हमारी गोपनियता नीति, खुली API और अन्य पॉलिसी, नियम या दिशानिर्देश जो हमारी साइट से संबद्ध विशिष्ट प्रस्ताव या विशेषताओं पर लागू होते हैं, इन शर्तों में सम्मिलित रहते हैं।"
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","हमारी साइट पर आकर इसका उपयोग करने का सामान्य अर्थ यह निकाला जाता है कि, आप हमारे द्वारा सामयिक आधार पर किए जाने वाले अद्यतन से संबंधित शर्तों के प्रति अपनी सहमति व्यक्त करते हैं।"
"If you do not agree with any part of these terms, do not use the site.","यदि आप इन शर्तों के किन्हीं भाग से सहमत नहीं हैं, तो कृपया, इस साइट का उपयोग न करें।"
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,"यदि आप अनुबंध के लिए आवश्यक कानूनी पात्रता पूरी नहीं करते हैं, तो आप हमारी साइट या इससे संबंधित किसी शर्त का उपयोग नहीं कर सकते हैं।"
BARUIPUR ICDS PROJECT,बरुईपुर आईसीडीएस परियोजना
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,बेसिलस कैलमेट गुएरिन (BCG)ओरलपोलियो टीकाकरण (OPV)-0 डोज जन्म के समय हेपेटाइटिस B का OPV-1 का डोज
Dhubri - Assam,धुबरी - असम
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",लाभार्थियों के स्वास्थ्य को सुविधाजनक बनाने के उद्देश्य से खंड 1 के तहत एकत्र की गई सूचना का उपयोग किया जाता है।
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","हम अपने उत्पाद में सिस्टम की सूचना/आँकडा/सामग्री और सामग्री को अपडेट करना, सुरक्षित करना और समस्या के निवारण आदि के साथ-साथ सहायता प्रदान करना भी शामिल है।"
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","जब आप पोशन ट्रैकर पर पंजीकरण करते हैं, तो जिस मोबाइल नंबर से आपने पंजीकरण किया है, उसका उपयोग डेटाबेस से आपके रिकॉर्ड का पता लगाने के लिए किया जाता है।"
These can also be used to assess the health status as recorded in the Poshan Tracker system.,इनका उपयोग पोशन ट्रैकर प्रणाली में दर्ज स्वास्थ्य स्थिति का आकलन करने के लिए भी किया जा सकता है।
Salboni -Adl ICDS Project,सालबोनी-अडिशनल आईसीडीएस परियोजना
BOLPUR  ADDL,बोलपुर अडिशनल
Madhupur Icds Project,मधुपुर आईसीडीएस परियोजना
Stunted Assessment Parameters,स्टंटेड मूल्यांकन मापदंड
"You shall not, either on your own or through any other person:Restrict or inhibit any other person from using the SiteUse the Site for any unlawful purposeExpress or imply that any statements you make are endorsed by us, without our prior written consentImpersonate any person or entity, whether actual or fictitiousEngage in spamming or floodingHarvest or collect information about Site usersOpen multiple accounts for yourself or any other individual using multiple mobile numbersSubmit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive natureManipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submitLink to any portion of the Site other than the URL assigned to the home page of the Site“Frame” or “Mirror” any part of the SiteModify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the ContentRemove any copyright, trademark or other proprietary rights notices contained on the SiteUse any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is activeTake any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the ContentThe Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purposeYou will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","आप स्वयं या किसी अन्य व्यक्ति के माध्यम से निम्न कार्य को नहीं करेंगेःकिसी अन्य व्यक्ति के साइट के उपयोग को प्रतिबंधित लागा कर बाधित नहीं करेंगेकिसी भी गैरकानूनी उद्देश्य के लिए साइट का उपयोग नहीं करेंगेआप हमारे किसी भी बयान को हमारी पूर्व लिखित सहमति या समर्थन के बिना व्यक्त या इंगित नहीं करेंगेआप वास्तविक या काल्पनिक या स्पैमिंग याभेड-चाल में शामिल किसी भी व्यक्ति या संस्था का प्रतिरूपण नहीं करेंगेसाइट उपयोगकर्ताओं के बारे में सूचना एकत्र नहीं करेंगेएकाधिक मोबाइल नंबरों का उपयोग करके अपने या किसी अन्य व्यक्ति के लिए एकाधिक खाते नहीं खोलेंगेवायरस, कीडे, ट्रोजन हॉर्स, दोष, डेट बम, टाइम बम या विनाशकारी प्रकृति वाली अन्य सामग्री और सॉफ्टवेयर को न ही सहेजेंगे और न ही अद्यतित करेंगेआपके द्वारा सहेजी जाने वाली किसी भी पोस्टिंग के मूल को छिपाने के लिए, फोर्जिंग हेडर सहित, व्यक्तियों की पहचान में हेरफेर नहीं करेंगेसाइट के होम पेज को निर्दिष्ट यूआरएल के अलावा किसी भी साइट के हिस्से से लिंक नहीं करेंगेसाइट के किसी भी भाग को ""फ्रेम"" या ""मिरर"" नहीं करेंगेआप साइट के किसी भी हिस्से को संशोधित, अनुकूलित, उप-लाइसेंस, अनुवाद, बिक्री, प्रतिलोम अभियांत्रिकी, डी-कंपाइल या डिस्सेबल, या अन्यथा किसी भी स्रोत कोड या अंतर्निहित अवधारणाओं या सामग्री के किसी भी हिस्से से एल्गोरिदम को प्राप्त करने का प्रयास नहीं करेंगेसाइट पर निहित किसी भी कॉपीराइट, ट्रेडमार्क या स्वामित्व से संबंधित अन्य आधिकारिक सूचना को नहीं हटाएँगेकिसी भी कंप्यूटर प्रोग्राम, बॉट, रोबोट, स्पाइडर, ऑफलाइन रीडर, साइट सर्च/पुनर्प्राप्ति एप्लिकेशन या अन्य मानवीय या स्वचालित उपकरण, टूल, या प्रक्रिया को पुनर्प्राप्त करने, सूचकांक, डेटा माइन, या किसी भी तरीके से नेविगेशनल सुरक्षा संरचना को पुनः उत्पन्न या उपयोग करने या साइट की संरचना, या प्रस्तुति, साइट पर प्रदर्शित किसी भी कैप्चा को बाधित करने का प्रयास नहीं करेंगे।आप ऐसी सक्रिय सिस्टम या सॉफ्टवेयर द्वारा अपने कंप्यूटर से किसी अन्य कंप्यूटर पर जानकारी भेजने, शोध करने या बुक करने के लिए किसी भी स्वचालित सॉफ्टवेयर या कंप्यूटर सिस्टम का उपयोग नहीं करेंगेहमारे बुनियादी ढांचे को अनुचित या अनुपातहीन रूप से बडे पैमाने पर हमारे विवेकाधिकारों को प्रभावित करने वाली तथ्यों के प्रति कार्रवाई करेंगे।साइट के उपयोग या साइट या सामग्री के व्युत्पन्न कार्यों को पुनः प्रस्तुत, संशोधित, सार्वजनिक रूप से निष्पादित एवं प्रदर्शित, वितरित या व्युत्पन्न नहीं करेंगेकिसी भी तकनीकी सामग्री को रोकने के लिए डिजाइन किए गए किसी भी डिवाइस प्रोग्राम या सेवा के संयोजन में या उसके संयोजन में, जो साइट और/या सामग्री में किसी भी तरह से अधिकारों तक पहुंच या अधिकारों को प्रभावी ढंग से नियंत्रित करता है, जिसमें बिना किसी सीमा के प्रमाणपत्र या अंतर्निहित एल्गोरिदम या किसी भी उद्देश्य के लिए स्वचालित मानवीय डिकोड डिक्रिप्ट संशोधित या प्रतिलोम अभियांत्रिकी शामिल है।आप साइट के माध्यम से प्रतिभागियों को पंजीकृत करने, शोध करने हेतु बॉट तकनीक का उपयोग नहीं करेंगे; किसी भी प्रकार के संदेह से बचाव हेतु यह विशेष रूप से आपकी साइट पर स्वचालित आधार पर स्क्रिप्ट या स्वचालित सॉफ्टवेयर का उपयोग करने से रोकता है और आपको साइट पर किसी भी सुरक्षा उपाय एक्सेस कंट्रोल सिस्टम या अन्य तकनीकी नियंत्रण या माप को बाधित करने से रोकता है जिसका उपयोग किसी मोबाइल नंबर से जुडे प्रतिभागियों के पंजीकरण नियमों के एकीकरण की सीमा को लागू करने या बनाए रखने के लिए किया जाता है।"
Training on ICT Platform under POSHAN Abhiyaan,पोषण अभियान के तहत ICT प्लैटफार्म पर प्रशिक्षण
Barasat - I Addl.,बरसात - I अडिशनल
"Know more about stunting, wasting and underweight","स्टंटिंग, वेस्टिंग और कम वजन के बारे में और अधिक जाने"
What information to be added in AWC forms?,एडब्ल्यूसी फॉर्म में कौन सी जानकारी जोडी जानी चाहिए?
Mathavaram Rural @ Puzhal,माथावरम ग्रामीण @ पुझल
How to revive your health if you are Moderately Wasted (MAM),"यदि आप मध्यम रूप से बीमार (एमएएम) हैं, तो अपने स्वास्थ्य को पुनर्जीवित कैसे करें"
AWC Workers Registered In Last 30 Days,AWC कार्यकर्ता पिछले 30 दिनों में पंजीकृत है
Daman & Diu,दमन और दीव
Lahaul & Spiti,लाहौल और स्पीति
Katwa - I,कटवा - I
OPEN A NEW TICKET,एक नया टिकट खोलें
Lower Dibang Valley,निचली दिबांग घाटी
Click on above button to get this App,इस ऐप को प्राप्त करने के लिए उपरोक्त बटन पर क्लिक करें
Please Enter Valid Name,कृपया मान्य नाम दर्ज करें
1. INFORMATION WE COLLECT,1. हमारे द्वारा प्राप्त की जाने वाली सूचनाएँ
Beneficiaries Registered In Last 30 Days,लाभार्थी अंतिम 30 दिनों में पंजीकृत हैं
Gopiballabhpur - II,गोपीबल्लभपुर - II
Darjeeling PulBazar.Addl,दार्जिलिंग पुलबाजार अडिशनल
Specifications of Smart phone and Technical Compatibility Testing,स्मार्ट फोन के विनिर्देश और तकनीकी संगतता परीक्षण
Preparation During Pregnancy - For NewBorn Care & Family Planning,गर्भावस्था के दौरान की जाने वाली तैयारी- नवजातों की देखभाल और परिवार नियोजन के संदर्भ में
Please select Project,कृपाकए परियोजनाक चयन करू
Please Select Query Related to,कृपया संबंधित प्रश्न का चयन करें
 IV. ACCOUNT REGISTRATION, IV. खाते का पंजीकरण
Stunting ( Height for Age)-,स्टंटिंग( आयु के लिए वजन)
Binpur - II Adl.,बिनपुर - II अडिशनल
Pakyong Rural Project,पकयोंग ग्रामीण परियोजना
Wasted Assessment Parameters,वेस्टेड मूल्यांकन मापदंड
Sangam Vihar Ii,संगम विहार II
Shri Ram Colony,श्री राम कॉलोनी
Ranaghat 1 Exsiting,राणाघाट 1 मौजूदा
Mathabhanga I Addl,माथाभंगा I अडिशनल
Stunting is the impaired growth and development that children experience from poor nutrition,"बौनापन बिगडा हुआ विकास और वृद्धि है, जो बच्चे में खराब पोषण के कारण होता है"
Children in the age group of 3 years to 6 years,3-6 वर्ष तक की आयु वाले बच्चे
"Poshan Tracker Dashboard can be accessed by signing onto the dashboard.Dashboard can be accessed by clicking the link https://poshantracker.in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.","पोषण ट्रैकर डैशबोर्ड को डैशबोर्ड पर साइन करके पहुँचा जा सकता है।डैशबोर्ड को लिंक पर क्लिक करके एक्सेस किया जा सकता है  https://poshantracker.in/admin  केवल नेशनल में नामित नोडल स्तर के अधिकारी डैशबोर्ड तक पहुँचने के लिए राज्य, जिला, परियोजना और सेक्टर स्तर को एक अद्वितीय प्रमाणिकता प्रदान की जाती है।"
Please enter valid Weight,कृपया मान्य वजन को दर्ज करें
Khargone (West Nimar),खरगोन
 Md. Bazar Addl.,एमडी बाजार अडिशनल.
What is the eligibility of a beneficiary?,लाभार्थी की पात्रता क्या है?
Who are the target userbase of Poshan Tracker App?,पोषण ट्रैकर ऐप के टारगेट यूजरबेस कौन हैं?
Kanpur Nagar City 1,कानपुर नगर शहर 1
How Poshan Tracker Works,पोषण ट्रैकर कैसे काम करता है
Kalna - I Addl.,कलना - I अडिशनल
Home visits and Counselling,गृह दौरा और परामर्श
Kusheshwar Asthan Purbi,कुशेश्वर अस्थान पूर्वी
Mandirbazar ICDS Project,मंदिरबाजार आईसीडीएस परियोजना
Awareness to Lactating Mother,स्तनपान कराने वाली माताओं में जागरूकता
"It often indicates recent and severe weight loss, although it can also persist for a long time","यह अक्सर तात्कालिक और गंभीर वजन घटाने का संकेत देता है, हालाँकि, यह लंबे समय तक भी बना रह सकता है"
 X. ACCESS FROM OUTSIDE INDIA, X. भारत के बाहर से पहुँच
Kaliachak - II,कालियाचक - II
Machkhowa Icds Project,मचखोवा आईसीडीएस परियोजना
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाइल में पोषण ट्रैकर ऐप इंस्टॉल करने के लिए न्यूनतम आवश्यकता क्या है?
SHRI ANANDPUR SAHIB,श्री आनंदपुर साहिब
"Khar (West),Santacruze (East)","खार (पश्चिम), सांताक्रूज (पूर्व)"
Create new ticket,नव टिकट बनाउ
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,आप साइट तक केवल दस्तावेजों में वर्णित माध्यमों से पहुँच (या एक्सेस करने का प्रयास) प्राप्त कर सकेंगे एवं इस अनुबंध के नियमों और शर्तों का पालन भी करेंगे।
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","आप आपके साइटों के उपयोग पर लागू होने वाले या किसी भी तीसरे पक्ष के अधिकारों को प्रभावित करने वाले सभी केंद्रीय एवं राज्य कानूनों, नियमों और विनियमों का पालन करेंगे।"
ROURKELE CIVIL TOWNSHIP,राउरकेल सिविल टाउनशिप
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.
Ldh Urban 4,एलडीएच शहरी 4
"Welcome!The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","स्वागत है!आपके लिए यहाँ प्रदत निम्नलिखित सेवा की शर्तें हैं, जो आपके पोषण ट्रैकर प्लेटफॉर्म की उपयोगिता को प्रबंधित करेगी जिसे https://poshantracker.in पर इसकी सहयोगी या संबद्ध अन्य साइटों की लिंक के साथ इसे होस्ट किया गया है।"
Burdwan - I,बर्दवान - I
Project 4 Singanallur,प्रोजेक्ट 4 सिंगनल्लूर
Select Key Performance Indicator,मुख्य प्रदर्शन संकेतक का चयन करें
Select An Anganwadi center,एकटा आंगनबाडी केंद्रक चयन करू
Clarification regarding Cost of Smart phones,स्मार्ट फोन की लागत के संदर्भ में स्पष्टीकरण
Budge Budge - II,बज बज - II
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,खसरा युक्त टीका (MCV) / खसरा और रूबेला (MR) -1जापानी इंसेफेलाइटिस (JE)-1**PCV-बूस्टर
"There are various reports that can be generated fromGeneral Reports:Number of app  downloadsTotal number of Anganwadi centers registeredTotal number of beneficiaries registered (National/state/district/block wise)Total Number of pregnant women registered(National/state/district/block wise)Total Number of  lactating mothers registered(National/state/district/block wise)Total Number of children (0-6months) registered(National/state/district/block wise)Total Number of children (6months-3years) registered(National/state/district/ block wise)Total Number of children (3-6years) registered(National/state/district/ block wise)Maternal and child nutrition:How many beneficiaries got THR in 21 daysHow many children breastfed exclusively in the first hour after deliveryHow many lactating mothers are given HCMAverage level of calcium in children aged 3-6 yearsAverage level of iron in children aged 3-6yearsTotal number of vaccinations administered per month (block, district, state, national level)Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/PentavalentAWC infrastructure:Number of AWCs (block, district, state, national level)Total number of Balvatikas (block district, state, national level)Total number of AWCs (block, district, state, national level) with clean drinking waterTotal number of AWCs (block, district, state, national level) with working weighing scaleTotal number of AWCs (block, district, state, national level) with electricityTotal number of AWCs that are government ownedTotal number of AWCs that are privately owned","ऐसी विभिन्न रिपोर्टें हैं जो    से उत्पन्न हो सकती हैं सामान्य रिपोर्टः    ऐप डाउनलोड की संख्या   पंजीकृत आंगनवाडी केंद्रों की कुल संख्या   पंजीकृत लाभार्थियों की कुल संख्या (राष्ट्रीय / राज्य / जिला / ब्लॉक वार)   पंजीकृत गर्भवती महिलाओं की कुल संख्या (राष्ट्रीय / राज्य / जिला / ब्लॉकवार)  पंजीकृत माताओं की कुल संख्या (राष्ट्रीय / राज्य / जिला / ब्लॉक वार)   पंजीकृत बच्चों की कुल संख्या (0-6 महीने) पंजीकृत (राष्ट्रीय / राज्य / जिला / ब्लॉकवार)  पंजीकृत बच्चों की कुल संख्या (6 महीने) जिला / ब्लॉक वार)    मातृ एवं शिशु पोषणः    21 दिनों में कितने लाभार्थियों को THR मिला   कितने बच्चे स्तनपान करते हैं प्रसव के बाद पहले घंटे में विशेष रूप से   कितनी स्तनपान कराने वाली माताओं को एचसीएम दिया जाता है   कितने बच्चे विशेष रूप से प्राथमिकी में स्तनपान करते हैं प्रसव के बाद घंटे   3-6 वर्ष की आयु के बच्चों में कैल्शियम का औसत स्तर   3-6 वर्ष की आयु के बच्चों में लोहे का औसत स्तर   टीकाकरण की कुल संख्या प्रति माह प्रशासित (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर)   प्रति माह प्रशासित विशिष्ट रिपोर्ट (बीसीजी / ओपीवी / हेपेटाइटिस बी / रोटावायरस / पोलियो / न्यूमोकोकल / पेंटालेंटल)     एडब्ल्यूसी अवसंरचनाः    एडब्ल्यूसी की संख्या (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर)   बालविकास की कुल संख्या (ब्लॉक जिला, राज्य, राष्ट्रीय स्तर)   स्वच्छ पेयजल के साथ एडब्ल्यूसी (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर) की कुल संख्या  कार्य भार पैमाने के साथ एडब्ल्यूसी (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर) की कुल संख्या   बिजली के साथ एडब्ल्यूसी (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर) की कुल संख्या   सरकार की स्वामित्व वाली एडब्ल्यूसी की कुल संख्या   निजी तौर पर होने वाले एडब्ल्यूसी की कुल संख्या स्वामित्व"
JALPAIGURI Sadar Adl,जलपाईगुडी सदर अडिशनल
Mobile number need to be validated within a week,मोबाइल नंबर को एक सप्ताह के अंदर सत्यापित करने की आवश्यकता है
Currently a beneficiary can register by the help of an AWW,"वर्तमान में, एक लाभार्थी आँगनवाडी कार्यकर्ता की सहायता से पंजीकरण करा सकता है"
Awareness for Lactating Mother Complimentary Feeding for Children,बच्चों को स्तनपान कराने वाली महिलाओं के पूरक आहार के बारे में जागरूकता
 W. Phaileng ICDS Project, डब्ल्यू. फैलेंग आईसीडीएस परियोजना
 H. Bagh Rural, एच. बाग ग्रामीण
New Poshan Tracker App - CSC-SPV Nodal Person,नया पोषण ट्रैकर एप्प-CSC-SPV नोडल व्यक्ति
New Registration request,नया पंजीकरण अनुरोध
Rampurhat - I Addl.,रामपुरहाट - I अडिशनल
UJJAIN - RURAL,उज्जैन - ग्रामीण
Tufanganj II Addl,तुफानगंज II अडिशनल
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,आपके द्वारा इस साइट के उपयोग और इससे उत्पन्न कोई भी विवाद भारत के कानूनों के अधीन होने के साथ इसका क्षेत्राधिकार नई दिल्ली होगा।
1.1. Information you provide to us.,1.1. आपके द्वारा प्रदत सूचना।
How can one access Poshan Tracker Dashboard?,पोषण ट्रैकर डैशबोर्ड तक कोई कैसे पहुंच सकता है?
Harda Gramin 1,हरदा ग्रामीण 1
Prevention of Anemia in children and adolescents girls,बच्चों और किशोरियों में होने वाली रक्त की कमी से बचाव
Gangarampur Addl. I. C. D. S Project,गंगारामपुर अडिशनल  आईसीडीएस परियोजना
Can a beneficiary register directly using application.,क्या कोई लाभार्थी आवेदन के उपयोग द्वारा सीधे पंजीकरण कर सकता है।
BISHNUPUR 1 Addl,बिष्णुपुर 1 अडिशनल
Suri - I,सूरी - I
Mohd Pur Devmal,मोहम्मद पुर देवमाली
ROURKELA INDUSTRIAL ESTATE,राउरकेला औद्योगिक एस्टेट
Click on Show Results,परिणाम दिखाएँ पर क्लिक करें
Rjn Gramin 01,रजन ग्रामीण 01
Terms of Service,सेवा की शर्तें
Complementary Feeding - Diet Diversity,पूरक स्तनपान-विविधता पूर्ण आहार
SHRI MUKTSAR SAHIB,श्री मुक्तसर साहिब
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,महिला और बाल विकास मंत्रालय ने पोषण ट्रैकर एप्लिकेशन को शुरू किया है।
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.","लक्ष्य पोषण प्रणाली का पालन करना है जो मातृ और बच्चे के पोषण में सुधार के लिए दृष्टिकोण को मजबूत कर रही है, सभी स्तरों पर कार्यान्वयन बाधाओं को मजबूत करने पर ध्यान केंद्रित किया गया है।"
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.","पोषण ट्रैकर को केंद्रीकृत डेटा आर्किटेक्चर का उपयोग करके बनाया गया है, जो अन्य मंत्रालयों और कार्यक्रमों की डिजिटल प्रौद्योगिकी प्रणालियों के साथ भी संरेखित करता है।"
