eng,bn
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","প্রস্তাবিত সিস্টেমে নির্ধারিত সূচকগুলিতে সমস্ত AWC, AWW এবং সুবিধাভোগীদের রিযেল-টাইম মনিটরিং এবং ট্র্যাকিং সক্ষম করতে হবে।"
Madhubani - Bihar,মধুবানী - বিহার
Last 7 days,গত 7 দিন
Above standards are defined as per given above mentioned age brackets,উপরের মানগুলি উপরে উল্লিখিত বযস বন্ধনী অনুসারে সংজ্ঞাযিত করা হযেছে
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","যদি একজন ব্যক্তির ওজন কম হয, তবে তার শরীর স্বাস্থ্যকর হাড, ত্বক এবং চুল গঠনের জন্য প্রযোজনীয পুষ্টি নাও পেতে পারে"
Please select State,অনুগ্রহ করে রাজ্য নির্বাচন করুন
Ngopa ICDS Project,নোপা আইসিডিএস প্রকল্প
Magrahat - II Addl ICDS,মগরাহাট - II অ্যাডিশনাল আইসিডিএস
Sabroom NP ICDS project,সাব্রুম এনপি আইসিডিএস প্রকল্প
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,MPIN-টি মোবাইল নম্বরটির জন্য একটি OTP অনুরোধের মাধ্যমে সংশ্লিষ্ট আঙ্গনবাদী কর্মী দ্বারা সেট করা যেতে পারে।
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.",যদি মোবাইল নম্বরটি ইতিমধ্যে ডেটাবেজে উপস্থিত থাকে তবে সংশ্লিষ্ট অঙ্গনওযাদী ব্যক্তি নিবন্ধিত মোবাইল নম্বরে ৪ ডিজিট OTP পাবেন।
"Post entering the OTP, AWW can easily set customized MPIN.",OTP এন্টার করার পর AWW সহজেই কাস্টমাইজড MPIN সেট করতে পারেন।
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","এটি অংশগ্রহণকারী স্বাস্থ্যসেবা প্রদানকারীদের সাথে আপনার মিথস্ক্রিযাকে সক্ষম করে এবং আপনাকে আপনার ডিজিটাল ল্যাব রিপোর্ট, প্রেসক্রিপশন এবং নির্ণযের যাচাইকৃত স্বাস্থ্যসেবা পেশাদার এবং স্বাস্থ্য পরিষেবা প্রদানকারীদের কাছ থেকে নির্বিঘ্নে পেতে অনুমতি দেয।"
Alipurduar - I,আলিপুরদুযার - I
Poshan Tracker Features,পোশান ট্র্যাকার বৈশিষ্ট্য
Why this Monthly Meeting?,কেন এই মাসিক মিটিংটি কেন?
Urban Slum Project,নগর বস্তি প্রকল্প
Our System provides API to Third – Party Sites that may collect your personal information.,আমাদের সিস্টেম তৃতীয পক্ষের সাইটগুলিকে API প্রদান করে যা আপনার ব্যক্তিগত তথ্য সংগ্রহ করতে পারে।
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,পোশান ট্র্যাকার এই ধরনের তথ্য বা তাদের গোপনীযতা অনুশীলন বা ঐ তৃতীয পক্ষের সাইটের বিষযবস্তুর নিরাপত্তার জন্য কোনোভাবেই দাযী নয।
"Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites.","উপরন্তু, আপনি তৃতীয পক্ষের সাইটগুলির নির্দিষ্ট পেজে ""কুকিজ"" বা অন্যান্য অনুরূপ ডিভাইসগুলির সম্মুখীন হতে পারেন এবং এটি পোশান ট্র্যাকার দ্বারা স্পষ্ট করা হযেছে যে সিস্টেম এই তৃতীয - পক্ষের সাইটগুলির দ্বারা কুকিজ ব্যবহার নিযন্ত্রণ করে না।"
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,এই তৃতীয পক্ষের পরিষেবা প্রদানকারী এবং তৃতীয পক্ষের সাইটগুলির নিজস্ব গোপনীযতা নীতি থাকতে পারে যা আপনার তথ্যের সঞ্চযস্থান এবং রক্ষা করা নিযন্ত্রণ করে যা আপনার সাপেক্ষে হতে পারে।
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","এই গোপনীযতা নীতি এই তৃতীয-পক্ষ প্রদানকারী এবং তৃতীয পক্ষের সাইটগুলিতে সরবরাহ করা, সংরক্ষণ করা বা ব্যবহার করা কোনো তথ্য নিযন্ত্রণ করে না।"
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","আমরা সুপারিশ করি যে যখন আপনি একটি তৃতীয পক্ষের সাইটে প্রবেশ করেন, তখন আপনি তৃতীয পক্ষের সাইটের গোপনীযতা নীতি পর্যালোচনা করুন কারণ এটি আপনার তথ্যের সুরক্ষার সাথে সম্পর্কিত।"
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,আপনি সম্মত এবং স্বীকার করছেন যে অনুসন্ধান ফলাফলে বা কোনো তৃতীয পক্ষের সাইট দ্বারা প্রকাশিত তথ্যের জন্য পোশান ট্র্যাকার দাযী হবে না।
Madhyamgram New Barrackpore(U) ICDS Project,মধ্যমগ্রাম নিউ ব্যারাকপুর (ইউ) আইসিডিএস প্রকল্প
Gangtok Rural Project,গ্যাংটক গ্রামীণ প্রকল্প
Bishnupur II ICDS,বিষ্ণুপুর II আইসিডিএস
Ponnamapet (Sal Pro 2),পোন্নামাপেট (সাল প্রো 2)
Murarai - I,মুরারাই - I
Karimnagar (R ),করিমনগর (আর)
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.","উপরের ধারা 1 এর অধীনে নিবন্ধনের সময আপনার কাছ থেকে সংগৃহীত ব্যক্তিগত তথ্য নিরাপদে সংরক্ষণ করা হবে এবং শুধুমাত্র ভারত সরকার বা রাজ্য সরকারগুলি স্বাস্থ্যের উন্নতি এবং স্থিতি, রিপোর্ট তৈরি, হিট ম্যাপ এবং অন্যান্য পরিসংখ্যানগত ভিজ্যুযালাইজেশন তৈরি করার উদ্দেশ্যে ব্যবহার করতে পারে দেশে পোশান ট্র্যাকার পরিচালনার উদ্দেশ্যে।"
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,আপনার রেফারেন্স আইডি (মোবাইল নম্বর) উপরের ধারা 1 অনুযাযী SMS এর মাধ্যমে আপনার সাথে যোগাযোগ করার জন্য শুধুমাত্র আপনার ব্যক্তিগত তথ্যের সাথে সহ-সম্পর্কিত হবে।
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","আমরা আপনার সম্মতি ছাডা অন্য কোনো তৃতীয পক্ষের কাছে আপনার তথ্য প্রকাশ বা স্থানান্তর করি না, যদি না এই ধরনের প্রকাশ বা স্থানান্তর হযঃ1. কোন প্রযোজ্য আইন বা আদালতের আদেশ বা নির্দেশ মেনে চলার জন্য প্রযোজনীয; বা2. অন্য বিষযের সাথে, পরিচয যাচাইকরণ, প্রতিরোধ, সনাক্তকরণ, তদন্ত, বিচার বা কোনো অপরাধ বা ঘটনার শাস্তির উদ্দেশ্যে প্রযোজ্য আইন অনুযাযী কোনো উপযুক্ত সরকারি সংস্থার দ্বারা অনুরোধ করা হযেছে।"
GOSABA ICDS ADDITIONAL,গোসাবা আইসিডিএস অ্যাডিশনাল
Download Mobile App,মোবাইল অ্যাপটি ডাউনলোড করুন
Durgapur I Urban,দুর্গাপুর - I আই আরবান
Ausgram - I,আউশগ্রাম - I
Having difficulty raising ticket,টিকিট রেইজ করতে অসুবিধা হচ্ছে
Ausgram - II,আউশগ্রাম - II
West Zone Rmc,পশ্চিম অঞ্চল আরএমসি
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.","আমাদের গোপনীযতা নীতি, ওপেন API নীতি এবং সাইটের নির্দিষ্ট অফার বা বৈশিষ্ট্যগুলির জন্য প্রযোজ্য হতে পারে এমন অন্যান্য নীতি, নিযম বা নির্দেশিকা এই শর্তাবলীতে অন্তর্ভুক্ত করা হযেছে।"
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","সাইট পরিদর্শন বা ব্যবহার করে, আপনি স্পষ্টত এই শর্তাবলীতে সম্মত হন, যা সমযে সমযে আপডেট করা হয।"
"If you do not agree with any part of these terms, do not use the site.",আপনি যদি এই শর্তাবলীর কোন অংশের সাথে সম্মত না হন তবে সাইটটি ব্যবহার করবেন না।
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,আপনি কোনোভাবেই সাইটটি ব্যবহার করতে পারবেন না এবং শর্তাবলী গ্রহণ করতে পারবেন না যদি আপনি একটি বাধ্যতামূলক চুক্তি গঠনের জন্য আইনসম্মত বযসের না হন।
BARUIPUR ICDS PROJECT,বারুইপুর আইসিডিএস প্রকল্প
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,ব্যাসিলাস ক্যালমেট গুযেরিন (বিসিজি)ওরাল পোলিও ভ্যাকসিন (OPV)-0 ডোজ হেপাটাইটিস B বার্থ ডোজ OPV-1 T
Dhubri - Assam,ধুবরি - আসাম
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","ধারা 1 এর অধীনে সংগৃহীত তথ্য, সুবিধাভোগীদের স্বাস্থ্য সুবিধার উদ্দেশ্যে ব্যবহার করা হবে।"
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","আমরা আমাদের পণ্যগুলি সরবরাহ করি, যার মধ্যে সিস্টেমের তথ্য/ডেটা/ সামগ্রী এবং বিষযবস্তু আপডেট করা, সুরক্ষিত করা এবং সমস্যা সমাধান করা, সেইসাথে সহাযতা প্রদান করা অন্তর্ভুক্ত থাকে।"
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","আপনি যখন পোশান ট্র্যাকার-এ রেজিস্টার করবেন, যে মোবাইল নম্বর দিযে আপনি রেজিস্টার করেছেন, সেটি ডাটাবেস থেকে আপনার রেকর্ড সনাক্ত করতে ব্যবহার করা হবে।"
These can also be used to assess the health status as recorded in the Poshan Tracker system.,এগুলি পোশান ট্র্যাকার সিস্টেমে নথিভুক্ত হেল্থ স্ট্যাটাস মূল্যাযন করতেও ব্যবহার করা যেতে পারে।
Salboni -Adl ICDS Project,সালবনি -অ্যাডিশনাল আইসিডিএস প্রকল্প
BOLPUR  ADDL,বোলপুর অ্যাডিশনাল
Madhupur Icds Project,মাধুপুর আইসিডিএস প্রকল্প
Stunted Assessment Parameters,বৃদ্ধিতে বাধার মূল্যাযন পরামিতি
"You shall not, either on your own or through any other person:Restrict or inhibit any other person from using the SiteUse the Site for any unlawful purposeExpress or imply that any statements you make are endorsed by us, without our prior written consentImpersonate any person or entity, whether actual or fictitiousEngage in spamming or floodingHarvest or collect information about Site usersOpen multiple accounts for yourself or any other individual using multiple mobile numbersSubmit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive natureManipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submitLink to any portion of the Site other than the URL assigned to the home page of the Site“Frame” or “Mirror” any part of the SiteModify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the ContentRemove any copyright, trademark or other proprietary rights notices contained on the SiteUse any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is activeTake any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the ContentThe Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purposeYou will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","আপনি আপনার নিজের বা অন্য কোনও ব্যক্তির মাধ্যমে করবেন নাঃসাইটটি ব্যবহার করা থেকে অন্য কোনও ব্যক্তিকে সীমাবদ্ধ বা বাধা দেবে নাকোন বেআইনী উদ্দেশ্যে সাইটটি ব্যবহার করবেন নাপ্রকাশ করুন বা বোঝান যে আপনার করা কোনও বিবৃতি আমাদের পূর্বলিখিত সম্মতি ছাডাই আমাদের দ্বারা অনুমোদিত হযআমাদের পূর্বলিখিত সম্মতি ব্যতীত, আপনার করা কোনও বিবৃতি আমাদের দ্বারা অনুমোদিত বলে প্রকাশ করবেন নাস্প্যামিং বা ফ্লাডিংযে জডিত হবেন নাসাইট ব্যবহারকারীদের সম্পর্কে তথ্য সংগ্রহ করবেন নাএকাধিক মোবাইল নম্বর ব্যবহার করে নিজের বা অন্য কোনও ব্যক্তির জন্য একাধিক অ্যাকাউন্ট খুলবেন নাকোনও ভাইরাস, ওযার্ম, ট্রোজান হর্সেস, ডিফেক্ট, ডেট বম, টাইম বম বা ধ্বংসাত্মক প্রকৃতির অন্যান্য আইটেম থাকতে পারে এমন কোনও সফ্টওয্যার বা অন্যান্য উপকরণ জমা দেবেন নাআপনার জমা দেওযা যেকোন পোস্টের মূল ছদ্মবেশ ধারণ করার জন্য শিরোনাম জাল করা সহ শনাক্তকারীকে ম্যানিপুলেট করবেন নাসাইটের হোম পেজে নির্ধারিত URL ব্যতীত সাইটের যেকোনো অংশের সাথে লিঙ্ক করবেন নাসাইটের কোনো অংশ ""ফ্রেম"" বা ""মিরর"" করবেন নামডিফাই, অ্যাডাপ্ট, সাব-লাইসেন্স, ট্রান্সলেট, সেল, বিপরীত প্রকৌশলী, সাইটের কোনও অংশ ডিকম্পাইল বা বিচ্ছিন্ন করা, বা অন্যথায কোনও সোর্স কোড বা বিষযবস্তুর যে কোনও অংশের অন্তর্নিহিত ধারণা বা অ্যালগরিদমগুলি বের করার চেষ্টা করবেন নাসাইটে থাকা কোনও কপিরাইট, ট্রেডমার্ক বা অন্যান্য মালিকানাধীন অধিকারের বিজ্ঞপ্তিগুলি সরাবেন নাকোনও কম্পিউটার প্রোগ্রাম, বট, রোবট, স্পাইডার, অফলাইন রিডার, সাইট অনুসন্ধান / পুনরুদ্ধার অ্যাপ্লিকেশন, বা অন্যান্য ম্যানুযাল বা স্বযংক্রিয ডিভাইস, সরঞ্জাম, বা পুনরুদ্ধার, সূচী, ডেটা মাইন, বা কোনও উপাযে সুরক্ষা কাঠামো, নেভিগেশনাল কাঠামো বা বিষযবস্তু বা সাইটের উপস্থাপনা পুনরুৎপাদন বা প্রতিহত করার জন্য ব্যবহার করবেন না, যার মধ্যে সাইটটিতে প্রদর্শিত কোনও ক্যাপচাও থাকতে পারে।আপনার কম্পিউটার থেকে অন্য কম্পিউটারে তথ্য পাঠানো সহ একটি অ্যাপযেন্টমেন্ট অনুসন্ধান বা বুক করার জন্য কোনও স্বযংক্রিয সফ্টওয্যার বা কম্পিউটার সিস্টেম ব্যবহার করবেন না যেখানে এই ধরনের সফ্টওয্যার বা সিস্টেম সক্রিয রযেছেএমন কোনও পদক্ষেপ নেবেন না যা আমাদের অবকাঠামোর উপর একটি অযৌক্তিক বা অসঙ্গতিপূর্ণভাবে বড বোঝা চাপিযে দেয বা (আমাদের নিজস্ব বিবেচনার ভিত্তিতে) আরোপ করতে পারে।সাইট ব্যবহার করে পুনরুত্পাদন, সংশোধন, প্রদর্শন, সর্বজনীনভাবে সাইট বা বিষযবস্তুর ডেরিভেটিভ কাজগুলি সম্পাদন, বিতরণ বা তৈরি করবেন নাবিষযবস্তুটি হল একটি প্রযাস, বা এটি কোনো যন্ত্র, প্রোগ্রাম বা পরিষেবার সাথে, যে কোনো প্রযুক্তিগত পরিমাপকে বাধা দেওযার জন্য ডিজাইন করা হযেছে যা কার্যকরভাবে সাইট এবং/অথবা বিষযবস্তুর অ্যাক্সেস নিযন্ত্রণ করে বা অধিকার নিযন্ত্রণ করে, যার মধ্যে কোনো সীমাবদ্ধতা ছাডাই যে কোনো উদ্দেশ্যে ম্যানুযাল ডিকোড, ডিক্রিপ্ট, সংশোধন বা বিপরীত ইঞ্জিনিযার সার্টিফিকেট বা অন্তর্নিহিত অ্যালগরিদম বা স্বযংক্রিয ডিভাইস বা প্রক্রিযাআপনি সাইটের মাধ্যমে অংশগ্রহণকারীদের নিবন্ধন করার জন্য অনুসন্ধান করতে বট প্রযুক্তি ব্যবহার করবেন না; সন্দেহ এডানোর জন্য, এটি বিশেষভাবে আপনাকে সাইটে স্বযংক্রিয স্ক্রিপ্ট-ভিত্তিক বা স্বযংক্রিয সফ্টওয্যার ব্যবহার করতে নিষেধ করে, এবং আপনাকে কোনও নিরাপত্তা ব্যবস্থা, অ্যাক্সেস কন্ট্রোল সিস্টেম, বা সাইটের অন্যান্য প্রযুক্তিগত নিযন্ত্রণ বা পরিমাপ প্রযোগ করতে ব্যবহার করা থেকে বাধা দেয।অংশগ্রহণের সীমা বা একটি মোবাইল নম্বরের সাথে যুক্ত অংশগ্রহণকারীদের নিবন্ধনের নিযমের অখণ্ডতা বজায রাখার জন্য"
Training on ICT Platform under POSHAN Abhiyaan,পোশান অভিযানের অধীনে আইসিটি প্ল্যাটফর্মে প্রশিক্ষণ
Barasat - I Addl.,বারাসাত - I অ্যাডিশনাল
"Know more about stunting, wasting and underweight","বৃদ্ধিতে বাধা, অপুষ্টি এবং কম ওজন সম্পর্কে আরও জানুন"
What information to be added in AWC forms?,AWC ফর্মগুলিতে কোন তথ্য যুক্ত করতে হবে?
Mathavaram Rural @ Puzhal,মাথাভারম রুরাল @ পুঝাল
How to revive your health if you are Moderately Wasted (MAM),আপনি যদি পরিমিতভাবে অপুষ্টির শিকার হযে থাকেন (MAM) তাহলে কীভাবে আপনার স্বাস্থ্যকে পুনরুজ্জীবিত করবেন
AWC Workers Registered In Last 30 Days,শেষ ৩০ দিনে এডাব্লুসি ওযার্কার্স রেজিস্ট্রেশন করা হযেছে
Daman & Diu,দামান ও দিউ
Lahaul & Spiti,লাহুল ও স্পিতি
Katwa - I,কাটোযা - I
OPEN A NEW TICKET,একটি নতুন টিকিট খুলুন
Lower Dibang Valley,লোযার দিবাং ভ্যালি
Click on above button to get this App,এই অ্যাপটি পেতে উপরের বোতামটিতে ক্লিক করুন
Please Enter Valid Name,অনুগ্রহ করে বৈধ নাম লিখুন
1. INFORMATION WE COLLECT,1. আমরা যে তথ্য সংগ্রহ করি
Beneficiaries Registered In Last 30 Days,গত ৩০ দিনে নিবন্ধিত সুবিধাভোগী
Gopiballabhpur - II,গোপীবল্লভপুর - II
Darjeeling PulBazar.,দার্জিলিং পুলবাজার.
Addl,অ্যাডিশনাল
Specifications of Smart phone and Technical Compatibility Testing,স্মার্টফোনের স্পেসিফিকেশন এবং প্রযুক্তিগত সামঞ্জস্য পরীক্ষা
Preparation During Pregnancy - For NewBorn Care & Family Planning,গর্ভাবস্থায প্রস্তুতি - নবজাতকের যত্ন ও পরিবার পরিকল্পনার জন্য
Please select Project,অনুগ্রহ করে প্রকল্প নির্বাচন করুন
Please Select Query Related to,অনুগ্রহ করে এর সাথে সম্পর্কিত প্রশ্ন নির্বাচন করুন
 IV. ACCOUNT REGISTRATION, IV. অ্যাকাউন্ট রেজিস্ট্রেশন
Stunting ( Height for Age)-,বৃদ্ধিতে বাধা (বযস অনুযাযী উচ্চতা)-
Binpur - II Adl.,বিনপুর - II অ্যাডিশনাল
Pakyong Rural Project,পাকিযং গ্রামীণ প্রকল্প
Wasted Assessment Parameters,অপুষ্টির মূল্যাযন পরামিতি
Sangam Vihar Ii,সঙ্গম বিহার II
Shri Ram Colony,শ্রীরাম কলোনি
Ranaghat 1 Exsiting,রানাঘাট 1 বিদ্যমান
Mathabhanga I Addl,মাথাভাঙ্গা I অ্যাডিশনাল
Stunting is the impaired growth and development that children experience from poor nutrition,স্টান্টিং হল বৃদ্ধি এবং বিকাশে বাধা অপুষ্টির কারণে শিশুরা যার শিকার হয
Children in the age group of 3 years to 6 years,3 বছর থেকে 6 বছর বযসী শিশুরা
"Poshan Tracker Dashboard can be accessed by signing onto the dashboard.Dashboard can be accessed by clicking the link https://poshantracker.in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.","ড্যাশবোর্ডে সাইন ইন করে  https://poshantracker.in/admin  লিঙ্কটি ক্লিক করে ড্যাশবোর্ডে অ্যাক্সেস করার মাধ্যমে কেবলমাত্র জাতীয, রাজ্য, জেলা, প্রকল্প এবং সেক্টর স্তরের ড্যাশবোর্ড অ্যাক্সেসের জন্য একটি অনন্য শংসাপত্র সরবরাহ করা হয।"
Please enter valid Weight,বৈধ ওজন লিখুন
Khargone (West Nimar),খারগোন
 Md. Bazar Addl.,এমডি বাজার অ্যাডিশনাল
What is the eligibility of a beneficiary?,একজন সুবিধাভোগীর কি যোগ্যতা থাকতে হবে?
Who are the target userbase of Poshan Tracker App?,পশান ট্র্যাকার অ্যাপের টার্গেট ব্যবহারকারী বেস কারা?
Kanpur Nagar City 1,কানপুর নগর সিটি 1
How Poshan Tracker Works,পশান ট্র্যাকার কীভাবে কাজ করে
Kalna - I Addl.,কালনা - I অ্যাডিশনাল
Home visits and Counselling,বাডিতে পরিদর্শন এবং কাউন্সেলিং
Kusheshwar Asthan Purbi,কুশেশ্বর আস্থান পূরবী
Mandirbazar ICDS Project,মন্দিরবাজার আইসিডিএস প্রকল্প
Awareness to Lactating Mother,স্তন্যদানকারী মাযেদের জন্য সচেতনতা
"It often indicates recent and severe weight loss, although it can also persist for a long time","এটা সাম্প্রতিক এবং গুরুতর ওজন হ্রাস নির্দেশ করে, যদিও এটি দীর্ঘ সমযের জন্যও চলতে পারে"
 X. ACCESS FROM OUTSIDE INDIA, X. ভারতের বাইরে থেকে অ্যাক্সেস
Kaliachak - II,কালিযাচক - II
Machkhowa Icds Project,মাচকুযা আইসিডিএস প্রকল্প
What is the minimum requirement to install Poshan Tracker App in mobile?,মোবাইলে পশান ট্র্যাকার অ্যাপটি ইনস্টল করার জন্য ন্যূনতম প্রযোজনীযতা কী?
SHRI ANANDPUR SAHIB,শ্রী আনন্দপুর সাহেব
"Khar (West),Santacruze (East)","খার (পশ্চিম), স্যান্টাক্রুজ (পূর্ব)"
Create new ticket,নতুন টিকিট তৈরি করুন
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,আপনি শুধুমাত্র ডকুমেন্টেশনে বর্ণিত উপাযে সাইটটি অ্যাক্সেস (বা অ্যাক্সেস করার চেষ্টা) করবেন এবং এই চুক্তির শর্তাবলী মেনে চলবেন।
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","আপনি সমস্ত কেন্দ্রীয ও রাজ্য আইন, আপনার এবং আপনার সাইটের ব্যবহার এবং কোনও তৃতীয পক্ষের অধিকারকে প্রভাবিত করার জন্য প্রযোজ্য নিযম এবং প্রবিধানগুলি মেনে চলবেন।"
ROURKELE CIVIL TOWNSHIP,রাউরকেলা সিভিল টাউনশিপ
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.
Ldh Urban 4,এলডিএইচ আরবান 4
"Welcome!The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","স্বাগত!নিম্নলিখিতগুলি হল পরিষেবার শর্তাবলী (""শর্তাবলী"") যা https://poshantracker.in-এ হোস্ট করা আপনার পোশান ট্র্যাকার প্ল্যাটফর্মের ব্যবহারকে নিযন্ত্রণ করে এবং এর সাথে লিঙ্কড সমস্ত সম্পর্কিত সাইট, এর সহাযক সংস্থাগুলি এবং সহযোগীদের (সম্মিলিতভাবে, ""সাইট"")।"
Burdwan - I,বর্ধমান - I
Project 4 Singanallur,প্রকল্প 4 সিঙ্গানাল্লুর
Select Key Performance Indicator,কী পারফরম্যান্স ইন্ডিক্টর নির্বাচন করুন
Select An Anganwadi center,একটি অঙ্গনওযাডি কেন্দ্র নির্বাচন করুন
Clarification regarding Cost of Smart phones,স্মার্ট ফোনের খরচ সংক্রান্ত ব্যাখ্যা
Budge Budge - II,বজবজ - II
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,হামের ভ্যাকসিন (MCV)/হাম ও রুবেলা (MR)-1জাপানিজ এনসেফালাইটিস (জেই)-1**PCV-বুস্টার
