eng,as
Our System provides API to Third – Party Sites that may collect your personal information.,আমাৰ চিষ্টেমে তৃতীয পক্ষৰ চাইট সমূহলৈ API আগবঢায যি আপোনাৰ ব্যক্তিগত তথ্য সংগ্ৰহ কৰিব পাৰে।
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,পোষণ ট্ৰেকাৰ ককোনো পধ্যেই সেই তৃতীয - পক্ষৰ চাইট সমূহৰ এনে তথ্য বা সেইবোৰৰ গোপনীযতাৰ অনুশীলন বা কন্টেন্টৰ সুৰক্ষাৰ বাবে দাযবদ্ধ নহয।
"Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites.","ইযাৰ উপৰিও, আপুনি হযতো কিছুমান নিৰ্দিষ্ট তৃতীয - পক্ষৰ চাইটৰ পেজত ""কুকিজ"" বা আন একেধৰণৰ ডিভাইচৰ সন্মুখীন হ'ব পাৰে আৰু ই সেযেহে পোষণ ট্ৰেকাৰৰ দ্বাৰা স্পষ্ট কৰি দিযা হৈছে যে চিষ্টেমটোৱে এই তৃতীয - পক্ষৰ চাইট সমূহৰ দ্বাৰা হোৱা কুকিজৰ ব্যৱহাৰ নিযন্ত্ৰণ নকৰে।"
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,এই তৃতীয পক্ষ সেচা প্ৰদানকাৰী আৰু তৃতীয পক্ষৰ চাইট সমূহে হযতো ষ্ট'ৰেজৰ পৰিচালনা আৰু আপোনাৰ তথ্য সমূহ ধাৰণ কৰিবলৈ সেইবোৰৰ নিজা গোপনীযতাৰ নীতি থাকে যাৰ আপুনি অধীন হ'ব পাৰে।
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.","এই তৃতীয-পক্ষ প্ৰদানকাৰী আৰু তৃতীয পক্ষ চাইট সমূহৰ দ্বাৰা যোগান ধৰা, জমা কৰা, বা ব্যৱহাৰ কৰা যিকোনো তথ্য এই গোপনীযতাৰ নীতিযে পৰিচালিত নকৰে।"
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","আমি পৰামৰ্শ দিও যে যেতিযা আপুনি এটা তৃতীয পক্ষৰ চাইটত প্ৰৱেশ কৰে, আপুনি তৰতীীয পক্ষৰ চাইটৰ পুনৰীক্ষণ কৰক জিহেতু ই আপোনাৰ তথ্যৰ সুৰক্ষাৰে সম্পৰ্কিত।"
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,আপুনি সন্মত আৰু স্বীকৃতি প্ৰদান কৰিছে যে চাৰ্ছ ৰিজাল্ট বা কোনো তৃতীয-পক্ষৰ চাইটৰ দ্বাৰা প্ৰকাশ কৰা তথ্যৰ বাবে পোষণ ট্ৰেকাৰ দাযবদ্ধ নহয।
Madhyamgram New Barrackpore(U) ICDS Project,মধ্যমগ্ৰাম নিউ বাৰেকপুৰ (ইউ) আইচিডিএছ প্ৰকল্প
Gangtok Rural Project,গেংটক গ্ৰাম্য প্ৰকল্প
Bishnupur II ICDS,বিষ্ণুপুৰ II আইচিডিএছ
Ponnamapet (Sal Pro 2),পোন্নামাপেট (চাল প্ৰো 2)
Murarai - I,মুৰাৰাই - I
Karimnagar (R ),কৰিমনগৰ (আৰ)
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,.","আপোনাৰ পৰা পঞ্জীযনৰ সমযত সংগ্ৰহ কৰা ব্যক্তিগত তথ্য ওপৰৰ দফা 1 ৰ অধীনত, সুৰক্ষিতভাৱে সঞ্চিত কৰি ৰখা হয আৰু মাত্ৰ ভাৰত চৰকাৰ বা ৰাজ্য চৰকাৰৰ দ্বাৰা স্বাস্থ্যৰ বিকাশ আৰু স্থিতি ট্ৰেক কৰিবলৈ, ৰিপোৰ্ট, হীট মেপ আৰু আন পৰিসাংখ্যিক অৱলোকন দেশ পোষণ ট্ৰেকাৰৰ পৰিচালনাৰ উদ্দেশ্যে প্ৰস্তুত কৰিবলৈ সংগ্ৰহ কৰা হয।"
Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.,আপোনাৰ ৰেফাৰেঞ্চ আইডি (মোবাইল নম্বৰ) মাত্ৰ ওপৰৰ দফা 1 অনুসৰি SMS ৰ জৰিযতে আপোনাৰ সৈতে যোগাযোগ কৰিবলৈ আপোনাৰ ব্যক্তিগত তথ্যৰ সৈতে সহ-সম্পৰ্কিত হ'ব।
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:1. Required in order to comply with any applicable law or court order or direction; or2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","আমি আপোনাৰ সন্মতি অবিহনে আন কোনো তৃতীয পক্ষৰ সৈতে আপোনাৰ তথ্য সদৰি বা স্থানান্তৰ নকৰো, যদি এনে উন্মোচন বা স্থানান্তৰ হযঃ1. কোনো প্ৰযোজ্য আইন বা আদালতৰ আদেশ বা নিৰ্দেশৰ সৈতে চলাৰ প্ৰযোজন হয; বা2. কোনো অপৰাধ বা ঘটনাৰ উদ্দেশ্যে, অন্য কথাৰ মাজতে, পৰিচযৰ পৰীক্ষণ, বাধা, নিৰ্ধাৰণ, অনুসন্ধান, আইনী ব্যৱস্থা গ্ৰহণ বা শাস্তিৰ বাবে প্ৰযোজ্য আইন অনুসৰি কোনো উপযুক্ত চৰকাৰী সংস্থাৰ দ্বাৰা অনুৰোধ কৰা হয।"
GOSABA ICDS ADDITIONAL,গোচাবা আইচিডিএছ অতিৰিক্ত
Download Mobile App,মোবাইল এপ ডাউনলোড কৰক
Durgapur I Urban,দুৰ্গাপুৰ I নগৰীযা
Ausgram - I,আউচগ্ৰাম - I
Having difficulty raising ticket,টিকট ৰেইজ কৰাত অসুবিধা পাইছে নেকি
Ausgram - II,আউচগ্ৰাম - II
West Zone Rmc,পশ্চিম মণ্ডল আৰএমচি
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.","আমাৰ গোপনীযতাৰ নীতি, অপেন API নীতি আৰু আন যিকোনো নীতি, নিযম আৰু নিৰ্দেশনা সমূহ যি চাইটটোত নিৰ্দিষ্ট অফাৰ আৰু বিশেষত্ব সমূহত প্ৰযোজ্য হয সি এই চৰ্তাৱলী সমূহত সন্নিৱিষ্ট হয।"
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","চাইটটোত ভিজিট কৰি বা ব্যৱহাৰ কৰি, আপুনি সমযে সমযে হোৱা আপডেট অনুসৰি, আপুনি এই চৰ্তাৱলী সমূহ নিশ্চিতভাৱে সন্মত হৈছে।"
"If you do not agree with any part of these terms, do not use the site.","যদি আপুনি এই চৰ্তাৱলী সমূহৰ কোনো অংশৰ সৈতে সন্মত নহয, এই চাইটটো ব্যৱহাৰ নকৰিব।"
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,যদি আপু এটা বাউণ্ডিং কন্ট্ৰেক্ট গঠন কৰিবলৈ আইনসন্মত বযসৰ নহয আপুনি হযতো চাইটটো যিকোনো ধৰণে ব্যৱহাৰ নকৰিব পাৰে বা হযতো চৰ্তাৱলী সমূহ মানি নলব পাৰে।
BARUIPUR ICDS PROJECT,বাৰুইপুৰ আইচিডিএছ প্ৰকল্প
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,বেচিলাছ চেলমেট গুৱেৰিণ (BCG)অৰেল পোলিঅ' ভেকচিন (OPV)-0 ড'জ হেপাটাইটিছ B বাৰ্থ ড'জ OPV-1 T
Dhubri - Assam,ধুবুৰী - অসম
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","দফা 1 ৰ অধীনত সংগ্ৰহ কৰা তথ্য সমূহ, হিতাধিকাৰী সকলৰ স্বাস্থ্য সুচল কৰি তোলাৰ উদ্দেশ্যে ব্যৱহাৰ কৰা হ'ব।"
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","আমি আমাৰ প্ৰডাক্ট সমূহ যোগান ধৰো, য'ত চিষ্টেমটোৰ তথ্য/ডাটা/মেটেৰিযেল আৰু কন্টেন্ট সমূহ আপডেট, সুৰক্ষিত, আৰু ট্ৰাবুলশ্বুট কৰাৰ লগতে সহযোগিতা আগবঢোৱাও অন্তৰ্ভুক্ত থাকে।"
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","যেতিযা আপুনি পোষণ ট্ৰেকাৰত পঞ্জীযন কৰে, যি মোবাইল নম্বৰৰ সৈতে আপুনি পঞ্জীযন কৰে, তাক ডাটাবেছৰ পৰা আপোনাৰ ৰৰেকৰ্ড বিচাৰি উলিযাবলৈ ব্যৱহাৰ কৰা হ'ব।"
These can also be used to assess the health status as recorded in the Poshan Tracker system.,এইবোৰক পোষণ ট্ৰেকাৰ চিষ্টেমত ৰেকৰ্ড থকা অনুযাযী স্বাস্থ্যৰ ষ্টেটাছ মূল্যাযন কৰাত ব্যৱহাৰ কৰিব পাৰি।
Salboni -Adl ICDS Project,চালবনি -এডল আইচিডিএছ প্ৰকল্প
BOLPUR  ADDL,বোলপুৰ এডিএল
Madhupur Icds Project,মধুপুৰ আইচিডিএছ প্ৰকল্প
Stunted Assessment Parameters,বাঢিব নোৱাৰা মূল্যাযনৰ পেৰামিটাৰ
"You shall not, either on your own or through any other person:Restrict or inhibit any other person from using the SiteUse the Site for any unlawful purposeExpress or imply that any statements you make are endorsed by us, without our prior written consentImpersonate any person or entity, whether actual or fictitiousEngage in spamming or floodingHarvest or collect information about Site usersOpen multiple accounts for yourself or any other individual using multiple mobile numbersSubmit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive natureManipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submitLink to any portion of the Site other than the URL assigned to the home page of the Site“Frame” or “Mirror” any part of the SiteModify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the ContentRemove any copyright, trademark or other proprietary rights notices contained on the SiteUse any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is activeTake any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the ContentThe Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purposeYou will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","আপুনি নিজে বা আন কোনো লোকৰ জৰিযতে নকৰেঃচাইটটো ব্যৱহাৰ কৰাৰ পৰা আন লোকক বাধা প্ৰদান বা নিষেধাজ্ঞা প্ৰদানকোনো বেআইনী উদ্দেশ্যত চাইটটোৰ ব্যৱহাৰপ্ৰকাশ বা সূচোৱা যে আপুনি কৰা যিকোনো বিবৃতি আমাৰ অগ্ৰাধিকাৰপ্ৰাপ্ত লিখিত অনুমোদন অবিহনে, আমাৰ দ্বাৰা অনুমোদিত হৈছেলাগিলে বাস্তৱিকে হওক বা কাল্পনিকেই হওক কোনো লোক বা সত্তাক আন ভূমিকাত তুলি ধৰাস্পাম বা ফ্লাডিং কৰাত জডিত হোৱাচািটৰ ব্যৱহাৰকাৰীসকলৰ বিষযে তথ্য বিচৰা বা সংগ্ৰহ কৰাএকাধিক মোবাইল নম্বৰ ব্যৱহাৰ কৰি আপোনাৰ নিজৰ বা আন কোনো লোকৰ বাবে একাধিক একাুন্ট খোলা।কোনো চফ্টৱেৰ বা আন সামগ্ৰী জমা দিযা য'ত কোনো ভাইৰাছ, ৱৰ্ম, ট্ৰ'জান হৰ্ছ, ক্ৰুটি, ডেট বম্ব, টাইম বম্ব বা আন কোনো ধ্বংসাত্মক প্ৰকৃতিৰ সামগ্ৰী অন্তৰ্ভুক্ত হ'ব পাৰেআপুনি জমা দিযা যিকোনো পোষ্টিংৰ মূল ৰূপৰ ছদ্মবেশ লবলৈ, ফৰ্জিং হেডাৰকে ধৰি, আইডেন্টিফাযাৰ সকলক মেনিপুলেট কৰাচাইটৰ হোম পেজত প্ৰদান কৰা URL-ৰ বাহিৰে চাইটটোৰ আন অংশ লিংক কৰাচাইটটোৰ কোনো অংশ ""ফ্ৰেম"" বা ""মিৰ'ৰ"" কৰাচাইটটোৰ যিকোনো অংশ মডিফাই কৰা, তুলি লোৱা, চাব-লািচেঞ্চ, অনুবাদ, বিক্ৰী, ৰিভাৰ্চ ইঞ্জিনীযাৰ, অসংকলিত বা ভাগ-ভাগ কৰা, বা তাৰ বাহিৰে কন্টেন্টৰ যিকোনো অংশৰ যিকোনো চোৰ্চ কোড বা তাত থকা ধাৰণা বা এলগৰিডম সমূহ ডিৰাইভ কৰিবলৈ প্ৰযাস কৰাচাইটটোৰ ওপৰত থকা কোনো কপিৰাইট, ট্ৰেডমাৰ্ক বা আন কোনো স্বত্ব-সংৰক্ষিত অধিকাৰৰ জাননী আঁতৰ কৰাযিকোনো কম্পিউটাৰ প্ৰগ্ৰাম, ব'ট, ৰব'ট, স্পাইডাৰ, অফলাইন ৰীডাৰ, চাইট ৰীচ্ছ/ তথ্যৰ পুনৰুদ্ধাৰ এপছ্ বা আন মেনুৱেল বা অট'মেটিক ডিভাইচ, সঁজুলি, বা তথ্যৰ পুনৰুদ্ধাৰৰ প্ৰক্ৰিযা, ইনডেক্স ডাটা মাইন ব্যৱহাৰ কৰা বা যিকোনো উপাযে নিৰাপত্তা গাঁঠনি, নিৰ্দেশনামূলক গাঁঠনিৰ যিকোনো উপাযে পুনৰ প্ৰস্তুতকৰণ বা পথ উলিযাই লোৱা, বা চাইটটোত প্ৰদৰ্শিত কোনো CAPTCHA কে ধৰি কন্টেন্ট বা চাইটটোৰ প্ৰদৰ্শন ব্যৱহাৰ কৰা।চাৰ্ছ কৰিবলৈ যিকোনো অটোমেটেড চফ্টৱেৰ বা কম্পিউটাৰ চিষ্টেম ব্যৱহাৰ কৰা বা আপোনাৰ কম্পিউটাৰৰ পৰা আন এটা কম্পিউটাৰলৈ পঠিওৱা তথ্যকে ধৰি এপইন্টমেন্ট বুক কৰা য'ত এনে চফ্টৱেৰ বা চিষ্টেম সক্ৰিয হৈ থাকেযিকোনো ব্যৱস্থা গ্ৰহণ কৰা যি আমাৰ আন্তঃগাঠনিৰ ওপৰত এটা অপ্ৰযোজনীয বা আজোখাভাৱে ডাঙৰ লোড আৰোপ কৰে বা (একমাত্ৰ আমাৰ বিবেচনাত) আৰোপ কৰিব পাৰে।চাইটটোৰ ব্যৱহাৰ কৰে বা চাইট বা কন্টেন্টৰ ব্যুৎপন্ন কামৰ পুনৰ উৎপাদন, মডিফাই, প্ৰদৰ্শন, ৰাজহুৱাভাৱে উপস্থাপন, বিতৰণ বা প্ৰস্তুত কৰেকোনো প্ৰযুক্তিগত ব্যৱস্থাত প্ৰৱেশ কৰিবলৈ ডিজাইন কৰা কোনো সঁজুলি, প্ৰ'গ্ৰাম বা সেৱাৰ প্ৰযাস বা সংযোগত কন্টেন্টটো যিকোনো উদ্দেশ্যৰ বাবে যি কোনো সীমাৱদ্ধতা নোহোৱাকৈ, মেনুৱেল ডিকোডৰ দ্বাৰা, ডিক্ৰিপ্ট কৰি, মডিফাই কৰি, বা ৰিভাৰ্চ ইঞ্জিনীযাৰ চাৰ্টিফিকেট বা বুনিযাদী এলগৰিডম বা অটোমেটিক ডিভাইচ বা প্ৰক্ৰিযাক যিকোনো প্ৰকাৰে অন্তৰ্ভুক্ত কৰি চাইট আৰু/বা কন্টেন্টলৈ বা তাৰ অধিকাৰত কাৰ্যকৰীৰূপে নিযন্ত্ৰণ কৰে।আপুনি এই চাইটটোৰ জৰিযতে অংশগ্ৰহণকাৰীসকলৰ পঞ্জীযনৰ বাবে বট প্ৰযুক্তি ব্যৱহাৰ নকৰৰে; সন্দেহ নিৰাময কৰিবলৈ, ই নিৰ্দিষ্টভাৱে চাইটটোত অটোমেটেড স্ক্ৰিপ্ট ভিত্তিক বা অটোমেটেড চফ্টৱেৰ ব্যৱহাৰ কৰাত বাধা দিযে, আৰু আপোনাক কোনো সুৰক্ষা ব্যৱস্থাৰ পথ উলিওৱা, কন্ট্ৰ'ল চিষ্টেমৰ প্ৰৱেশাধিকাৰ লাভ, বা আন প্ৰযুক্তিগত নিযন্ত্ৰণ বা চাইটটোৰ ওপৰত ব্যৱস্থা গ্ৰহণত বাধা দিযে যি অংশগ্ৰহণৰ সীমা বলবৎ কৰিবলৈ বা আন মোবাইল নম্বৰৰ সৈতে জডিত পঞ্জীযনকাৰী অংশগ্ৰহণকাৰীসকলৰ একতা বৰ্তাই ৰাখিবলৈ ব্যৱহাৰ কৰা হয।"
Training on ICT Platform under POSHAN Abhiyaan,পোষণ অভিযানৰ অধীনত ICT প্লেটফৰ্মৰ ওপৰত প্ৰশিক্ষণ
Barasat - I Addl.,বাৰাসাত - I এডল।
"Know more about stunting, wasting and underweight","চাপৰ, পুষ্টিহীনতা আৰু কম ওজনৰ বিষযে অধিক জানক"
What information to be added in AWC forms?,AWC প্ৰপত্ৰত কি তথ্য যোগ কৰিব লাগিব?
Mathavaram Rural @ Puzhal,মথাভাৰাম গ্ৰাম্য @ পুঝাল
How to revive your health if you are Moderately Wasted (MAM),যদি আপুনি মধ্যমীযাভাৱে পুষ্টিহীনতাত (MAM) ভুগিছে আপোনাৰ স্বাস্থ্য কেনেদৰে পুনৰুদ্ধাৰ কৰিব
AWC Workers Registered In Last 30 Days,যোৱা ৩০ দিনত এওকি ওযার্কার্স পঞ্জীযন কৰা হৈছে
Daman & Diu,দমন আৰু দিউ
Lahaul & Spiti,লাহল আৰু স্পিটি
Katwa - I,কাটৱা - I
OPEN A NEW TICKET,এটা নতুন টিকট খোলা
Lower Dibang Valley,নিম্ন দিবাং উপত্যকা
Click on above button to get this App,ক্লিক ও টি এবোভ বাটন তো গেট ঠিক আপা
Please Enter Valid Name,অনুগ্ৰহ কৰি বৈধ নাম প্ৰদান কৰক
1. INFORMATION WE COLLECT,1. আমি সংগ্ৰহ কৰা তথ্য
Beneficiaries Registered In Last 30 Days,যোৱা ৩০ দিনত পঞ্জীযন কৰা হিতাধিকাৰী
Gopiballabhpur - II,গোপীবাল্লাবিপুৰ - II
Darjeeling PulBazar.,দাৰ্জিলিং পুলবজাৰ।
Addl,যোগ কৰক
Specifications of Smart phone and Technical Compatibility Testing,স্মাৰ্ট ফোনৰ বিস্তৃত বিৱৰণ আৰু টেকনিকেল কম্পেটিবিলিটীৰ পৰীক্ষণ
Preparation During Pregnancy - For NewBorn Care & Family Planning,গৰ্ভধাৰণৰ সমযত প্ৰস্তুতি - নৱজাতকৰ যতন আৰু পৰিযাল পৰিকল্পনাৰ বাবে
Please select Project,অনুগ্ৰহ কৰি প্ৰকল্প নিৰ্বাচন কৰক
Please Select Query Related to,অনুগ্ৰহ কৰি প্ৰশ্নটো সম্পৰ্কিত হয বাচনি কৰক
 IV. ACCOUNT REGISTRATION, IV. একাউন্টৰ পঞ্জীযন
Stunting ( Height for Age)-,চাপৰ (বযসৰ বাবে উচ্চতা)-
Binpur - II Adl.,বিনপুৰ - II আদল।
Pakyong Rural Project,পাকিযং গ্ৰাম্য প্ৰকল্প
Wasted Assessment Parameters,পুষ্টিহীনতাৰ মূল্যাযনৰ পেৰামিটাৰ
Sangam Vihar Ii,সঙ্গম বিহাৰ II
Shri Ram Colony,শ্ৰী ৰাম কলনী
Ranaghat 1 Exsiting,ৰাণাঘাট 1 এক্সচিটিং
Mathabhanga I Addl,মাথাভাঙ্গা আই এডল
Stunting is the impaired growth and development that children experience from poor nutrition,চাপৰ হোৱা হৈছে বাধাগ্ৰস্ত বৃদ্ধি আৰু বিকাশ যাক শিশুসকলে বেযা পুষ্টিৰ পৰা লাভ কৰে
Children in the age group of 3 years to 6 years,3 বছৰৰ পৰা 6 বছৰ সময সীমাৰ ভিতৰত শিশুসকল
Poshan Tracker Dashboard can be accessed by signing onto the dashboard.,পোষণ ট্ৰেকাৰ ডেশ্বব'ৰ্ড ডেশ্বব'ৰ্ডত ছাইনিং কৰি প্ৰৱেশ কৰিব পাৰি।
Dashboard can be accessed by clicking the link https://poshantracker.,ডেশ্বব'ৰ্ডত https://poshantracker.in/admin লিংকটো ক্লিক কৰি প্ৰৱেশ কৰিব পাৰি।
"in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.","কেৱল ৰাষ্ট্ৰীয, ৰাজ্যিক, জিলা, প্ৰকল্প আৰু খণ্ড পৰ্যাযত মনোনীত নোডেল পৰ্যাযৰ বিষযাসকলক ডেশ্বব'ৰ্ডত প্ৰৱেশ কৰিবলৈ এক অনন্য প্ৰমাণপত্ৰ প্ৰদান কৰা হয।"
Please enter valid Weight,অনুগ্ৰহ কৰি বৈধ ওজন প্ৰদান কৰক
Khargone (West Nimar),খাৰগ'ন
 Md. Bazar Addl.,মোঃ বজাৰ আড্ডল।
What is the eligibility of a beneficiary?,এগৰাকী হিতাধিকাৰী হোৱাৰ যোগ্যতা কি?
Who are the target userbase of Poshan Tracker App?,পোষণ ট্ৰেকাৰ এপৰ লক্ষ্য ব্যৱহাৰকাৰী আধাৰ কোন?
Kanpur Nagar City 1,কানপুৰ নগৰ চহৰ 1
How Poshan Tracker Works,হাউ পোষণ ট্র্যাকার ওযার্কস
Kalna - I Addl.,কালনা - আই এডল।
Home visits and Counselling,ঘৰলৈ যোৱা আৰু পৰামৰ্শ দিযা
Kusheshwar Asthan Purbi,কুশেশ্বৰ আস্থান পুৰবী
Mandirbazar ICDS Project,মন্দিৰবজাৰ আইচিডিএছ প্ৰকল্প
Awareness to Lactating Mother,দুগ্ধপান কৰোৱা মাতৃসকলৰ বাবে সজাগতা
"It often indicates recent and severe weight loss, although it can also persist for a long time","ই প্ৰাযে শেহতীযা আৰু গুৰুতৰ ওজন হ্ৰাসক সূচায, যদিও ই এটা দীঘলীযা সমযৰ বাবে হৈ থাকিব পাৰে"
 X. ACCESS FROM OUTSIDE INDIA, X. ভাৰতৰ বাহিৰৰ পৰা প্ৰৱেশাধিকাৰ
Kaliachak - II,কালিযাচক - II
Machkhowa Icds Project,মাচখোৱা আইচডিএছ প্ৰকল্প
What is the minimum requirement to install Poshan Tracker App in mobile?,ম'বাইলত পোষণ ট্ৰেকাৰ এপ ইনষ্টল কৰাৰ নিম্নতম প্ৰযোজনীযতা কি?
SHRI ANANDPUR SAHIB,শ্ৰী আনন্দপুৰ চাহিব
"Khar (West),Santacruze (East)","খাৰ (পশ্চিম), চান্টাক্ৰুজ (পূব)"
Create new ticket,নতুন টিকট সৃষ্টি কৰক
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,আপুনি নথিভুক্তকৰণত ব্যাখ্যা কৰাৰ দৰেহে চাইটৰ প্ৰৱেশাধিকাৰ (বা প্ৰৱেশাধিকাৰৰ প্ৰযাস) লাভ কৰিব আৰু এই চুক্তিৰ চৰ্তাৱলী সমূহ মানি চলিব।
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","আপুনি আপোনাৰ আৰু আপোানৰ চাইটটোৰ ব্যৱহাৰ প্ৰতি প্ৰযোজ্য আৰু যিকোনো তৃতীয-পক্ষৰ অধিকাৰ প্ৰভাৱকাৰী সকলো কেন্দ্ৰীয আৰু ৰাজ্যিক আইন, নীতি আৰু নিযম সমূহ মানি চলিব।"
ROURKELE CIVIL TOWNSHIP,ৰাউৰকেল চিভিল টাউনশ্বিপ
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.
Ldh Urban 4,এলডিএইচ আৰ্বান 4
"Welcome!The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","স্বাগতম!তলত দিযা সমূহ হৈছে সেৱাৰ চৰ্তাৱলী (""চৰ্তাৱলী"") যি https://poshantracker.in, আৰু ইযাৰে লিংক হৈ থকা সকলো সম্পৰ্কিত চাইট, ইযাৰ পৰিপূৰক, আৰু শাখাত (একেলগে, ""চাইট"") হোষ্ট কৰা পোষণ ট্ৰেকাৰ প্লেটফৰ্মৰ আপোনাৰ ব্যৱহাৰ নিযন্ত্ৰণ কৰে।"
Burdwan - I,বৰ্ধমান - I
Project 4 Singanallur,প্ৰকল্প 4 চিংগানাল্লুৰ
Select Key Performance Indicator,প্ৰধান পাৰফৰ্মেঞ্চ ইণ্ডিকেটৰ বাচনি কৰক
Select An Anganwadi center,এটা অংগনৱাডী কেন্দ্ৰ বাছনি কৰক
Clarification regarding Cost of Smart phones,স্মাৰ্ট ফোন সমূহৰ খৰছৰ সন্দৰ্ভত স্পষ্টীকৰণ
Budge Budge - II,বজ বজ - II
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,সৰু আই যুক্ত ভেকচিন (MCV)/সৰু আই আৰু ৰুবেলা (MR)-1জাপানীজ এনকেফেলাইটিছ(JE)-1**PCV-বুষ্টাৰ
