eng,bn,indic_trans_translated
How to revive your health if you are Severely Wasted (SAM),আপনি মারাত্মকভাবে অপুষ্টির শিকার হলে কীভাবে আপনার স্বাস্থ্যকে পুনরুজ্জীবিত করবেন (SAM),How To Revive Your Health If You Are Severely Malnourished (SAM)
"See assessment charts for Stunted, Wasted and Underweight parameters","বৃদ্ধিতে বাধা, অপুষ্টি এবং কম ওজনের পরিমাপের জন্য মূল্যাযন চার্ট দেখুন","View Assessment Chart for Obstacles to Growth, Malnutrition and Low Weight"
Resources for growth monitoring and general awareness,বৃদ্ধি পর্যবেক্ষণ এবং সাধারণ সচেতনতা জন্য সম্পদ,Resources for Growth Monitoring and General Awareness
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,AWC একটি নির্দিষ্ট অঙ্গনওযাডি কেন্দ্রে উপস্থিত অবকাঠামো সম্পর্কিত বিশদ লিখতে হবে।,The AWC should provide details of the infrastructure available in a particular Anganwadi Centre.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","এর মধ্যে কাঠামো, মৌলিক সুযোগ-সুবিধা, সুযোগ-সুবিধা, স্যানিটাইজেশন, পানীয জল ইত্যাদি রযেছে।","This includes infrastructure, basic amenities, facilities, sanitation, drinking water etc."
Lactating mothers who received Take Home Ration (THR),স্তন্যদানকারী মাযেরা যারা টেক হোম রেশন (THR) পেযেছেন,Breastfeeding mothers who have received Take Home Ration (THR)
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","পোশান ট্র্যাকার এই গোপনীযতা নীতির যেকোনো অংশ পরিবর্তন, সংশোধন, যোগ বা অপসারণ করার নিঃশর্ত অধিকার সংরক্ষণ করে, বিশেষভাবে এই ধরনের পরিবর্তনের বিষযে আপনাকে অবহিত না করেই।","Poshan Tracker protects the unconditional right to change, modify, add or remove any part of this Privacy Policy, especially without informing you of such changes."
Any changes or updates will be effective immediately.,যেকোনো পরিবর্তন বা আপডেট অবিলম্বে কার্যকর হবে।,Any changes or updates will come into effect immediately.
You should review this Privacy Policy regularly for changes.,পরিবর্তনের জন্য আপনার এই গোপনীযতা নীতি নিযমিত পর্যালোচনা করা উচিত।,You should regularly review this privacy policy for changes.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","আমরা বাণিজ্যিকভাবে যুক্তিসঙ্গত প্রচেষ্টা ব্যবহার করব সাধারণভাবে এই গোপনীযতা নীতিতে যেকোন উপাদান পরিবর্তনের সমস্ত ব্যবহারকারীকে অবহিত করার জন্য, যেমন সিস্টেমে একটি নোটিশের মাধ্যমে।","We will use commercially reasonable efforts to inform all users of any changes to this Privacy Policy in general, such as through a notice on the system."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","যদিও, সিস্টেমের একজন ব্যবহারকারী হিসাবে, যেকোনো পরিবর্তনের জন্য আপনার নিযমিত গোপনীযতা নীতি দেখা উচিত।","However, as a user of the system, you should look at the regular privacy policy for any changes."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","আমরা এই গোপনীযতা নীতির শীর্ষে ""শেষ আপডেট করা"" তারিখটিও আপডেট করে দেবো, যা এই গোপনীযতা নীতির কার্যকর তারিখকে প্রতিফলিত করে।","We will also update the last updated date at the top of this Privacy Policy, reflecting the effective date of this Privacy Policy."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,নতুন গোপনীযতা নীতির তারিখের পরে আপনার ক্রমাগত অ্যাক্সেস বা সিস্টেমের ব্যবহার নতুন গোপনীযতা নীতিতে আপনার গ্রহণযোগ্যতা তৈরী করে।,Your continued access to the system after the date of the new privacy policy creates your acceptance of the new privacy policy.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.",আপনি যদি নতুন গোপনীযতা নীতির ব্যাপারে সম্মত না হন তাহলে আপনাকে অবশ্যই সিস্টেম অ্যাক্সেস করা এবং/অথবা ব্যবহার করা বন্ধ করতে হবে।,"If you do not agree with the new privacy policy, you must stop accessing and / or using the system."
What is the eligibility of a beneficiary?,একজন সুবিধাভোগীর কি যোগ্যতা থাকতে হবে?,What is the eligibility of a beneficiary?
"No, Poshan Tracker is available only for Android version","না , পশান ট্র্যাকারস অ্যাপটি শুধুমাত্র অ্যান্ড্রযেড ভার্সানের জন্য উপলব্ধ।","No, the Passion Trackers app is available only for Android version."
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ক্ষতিপূরণ এবং দাযবদ্ধতার সীমাবদ্ধতা,XV. Limitations of Compensation and Liability
Growth monitoring report for all health indicators,সমস্ত স্বাস্থ্য সূচকের জন্য বৃদ্ধি পর্যবেক্ষণ প্রতিবেদন,Growth Monitoring Report for all Health Indicators
Take Home Ration (THR) given in last 30 days,গত ৩০ দিনের মধ্যে দেওযা হোম রেশন (টিএইচআর) নিন,Get Deoja Home Ration (THR) in last 30 days
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,শিশুদের স্টান্টেড হিসাবে তখনই সংজ্ঞাযিত করা হয যখন তাদের বযস অনুযাযী উচ্চতা WHO চাইল্ড গ্রোথ স্ট্যান্ডার্ড মিডিযানের নিচের দুটি স্ট্যান্ডার্ড বিচ্যুতির বেশি হয,A child is defined as a child whose height is greater than the two standard deviations below the WHO child growth standard median according to their age
What is the purpose of Launching Poshan Tracker?,পশান ট্র্যাকার চালু করার উদ্দেশ্য কী?,What is the purpose of launching Passion Tracker?
"As a registered user, you have the right to access your profile at any time.","একজন নিবন্ধিত ব্যবহারকারী হিসাবে, আপনার কাছে যেকোনো সময আপনার প্রোফাইল অ্যাক্সেস করার অধিকার রযেছে।","As a registered user, you have the right to access your profile at any time."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","যদিও, পরিবর্তনগুলি শুধুমাত্র সমযে সমযে পোশান ট্র্যাকার সিস্টেম দ্বারা নির্ধারিত অনুসারেই করা যেতে পারে।","However, the changes can only be made as per the norms laid down by the Poshan Tracker System from time to time."
You cannot manage the communications that you receive from us or how you receive them.,আপনি আমাদের কাছ থেকে যে যোগাযোগগুলি পান আপনি সেগুলি কীভাবে গ্রহণ করবেন আপনি তা পরিচালনা করতে পারবেন না।,You will not be able to manage the communications you get from us how you receive them.
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. আইনের সাথে সম্মতি, তৃতীয পক্ষের অধিকার, এবং পরিষেবার অন্যান্য শর্তাবলী","XIII. Consent with law, rights of third parties, and other conditions of service."
"repeated infection, and inadequate psychosocial stimulation","বারবার সংক্রমণ, এবং অপর্যাপ্ত মনোসামাজিক উদ্দীপনা","Repeated infections, and insufficient psychosocial stimulation"
Beneficiary migration from one AWC to another AWC,এক এডাব্লুসি (AWC) থেকে অন্য এডাব্লুসি (AWC)-তে সুবিধাভোগী স্থানান্তর,Transfer of beneficiaries from one AWC to another AWC
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","পশান অভিযানের আওতায আইসিটি প্ল্যাটফর্মে প্রশিক্ষণ (২২ ফেব্রুযারি, ২০২১)","Training on ICT Platform under POSHAN Abhiyaan (22nd February, 2021)"
You may browse the Site without registering for an account.,একটি অ্যাকাউন্ট রেজিস্টার না করেই আপনি সাইটটি ব্রাউজ করতে পারেন।,You can browse the site without registering an account.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.",আপনি যদি সাইট দ্বারা অফার করা নির্দিষ্ট বৈশিষ্ট্য বা পরিষেবাগুলি ব্যবহার করতে চান তবে আপনাকে আপনার মোবাইল নম্বর দিযে একটি অ্যাকাউন্ট রেজিস্টার করতে হবে।,"If you want to use specific features or services offered by the site, you will have to register an account by giving your mobile number."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,আপনার ব্যক্তিগত তথ্য এবং রেজিস্ট্রেশনের গোপনীযতা বজায রাখার জন্য এবং এই তথ্য সুরক্ষিত রাখতে আপনার ব্যর্থতার ফলে হতে পারে এমন সমস্ত কার্যকলাপের জন্য আপনি সম্পূর্ণরূপে দাযী।,You are solely responsible for all actions that may result from your failure to protect your personal information and the privacy of your registration.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,আপনার রেজিস্ট্রেশন বা মোবাইল নম্বর গোপন রাখা হবেআপনি এটি গ্রহণ করেনঃআপনি আপনার অ্যাকাউন্টের মাধ্যমে তাদের রেকর্ড তৈরি করার জন্য সংশ্লিষ্ট ব্যক্তিদের কাছ থেকে সম্মতি পেযেছেন।,Your registration or mobile number will be kept confidential: You have obtained the consent of the concerned person to create their record through your account.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,আপনার অ্যাকাউন্ট বা মোবাইল নম্বরে সেই ব্যক্তির ছদ্মবেশী করার অভিপ্রায সহ অন্য ব্যক্তির নাম অন্তর্ভুক্ত করা উচিত নয।,Your account or mobile number should contain the name of the other person with the intention of impersonating that person.
You shall not use another user's account without their permission.,আপনি তাদের অনুমতি ছাডা অন্য ব্যবহারকারীর অ্যাকাউন্ট ব্যবহার করবেন না।,You should not use any other user account except their permissions.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.",আপনি যদি আপনার অ্যাকাউন্টের কোনও অননুমোদিত ব্যবহার বা অন্য কোনও অ্যাকাউন্ট-সম্পর্কিত নিরাপত্তা লঙ্ঘন দেখতে পান তবে আপনি অবিলম্বে আমাদের লিখিতভাবে অবহিত করবেন।,"If you see any unauthorized use of your account or any other account-related security breach, you will immediately inform us in writing."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",যদি আমরা এমন কোনও অভিযোগ পাই যে আপনার অ্যাকাউন্ট অন্য কারও অধিকার লঙ্ঘন করে বা আমাদের নীতিগুলি লঙ্ঘন করে তবে আমরা আপনার অ্যাকাউন্টটি বাতিল বা অবরুদ্ধ করতে পারি।,"If we receive any complaint that your account is in violation of someone else's rights or in violation of our policies, we can cancel or block your account."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","আপনি একাধিক ইন্টারনেট প্রোটোকল ঠিকানা বা মোবাইল নম্বর ব্যবহার করে বা অন্য কোনও উপাযে, সাইটে অংশগ্রহণকারীদের নিবন্ধন করার জন্য আপনার পরিচয গোপন করার চেষ্টা করবেন না",Do not try to hide your identity by using multiple Internet Protocol addresses or mobile numbers or by any other means to register participants on the site
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,"পশান ট্র্যাকার অ্যাপ্লিকেশনটি ২২ টি বিভিন্ন ভাষায উপলভ্য।উপলব্ধ, ভাষাগুলি হলঃ ইংরেজিহিন্দিগুজরাটিপাঞ্জাবিমারাঠিকান্নাডাতামিলতেলেগুমালাযালামওডিযাঅসমীযাNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri","The Passion Tracker application is available in 22 different languages: English, Hindi, Gujarati, Punjabi, Marathi, Tamil, Telugu, Malayalam, Odia, Assamese, Nepali, Konkani, Sindhi, Maithili, Manipuri, Urdu, Kashmiri"
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","প্রস্তাবিত সিস্টেমে সংশোধিত সূচকগুলিতে সমস্ত এডাব্লুসি, এডাব্লুডাব্লু এবং উপকারভোগীদের রিযেল-টাইম মনিটরিং এবং ট্র্যাকিং সক্ষম করতে হবে।","Real-time monitoring and tracking of all AWCs, AWWs and beneficiaries should be enabled in the revised indices in the proposed system."
How to Login in Poshan Tracker App?,কিভাবে পশান ট্র্যাকার অ্যাপে লগইন করবেন?,How to login to the Passion Tracker App?
Height and weight of child has not been measured,শিশুর উচ্চতা ও ওজন পরিমাপ করা হযনি,The child's height and weight were not measured
Calculator to measure the child growth based on the WHO Child Growth Standards.,WHO চাইল্ড গ্রোথ স্ট্যান্ডার্ডের উপর ভিত্তি করে শিশুর বৃদ্ধি পরিমাপ করার জন্য ক্যালকুলেটর.,Calculator for measuring child growth based on WHO Child Development Standard.
TAKE HOME RATION (THR) GIVEN TODAY,আজ গৃহীত হোম রেশন (টিএইচআর) নিন,Take Home Ration (THR) received today
A beneficiary is eligible for THR for at least 21 days in a month.,একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য THR পাওযার যোগ্য।,A beneficiary is eligible to receive THR for a minimum period of 21 days in a month.
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. শর্তাবলীর ভবিষ্যত পরিবর্তন সংক্রান্ত বিজ্ঞপ্তিঃ,Notifications on future changes to the Conditions:
Planning And Organising Community Based Events At AWC,AWC-তে কমিউনিটি ভিত্তিক ইভেন্টের পরিকল্পনা ও আযোজন,Planning and conduct of Community Based Events at AWC
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1-Click on Poshan Tracker website https: / / poshantracker.com.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,Step 2 - Enter your registered mobile number and pre-set 4 digit MPIN.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,AWW-রা তাদের মোবাইল নম্বরগুলির মাধ্যমে নিবন্ধন করতে অক্ষম হলে কীভাবে অ্যাপটিতে সাইন আপ করতে পারে?,How can AWWs sign up for the app if they are unable to register through their mobile numbers?
Poshan Tracker adds new Reports feature,পোশান ট্র্যাকার একটি নতুন রিপোর্ট বৈশিষ্ট্য যোগ করেছে,Poshan Tracker Adds a New Report Feature
General Awareness about preventing illness in Children,শিশুদের অসুস্থতা প্রতিরোধ সম্পর্কে সাধারণ সচেতনতা,General Awareness on Preventing Child Illness
2. HOW WE USE PERSONAL INFORMATION,2. আমরা কীভাবে ব্যক্তিগত তথ্য ব্যবহার করি,How We Use Personal Information
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","""The following are the Terms of Service ("" ""Terms"" "") that govern your use of the Swasth Balak Balika Spardha Platform hosted at https: / / posttracker."""
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","""and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the"" ""site"" "")."""
Please provide your mobile number and a ticket number.,আপনার মোবাইল নম্বর এবং একটি টিকিট নম্বর প্রদান করুন।,Enter your mobile number and a ticket number
Please contact your respective Anganwadi worker.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওযাডি কর্মীর সাথে যোগাযোগ করুন।,Please get in touch with your respective Anganwadi Workers.
SAM Children under 5 years who received Supplementary Nutrition,SAM 5 বছরের কম বযসী শিশুরা যারা সম্পূরক পুষ্টি পেযেছে,SAM Children under 5 years of age who are Supplementary Nutrition
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1পেন্টাভ্যালেন্ট-1রোটাভাইরাস ভ্যাকসিন (RVV)-1নিষ্ক্রিয পোলিও ভ্যাকসিনের ফ্র্যাকশানাল ডোজ (fIPV)-1নিউমোকোকাল কনজুগেট ভ্যাকসিন (পিসিভি)-1,OPV-1 Pentavalent-1 Rotavirus Vaccine (RVV) -1 Fractional Dose of Inactivated Polio Vaccine (FIPV) -1 Pneumococcal Conjugate Vaccine (PCV) -1
Height should be between 38 to 150,উচ্চতা 38 থেকে 150-এর মধ্যে হওযা উচিত,Height should be between 38 and 150
How to contact Poshan Tracker Team?,পোশান ট্র্যাকার টিমের সাথে কিভাবে যোগাযোগ করবেন?,How to contact the Poshan Tracker Team?
Take Home Ration (THR) Given Today,আজ গৃহীত হোম রেশন (টিএইচআর) নিন,Take Home Ration (THR) received today
How many different forms are there in Poshan Tracker App?,পশান ট্র্যাকার অ্যাপে কযটি আলাদা ফর্ম রযেছে?,What is the different form on the Passion Tracker App?
There are 7 different types of forms for beneficiaries.,উপকারভোগীদের জন্য ৭ টি বিভিন্ন ধরণের ফর্ম রযেছে।,There are 7 different types of forms available for the beneficiaries.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),এর মধ্যে রযেছেঃ  দুধ খাওযানো মা  গর্ভবতী মহিলা  শিশু ০-৬ মাস   বাচ্চা ৬ মাস থেকে ৩ বছর পর্যন্ত   শিশু ৩ বছর থেকে ৬ বছর   কৈশোর বযসী মেযেরা (১১ বছর-১৯ বছর),These include: lactating mothers Pregnant women 0-6 months children 6 months to 3 years children 3 years to 6 years Adolescent girls (11 years to 19 years)
Shibpur I C D S Project,শিবপুর আই সি ডি এস প্রকল্প,Shibpur ICDS Project
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home","সাম্প্রতিক এক থেকে তিন মাসের মধ্যে, কোনও অঙ্গনওযাডি কর্মী সুবিধাভোগীর বাডিতে যাননি","In the recent one to three months, no Anganwadi worker has visited the beneficiary"
Please enter Weight greater than 0.49 and less than 40.01,অনুগ্রহ করে 0.49 এর বেশি এবং 40.01 এর কম ওজন লিখুন,Please enter weights more than 0.49 and less than 40.01
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https: / / posttracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,In or by downloading the Poshan Tracker App.
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,MPIN হ'ল একটি ৪ ডিজিটের পাসকোড যা পশান ট্র্যাকার অ্যাপটিতে নিবন্ধভুক্ত করার সময একজন অঙ্গনওযাডি কর্মী সেট করেছিলেন।,MPIN is a 4-digit passcode that was set by an Anganwadi worker at the time of registration in the Poshan Tracker app.
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)",স্মার্ট ফোনগুলির বিশদকরণ এবং প্রযুক্তিগত সামঞ্জস্যতা পরীক্ষাগুলি (০২ ফেব্রুযারী ২০২১),Detail of Smart Phones and Technical Competency Tests (02 Feb 2021)
Request for child's height and weight measurement,শিশুর উচ্চতা এবং ওজন পরিমাপের জন্য অনুরোধ করুন,Request measurement of height and weight of the child
Children (6 months - 3 years),শিশু (6 মাস - 3 বছর),Children (6 months - 3 years)
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","আপনি যখন যান বা অন্যথায আমাদের সাইট, অ্যাপ এবং প্ল্যাটফর্ম প্রযুক্তি সহ আমাদের পরিষেবাগুলি ব্যবহার করেন তখন আমরা ইউসেজ ডেটা লগ করি।","We log in to usage data when you use our services, including our site, app and platform technology, or otherwise."
"Result couldn't be fetch, please enter valid data","ফলাফল পাওযা যাযনি, দযা করে বৈধ ডেটা লিখুন।","Could not get results, please enter valid data."
Central Golaghat I. C. D. S. Project,সেন্ট্রাল গোলাগাট আই. সি. ডি. এস. প্রকল্প,Central Golaghat ICDS Project
