eng,ta,indic_trans_translated
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,"உங்கள் பதிவுசெய்யப்பட்ட மொபைல் எண்ணில் நீங்கள் பெறுவீர்கள் மற்றும் OTP பெறுவீர்கள், மேலும் உங்கள் எம்பின் ஐ நீங்கள் எளிதாக மீட்டமைக்கலாம்.",You will get the OTP on your registered mobile number and you can easily reset your MP.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,போஷன் டிராக்கர் என்பது அங்கன்வாடி பணியாளர்களின் முயற்சியின் பிரதிபலிப்புடன் சேவைகளை திறம்பட வழங்க உதவுகிறது.,POSHAN tracker is a reflection of the effort put in by Anganwadi workers to deliver services effectively.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,"இது போஷன் அபியான் கீழ் முக்கியமான மற்றும் பயனாளிகளை மையமாகக் கொண்ட சேவை வழங்கல் விண்ணப்பமாகும், இது பகுப்பாய்வுகளுடன் நிகழ் நேரத் தரவை ஊக்குவிக்கும்","It is an important and beneficiary centric service delivery application under POSHAN Abhiyaan, which will promote real-time data with analytics"
Please enter valid Date of Birth,சரியான பிறந்த தேதியை உள்ளிடவும்,Enter the correct date of birth
Who is eligible for additional supplementary food?,கூடுதல் துணை உணவுக்கு யார் தகுதியானவர்?,Who is eligible for additional supplementary food
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","மாற்றங்களை உங்களுக்குத் தெரிவிக்காமல், எந்த நேரத்திலும் இந்த விதிமுறைகளின் எந்தப் பகுதியையும் மாற்ற, திருத்த, சேர்க்க அல்லது அகற்ற நிபந்தனையற்ற உரிமையை நாங்கள் வைத்திருக்கிறோம்.","We have an unconditional right to change, amend, add or delete any part of these regulations at any time without informing you of the changes."
Any changes or updates will be effective immediately.,ஏதேனும் மாற்றங்கள் அல்லது புதுப்பிப்புகள் செய்யப்பட்டால் அவை உடனடியாக நடைமுறைக்கு வரும்.,"Changes or updates, if any, shall come into force with immediate effect"
You take the responsibility to check these Terms of Use periodically for changes.,இந்த பயன்பாட்டு விதிமுறைகளை மாறுதல்களை அவ்வப்போது சரிபார்ப்பது உங்களுடைய பொறுப்பு.,It is your responsibility to periodically verify the changes to these Terms of Use.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,"அத்தகைய திருத்தத்திற்குப் பிறகு நீங்கள் இயங்குதளத்தைத் தொடர்ந்து பயன்படுத்துவது, மாற்றியமைக்கப்பட்ட விதிமுறைகளை ஏற்றுக்கொள்வதாக அமையும்.","After such amendment, if you continue to use the platform, the revised guidelines will be accepted."
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,மேற்கூறிய இரண்டு நிகழ்வுகளிலும் அடபிள்யூடபிள்யூ ஐ சேர்க்க / திருத்த / செயல்படுத்த / செயலிழக்க மாநில நோடல் அதிகாரிகளுக்கு அதிகாரம் உண்டு.,"In both the above cases, State Nodal Officers are empowered to add / modify / activate / deactivate AWWs."
How many different types of reports can be generated over Poshan Tracker Dashboard?,போஷன் டிராக்கர் டாஷ்போர்டில் எத்தனை வகையான அறிக்கைகளை உருவாக்க முடியும்?,How many types of reports can be generated on POSHAN Tracker Dashboard
How to revive your health if you are Severely Wasted (SAM),நீங்கள் கடுமையான ஊட்டச்சத்து குறைபாடு உள்ளவராக இருந்தால் (SAM) உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது,How to restore your health if you are severely malnourished (SAM)
"See assessment charts for Stunted, Wasted and Underweight parameters","குன்றிய, ஊட்டச்சத்து குறைபாடுள்ள மற்றும் எடை குறைந்த அளவுருக்களுக்கான மதிப்பீட்டு விளக்கப்படங்களைப் பார்க்கவும்","See Assessment diagrams for underweight, undernourished and underweight parameters"
Resources for growth monitoring and general awareness,வளர்ச்சியைக் கண்காணித்தல் மற்றும் பொதுவான புரிதலுக்கான வளங்கள்,Resources for Growth Monitoring and General Understanding
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,ஒரு குறிப்பிட்ட அங்கன்வாடி மையத்தில் இருக்கும் உள்கட்டமைப்பு தொடர்பான விவரங்களை அடபிள்யூடபிள்யூ உள்ளிட வேண்டும்.,The details of infrastructure available in a particular Anganwadi Centre should be provided by the AWWs.
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.","இதில் கட்டமைப்பு, அடிப்படை வசதிகள், வசதிகள், சுத்திகரிப்பு, குடிநீர் போன்றவை அடங்கும்.","This includes infrastructure, basic amenities, facilities, sanitation, drinking water etc."
Lactating mothers who received Take Home Ration (THR),டேக் ஹோம் ரேஷன் (THR) பெற்ற பாலூட்டும் தாய்மார்கள்,Breastfeeding mothers receiving Take Home Ration (THR)
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","போஷன் டிராக்கர் இந்த தனியுரிமைக் கொள்கையின் எந்தப் பகுதியையும், எந்த நேரத்திலும், அத்தகைய மாற்றங்களைப் பற்றி உங்களுக்குத் தெரிவிக்காமல், எந்த நேரத்திலும் மாற்ற, மாற்ற, சேர்க்க அல்லது அகற்ற நிபந்தனையற்ற உரிமையைப் பெற்றுள்ளார்.","Poson Tracker has the unqualified right to change, change, add or delete any part of this Privacy Policy at any time, without informing you of such changes at any time."
Any changes or updates will be effective immediately.,ஏதேனும் மாற்றங்கள் அல்லது புதுப்பிப்புகள் செய்யப்பட்டால் அவை உடனடியாக நடைமுறைக்கு வரும்.,"Changes or updates, if any, shall come into force with immediate effect"
You should review this Privacy Policy regularly for changes.,மாற்றங்களுக்கு இந்த தனியுரிமைக் கொள்கையை நீங்கள் தொடர்ந்து மதிப்பாய்வு செய்ய வேண்டும்.,You will continue to review this privacy policy for changes.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","இந்த தனியுரிமைக் கொள்கையில் ஏதேனும் பொருள் மாற்றங்கள் இருந்தால், சிஸ்டத்தில் அறிவிப்பு மூலம் அனைத்துப் பயனர்களுக்கும் பொதுவாகத் தெரிவிக்க வணிக ரீதியாக நியாயமான முயற்சிகளைப் பயன்படுத்துவோம்.","If there are any material changes to this Privacy Policy, we will use commercially reasonable efforts to communicate publicly to all users by notification in the system."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","இருப்பினும், கணினியின் பயனராக, ஏதேனும் மாற்றங்கள் இருந்தால் தனியுரிமைக் கொள்கையை நீங்கள் தொடர்ந்து சரிபார்க்க வேண்டும்.","However, as a user of the system, you must continue to verify the privacy policy if there are any changes."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","இந்தத் தனியுரிமைக் கொள்கையின் மேலே உள்ள ""கடைசியாகப் புதுப்பிக்கப்பட்ட"" தேதியையும் நாங்கள் புதுப்பிப்போம், இது இந்தத் தனியுரிமைக் கொள்கையின் நடைமுறைத் தேதியைப் பிரதிபலிக்கிறது.","""We will also renew the"" ""last updated"" ""date on top of this Privacy Policy, which reflects the date of implementation of this Privacy Policy."""
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,புதிய தனியுரிமைக் கொள்கையின் தேதிக்குப் பிறகு உங்கள் தொடர்ச்சியான அணுகல் அல்லது கணினியைப் பயன்படுத்துவது புதிய தனியுரிமைக் கொள்கையை நீங்கள் ஏற்றுக்கொள்வதைக் குறிக்கிறது.,Your continued access or use of a computer after the date of the new privacy policy indicates your acceptance of the new privacy policy.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","புதிய தனியுரிமைக் கொள்கையை நீங்கள் ஏற்கவில்லை என்றால், நீங்கள் கணினியை அணுகுவதையும்/அல்லது பயன்படுத்துவதையும் நிறுத்த வேண்டும்.","If you do not accept the new privacy policy, you should stop accessing the system and / or using it"
What is the eligibility of a beneficiary?,ஒரு பயனாளியின் தகுதி என்ன?,What is the eligibility of a beneficiary?
"No, Poshan Tracker is available only for Android version","இல்லை, போஷன் டிராக்கர் ஆண்ட்ராய்டு பதிப்பை மட்டுமே கிடைக்கிறது","No, the POSHAN Tracker is available only on Android version"
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. இழப்பீடு மற்றும் பொறுப்பு வரம்பு,XV. Compensation and Liability Limit
Growth monitoring report for all health indicators,எல்லா ஆரோக்கியக் குறியீடுகளுக்கும் வளர்ச்சி கண்காணிப்பு அறிக்கை,Growth Monitoring Report for all Health Indicators
Take Home Ration (THR) given in last 30 days,கடந்த 30 நாட்களில் கொடுக்கப்பட்ட டேக் ஹோம் ரேஷன் (THR),Take Home Ration (THR) issued in last 30 days
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,"WHO குழந்தை வளர்ச்சித் தரநிலையின் சராசரிக்குக் கீழே குழந்தைகளின் உயரம் அவர்களின் வயதுக்கு இரண்டு நிலையான விலகல்களுக்கு மேல் இருந்தால், அவர்கள் வளர்ச்சி குன்றியவர்களாக வரையறுக்கப்படுகிறார்கள்",Children are defined as stunted if their height exceeds two standard deviations from their age below the WHO child development standards average.
What is the purpose of Launching Poshan Tracker?,போஷன் டிராக்கரைத் தொடங்குவதன் நோக்கம் என்ன?,What is the purpose of starting POSHAN Tracker?
"As a registered user, you have the right to access your profile at any time.","பதிவுசெய்யப்பட்ட பயனராக, எந்த நேரத்திலும் உங்கள் சுயவிவரத்தை அணுக உங்களுக்கு உரிமை உள்ளது.","As a registered user, you have the right to access your profile at any time."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","இருப்பினும், போஷன் டிராக்கர் அமைப்பால் அவ்வப்போது பரிந்துரைக்கப்பட்ட மாற்றங்களை மட்டுமே செய்ய முடியும்.","However, POSHAN tracker system can make only the recommended changes from time to time."
You cannot manage the communications that you receive from us or how you receive them.,எங்களிடமிருந்து நீங்கள் பெறும் தகவல்தொடர்புகளையோ அல்லது அவற்றை எவ்வாறு பெறுகிறீர்கள் என்பதையோ உங்களால் நிர்வகிக்க முடியாது.,You cannot manage the communications you receive from us or how you receive them.
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. சட்டம், மூன்றாம் தரப்பினரின் உரிமைகள் மற்றும் பிற சேவை விதிமுறைகளுடன் இணங்குதல்","Compliance with Act, Rights of Third Party and other Service Rules"
"repeated infection, and inadequate psychosocial stimulation","தொற்று, மற்றும் போதிய உளவியல் தூண்டுதல்","Infection, and adequate psychological stimulation"
Beneficiary migration from one AWC to another AWC,பயனாளர் ஒரு AMC-இலிருந்து இன்னொரு AMC-க்கு மாறுதல்,Transfer of user from one AMC to another AMC
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","போஷன் அபியான் (02 பிப்ரவரி, 2021) இன் கீழ் ஐ. சி. டி இயங்குதளத்தில் பயிற்சி","Training at ICT Platform under POSHAN Abhiyaan (2nd February, 2021)"
You may browse the Site without registering for an account.,நீங்கள் ஒரு கணக்கிற்கு பதிவு செய்யாமல் தளத்தில் உலாவலாம்.,You can browse the site without registering for an account.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","தளம் வழங்கும் சில அம்சங்கள் அல்லது சேவைகளைப் பயன்படுத்த நீங்கள் விரும்பினால், உங்கள் மொபைல் எண்ணுடன் ஒரு கணக்கைப் பதிவு செய்ய வேண்டும்.","If you wish to use some of the features or services provided by the site, you need to register an account with your mobile number."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,உங்கள் தனிப்பட்ட தகவல்கள் மற்றும் பதிவுகளைப் பாதுகாப்பாக வைத்திருக்கத் தவறியதன் விளைவாக ஏற்படக்கூடிய அனைத்து நடவடிக்கைகளின் இரகசியத்தன்மையைப் பேணுவதற்கு நீங்கள் மட்டுமே பொறுப்பு.,You alone are responsible for maintaining the confidentiality of all actions that result from your failure to keep your personal information and records safe.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,உங்கள் பதிவு அல்லது மொபைல் எண் ரகசியமாக வைக்கப்படும்நான் மேற்கொள்வதுஃஉங்கள் கணக்கு மூலம் சம்பந்தப்பட்ட நபர்களிடமிருந்து அவர்களின் பதிவுகளை உருவாக்குவதற்கு நீங்கள் அவர்களிடம் ஒப்புதல் பெற்றுள்ளீர்கள்.,Your registration or mobile number will be kept confidential: you have obtained their consent to create their records from the concerned persons through your account.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,உங்கள் கணக்கு அல்லது மொபைல் எண்ணில் அந்த நபரைப் போல் ஆள்மாறாட்டம் செய்யும் நோக்கத்துடன் மற்றொரு நபரின் பெயர் இடம்பெறக்கூடாது.,Your account or mobile number should not contain the name of another person for the purpose of impersonating that person.
You shall not use another user's account without their permission.,மற்றொரு பயனரின் அனுமதியின்றி நீங்கள் அவர்களுடைய கணக்கைப் பயன்படுத்தக் கூடாது.,You should not use the account of another user without their permission.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.","உங்கள் கணக்கின் அங்கீகரிக்கப்படாத பயன்பாடு அல்லது கணக்கு தொடர்பான பாதுகாப்பு மீறல் ஏதேனும் இருந்தால், உடனடியாக எங்களுக்கு எழுத்துப்பூர்வமாகத் தெரிவிக்க வேண்டும்.","In case of any unauthorized use of your account or security breach related to your account, immediately inform us in writing."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",உங்கள் கணக்கு வேறொருவரின் உரிமைகளை மீறுகிறது அல்லது எங்கள் கொள்கைகளை மீறுகிறது என்ற புகாரை நாங்கள் பெற்றால் உங்கள் கணக்கை நாங்கள் ரத்து செய்வோம்.,We will cancel your account if we receive a complaint that your account is violating someone else's rights or is in violation of our policies.
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","பல இணைய நெறிமுறை முகவரிகள் அல்லது மொபைல் எண்ணைப் பயன்படுத்தி உங்கள் அடையாளத்தை மறைக்க முயற்சிக்காதீர்கள் அல்லது வேறு எந்த வழியிலும், பங்கேற்பாளர்களை தளத்தில் பதிவு செய்ய வேண்டாம்","Do not try to hide your identity using multiple Internet Protocol addresses or mobile numbers or otherwise, register the participants on the site"
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,போஷன் டிராக்கர் பயன்பாடு 22 வெவ்வேறு மொழிகளில் கிடைக்கிறதுகிடைக்கும் பல்வேறு மொழிகள்ஃஆங்கிலம்இந்திகுஜராத்திபஞ்சாபிமராத்திபங்களாகன்னடம்தமிழ்தெலுங்குமல்லியம்ஒடியாஅசாமிNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,"POSHAN tracker is available in 22 different languagesEnglish, Hindi, Gujarati, Punjabi, Marathi, Kannada, Tamil, Telugu, Malayalam, Odiya, Assamese, Nepali, Konkani, Sindhi, Maithili, Manipuri, Urdu, Kashmiri"
How to Login in Poshan Tracker App?,போஷன் டிராக்கர் பயன்பாட்டில் உள்நுழைவது எப்படி?,How to access POSHAN tracker application?
Height and weight of child has not been measured,குழந்தையின் உயரம் மற்றும் எடை அளவீடு செய்யப்படவில்லை,The child's height and weight have not been measured
TAKE HOME RATION (THR) GIVEN TODAY,இன்று கொடுக்கப்பட்ட டேக் ஹோம் ரேஷன் (THR),Today's Take Home Ration (THR)
A beneficiary is eligible for THR for at least 21 days in a month.,ஒரு பயனாளி ஒரு மாதத்தில் குறைந்தது 21 நாட்களுக்கு THRக்கு தகுதியுடையவர்.,A beneficiary is eligible for THR for a minimum period of 21 days in a month
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. விதிமுறைகளில் எதிர்கால மாற்றங்கள் குறித்த அறிவிப்புஃ,Declaration of future changes in the Regulations:
Planning And Organising Community Based Events At AWC,AWC இல் சமூக அடிப்படையிலான நிகழ்வுகளைத் திட்டமிடுதல் மற்றும் ஏற்பாடு செய்தல்,Planning and organizing community based events at AWC
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1-Click on Poshan Tracker website https: / / posttracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,Step 2 - Enter your registered mobile number and pre-set 4 digit MPIN.
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,"மொபைல் மொபைல் எண்கள் வழியாக பதிவு செய்ய முடியாவிட்டால், அங்கன்வாடி ஊழியர்கள் பயன்பாட்டில் எவ்வாறு பதிவுபெற முடியும்?","If it is not possible to register through mobile numbers, how can Anganwadi workers be registered in use?"
Poshan Tracker adds new Reports feature,ரோஷன் டிராக்கர் புதிய அறிக்கைகள் அம்சத்தைச் சேர்க்கிறது,Roshan Tracker Adds New Reports feature
General Awareness about preventing illness in Children,குழந்தைகளுக்கு ஏற்படும் நோய்களைத் தடுப்பது பற்றிய பொதுவான விழிப்புணர்வு,General Awareness on Prevention of Diseases of Children
2. HOW WE USE PERSONAL INFORMATION,2. தனிப்பட்ட தகவலை நாங்கள் எவ்வாறு பயன்படுத்துகிறோம்,How do we use personal information?
The following are the Terms of Service (“Terms”) that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.,"The following are the Terms of Service (""Terms"") that govern your use of the Swastha Balak Balika Spardha Platform hosted at https://poshantracker.","""The following are the Terms of Service ("" ""Terms"" "") that govern your use of the Swasth Balak Balika Spardha Platform hosted at https: / / posttracker."""
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the ""Site"").","""and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the"" ""site"" "")."""
Please provide your mobile number and a ticket number.,உங்கள் மொபைல் எண் மற்றும் டிக்கெட் நம்பரை வழங்கவும்.,Enter email address and phone number
Please contact your respective Anganwadi worker.,உங்கள் அங்கன்வாடி பணியாளரை தொடர்பு கொள்ளவும்.,Contact your Anganwadi worker.
SAM Children under 5 years who received Supplementary Nutrition,SAM துணை ஊட்டச்சத்து பெற்ற 5 வயதுக்குட்பட்ட குழந்தைகள்,Children under 5 years of age with SAM Supplementary Nutrition
OPV-1Pentavalent-1Rotavirus Vaccine (RVV)-1Fractional dose of Inactivated Polio Vaccine (fIPV)-1Pneumococcal Conjugate Vaccine (PCV) -1,OPV-1பெண்டாவலன்ட்-1ரோட்டா வைரஸ் தடுப்பூசி (RVV)-1செயலிழக்கச் செய்யப்பட்ட போலியோ தடுப்பூசி (fIPV)-1 பிரிவின் அளவுநிமோகாக்கல் கான்ஜுகேட் தடுப்பூசி (PCV) -1,OPV - 1 Pentavalent - 1 Rotavirus Vaccine (RVV) - 1 Inactivated Polio Vaccine (FIPV) - 1 Measles-Rubella (PCV) - 1
Height should be between 38 to 150,உயரம் 38-க்கும் 150-க்கும் இடையே இருக்க வேண்டும்,Height between 38 and 150
How to contact Poshan Tracker Team?,போஷன் டிராக்கர் குழுவை எவ்வாறு தொடர்பு கொள்வது?,How to contact POSHAN Tracker Group?
Take Home Ration (THR) Given Today,இன்று கொடுக்கப்பட்ட டேக் ஹோம் ரேஷன் (THR),Today's Take Home Ration (THR)
How many different forms are there in Poshan Tracker App?,போஷன் டிராக்கர் பயன்பாட்டில் எத்தனை வெவ்வேறு வடிவங்கள் உள்ளன?,How many different forms are there in the use of POSHAN tracker?
There are 7 different types of forms for beneficiaries.,பயனாளிகளுக்கு 7 வெவ்வேறு வகையான படிவங்கள் உள்ளன.,There are 7 different types of forms for the beneficiaries.
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),இதில் பின்வருவன அடங்கும்ஃபாலூட்டும் தாய்கர்ப்பிணி பெண்கள்குழந்தை 0-6 மாதங்கள்குழந்தை 6 மாதங்கள் முதல் 3 வயது வரைகுழந்தை 3 வயது முதல் 6 வயது வரைஇளம் பருவ பெண்கள் (11 வயது -19 ஆண்டுகள்),These include: Lactating Mothers Pregnant Women Children 0-6 months Children 6 months to 3 years Children 3 years to 6 years Adolescent Girls (11-19 years)
Shibpur I C D S Project,ஷிப்பூர் ஐ. சி. டி. எஸ். புராஜக்ட்,Shippur ICDS Project
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home",சமீபத்திய ஒன்று முதல் மூன்று மாதங்களில் அங்கன்வாடிப் பணியாளர் எவரும் பயனாளர் வீட்டுக்கு வரவில்லை.,"During the last one to three months, no Anganwadi worker visited the beneficiary's house."
Please enter Weight greater than 0.49 and less than 40.01,0.49க்கு அதிகமான எடை மற்றும் 40.01க்கு குறைவான எடையை உள்ளிடவும்,Enter weight greater than 0.49 and less than 40.01
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https: / / poshantracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,In or by downloading the Poshan Tracker App.
Calculator to measure the child growth based on the WHO Child Growth Standards,WHO குழந்தை வளர்ச்சி தரநிலைகளின் அடிப்படையில் குழந்தை வளர்ச்சியை அளவிடும் கால்குலேட்டர்,Calculator to measure child growth based on WHO Child Development Standards
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"எம்பின் என்பது 4 இலக்க கடவுக்குறியீடாகும், இது போஷன் டிராக்கர் ஆப் இல் பதிவு செய்யும் போது ஒரு அங்கன்வாடி தொழிலாளியால் அமைக்கப்படுகிறது.",MPIN is a 4-digit passcode that is generated by an Anganwadi worker while registering on the POSHAN Tracker app.
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)","ஸ்மார்ட் போன் மற்றும் தொழில்நுட்ப பொருந்தக்கூடிய சோதனைக்கான விவரக்குறிப்புகள் (02 பிப்ரவரி, 2021)","Smart Phone and Technology Enabled Testing Specifications (February 02, 2021)"
Request for child's height and weight measurement,குழந்தையின் உயரம் மற்றும் எடை அளவீட்டுக்கான கோரிக்கை,Demand for measurement of height and weight of child
Children (6 months - 3 years),குழந்தைகள் (6 மாதங்கள் - 3 ஆண்டுகள்),Children (6 months - 3 years)
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","எங்கள் தளங்கள், பயன்பாடு மற்றும் இயங்குதளத் தொழில்நுட்பம் உட்பட, எங்கள் சேவைகளைப் பார்வையிடும்போது அல்லது பயன்படுத்தும்போது பயன்பாட்டுத் தரவை நாங்கள் பதிவு செய்கிறோம்.","We record application data when we visit or use our services, including our platforms, application and operating system technology."
"Result couldn't be fetch, please enter valid data","முடிவைப் பெற முடியவில்லை, சரியான தரவை உள்ளிடவும்","Could not get result, please enter correct data"
Central Golaghat I. C. D. S. Project,மத்திய கோலாகாட் ஐ. சி. டி. எஸ். புராஜக்ட்,Central Kolkata ICDS Project
