eng,as,indic_trans_translated
What is the minimum requirement to install Poshan Tracker App in mobile?,ম'বাইলত পোষণ ট্ৰেকাৰ এপ ইনষ্টল কৰাৰ নিম্নতম প্ৰযোজনীযতা কি?,What is the minimum application to install the POSHAN tracker app on mobile?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,আপুনি নথিভুক্তকৰণত ব্যাখ্যা কৰাৰ দৰেহে চাইটৰ প্ৰৱেশাধিকাৰ (বা প্ৰৱেশাধিকাৰৰ প্ৰযাস) লাভ কৰিব আৰু এই চুক্তিৰ চৰ্তাৱলী সমূহ মানি চলিব।,You will get access to the site (or access to the site) as soon as you explain in the registration and comply with the terms of the agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","আপুনি আপোনাৰ আৰু আপোানৰ চাইটটোৰ ব্যৱহাৰ প্ৰতি প্ৰযোজ্য আৰু যিকোনো তৃতীয-পক্ষৰ অধিকাৰ প্ৰভাৱকাৰী সকলো কেন্দ্ৰীয আৰু ৰাজ্যিক আইন, নীতি আৰু নিযম সমূহ মানি চলিব।","You will abide by all central and state laws, policies and regulations governing the use of your site and any third party rights."
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swasth Balak Balika Spardha by registering through the website https: / / poshantracker.org.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.,In or by downloading the 'Poshan Tracker' app from Google Play Store.
Clarification regarding Cost of Smart phones,স্মাৰ্ট ফোন সমূহৰ খৰছৰ সন্দৰ্ভত স্পষ্টীকৰণ,Clarification regarding Tariff of Smart Phones
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,সৰু আই যুক্ত ভেকচিন (MCV)/সৰু আই আৰু ৰুবেলা (MR)-1জাপানীজ এনকেফেলাইটিছ(JE)-1**PCV-বুষ্টাৰ,Vaccine with Small I (MCV) / Small I and Rubella (MR) -1 Japanese Encephalitis (JE) -1 * PCV-Booster
Mobile number need to be validated within a week,ম'বাইল এসপ্তাহৰ ভিতৰত বৈধ কৰিব লাগিব,Mobile phones to be validated within a week
Currently a beneficiary can register by the help of an AWW,বৰ্তমান এগৰাকী হিতাধিকাৰীযে এটা AWW-ৰ সহাযত পঞ্জীযন কৰিব পাৰে,"Currently, a beneficiary can register with the help of an AWW"
Awareness for Lactating Mother Complimentary Feeding for Children,শিশুসকলৰ বাবে পৰিপূৰক খাদ্য প্ৰদান কৰাত দুগ্ধপান কৰোৱা মাতৃসকলৰ বাবে সজাগতা,Awareness for lactating mothers to provide nutritious food for children
New Poshan Tracker App - CSC-SPV Nodal Person,নতুন পোষণ ট্ৰেকাৰ এপ - CSC-SPV ন'ডেল পাৰ্চন,New POSHAN tracker app - CSC - SPV nodel parity
1.1. Information you provide to us.,1.1. আপুনি আমাক যোগান ধৰা তথ্য।,1.1.The information you provide to us.
How can one access Poshan Tracker Dashboard?,কোনো এজনে কেনেকৈ পোষণ ট্ৰেকাৰ ডাশ্বব'ৰ্ডত প্ৰৱেশ কৰিব পাৰে?,How can one enter the nutrition tracker dashboard?
Prevention of Anemia in children and adolescents girls,শিশু আৰু কিশোৰী সকলৰ মাজে এনিমিযা হোৱাত বাধা দিযা,Prevents Anaemia among Children and Adolescents
Gangarampur Addl. I. C. D. S Project,গংগাৰামপুৰ আড্ডল।আই.চি.ডি.এছ. প্ৰকল্প,Gangarampur Adalat
Can a beneficiary register directly using application.,এগৰাকী হিতাধিকাৰীযে পোনপটীযাকৈ এপ্লিকেচন ব্যৱহাৰ কৰি পঞ্জীযন কৰিব পাৰিব নে।।,Whether a beneficiary can register directly using the application.
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,টি মিনিস্ট্রি অফ ওমেন এন্ড চাইল্ড ডেভেলপমেন্ট হস্ রল্লেদ আউট পোষণ ট্র্যাকার এপ্লিকেশন.,Ministry of Women and Child Development has rolled out Nutrition Tracker App.
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.","টি গোযাল ২ তো ফলো নিউট্রিশন সিস্টেমস স্ট্রেঞ্জথেনিং এপ্রোচ ফর ইম্প্রোভিং ম্যাটার্নাল এন্ড চাইল্ড উন্দের্নউট্রিশন, ফোকাসেদ ও স্ট্রেঞ্জথেনিং ইমপ্লিমেন্টেশন বটতলেনক্স এত অল লেভেলস.","T Goyals 2 follow nutrition systems strengthening approach for improving maternal and child nutrition, focus and strengthening implementation bottlenecks at all levels."
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.","টি পোষণ ট্র্যাকার ২ বিল্ট উসিং সেন্ট্রালাইজড ডাটা আর্কিটেকচার, ্থাৎ অল্সো এলিগেন্স উইথ টি ডিজিটাল টেকনোলজি সিস্টেমস অফ ওদের মিনিস্ট্রিজ এন্ড প্রোগ্রামস.","POSHAN Tracker 2 Built using Centralized Data Architecture, i.e."
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.","টি সিস্টেম প্রভিডেস এ ডিজিটাল আইডেন্টিটি তো এলাচ বেনিফিশিযারি থ্রু এ ডিজিটাল কার্ড, এন্ড লোউস কোনভার্জেন্স অফ কল সেন্টারে উইথ টি টেকনোলজি প্লাটফর্ম.","T System Provides Digital Identity to Elas Beneficiary through a Digital Card, and Lows Convergence of Call Centre with IT Platform."
The system generates automated alerts to the critical last-mile beneficiaries.,টি সিস্টেম জেনেরাটস অটোমেটেড এলার্টস তো টি ক্রিটিকাল লাস্ট-মাইল বেনেফিসিযারিজ.,T System Generates Automated Alerts to T Critical Last Mile Beneficiaries.
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.","ইট অল্সো ইন্সুরেন্স এফিসিযেন্ট অডিট অফ টি ডেলিভারি সিস্টেম, বই ডকুমেন্টিং রিযেল টাইম অ্যাটেনডেন্স অফ বেনেফিসিযারিজ এন্ড ডিউটি বেযারেরস.","It also has an insurance efficient audit of T delivery system, book documenting real time attendance of beneficiaries and duty bearers."
"Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.","সুচ এ রোবাস্ট ডিজিটাল টেকনোলজি প্লাটফর্ম এন্ড ম্যানেজমেন্ট ইনফরমেশন সিস্টেম, বিল হেল্প টি মিশন তো স্কেল এফিসিযেন্টলি, থেরেবি জেনারেটিং এন্ড ডকুমেন্টিং সিগনিফিকেন্ট পসিটিভ ইমপ্যাক্ট.","SUSE a Robust Digital Technology Platform and Management Information System, Bill Help T Mission to Scale Efficient, Theraby Generating and Documentation Signal Positive Impact."
Weight should be between 0.90 to 58,ওজন 0.90 ৰ পৰা 58 ৰ ভিতৰত হ'ব লাগে,Weight should be between 0.90 to 58
We own the intellectual property rights in the Site and Content.,আমি চাইট আৰু কন্টেন্টত বৌদ্ধিক সম্পত্তিৰ অধিকাৰৰ স্বত্ব লাভ কৰো।,We have intellectual property rights over the sites and content.
We may change the Content and features of the Site at any time.,আমি যিকোনো সমযযত চাইটটোৰ কন্টেন্ট আৰু বৈশিষ্ট্য সলনি কৰিব পাৰো।,We can change the content and features of the site at any time.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors.","চাইটটোত প্ৰদৰ্শিত পঞ্জীকৃত আৰু অপঞ্জীকৃত ট্ৰেডমাৰ্ক, ল'গ', আৰু চাৰ্ভিচ মাৰ্ক সমূহ আমাৰ বা আমাৰ লাইচেঞ্চৰ সকলৰ দ্বাৰা স্বত্বাধীন।","Registered and unregistered trademarks, logos, and service marks displayed on the site are owned by us or our licensees."
"You may not use our trademarks, logos, and service marks in any way without our prior written permission.","আপুনি আমাৰ অগ্ৰাধিকাৰপ্ৰাপ্ত লিখিত অনুমতিৰ অবিহনে কোনো ধৰণে আমাৰ ট্ৰেডমাৰ্ক, ল'গ', আৰু চাৰ্ভিছ মাৰ্ক ব্যৱহাৰ কৰিব নোৱাৰে।","You cannot use our trademarks, logs, and service marks in any way without our prior written authorization."
Material featured on this website may be reproduced free of charge.,এই ৱেবচাইটত সংযোজিত মেটেৰিযাল সমূহ বিনামূলীযাকৈ পুনৰ্গঠন কৰিব পৰা যায।,The materials on this website can be recycled for free.
"Wherever the material is being published or issued to others, the source must be prominently acknowledged.","য'তেই মেটেৰিযেলটো আন কৰবাত প্ৰকাশ হৈছে বা জাৰি হৈছে, উৎসটোক গুৰুত্ব সহকাৰে স্বীকৃতি প্ৰদান কৰিব লাগিব।","As soon as the material has been published in other newspapers, the source has to be recognized with due importance."
"However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.",অৱশ্যে এই মেটেৰিযেল পুনৰ্গঠন কৰাৰ অনুমতি আন কোনো মেটেৰিযেললৈ প্ৰসাৰিত নহয যি এটা তৃতীয পক্ষৰ কপিৰাইট থকা হিচাপে চিনাক্ত হয।,"However, the permission to reconstruct the material will not be extended to any other material which has been identified as copyright by a third party."
MPIN can be easily reset by any AWW/AWC user.,MPIN যিকোনো AWW/AWC ব্যৱহাৰকাৰীৰ দ্বাৰা সহজে পুনঃস্থাপন কৰিব পাৰি।,MPIN can be easily restored by any AWW / AWC user.
"You are required to click on Forgot MPIN, and enter your registered mobile number.","আপুনি পাহৰি যোৱা MPIN-ত ক্লিক কৰিব লাগিব, আৰু আপোনাৰ পঞ্জীভুক্ত ম'বাইল নম্বৰ প্ৰবিষ্ট কৰিব লাগিব।","You need to click on the missing MPIN, and enter your registered mobile number."
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,আপুনি আপোনাৰ পঞ্জীভুক্ত ম'বাইল নম্বৰত প্ৰাপ্ত কৰিব আৰু OTP প্ৰাপ্ত কৰিব আৰু আপুনি আপোনাৰ MPIN পুনঃস্থাপন কৰিব পাৰে।,You will get the OTP on your registered mobile number and you can reset your MPIN.
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts.,পোষণ ট্ৰেকাৰ হৈছে অংগনৱাডী কৰ্মীসকললৈ তেওঁলোকৰ প্ৰযাসৰ প্ৰতিফলনৰ সৈতে সেৱাৰ খৰতকীযা আৰু নিখুঁত ডেলিভাৰীৰ বাবে এটা কৰ্ম-আহিলা।,POSHAN tracker is an action-oriented service delivery platform for Anganwadi workers to deliver quality service along with the fruits of their efforts.
It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics,ই পোষণ অভিযানৰ অধীনত এটা গুৰুত্বপূৰ্ণ আৰু হিতাধিকাৰী কেন্দ্ৰিক সেৱা ডেলিভাৰী এপ্লিকেচন যি বিশ্লেষণৰ সৈতে বাস্তৱ সমযৰ তথ্য প্ৰচাৰ কৰে,It is an important and beneficial central service delivery application under POSHAN Abhiyaan to disseminate real-time data with analytics
Please enter valid Date of Birth,অনুগ্ৰহ কৰি বৈধ জন্ম তাৰিখ প্ৰদান কৰক,Please provide a valid birth date
Who is eligible for additional supplementary food?,অতিৰিক্ত পৰিপূৰক খাদ্যৰ বাবে কোন যোগ্য?,Who is eligible for additional supplements?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.","আমি আপোনাক বিশেষভাৱে জাননী প্ৰদান নকৰাকৈ যিকোনো সমযত এই চৰ্তাৱলী সমূহৰ যিকোনো অংশ সলনি, মডিফাই, যোগ, বা আঁতৰ কৰাৰ চৰ্তবিহীন অধিকাৰ আৰক্ষণ কৰো।","We reserve unconditionally right to change, modify, add or remove any part of these conditions, at any time, without giving you any specific information."
Any changes or updates will be effective immediately.,যিকোনো সাল-সলনি বা আপডেট তৎক্ষণাৎ কাৰ্যকৰী হ'ব।,Any changes or updates will come into effect immediately.
You take the responsibility to check these Terms of Use periodically for changes.,আপুনি এই ব্যৱহাৰৰ চৰ্তাৱলী সমূহৰ সাল-সলনি সমযে সমযে পৰীক্ষা কৰিবলৈ দাযিত্ব গ্ৰহণ কৰিছে।,You have taken upon yourself the responsibility of periodically checking these usage conditions.
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.,এনে সংশোধনৰ পিছত আপুনি অব্যাহত ৰখা প্লেটফৰ্মৰ ব্যৱহাৰ সেই সংশোধিত চৰ্তাৱলীৰ স্বীকৃতিক নিযুক্ত কৰিব।,"After such amendment, you will appoint the use of the platform as an acknowledgement of those revised conditions."
How many different types of reports can be generated over Poshan Tracker Dashboard?,পোষণ ট্ৰেকাৰ ডেশ্বব'ৰ্ডৰ যোগেৰে কেইটা বিভিন্ন প্ৰকাৰৰ প্ৰতিবেদন সৃষ্টি কৰিব পাৰি?,How many different kinds of reports can be generated through the POSHAN Tracker dashboard?
How to revive your health if you are Severely Wasted (SAM),যদি আপুনি গুৰুতৰভাৱে পুষ্টিহীনতাত (SAM) ভুগিছে আপোনাৰ স্বাস্থ্য কেনেদৰে পুনৰুদ্ধাৰ কৰিব,How to restore your health if you suffer from severe malnutrition (SAM)
"See assessment charts for Stunted, Wasted and Underweight parameters","চাপৰ, পুষ্টিহীন আৰু কম ওজনৰ পেৰামিটাৰ সমূহৰ বাবে মূল্যাযনৰ তালিকা চাওক","See the list of assessments for pressurized, malnourished and underweight parameters"
Resources for growth monitoring and general awareness,বিকাশ নিৰীক্ষণ আৰু সাধাৰণ সজাগতাৰ বাবে সম্পদ,Resources for development monitoring and general awareness
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.This includes structure, basic amenities, facilities, sanitization, drinking water etc.","AWWযে এটা নিৰ্দিষ্ট অংগনৱাডী কেন্দ্ৰত উপস্থিত আন্তঃগাঁথনি সম্পৰ্কীয বিৱৰণ প্ৰবিষ্ট কৰিব লাগিব।ইযাত অন্তৰ্ভুক্ত থাকে গাঁথনি, মৌলিক সুবিধা, স্বচ্ছত্বা, খোৱাপানী ইত্যাদি।চেনিটাইজেচন, খোৱা পানী ইত্যাদি।","AWWs are required to provide details of infrastructure available at a particular Anganwadi Centre (AWC) which includes infrastructure, basic amenities, sanitation, drinking water etc."
Lactating mothers who received Take Home Ration (THR),স্তন্যপান কৰোৱা মহিলা যি টেক হোম ৰেচন (THR) লাভ কৰিছে,Pregnant Women receiving Take Home Ration (THR)
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes.","পোষণ ট্ৰেকাৰে আপোনাক বিশেষভাৱে জাননী প্ৰদান নকৰাকৈ যিকোনো সমযত এই চৰ্তাৱলী সমূহৰ যিকোনো অংশ সলনি, মডিফাই, যোগ, বা আঁতৰ কৰাৰ চৰ্তবিহীন অধিকাৰ আৰক্ষণ কৰে।","Poshan Tracker has unconditionally protected the right to change, modify, add, or remove any part of these conditions at any time without giving you specific information."
Any changes or updates will be effective immediately.,যিকোনো সাল-সলনি বা আপডেট তৎক্ষণাৎ কাৰ্যকৰী হ'ব।,Any changes or updates will come into effect immediately.
You should review this Privacy Policy regularly for changes.,আপুনি সাল-সলনি সমূহৰ বাবে এই গোপনীযতাৰ নীতি নিযমিতভাৱে পুনৰীক্ষণ কৰিব লাগিব।,You will need to regularly review this Privacy Policy for changes.
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System.","আমি এই গোপনীযতাৰ নীতিৰ যিকোনো মেটেৰিযেলৰ সাল-সলনিৰ বিষযে সকলো ব্যৱহাৰকাৰীক সাদাৰণভাৱে জনাবলৈ বানিজ্যিকভাৱে যুক্তিযুক্ত প্ৰযাস মূহ ব্যৱহাৰ কৰো, যেনে চিষ্টেমৰ ওপৰত এখন জাননীৰ জৰিযতে।","We use commercially reasonable efforts to inform all users about any change in the privacy policy content, such as through an update on the system."
"However, as a user of the System, you should regularly check the Privacy Policy for any changes.","অৱশ্যে চিষ্টেমটোৰ এগৰাকী ব্যৱহাৰকাৰী হিচাপে, আপুনি যিকোনো সাল-সলনিৰ বাবে গোপনীযতাৰ নীতি নিযমিতভাৱে পৰীক্ষা কৰিব লাগিব।","As a user of the system, you must regularly check the privacy policy for any changes."
"We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy.","আমি এই গোপনীযতা নীতিৰ একবাৰে শীৰ্ষ স্থানত ""শেষৰবাৰ আপডেট"" কৰা তাৰিখ আপডেট কৰিম, যি এই গোপনীযতাৰ নীতিৰ কাৰ্যকৰী তাৰিখ প্ৰতিফলিত কৰে।","We will update the last updated date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy."
Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy.,নতুন গোপনীযতাৰ নীতিৰ তাৰিখৰ পিছত চিষ্টেমটোত আপুনি অব্যাহত ৰখা প্ৰৱেশ বা ব্যৱহাৰত নতুন গোপনীযতাৰ নীতিৰ প্ৰতি আপোনাৰ সন্মতিক প্ৰতিষ্ঠা কৰে।,The new privacy policy establishes your compliance with the new privacy policy on your continued access or usage to the system after the date of the new privacy policy.
"If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System.","যদি আপুনি নতুন গোপনীযতাৰ নীতিত সন্মত নহয, আপুনি চিষ্টটেমটো প্ৰৱেশ কৰা আৰু/ বা ব্যৱহাৰ কৰা বন্ধ কৰিব লাগিব।","If you do not agree with the new privacy policy, you should stop logging in and / or using the system."
What is the eligibility of a beneficiary?,এগৰাকী হিতাধিকাৰী হোৱাৰ যোগ্যতা কি?,What is the eligibility to be a beneficiary?
"No, Poshan Tracker is available only for Android version","নাই, পোষণ ট্ৰেকাৰ কেৱল এণ্ড্ৰইড সংস্কৰণৰ বাবে উপলব্ধ।","No, Poshan Tracker is only available for Android version."
 XV. INDEMNITY AND LIMITATION OF LIABILITY, XV. ক্ষতিপূৰণ আৰু দাযবদ্ধতাৰ সীমাবদ্ধতা,Indemnity and Limitation of Deposits
Growth monitoring report for all health indicators,সকলো স্বাস্থ্য সূচকৰ বাবে বিকাশ নিৰীক্ষণ প্ৰতিবেদন,Progress Report for all Health Indicators
Take Home Ration (THR) given in last 30 days,টেক হোম ৰেচন (টিএইচআৰ) শেষৰ ৩০ দিনত  দিযা হয,Take Home Ration (THR) to be given in last 30 days
Children are defined as stunted if their height-for-age is more than two standard deviations below the WHO Child Growth Standards median,শিশুসকলক বৃদ্ধি নোহোৱা বুলি সংজ্ঞাযিত কৰা হয যদি তেওঁলোকৰ বযস অনুসৰি উচ্চতা WHO শিশু বিকাশ মানৰ মধ্যমাৰ তলত দুই আদৰ্শ মান বিচ্যুতিতকৈ অধিক হয,"Children are defined as not growing up if their height is more than two standard deviations from the WHO child development standards, depending on their age."
What is the purpose of Launching Poshan Tracker?,পোষণ ট্ৰেকাৰ আৰম্ভ কৰা উদ্দেশ্যে কি?,What is the purpose of launching POSHAN Tracker?
"As a registered user, you have the right to access your profile at any time.","এগৰাকী পঞ্জীকৃত বযৱহাৰকাৰী হিচাপে, আপোনাৰ যিকোনো সমযত আপোনাৰ প্ৰফাইলৰ প্ৰৱেশাধিকাৰ লাভৰ অদিকাৰ আছে।","As a registered outsider, you have the right to access your profile at any time."
"Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","যদিও, সাল-সলনি সমূহ পোষণ ট্ৰেকাৰ চিষ্টেমৰ দ্বাৰা নিৰ্ধাৰিত অনুসৰিহে সম্পন্ন কৰিব পাৰি।","However, the changes can be made as per the norms laid down by the nutrition tracker system."
You cannot manage the communications that you receive from us or how you receive them.,আপুনি আমাৰ পৰা লাভ কৰা যোগাযোগ সমূহ বা সেইবোৰ আপুনি কেনেদৰে লাভ কৰিব তাক নিযন্ত্ৰণ কৰিব নোৱাৰে।,You cannot control the contacts you have received from us or how you will receive them.
" XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE"," XIII. আইন, তৃতীয পক্ষৰ অধিকাৰ, আৰু সেৱাৰ আন চৰ্তাৱলী সমূহৰ সৈতে সন্মতি","Agreement on laws, third party rights and other terms and conditions of service"
"repeated infection, and inadequate psychosocial stimulation","ঘনাই হোৱা সংক্ৰমণ, আৰু অনুপযুক্ত মনস্তাত্ত্বিক উদ্দীপনা","Frequent infections, and inappropriate psychological stimulation"
Beneficiary migration from one AWC to another AWC,বেনিফিচাৰীৰ প্ৰব্ৰজন এটা  AWC ৰ পৰা আন  AWC লৈ,Beneficiary migration from one AWC to another AWC
"Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)","পোষণ অভিযানৰ অধীনত আই. চি. টি প্লেটফৰ্মৰ ওপৰত প্ৰশিক্ষণ (০২ ফেব্ৰুৱাৰী, ২০২১)","Training on ICT Platform under POSHAN Abhiyaan (02 February, 2021)"
You may browse the Site without registering for an account.,আপুনি হযতো চাইটটো এটা একাাউন্ট পঞ্জীযন নকৰাকৈ ব্ৰাউজ কৰি আছে।,You are browsing the site without registering an account.
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","যদি আপুনি চাইটটোৰ দ্বাৰা আগবঢোৱা কিছুমান নিৰ্দিষ্ট বৈশিষ্ট্য বা সেৱা ব্যৱহাৰ কৰিবলৈ মন কৰে, আপুনি আপোনাৰ মোবাইল নম্বৰৰ সৈতে এটা একাউন্টৰ বাবে পঞ্জীযন কৰিব লাগিব।","If you wish to use certain features or services offered by the site, you will have to register for an account with your mobile number."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,আপুনি আপোনাৰ ব্যক্তিগত তথ্য আৰু পঞ্জীযন আৰু সকলো ক্ৰিযা-কলাপৰ গোপনীযতা বৰ্তাই ৰখাৰ বাবে সম্পূৰ্ণৰূপে দাযৱদ্ধ যাৰ ফলত হযতো আপোনাৰ পৰা এই তথ্য সুৰক্ষিত কৰি ৰখাত ব্যৰ্থ হ'ব পাৰে।,You are fully committed to maintaining the privacy of your personal information and registration and all other activities which may result in your failure to protect this information from you.
Your registration or mobile number shall be kept confidentialYou undertake that:You have obtained consent from the concerned individuals for creating their records through your account.,আপোনাৰ পঞ্জীযন বা মোবাইল নম্বৰ গোপনে ৰখা হ'বআপুনি সন্মত হৈছে যেঃআপুনি আপোনাৰ একাউন্টৰ জৰিযতে সেইবোৰৰ ৰেকৰ্ড সমূহ প্ৰস্তুত কৰিবলৈ সংশ্লিষ্ট লোকসকলৰ পৰা অনুমোদন লাভ কৰিছে।,You have agreed to keep your registration or mobile number confidential: You have received authorization from the concerned persons to create records of the same through your account.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,আপোনাৰ একাউন্ট বা মোবাইল নম্বৰত সেই লোকজনক আনৰ ভূমিকাত তুলি ধৰিবলৈ মন কৰি আন এজন লোকৰ নাম সন্নিৱিষ্ট কৰা নাই।,Your account or mobile number does not contain the name of another person with the intention of impersonating that person.
You shall not use another user's account without their permission.,আপুনি আন এগৰাকী ব্যৱহাৰকাৰীৰ একাউন্ট তেওঁলোকৰ অনুমতি অবিহনে ব্যৱহাৰ নকৰে।,You do not use another users account without their permission.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.","যদি আপুনি আপোনাৰ একাউন্টৰ কোনো অকৰ্তৃত্বপ্ৰাপ্ত ব্যৱহাৰ বা আন একাউন্ট সম্পৰ্কিত সুৰক্ষামূলক উলংঘন দেখা পায, তৎক্ষণাৎ আমালৈ লিখিত ৰূপত জনাওক।","If you notice any unauthorized use of your account or other account related security breach, immediately inform us in writing."
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","যদি আমি এটা অভিযোগ লাভ কৰো যে আপোনাৰ একাউন্টে আন কোনো লোকৰ অধিকাৰ উলংঘন কৰিছে, বা আমাৰ নীতি সমূহ উলংঘন কৰিছে আমি হযতো আপোনাৰ একাউন্ট বাতিল বা ব্লকো কৰিব পাৰো।","If we receive a complaint that your account has violated the rights of others, or violated our policies, we may cancel or block your account."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","আপুনি একাধিক ইন্টাৰনেট প্ৰট'কল এড্ৰেছ বা মোবাইল নম্বৰ ব্যৱহাৰ কৰি, বাা আন কোনো মাধ্যমেৰে, চাইটটোত অংশগ্ৰহণকাৰীসকলক পঞ্জীযন কৰিবলৈ আপোনাৰ পৰিচয গোপন কৰিবলৈ প্ৰযাস নকৰে।","You do not try to hide your identity to register participants on the site, using multiple internet protocol addresses or mobile numbers."
Poshan Tracker App is available in 22 different languagesThe various languages available are:EnglishHindiGujaratiPunjabiMarathiBanglaKannadaTamilTeluguMalyalamOdiaAssameseNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,পোষণ ট্ৰেকাৰ এপ ২২ টা বেলেগ বেলেগ ভাষাত উপলব্ধউপলব্ধ বিভিন্ন ভাষাসমূহ হ'লঃইংৰাজীহিন্দীগুজৰাটীপাঞ্জাৱীমাৰাঠীবাংলাকান্নাডাতামিলটেলেগুমালাযালমউডিযাঅসমীযাNepaliDogriKonkaniSindhiBodoMaithiliManipuriSanthaliUrduKashmiri,"The POSHAN tracker app is available in 22 different languages: English, Hindi, Gujarati, Punjabi, Marathi, Bangla, Tamil, Telugu, Malayalam, Odia, Assamese, Nepali, Manipuri, Sindhi, Kashmiri"
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","টি প্রপসেড সিস্টেম সৌল্ডা এনাবল রিযেল-টাইম মনিটরিং এন্ড ট্র্যাকিং অফ অল এওসিস, আউউস এন্ড বেনেফিসিযারিজ ও টি ডেফিনেড ইনডিক্টর্স.","T PROCEDURE SYSTEM SOLDA Enabler Real-time Monitoring and Tracking of All AOSIS, Ouse & Beneficiaries and T Defined Indicators."
How to Login in Poshan Tracker App?,পোষণ ট্ৰেকাৰ এপত কেনেকৈ লগইন কৰে?,How to login to POSHAN Tracker App?
Height and weight of child has not been measured,শিশুৰ উচ্চতা আৰু ওজন জোখা হোৱা নাই,The height and weight of the child are not measured
Calculator to measure the child growth based on the WHO Child Growth Standards.,WHO শিশুৰ বিকাশৰ মানৰ ওপৰত ভিত্তি কৰি শিশুৰ বিকাশ জুখিবলৈ কেলকুলেটৰ,WHO calculates child development based on child development standards
TAKE HOME RATION (THR) GIVEN TODAY,টেক হোম ৰেচন (টিএইচআৰ) আজি দিযা হয,Take Home Ration (THR)
A beneficiary is eligible for THR for at least 21 days in a month.,এগৰাকী হিতাধিকাৰী এমাহত অতিকেমও 21 দিনৰ বাবে THR-ৰ বাবে যোগ্যতা অৰ্জন কৰে।।,One beneficiary qualifies for THR for a maximum period of 21 days in a month.
 III. NOTICE REGARDING FUTURE CHANGES TO TERMS:, III. চৰ্তাৱলী সমূহৰ ভৱিষ্যত সাল-সলনিৰ সন্দৰ্ভত জাননীঃ,On the future course of action:
Planning And Organising Community Based Events At AWC,AWC ত কমিউনিটি ভিত্তিক অনুষ্ঠান সমূহ পৰিকল্পনা কৰা আৰু অনুষ্ঠিত কৰা,Planning and conduct of community based events at AWC
Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1- Click on Poshan Tracker Website https://poshantracker.,Please find the following steps to LoginStep 1-Click on Poshan Tracker website https: / / posttracker.
inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,inStep 2- Enter your registered Mobile Number and pre-set 4 digit MPIN.,Step 2 - Enter your registered mobile number and pre-set 4 digit MPIN.
